frequency,raw
20.00,10.73
20.20,10.79
20.40,10.83
20.61,10.88
20.81,10.93
21.02,10.97
21.23,11.02
21.44,11.06
21.66,11.11
21.87,11.15
22.09,11.19
22.31,11.22
22.54,11.26
22.76,11.29
22.99,11.33
23.22,11.36
23.45,11.40
23.69,11.43
23.92,11.45
24.16,11.48
24.40,11.51
24.65,11.54
24.89,11.56
25.14,11.59
25.39,11.62
25.65,11.64
25.91,11.66
26.16,11.68
26.43,11.70
26.69,11.73
26.96,11.75
27.23,11.77
27.50,11.79
27.77,11.81
28.05,11.83
28.33,11.84
28.62,11.85
28.90,11.88
29.19,11.89
29.48,11.90
29.78,11.91
30.08,11.92
30.38,11.94
30.68,11.94
30.99,11.95
31.30,11.95
31.61,11.96
31.93,11.96
32.24,11.96
32.57,11.97
32.89,11.97
33.22,11.97
33.55,11.98
33.89,11.98
34.23,11.98
34.57,11.98
34.92,11.97
35.27,11.97
35.62,11.98
35.97,11.98
36.33,11.98
36.70,11.97
37.06,11.97
37.43,11.97
37.81,11.96
38.19,11.95
38.57,11.95
38.95,11.94
39.34,11.93
39.74,11.91
40.14,11.90
40.54,11.89
40.94,11.87
41.35,11.85
41.76,11.83
42.18,11.81
42.60,11.80
43.03,11.78
43.46,11.76
43.90,11.74
44.33,11.73
44.78,11.71
45.23,11.69
45.68,11.68
46.13,11.66
46.60,11.64
47.06,11.62
47.53,11.60
48.01,11.58
48.49,11.55
48.97,11.51
49.46,11.48
49.96,11.44
50.46,11.41
50.96,11.37
51.47,11.33
51.99,11.30
52.51,11.27
53.03,11.24
53.56,11.21
54.10,11.17
54.64,11.14
55.18,11.11
55.74,11.08
56.29,11.04
56.86,11.01
57.42,10.97
58.00,10.93
58.58,10.90
59.16,10.86
59.76,10.81
60.35,10.78
60.96,10.74
61.57,10.71
62.18,10.68
62.80,10.64
63.43,10.60
64.07,10.55
64.71,10.50
65.35,10.46
66.01,10.42
66.67,10.38
67.33,10.34
68.01,10.29
68.69,10.23
69.37,10.18
70.07,10.13
70.77,10.08
71.48,10.03
72.19,9.98
72.91,9.93
73.64,9.86
74.38,9.79
75.12,9.73
75.87,9.67
76.63,9.62
77.40,9.57
78.17,9.50
78.95,9.43
79.74,9.39
80.54,9.33
81.35,9.28
82.16,9.23
82.98,9.15
83.81,9.09
84.65,9.03
85.50,8.98
86.35,8.93
87.22,8.86
88.09,8.79
88.97,8.73
89.86,8.69
90.76,8.63
91.66,8.56
92.58,8.49
93.51,8.42
94.44,8.36
95.39,8.29
96.34,8.22
97.30,8.14
98.28,8.06
99.26,7.99
100.25,7.92
101.25,7.83
102.27,7.76
103.29,7.72
104.32,7.66
105.37,7.58
106.42,7.50
107.48,7.41
108.56,7.33
109.64,7.24
110.74,7.18
111.85,7.09
112.97,7.00
114.10,6.91
115.24,6.84
116.39,6.79
117.55,6.71
118.73,6.60
119.92,6.52
121.12,6.41
122.33,6.34
123.55,6.26
124.79,6.15
126.03,6.04
127.29,5.98
128.57,5.90
129.85,5.82
131.15,5.73
132.46,5.68
133.79,5.60
135.12,5.53
136.48,5.49
137.84,5.42
139.22,5.39
140.61,5.35
142.02,5.28
143.44,5.25
144.87,5.22
146.32,5.20
147.78,5.18
149.26,5.17
