frequency,raw
20.00,-0.42
20.20,-0.37
20.40,-0.33
20.61,-0.29
20.81,-0.25
21.02,-0.21
21.23,-0.17
21.44,-0.13
21.66,-0.10
21.87,-0.07
22.09,-0.03
22.31,0.00
22.54,0.02
22.76,0.05
22.99,0.08
23.22,0.11
23.45,0.13
23.69,0.16
23.92,0.17
24.16,0.20
24.40,0.22
24.65,0.25
24.89,0.26
25.14,0.29
25.39,0.31
25.65,0.33
25.91,0.35
26.16,0.37
26.43,0.38
26.69,0.40
26.96,0.42
27.23,0.44
27.50,0.46
27.77,0.47
28.05,0.49
28.33,0.50
28.62,0.51
28.90,0.54
29.19,0.55
29.48,0.55
29.78,0.56
30.08,0.57
30.38,0.59
30.68,0.60
30.99,0.61
31.30,0.61
31.61,0.63
31.93,0.63
32.24,0.63
32.57,0.65
32.89,0.65
33.22,0.65
33.55,0.67
33.89,0.67
34.23,0.67
34.57,0.68
34.92,0.68
35.27,0.68
35.62,0.69
35.97,0.69
36.33,0.68
36.70,0.68
37.06,0.67
37.43,0.68
37.81,0.68
38.19,0.68
38.57,0.69
38.95,0.69
39.34,0.70
39.74,0.70
40.14,0.71
40.54,0.71
40.94,0.71
41.35,0.71
41.76,0.71
42.18,0.71
42.60,0.71
43.03,0.70
43.46,0.70
43.90,0.70
44.33,0.70
44.78,0.70
45.23,0.70
45.68,0.70
46.13,0.70
46.60,0.70
47.06,0.70
47.53,0.71
48.01,0.71
48.49,0.71
48.97,0.71
49.46,0.71
49.96,0.71
50.46,0.71
50.96,0.72
51.47,0.71
51.99,0.72
52.51,0.72
53.03,0.72
53.56,0.71
54.10,0.70
54.64,0.69
55.18,0.69
55.74,0.68
56.29,0.65
56.86,0.64
57.42,0.63
58.00,0.60
58.58,0.58
59.16,0.56
59.76,0.53
60.35,0.51
60.96,0.49
61.57,0.47
62.18,0.45
62.80,0.43
63.43,0.41
64.07,0.40
64.71,0.39
65.35,0.38
66.01,0.37
66.67,0.35
67.33,0.33
68.01,0.32
68.69,0.31
69.37,0.29
70.07,0.28
70.77,0.26
71.48,0.24
72.19,0.22
72.91,0.20
73.64,0.19
74.38,0.16
75.12,0.14
75.87,0.10
76.63,0.06
77.40,0.02
78.17,-0.02
78.95,-0.06
79.74,-0.10
80.54,-0.14
81.35,-0.17
82.16,-0.20
82.98,-0.23
83.81,-0.25
84.65,-0.28
85.50,-0.30
86.35,-0.33
87.22,-0.35
88.09,-0.37
88.97,-0.39
89.86,-0.40
90.76,-0.40
91.66,-0.40
92.58,-0.39
93.51,-0.38
94.44,-0.38
95.39,-0.38
96.34,-0.38
97.30,-0.39
98.28,-0.39
99.26,-0.39
100.25,-0.39
101.25,-0.39
102.27,-0.39
103.29,-0.38
104.32,-0.39
105.37,-0.38
106.42,-0.37
107.48,-0.38
108.56,-0.40
