frequency,raw
20.00,4.52
20.20,4.53
20.40,4.53
20.61,4.53
20.81,4.53
21.02,4.53
21.23,4.53
21.44,4.53
21.66,4.52
21.87,4.51
22.09,4.51
22.31,4.50
22.54,4.48
22.76,4.47
22.99,4.45
23.22,4.44
23.45,4.43
23.69,4.42
23.92,4.40
24.16,4.38
24.40,4.36
24.65,4.34
24.89,4.32
25.14,4.31
25.39,4.29
25.65,4.27
25.91,4.26
26.16,4.23
26.43,4.21
26.69,4.19
26.96,4.16
27.23,4.15
27.50,4.12
27.77,4.10
28.05,4.09
28.33,4.06
28.62,4.04
28.90,4.03
29.19,4.00
29.48,3.98
29.78,3.95
30.08,3.93
30.38,3.92
30.68,3.90
30.99,3.88
31.30,3.85
31.61,3.83
31.93,3.81
32.24,3.78
32.57,3.76
32.89,3.74
33.22,3.71
33.55,3.69
33.89,3.66
34.23,3.64
34.57,3.63
34.92,3.60
35.27,3.58
35.62,3.57
35.97,3.54
36.33,3.51
36.70,3.48
37.06,3.45
37.43,3.43
37.81,3.40
38.19,3.37
38.57,3.35
38.95,3.32
39.34,3.30
39.74,3.27
40.14,3.25
40.54,3.22
40.94,3.19
41.35,3.17
41.76,3.14
42.18,3.12
42.60,3.08
43.03,3.04
43.46,3.00
43.90,2.97
44.33,2.94
44.78,2.91
45.23,2.89
45.68,2.86
46.13,2.83
46.60,2.80
47.06,2.77
47.53,2.74
48.01,2.70
48.49,2.66
48.97,2.62
49.46,2.59
49.96,2.56
50.46,2.53
50.96,2.50
51.47,2.46
51.99,2.43
52.51,2.39
53.03,2.35
53.56,2.31
54.10,2.27
54.64,2.24
55.18,2.21
55.74,2.18
56.29,2.13
56.86,2.08
57.42,2.04
58.00,1.99
58.58,1.95
59.16,1.91
59.76,1.86
60.35,1.83
60.96,1.79
61.57,1.76
62.18,1.72
62.80,1.68
63.43,1.64
64.07,1.61
64.71,1.57
65.35,1.53
66.01,1.49
66.67,1.44
67.33,1.40
68.01,1.36
68.69,1.33
69.37,1.30
70.07,1.28
70.77,1.24
71.48,1.20
72.19,1.16
72.91,1.12
73.64,1.08
74.38,1.03
75.12,1.01
75.87,0.97
76.63,0.93
77.40,0.89
78.17,0.84
78.95,0.81
79.74,0.80
80.54,0.77
81.35,0.75
82.16,0.73
82.98,0.71
83.81,0.69
84.65,0.67
85.50,0.66
86.35,0.66
87.22,0.66
88.09,0.67
88.97,0.68
89.86,0.68
90.76,0.68
91.66,0.68
92.58,0.68
93.51,0.68
94.44,0.68
95.39,0.68
96.34,0.68
97.30,0.67
98.28,0.68
99.26,0.69
100.25,0.69
101.25,0.69
102.27,0.68
103.29,0.67
104.32,0.64
105.37,0.61
106.42,0.58
107.48,0.54
108.56,0.50
109.64,0.46
110.74,0.43
111.85,0.39
112.97,0.35
114.10,0.34
115.24,0.33
116.39,0.32
117.55,0.30
118.73,0.30
119.92,0.29
121.12,0.27
122.33,0.25
123.55,0.22
124.79,0.18
126.03,0.13
127.29,0.10
128.57,0.07
129.85,0.03
131.15,-0.00
132.46,-0.02
133.79,-0.04
135.12,-0.05
136.48,-0.06
137.84,-0.09
139.22,-0.10
140.61,-0.12
142.02,-0.17
143.44,-0.19
144.87,-0.23
146.32,-0.27
147.78,-0.30
149.26,-0.33
150.75,-0.37
152.26,-0.39
153.78,-0.41
155.32,-0.42
156.88,-0.42
158.44,-0.42
160.03,-0.43
161.63,-0.44
163.24,-0.46
164.88,-0.50
166.53,-0.52
168.19,-0.55
169.87,-0.61
171.57,-0.64
173.29,-0.67
175.02,-0.71
176.77,-0.75
178.54,-0.77
180.32,-0.78
182.13,-0.80
183.95,-0.80
185.79,-0.79
187.65,-0.79
189.52,-0.77
191.42,-0.76
193.33,-0.75
195.27,-0.75
197.22,-0.76
199.19,-0.77
201.18,-0.80
203.19,-0.83
205.23,-0.87
207.28,-0.90
209.35,-0.93
211.44,-0.98
213.56,-1.01
215.69,-1.05
217.85,-1.08
220.03,-1.11
222.23,-1.13
224.45,-1.15
226.70,-1.16
228.96,-1.17
231.25,-1.16
233.57,-1.16
235.90,-1.16
238.26,-1.16
240.64,-1.17
243.05,-1.18
245.48,-1.19
247.93,-1.19
250.41,-1.20
252.92,-1.21
255.45,-1.22
258.00,-1.22
260.58,-1.23
263.19,-1.23
265.82,-1.23
268.48,-1.24
271.16,-1.24
273.87,-1.24
276.61,-1.24
279.38,-1.23
282.17,-1.24
284.99,-1.24
287.84,-1.25
290.72,-1.27
293.63,-1.29
296.57,-1.32
299.53,-1.36
302.53,-1.39
305.55,-1.43
308.61,-1.47
311.69,-1.51
314.81,-1.54
317.96,-1.57
321.14,-1.60
324.35,-1.63
327.59,-1.64
330.87,-1.66
334.18,-1.66
337.52,-1.66
340.90,-1.66
344.30,-1.66
347.75,-1.66
351.23,-1.66
354.74,-1.67
358.28,-1.67
