frequency,raw
20.00,10.18
20.20,10.21
20.40,10.23
20.61,10.25
20.81,10.27
21.02,10.29
21.23,10.31
21.44,10.33
21.66,10.35
21.87,10.36
22.09,10.38
22.31,10.39
22.54,10.40
22.76,10.41
22.99,10.42
23.22,10.43
23.45,10.44
23.69,10.45
23.92,10.45
24.16,10.46
24.40,10.46
24.65,10.47
24.89,10.47
25.14,10.48
25.39,10.49
25.65,10.49
25.91,10.50
26.16,10.50
26.43,10.50
26.69,10.51
26.96,10.51
27.23,10.52
27.50,10.52
27.77,10.52
28.05,10.53
28.33,10.53
28.62,10.53
28.90,10.54
29.19,10.54
29.48,10.54
29.78,10.54
30.08,10.54
30.38,10.55
30.68,10.55
30.99,10.55
31.30,10.55
31.61,10.56
31.93,10.56
32.24,10.56
32.57,10.57
32.89,10.57
33.22,10.57
33.55,10.58
33.89,10.58
34.23,10.58
34.57,10.59
34.92,10.59
35.27,10.59
35.62,10.60
35.97,10.60
36.33,10.60
36.70,10.60
37.06,10.60
37.43,10.61
37.81,10.61
38.19,10.61
38.57,10.62
38.95,10.62
39.34,10.63
39.74,10.63
40.14,10.64
40.54,10.64
40.94,10.64
41.35,10.64
41.76,10.64
42.18,10.64
42.60,10.64
43.03,10.63
43.46,10.63
43.90,10.63
44.33,10.63
44.78,10.64
45.23,10.65
45.68,10.66
46.13,10.66
46.60,10.65
47.06,10.64
47.53,10.63
48.01,10.61
48.49,10.58
48.97,10.56
49.46,10.52
49.96,10.49
50.46,10.46
50.96,10.43
51.47,10.39
51.99,10.36
52.51,10.34
53.03,10.32
53.56,10.30
54.10,10.28
54.64,10.28
55.18,10.28
55.74,10.29
56.29,10.28
56.86,10.29
57.42,10.29
58.00,10.28
58.58,10.28
59.16,10.28
59.76,10.27
60.35,10.27
60.96,10.27
61.57,10.28
62.18,10.29
62.80,10.29
63.43,10.29
64.07,10.28
64.71,10.27
65.35,10.25
66.01,10.23
66.67,10.20
67.33,10.17
68.01,10.14
68.69,10.11
69.37,10.08
70.07,10.05
70.77,10.02
71.48,9.98
72.19,9.96
72.91,9.94
73.64,9.92
74.38,9.91
75.12,9.91
75.87,9.91
76.63,9.93
77.40,9.93
78.17,9.92
78.95,9.91
79.74,9.89
80.54,9.86
81.35,9.83
82.16,9.81
82.98,9.78
83.81,9.74
84.65,9.70
85.50,9.67
86.35,9.64
87.22,9.62
88.09,9.60
88.97,9.59
89.86,9.58
90.76,9.56
91.66,9.55
92.58,9.54
93.51,9.53
94.44,9.52
95.39,9.50
96.34,9.47
97.30,9.43
98.28,9.40
99.26,9.38
100.25,9.35
101.25,9.33
102.27,9.30
103.29,9.26
104.32,9.22
105.37,9.18
106.42,9.15
107.48,9.10
108.56,9.08
109.64,9.06
110.74,9.03
111.85,9.01
112.97,8.98
114.10,8.96
115.24,8.93
116.39,8.91
117.55,8.87
118.73,8.84
119.92,8.81
121.12,8.79
122.33,8.76
123.55,8.74
124.79,8.71
126.03,8.69
127.29,8.65
128.57,8.62
129.85,8.58
131.15,8.54
132.46,8.49
133.79,8.45
135.12,8.41
136.48,8.38
137.84,8.36
139.22,8.34
140.61,8.31
142.02,8.26
143.44,8.22
144.87,8.17
146.32,8.11
147.78,8.07
149.26,8.03
150.75,7.99
152.26,7.96
153.78,7.94
155.32,7.90
156.88,7.87
158.44,7.83
160.03,7.79
161.63,7.75
163.24,7.71
164.88,7.68
166.53,7.66
168.19,7.63
169.87,7.59
171.57,7.56
173.29,7.51
175.02,7.46
176.77,7.41
178.54,7.38
180.32,7.34
182.13,7.30
183.95,7.26
185.79,7.23
187.65,7.19
189.52,7.15
191.42,7.11
193.33,7.07
195.27,7.02
197.22,6.97
199.19,6.92
201.18,6.87
203.19,6.83
205.23,6.79
207.28,6.75
209.35,6.69
211.44,6.63
213.56,6.57
215.69,6.53
217.85,6.49
220.03,6.44
222.23,6.39
224.45,6.32
226.70,6.26
228.96,6.19
231.25,6.13
233.57,6.08
235.90,6.03
238.26,6.00
240.64,5.94
243.05,5.88
245.48,5.82
247.93,5.77
250.41,5.72
252.92,5.68
255.45,5.64
258.00,5.60
260.58,5.55
263.19,5.50
265.82,5.46
268.48,5.42
271.16,5.38
273.87,5.33
276.61,5.28
279.38,5.23
282.17,5.16
284.99,5.11
287.84,5.07
290.72,5.03
293.63,4.99
296.57,4.95
299.53,4.89
302.53,4.84
305.55,4.80
308.61,4.75
311.69,4.71
314.81,4.66
317.96,4.60
