frequency,raw
20.00,1.92
20.20,1.98
20.40,2.03
20.61,2.08
20.81,2.12
21.02,2.17
21.23,2.22
21.44,2.26
21.66,2.31
21.87,2.35
22.09,2.39
22.31,2.43
22.54,2.47
22.76,2.51
22.99,2.55
23.22,2.59
23.45,2.62
23.69,2.66
23.92,2.69
24.16,2.73
24.40,2.75
24.65,2.79
24.89,2.82
25.14,2.85
25.39,2.89
25.65,2.92
25.91,2.95
26.16,2.98
26.43,3.00
26.69,3.04
26.96,3.07
27.23,3.10
27.50,3.13
27.77,3.16
28.05,3.19
28.33,3.22
28.62,3.25
28.90,3.28
29.19,3.31
29.48,3.33
29.78,3.35
30.08,3.38
30.38,3.41
30.68,3.43
30.99,3.46
31.30,3.48
31.61,3.51
31.93,3.53
32.24,3.55
32.57,3.58
32.89,3.60
33.22,3.62
33.55,3.65
33.89,3.66
34.23,3.68
34.57,3.71
34.92,3.73
35.27,3.74
35.62,3.77
35.97,3.79
36.33,3.80
36.70,3.82
37.06,3.83
37.43,3.86
37.81,3.87
38.19,3.89
38.57,3.91
38.95,3.93
39.34,3.95
39.74,3.95
40.14,3.97
40.54,3.98
40.94,3.98
41.35,3.99
41.76,4.00
42.18,4.00
42.60,4.01
43.03,4.01
43.46,4.01
43.90,4.02
44.33,4.02
44.78,4.02
45.23,4.02
45.68,4.01
46.13,4.01
46.60,4.00
47.06,4.00
47.53,4.00
48.01,4.00
48.49,4.00
48.97,4.00
49.46,4.00
49.96,4.00
50.46,4.00
50.96,4.00
51.47,3.99
51.99,3.99
52.51,3.99
53.03,3.99
53.56,3.99
54.10,3.98
54.64,3.98
55.18,3.98
55.74,3.98
56.29,3.97
56.86,3.97
57.42,3.97
58.00,3.96
58.58,3.96
59.16,3.96
59.76,3.95
60.35,3.95
60.96,3.95
61.57,3.95
62.18,3.95
62.80,3.95
63.43,3.95
64.07,3.95
64.71,3.95
65.35,3.95
66.01,3.96
66.67,3.97
67.33,3.97
68.01,3.97
68.69,3.98
69.37,3.98
70.07,3.97
70.77,3.95
71.48,3.93
72.19,3.92
72.91,3.90
73.64,3.88
74.38,3.85
75.12,3.83
75.87,3.79
76.63,3.76
77.40,3.74
78.17,3.70
78.95,3.68
79.74,3.67
80.54,3.64
81.35,3.62
82.16,3.60
82.98,3.58
83.81,3.56
84.65,3.52
85.50,3.50
86.35,3.48
87.22,3.46
88.09,3.44
88.97,3.41
89.86,3.38
90.76,3.36
91.66,3.33
92.58,3.31
93.51,3.29
94.44,3.27
95.39,3.25
96.34,3.22
97.30,3.18
98.28,3.17
99.26,3.15
100.25,3.12
101.25,3.10
102.27,3.08
103.29,3.06
104.32,3.03
105.37,3.00
106.42,2.95
107.48,2.89
108.56,2.84
109.64,2.79
110.74,2.75
111.85,2.71
112.97,2.69
114.10,2.67
115.24,2.65
116.39,2.62
117.55,2.58
118.73,2.54
119.92,2.49
121.12,2.46
122.33,2.44
123.55,2.42
124.79,2.38
126.03,2.34
127.29,2.30
128.57,2.25
129.85,2.20
131.15,2.14
132.46,2.10
133.79,2.06
135.12,2.00
136.48,1.97
137.84,1.93
139.22,1.90
140.61,1.84
142.02,1.76
143.44,1.74
144.87,1.70
146.32,1.65
147.78,1.60
149.26,1.56
150.75,1.51
152.26,1.47
153.78,1.42
155.32,1.38
156.88,1.33
158.44,1.30
160.03,1.26
161.63,1.22
163.24,1.18
164.88,1.12
166.53,1.08
168.19,1.04
169.87,0.97
171.57,0.93
173.29,0.89
175.02,0.83
176.77,0.78
178.54,0.73
180.32,0.69
182.13,0.64
183.95,0.56
185.79,0.52
187.65,0.49
189.52,0.45
191.42,0.40
193.33,0.36
195.27,0.31
197.22,0.25
199.19,0.21
201.18,0.16
203.19,0.11
205.23,0.06
207.28,0.00
209.35,-0.05
211.44,-0.12
213.56,-0.16
215.69,-0.20
217.85,-0.25
220.03,-0.29
222.23,-0.35
224.45,-0.41
226.70,-0.47
228.96,-0.54
231.25,-0.57
233.57,-0.62
235.90,-0.68
238.26,-0.72
240.64,-0.78
243.05,-0.83
245.48,-0.87
247.93,-0.92
250.41,-0.95
252.92,-1.02
255.45,-1.07
258.00,-1.11
260.58,-1.17
263.19,-1.22
265.82,-1.27
268.48,-1.32
271.16,-1.37
273.87,-1.45
276.61,-1.50
279.38,-1.56
282.17,-1.61
284.99,-1.65
287.84,-1.72
290.72,-1.77
293.63,-1.81
296.57,-1.84
299.53,-1.87
302.53,-1.89
305.55,-1.90
308.61,-1.93
311.69,-1.96
314.81,-1.98
317.96,-2.00
321.14,-2.03
324.35,-2.06
327.59,-2.09
330.87,-2.12
334.18,-2.16
337.52,-2.20
340.90,-2.22
344.30,-2.25
347.75,-2.28
351.23,-2.31
354.74,-2.35
358.28,-2.39
361.87,-2.41
365.49,-2.44
369.14,-2.47
372.83,-2.49
376.56,-2.54
380.33,-2.57
384.13,-2.60
387.97,-2.62
391.85,-2.65
395.77,-2.66
399.73,-2.69
403.72,-2.71
407.76,-2.74
411.84,-2.76
415.96,-2.78
420.12,-2.81
424.32,-2.84
428.56,-2.88
432.85,-2.92
437.18,-2.95
441.55,-2.98
445.96,-3.01
450.42,-3.04
454.93,-3.06
459.48,-3.07
464.07,-3.07
468.71,-3.07
473.40,-3.06
478.13,-3.07
482.91,-3.06
487.74,-3.06
492.62,-3.06
497.55,-3.07
502.52,-3.07
507.55,-3.07
512.62,-3.07
517.75,-3.08
522.93,-3.08
528.16,-3.08
533.44,-3.08
538.77,-3.09
544.16,-3.09
549.60,-3.09
555.10,-3.09
560.65,-3.09
566.25,-3.09
571.92,-3.10
577.64,-3.10
583.41,-3.10
589.25,-3.10
595.14,-3.11
601.09,-3.11
607.10,-3.11
613.17,-3.12
619.30,-3.12
625.50,-3.12
631.75,-3.12
638.07,-3.13
644.45,-3.13
650.89,-3.14
657.40,-3.14
663.98,-3.16
670.62,-3.16
677.32,-3.16
684.10,-3.15
690.94,-3.14
697.85,-3.11
704.83,-3.10
711.87,-3.07
