frequency,raw
20.00,4.77
20.20,4.82
20.40,4.86
20.61,4.89
20.81,4.93
21.02,4.96
21.23,4.98
21.44,5.00
21.66,5.02
21.87,5.03
22.09,5.04
22.31,5.04
22.54,5.03
22.76,5.03
22.99,5.01
23.22,5.00
23.45,4.98
23.69,4.96
23.92,4.93
24.16,4.91
24.40,4.88
24.65,4.86
24.89,4.84
25.14,4.83
25.39,4.83
25.65,4.82
25.91,4.81
26.16,4.79
26.43,4.78
26.69,4.77
26.96,4.75
27.23,4.74
27.50,4.71
27.77,4.68
28.05,4.66
28.33,4.62
28.62,4.60
28.90,4.59
29.19,4.57
29.48,4.55
29.78,4.54
30.08,4.52
30.38,4.52
30.68,4.50
30.99,4.49
31.30,4.47
31.61,4.46
31.93,4.43
32.24,4.41
32.57,4.39
32.89,4.37
33.22,4.34
33.55,4.31
33.89,4.28
34.23,4.24
34.57,4.21
34.92,4.17
35.27,4.14
35.62,4.12
35.97,4.10
36.33,4.08
36.70,4.06
37.06,4.04
37.43,4.02
37.81,3.98
38.19,3.95
38.57,3.92
38.95,3.89
39.34,3.87
39.74,3.84
40.14,3.84
40.54,3.83
40.94,3.80
41.35,3.77
41.76,3.73
42.18,3.69
42.60,3.65
43.03,3.59
43.46,3.55
43.90,3.52
44.33,3.49
44.78,3.47
45.23,3.45
45.68,3.44
46.13,3.41
46.60,3.38
47.06,3.34
47.53,3.32
48.01,3.28
48.49,3.25
48.97,3.22
49.46,3.20
49.96,3.18
50.46,3.16
50.96,3.14
51.47,3.10
51.99,3.07
52.51,3.04
53.03,3.00
53.56,2.97
54.10,2.92
54.64,2.89
55.18,2.86
55.74,2.85
56.29,2.83
56.86,2.80
57.42,2.77
58.00,2.72
58.58,2.68
59.16,2.64
59.76,2.59
60.35,2.55
60.96,2.51
61.57,2.49
62.18,2.47
62.80,2.45
63.43,2.43
64.07,2.39
64.71,2.35
65.35,2.31
66.01,2.27
66.67,2.23
67.33,2.19
68.01,2.16
68.69,2.14
69.37,2.12
70.07,2.11
70.77,2.08
71.48,2.04
72.19,2.01
72.91,1.97
73.64,1.93
74.38,1.89
75.12,1.86
75.87,1.83
76.63,1.81
77.40,1.80
78.17,1.76
78.95,1.73
79.74,1.69
