frequency,raw
20.00,8.52
20.20,8.56
20.40,8.59
20.61,8.62
20.81,8.65
21.02,8.68
21.23,8.71
21.44,8.74
21.66,8.77
21.87,8.79
22.09,8.82
22.31,8.84
22.54,8.86
22.76,8.88
22.99,8.90
23.22,8.92
23.45,8.94
23.69,8.96
23.92,8.97
24.16,8.98
24.40,8.99
24.65,9.01
24.89,9.02
25.14,9.03
25.39,9.05
25.65,9.06
25.91,9.08
26.16,9.09
26.43,9.09
26.69,9.11
26.96,9.12
27.23,9.14
27.50,9.15
27.77,9.15
28.05,9.17
28.33,9.17
28.62,9.18
28.90,9.19
29.19,9.19
29.48,9.20
29.78,9.21
30.08,9.21
30.38,9.22
30.68,9.23
30.99,9.23
31.30,9.23
31.61,9.24
31.93,9.24
32.24,9.24
32.57,9.25
32.89,9.25
33.22,9.25
33.55,9.25
33.89,9.25
34.23,9.25
34.57,9.26
34.92,9.26
35.27,9.26
35.62,9.26
35.97,9.26
36.33,9.26
36.70,9.26
37.06,9.26
37.43,9.27
37.81,9.27
38.19,9.27
38.57,9.28
38.95,9.28
39.34,9.29
39.74,9.29
40.14,9.30
40.54,9.30
40.94,9.30
41.35,9.30
41.76,9.30
42.18,9.30
42.60,9.30
43.03,9.29
43.46,9.29
43.90,9.29
44.33,9.29
44.78,9.29
45.23,9.29
45.68,9.29
46.13,9.29
46.60,9.29
47.06,9.29
47.53,9.30
48.01,9.30
48.49,9.30
48.97,9.30
49.46,9.30
49.96,9.31
50.46,9.31
50.96,9.31
51.47,9.30
51.99,9.31
52.51,9.32
53.03,9.32
53.56,9.31
54.10,9.30
54.64,9.29
55.18,9.29
55.74,9.28
56.29,9.25
56.86,9.23
57.42,9.22
58.00,9.19
58.58,9.17
59.16,9.16
59.76,9.13
60.35,9.11
60.96,9.09
61.57,9.07
62.18,9.04
62.80,9.03
63.43,9.01
64.07,8.99
64.71,8.97
65.35,8.95
66.01,8.94
66.67,8.93
67.33,8.92
68.01,8.91
68.69,8.90
69.37,8.90
70.07,8.91
70.77,8.92
71.48,8.91
72.19,8.92
72.91,8.92
73.64,8.92
74.38,8.91
75.12,8.91
75.87,8.92
76.63,8.92
77.40,8.92
78.17,8.91
78.95,8.90
79.74,8.89
80.54,8.86
81.35,8.84
82.16,8.82
82.98,8.79
83.81,8.77
84.65,8.73
85.50,8.70
86.35,8.67
87.22,8.66
88.09,8.64
88.97,8.61
89.86,8.58
90.76,8.56
91.66,8.53
92.58,8.50
93.51,8.47
94.44,8.45
95.39,8.43
96.34,8.40
97.30,8.37
98.28,8.34
99.26,8.32
100.25,8.29
101.25,8.25
102.27,8.22
103.29,8.20
104.32,8.17
105.37,8.13
106.42,8.10
107.48,8.06
108.56,8.03
109.64,8.00
110.74,7.98
111.85,7.95
112.97,7.91
114.10,7.88
115.24,7.85
116.39,7.83
117.55,7.79
118.73,7.76
119.92,7.73
121.12,7.70
122.33,7.68
123.55,7.66
124.79,7.62
126.03,7.57
127.29,7.53
128.57,7.50
129.85,7.45
131.15,7.40
132.46,7.37
133.79,7.34
135.12,7.33
136.48,7.31
137.84,7.27
139.22,7.23
140.61,7.18
142.02,7.10
143.44,7.07
144.87,7.03
146.32,6.99
147.78,6.96
149.26,6.94
150.75,6.89
152.26,6.85
153.78,6.80
155.32,6.75
156.88,6.70
158.44,6.68
160.03,6.63
161.63,6.61
163.24,6.56
164.88,6.50
166.53,6.46
168.19,6.42
169.87,6.36
171.57,6.31
173.29,6.27
175.02,6.20
176.77,6.15
178.54,6.11
180.32,6.07
182.13,6.04
183.95,5.98
185.79,5.94
187.65,5.90
189.52,5.86
191.42,5.82
193.33,5.78
195.27,5.73
197.22,5.70
199.19,5.66
201.18,5.60
203.19,5.56
205.23,5.52
207.28,5.47
209.35,5.43
211.44,5.36
213.56,5.29
215.69,5.24
217.85,5.18
220.03,5.14
222.23,5.10
224.45,5.03
226.70,4.94
228.96,4.85
231.25,4.80
233.57,4.74
235.90,4.68
238.26,4.64
240.64,4.58
243.05,4.52
245.48,4.45
247.93,4.39
250.41,4.35
252.92,4.29
255.45,4.25
258.00,4.21
260.58,4.15
263.19,4.10
265.82,4.05
268.48,4.00
271.16,3.95
273.87,3.89
276.61,3.84
279.38,3.81
282.17,3.78
284.99,3.77
287.84,3.74
290.72,3.71
293.63,3.68
296.57,3.65
299.53,3.60
302.53,3.58
305.55,3.55
308.61,3.52
311.69,3.49
314.81,3.46
317.96,3.44
321.14,3.40
324.35,3.37
327.59,3.33
330.87,3.29
334.18,3.25
337.52,3.22
340.90,3.20
344.30,3.18
347.75,3.15
351.23,3.11
354.74,3.06
358.28,3.01
361.87,2.96
365.49,2.91
369.14,2.85
372.83,2.80
376.56,2.74
380.33,2.70
384.13,2.65
387.97,2.60
391.85,2.53
395.77,2.47
399.73,2.39
403.72,2.32
407.76,2.24
411.84,2.18
415.96,2.11
420.12,2.04
424.32,1.95
428.56,1.88
432.85,1.81
437.18,1.74
441.55,1.69
445.96,1.61
450.42,1.53
454.93,1.46
459.48,1.40
464.07,1.35
468.71,1.29
473.40,1.22
478.13,1.15
482.91,1.09
487.74,1.04
492.62,0.98
497.55,0.90
502.52,0.84
507.55,0.78
512.62,0.72
517.75,0.65
522.93,0.58
528.16,0.52
533.44,0.47
538.77,0.39
544.16,0.32
549.60,0.26
555.10,0.18
560.65,0.12
566.25,0.06
571.92,-0.02
577.64,-0.08
583.41,-0.13
589.25,-0.19
595.14,-0.26
601.09,-0.31
607.10,-0.37
613.17,-0.43
619.30,-0.48
625.50,-0.53
631.75,-0.60
638.07,-0.66
644.45,-0.72
650.89,-0.77
657.40,-0.83
663.98,-0.90
670.62,-0.97
677.32,-1.03
684.10,-1.08
690.94,-1.14
697.85,-1.20
704.83,-1.27
711.87,-1.33
718.99,-1.39
726.18,-1.45
733.44,-1.49
740.78,-1.53
748.19,-1.58
755.67,-1.63
763.23,-1.69
770.86,-1.74
778.57,-1.78
786.35,-1.83
794.22,-1.86
802.16,-1.90
810.18,-1.93
818.28,-1.95
826.46,-1.97
834.73,-2.00
843.08,-2.04
851.51,-2.07
860.02,-2.11
868.62,-2.14
877.31,-2.16
886.08,-2.17
894.94,-2.17
903.89,-2.18
912.93,-2.19
922.06,-2.19
931.28,-2.18
940.59,-2.17
950.00,-2.13
959.50,-2.10
969.09,-2.05
978.78,-2.01
988.57,-1.97
998.46,-1.93
1008.44,-1.91
1018.53,-1.88
1028.71,-1.85
1039.00,-1.82
1049.39,-1.79
1059.88,-1.76
1070.48,-1.72
1081.19,-1.67
1092.00,-1.61
1102.92,-1.52
1113.95,-1.42
1125.09,-1.31
1136.34,-1.20
1147.70,-1.07
1159.18,-0.94
1170.77,-0.81
1182.48,-0.69
1194.30,-0.59
1206.25,-0.49
1218.31,-0.38
1230.49,-0.27
1242.80,-0.16
1255.22,-0.06
1267.78,0.03
1280.45,0.12
1293.26,0.22
1306.19,0.31
1319.25,0.42
1332.45,0.52
1345.77,0.62
1359.23,0.73
1372.82,0.83
1386.55,0.94
1400.41,1.04
1414.42,1.16
1428.56,1.26
1442.85,1.36
1457.28,1.49
1471.85,1.61
1486.57,1.72
1501.43,1.84
1516.45,1.95
1531.61,2.08
1546.93,2.23
1562.40,2.35
1578.02,2.50
1593.80,2.64
1609.74,2.78
1625.84,2.92
1642.10,3.07
1658.52,3.23
1675.10,3.39
1691.85,3.54
1708.77,3.70
1725.86,3.87
1743.12,4.04
1760.55,4.20
1778.15,4.38
1795.94,4.54
1813.90,4.70
1832.03,4.86
1850.36,5.02
1868.86,5.18
1887.55,5.32
1906.42,5.45
1925.49,5.58
1944.74,5.71
1964.19,5.83
1983.83,5.94
2003.67,6.05
2023.71,6.16
2043.94,6.25
2064.38,6.33
2085.03,6.40
2105.88,6.48
