frequency,raw
20.00,0.67
20.20,0.74
20.40,0.81
20.61,0.87
20.81,0.93
21.02,0.99
21.23,1.04
21.44,1.09
21.66,1.14
21.87,1.18
22.09,1.22
22.31,1.25
22.54,1.28
22.76,1.31
22.99,1.33
23.22,1.34
23.45,1.35
23.69,1.35
23.92,1.34
24.16,1.34
24.40,1.33
24.65,1.34
24.89,1.35
25.14,1.37
25.39,1.39
25.65,1.41
25.91,1.45
26.16,1.48
26.43,1.51
26.69,1.55
26.96,1.58
27.23,1.62
27.50,1.65
27.77,1.68
28.05,1.71
28.33,1.73
28.62,1.75
28.90,1.77
29.19,1.78
29.48,1.78
29.78,1.77
30.08,1.76
30.38,1.77
30.68,1.77
30.99,1.77
31.30,1.77
31.61,1.78
31.93,1.78
32.24,1.78
32.57,1.79
32.89,1.79
33.22,1.79
33.55,1.80
33.89,1.80
34.23,1.80
34.57,1.81
34.92,1.81
35.27,1.81
35.62,1.82
35.97,1.82
36.33,1.82
36.70,1.82
37.06,1.82
37.43,1.83
37.81,1.83
38.19,1.83
38.57,1.84
38.95,1.84
39.34,1.85
39.74,1.85
40.14,1.86
40.54,1.86
40.94,1.86
41.35,1.86
41.76,1.86
42.18,1.86
42.60,1.86
43.03,1.85
43.46,1.85
43.90,1.85
44.33,1.85
44.78,1.85
45.23,1.85
45.68,1.85
46.13,1.85
46.60,1.85
47.06,1.85
47.53,1.86
48.01,1.86
48.49,1.86
48.97,1.86
49.46,1.86
49.96,1.86
50.46,1.86
50.96,1.86
51.47,1.85
51.99,1.85
52.51,1.85
53.03,1.85
53.56,1.85
54.10,1.84
54.64,1.84
55.18,1.84
55.74,1.85
56.29,1.85
56.86,1.85
57.42,1.84
58.00,1.82
58.58,1.80
59.16,1.78
59.76,1.74
60.35,1.71
60.96,1.68
61.57,1.65
62.18,1.62
62.80,1.59
63.43,1.56
64.07,1.54
64.71,1.51
65.35,1.49
66.01,1.48
66.67,1.47
67.33,1.46
68.01,1.46
68.69,1.47
69.37,1.48
70.07,1.49
70.77,1.50
71.48,1.49
72.19,1.49
72.91,1.47
73.64,1.46
74.38,1.43
75.12,1.40
75.87,1.36
76.63,1.33
77.40,1.30
78.17,1.26
78.95,1.23
79.74,1.20
80.54,1.16
81.35,1.14
82.16,1.12
82.98,1.11
83.81,1.11
84.65,1.10
85.50,1.10
86.35,1.10
87.22,1.10
88.09,1.08
88.97,1.06
89.86,1.04
90.76,1.01
91.66,0.98
92.58,0.95
93.51,0.92
94.44,0.89
95.39,0.86
96.34,0.83
97.30,0.79
98.28,0.77
99.26,0.76
100.25,0.74
101.25,0.74
102.27,0.74
103.29,0.75
104.32,0.75
105.37,0.75
106.42,0.75
107.48,0.74
108.56,0.74
109.64,0.74
110.74,0.74
111.85,0.74
112.97,0.73
114.10,0.73
115.24,0.74
116.39,0.74
117.55,0.74
118.73,0.74
119.92,0.74
121.12,0.74
122.33,0.71
123.55,0.70
124.79,0.68
126.03,0.66
127.29,0.63
128.57,0.59
129.85,0.55
131.15,0.51
132.46,0.45
133.79,0.39
135.12,0.34
136.48,0.29
137.84,0.24
139.22,0.20
140.61,0.17
142.02,0.12
143.44,0.08
144.87,0.05
146.32,-0.00
147.78,-0.03
149.26,-0.07
150.75,-0.12
152.26,-0.15
153.78,-0.18
155.32,-0.21
156.88,-0.23
158.44,-0.25
160.03,-0.27
161.63,-0.29
163.24,-0.32
164.88,-0.34
166.53,-0.36
168.19,-0.38
169.87,-0.40
171.57,-0.42
173.29,-0.43
175.02,-0.45
176.77,-0.49
178.54,-0.52
180.32,-0.56
182.13,-0.60
183.95,-0.65
185.79,-0.70
187.65,-0.74
189.52,-0.78
191.42,-0.81
193.33,-0.85
195.27,-0.88
197.22,-0.91
199.19,-0.95
201.18,-1.00
203.19,-1.05
205.23,-1.10
207.28,-1.13
209.35,-1.17
211.44,-1.21
213.56,-1.24
215.69,-1.28
217.85,-1.32
220.03,-1.37
222.23,-1.42
224.45,-1.47
226.70,-1.51
228.96,-1.56
231.25,-1.59
233.57,-1.61
235.90,-1.64
238.26,-1.66
240.64,-1.70
243.05,-1.73
245.48,-1.76
247.93,-1.77
250.41,-1.78
252.92,-1.79
255.45,-1.79
258.00,-1.78
260.58,-1.79
263.19,-1.79
265.82,-1.79
268.48,-1.80
271.16,-1.80
273.87,-1.79
276.61,-1.80
279.38,-1.79
282.17,-1.80
284.99,-1.80
287.84,-1.81
290.72,-1.82
293.63,-1.84
296.57,-1.86
299.53,-1.90
302.53,-1.93
305.55,-1.96
308.61,-1.99
311.69,-2.01
314.81,-2.05
317.96,-2.08
321.14,-2.13
324.35,-2.17
327.59,-2.21
330.87,-2.25
334.18,-2.29
337.52,-2.31
340.90,-2.34
344.30,-2.37
347.75,-2.40
351.23,-2.44
354.74,-2.49
358.28,-2.54
361.87,-2.59
365.49,-2.63
369.14,-2.68
372.83,-2.72
376.56,-2.76
380.33,-2.78
384.13,-2.79
387.97,-2.81
391.85,-2.84
395.77,-2.86
399.73,-2.90
403.72,-2.92
407.76,-2.95
411.84,-2.97
415.96,-3.00
420.12,-3.02
424.32,-3.05
428.56,-3.09
432.85,-3.12
437.18,-3.15
441.55,-3.18
445.96,-3.20
450.42,-3.23
454.93,-3.25
459.48,-3.26
464.07,-3.27
468.71,-3.28
473.40,-3.27
478.13,-3.28
482.91,-3.27
487.74,-3.27
492.62,-3.26
497.55,-3.27
502.52,-3.26
507.55,-3.25
512.62,-3.25
517.75,-3.26
522.93,-3.27
528.16,-3.29
533.44,-3.31
538.77,-3.34
544.16,-3.37
549.60,-3.40
555.10,-3.43
560.65,-3.46
566.25,-3.49
571.92,-3.53
577.64,-3.56
583.41,-3.59
589.25,-3.61
595.14,-3.65
601.09,-3.67
607.10,-3.68
613.17,-3.69
619.30,-3.68
625.50,-3.66
631.75,-3.63
638.07,-3.62
644.45,-3.59
650.89,-3.56
657.40,-3.53
663.98,-3.51
670.62,-3.48
677.32,-3.45
684.10,-3.42
690.94,-3.39
697.85,-3.37
704.83,-3.36
711.87,-3.34
718.99,-3.33
726.18,-3.34
733.44,-3.35
740.78,-3.37
748.19,-3.37
755.67,-3.37
763.23,-3.37
770.86,-3.35
778.57,-3.33
786.35,-3.30
794.22,-3.27
802.16,-3.24
810.18,-3.22
818.28,-3.20
826.46,-3.16
834.73,-3.12
843.08,-3.07
851.51,-3.02
860.02,-2.97
868.62,-2.92
877.31,-2.88
886.08,-2.84
894.94,-2.79
903.89,-2.74
912.93,-2.68
922.06,-2.61
931.28,-2.54
940.59,-2.47
950.00,-2.38
959.50,-2.30
969.09,-2.21
978.78,-2.13
988.57,-2.04
998.46,-1.95
1008.44,-1.85
1018.53,-1.73
1028.71,-1.61
1039.00,-1.49
1049.39,-1.35
1059.88,-1.22
1070.48,-1.08
1081.19,-0.96
1092.00,-0.83
1102.92,-0.67
1113.95,-0.51
1125.09,-0.35
1136.34,-0.20
1147.70,-0.05
1159.18,0.10
1170.77,0.26
1182.48,0.42
1194.30,0.57
1206.25,0.73
1218.31,0.88
1230.49,1.04
1242.80,1.20
1255.22,1.35
1267.78,1.50
1280.45,1.64
1293.26,1.78
1306.19,1.92
1319.25,2.06
1332.45,2.18
1345.77,2.30
1359.23,2.43
1372.82,2.57
1386.55,2.69
1400.41,2.81
1414.42,2.93
1428.56,3.05
1442.85,3.16
1457.28,3.27
1471.85,3.37
1486.57,3.48
1501.43,3.59
