frequency,raw
20.00,15.96
20.20,16.01
20.40,16.05
20.61,16.09
20.81,16.12
21.02,16.16
21.23,16.20
21.44,16.24
21.66,16.28
21.87,16.31
22.09,16.35
22.31,16.38
22.54,16.40
22.76,16.43
22.99,16.46
23.22,16.49
23.45,16.51
23.69,16.54
23.92,16.55
24.16,16.58
24.40,16.60
24.65,16.63
24.89,16.64
25.14,16.67
25.39,16.70
25.65,16.72
25.91,16.74
26.16,16.76
26.43,16.77
26.69,16.79
26.96,16.81
27.23,16.83
27.50,16.85
27.77,16.86
28.05,16.88
28.33,16.89
28.62,16.90
28.90,16.93
29.19,16.94
29.48,16.95
29.78,16.96
30.08,16.97
30.38,16.99
30.68,17.00
30.99,17.01
31.30,17.02
31.61,17.03
31.93,17.04
32.24,17.04
32.57,17.05
32.89,17.05
33.22,17.05
33.55,17.07
33.89,17.08
34.23,17.08
34.57,17.10
34.92,17.10
35.27,17.10
35.62,17.11
35.97,17.11
36.33,17.11
36.70,17.10
37.06,17.10
37.43,17.11
37.81,17.11
38.19,17.11
38.57,17.13
38.95,17.13
39.34,17.14
39.74,17.14
40.14,17.15
40.54,17.14
40.94,17.13
41.35,17.13
41.76,17.12
42.18,17.12
42.60,17.11
43.03,17.09
43.46,17.08
43.90,17.06
44.33,17.05
44.78,17.04
45.23,17.02
45.68,17.00
46.13,16.99
46.60,16.98
47.06,16.97
47.53,16.97
48.01,16.96
48.49,16.95
48.97,16.93
49.46,16.91
49.96,16.89
50.46,16.87
50.96,16.85
51.47,16.82
51.99,16.79
52.51,16.77
53.03,16.75
53.56,16.73
54.10,16.70
54.64,16.67
55.18,16.65
55.74,16.64
56.29,16.61
56.86,16.60
57.42,16.60
58.00,16.58
58.58,16.56
59.16,16.55
59.76,16.52
60.35,16.49
60.96,16.46
61.57,16.44
62.18,16.41
62.80,16.39
63.43,16.36
64.07,16.34
64.71,16.31
65.35,16.29
66.01,16.28
66.67,16.27
67.33,16.26
68.01,16.25
68.69,16.22
69.37,16.19
70.07,16.17
70.77,16.13
71.48,16.09
72.19,16.06
72.91,16.03
73.64,16.01
74.38,15.97
75.12,15.95
75.87,15.91
76.63,15.88
77.40,15.85
78.17,15.81
78.95,15.76
79.74,15.72
80.54,15.67
81.35,15.64
82.16,15.60
82.98,15.56
83.81,15.52
84.65,15.47
85.50,15.44
86.35,15.40
87.22,15.36
88.09,15.33
88.97,15.29
89.86,15.26
90.76,15.21
91.66,15.17
92.58,15.14
93.51,15.11
94.44,15.07
95.39,15.02
96.34,14.96
97.30,14.89
98.28,14.84
99.26,14.79
100.25,14.74
101.25,14.69
102.27,14.64
103.29,14.60
104.32,14.55
105.37,14.48
106.42,14.43
107.48,14.37
108.56,14.31
109.64,14.25
110.74,14.19
111.85,14.12
112.97,14.05
114.10,14.00
115.24,13.94
116.39,13.90
117.55,13.83
118.73,13.76
119.92,13.69
121.12,13.65
122.33,13.61
123.55,13.57
124.79,13.50
126.03,13.44
127.29,13.40
128.57,13.36
129.85,13.32
131.15,13.27
132.46,13.22
133.79,13.17
135.12,13.11
136.48,13.08
137.84,13.04
139.22,13.00
140.61,12.94
142.02,12.85
143.44,12.81
144.87,12.76
146.32,12.71
147.78,12.66
149.26,12.61
150.75,12.53
152.26,12.48
153.78,12.41
155.32,12.34
156.88,12.28
158.44,12.23
160.03,12.14
161.63,12.08
163.24,12.01
164.88,11.92
166.53,11.84
168.19,11.77
169.87,11.66
171.57,11.58
173.29,11.50
175.02,11.38
176.77,11.29
178.54,11.22
180.32,11.14
182.13,11.06
183.95,10.95
185.79,10.87
187.65,10.79
189.52,10.72
191.42,10.66
193.33,10.60
195.27,10.55
197.22,10.51
199.19,10.47
201.18,10.42
203.19,10.38
205.23,10.35
207.28,10.34
209.35,10.32
211.44,10.29
213.56,10.30
215.69,10.33
217.85,10.36
220.03,10.37
222.23,10.39
224.45,10.40
226.70,10.41
228.96,10.41
231.25,10.42
233.57,10.43
235.90,10.42
238.26,10.42
240.64,10.39
243.05,10.37
245.48,10.33
247.93,10.29
250.41,10.24
252.92,10.17
255.45,10.12
258.00,10.08
260.58,10.01
263.19,9.96
265.82,9.89
268.48,9.80
271.16,9.73
273.87,9.64
276.61,9.54
279.38,9.46
282.17,9.36
284.99,9.28
287.84,9.17
290.72,9.07
293.63,8.97
296.57,8.88
299.53,8.78
302.53,8.69
305.55,8.60
308.61,8.50
311.69,8.41
314.81,8.32
317.96,8.24
321.14,8.14
324.35,8.06
327.59,7.96
330.87,7.88
334.18,7.79
337.52,7.69
340.90,7.60
344.30,7.53
347.75,7.45
351.23,7.36
354.74,7.27
358.28,7.18
361.87,7.10
365.49,7.01
369.14,6.93
372.83,6.85
376.56,6.74
380.33,6.65
384.13,6.56
387.97,6.49
391.85,6.40
395.77,6.32
399.73,6.23
403.72,6.15
407.76,6.06
411.84,5.97
415.96,5.87
420.12,5.80
424.32,5.71
428.56,5.62
432.85,5.54
437.18,5.46
441.55,5.39
445.96,5.31
450.42,5.22
454.93,5.15
459.48,5.06
464.07,4.98
468.71,4.91
473.40,4.82
478.13,4.73
482.91,4.66
487.74,4.58
492.62,4.50
497.55,4.41
502.52,4.33
507.55,4.25
512.62,4.18
517.75,4.09
522.93,4.00
528.16,3.91
533.44,3.85
538.77,3.77
544.16,3.68
549.60,3.61
555.10,3.52
560.65,3.44
566.25,3.36
571.92,3.27
577.64,3.19
583.41,3.10
589.25,3.02
595.14,2.92
601.09,2.83
607.10,2.75
613.17,2.66
619.30,2.58
625.50,2.48
631.75,2.38
