frequency,raw
20.00,0.85
20.20,0.89
20.40,0.93
20.61,0.96
20.81,1.00
21.02,1.03
21.23,1.06
21.44,1.10
21.66,1.13
21.87,1.15
22.09,1.19
22.31,1.21
22.54,1.24
22.76,1.26
22.99,1.29
23.22,1.31
23.45,1.34
23.69,1.36
23.92,1.38
24.16,1.40
24.40,1.41
24.65,1.44
24.89,1.45
25.14,1.48
25.39,1.50
25.65,1.52
25.91,1.54
26.16,1.56
26.43,1.57
26.69,1.59
26.96,1.61
27.23,1.63
27.50,1.65
27.77,1.67
28.05,1.69
28.33,1.71
28.62,1.72
28.90,1.75
29.19,1.76
29.48,1.77
29.78,1.79
30.08,1.80
30.38,1.83
30.68,1.84
30.99,1.86
31.30,1.88
31.61,1.91
31.93,1.93
32.24,1.94
32.57,1.96
32.89,1.98
33.22,1.99
33.55,2.01
33.89,2.02
34.23,2.03
34.57,2.06
34.92,2.08
35.27,2.09
35.62,2.11
35.97,2.13
36.33,2.14
36.70,2.16
37.06,2.17
37.43,2.19
37.81,2.20
38.19,2.20
38.57,2.22
38.95,2.23
39.34,2.25
39.74,2.26
40.14,2.28
40.54,2.30
40.94,2.31
41.35,2.32
41.76,2.33
42.18,2.33
42.60,2.34
43.03,2.34
43.46,2.34
43.90,2.35
44.33,2.35
44.78,2.36
45.23,2.36
45.68,2.36
46.13,2.36
46.60,2.35
47.06,2.35
47.53,2.35
48.01,2.34
48.49,2.34
48.97,2.34
49.46,2.34
49.96,2.34
50.46,2.34
50.96,2.34
51.47,2.33
51.99,2.33
52.51,2.33
53.03,2.33
53.56,2.33
54.10,2.32
54.64,2.32
55.18,2.32
55.74,2.32
56.29,2.31
56.86,2.31
57.42,2.31
58.00,2.30
58.58,2.30
59.16,2.30
59.76,2.29
60.35,2.29
60.96,2.29
61.57,2.29
62.18,2.29
62.80,2.29
63.43,2.29
64.07,2.29
64.71,2.29
65.35,2.29
66.01,2.29
66.67,2.29
67.33,2.29
68.01,2.29
68.69,2.29
69.37,2.29
70.07,2.29
70.77,2.29
71.48,2.28
72.19,2.28
72.91,2.28
73.64,2.28
74.38,2.27
75.12,2.27
75.87,2.26
76.63,2.26
77.40,2.26
78.17,2.25
78.95,2.25
79.74,2.25
80.54,2.24
81.35,2.24
82.16,2.24
82.98,2.24
83.81,2.24
84.65,2.24
85.50,2.24
86.35,2.24
87.22,2.25
88.09,2.25
88.97,2.25
89.86,2.24
90.76,2.23
91.66,2.22
92.58,2.19
93.51,2.16
94.44,2.14
95.39,2.11
96.34,2.08
97.30,2.03
98.28,2.00
99.26,1.97
100.25,1.94
101.25,1.91
102.27,1.90
103.29,1.89
104.32,1.88
105.37,1.87
106.42,1.87
107.48,1.87
108.56,1.88
109.64,1.88
110.74,1.88
111.85,1.88
112.97,1.87
114.10,1.87
115.24,1.87
116.39,1.87
117.55,1.86
118.73,1.86
119.92,1.86
121.12,1.86
122.33,1.85
123.55,1.85
124.79,1.84
126.03,1.84
127.29,1.83
128.57,1.83
129.85,1.85
131.15,1.85
132.46,1.84
133.79,1.84
135.12,1.82
136.48,1.81
137.84,1.77
139.22,1.75
140.61,1.72
142.02,1.67
143.44,1.64
144.87,1.60
146.32,1.57
147.78,1.54
149.26,1.51
150.75,1.47
152.26,1.46
153.78,1.44
155.32,1.43
156.88,1.44
158.44,1.45
160.03,1.46
161.63,1.46
163.24,1.45
164.88,1.46
166.53,1.46
168.19,1.47
169.87,1.45
171.57,1.44
173.29,1.43
175.02,1.40
176.77,1.36
178.54,1.34
180.32,1.31
182.13,1.28
183.95,1.23
185.79,1.20
187.65,1.17
189.52,1.14
191.42,1.12
193.33,1.10
195.27,1.09
197.22,1.09
199.19,1.10
201.18,1.10
203.19,1.10
205.23,1.08
207.28,1.07
209.35,1.04
211.44,1.00
213.56,0.97
215.69,0.93
217.85,0.89
220.03,0.86
222.23,0.83
224.45,0.80
226.70,0.77
228.96,0.74
231.25,0.73
233.57,0.72
235.90,0.71
238.26,0.70
240.64,0.68
243.05,0.66
245.48,0.62
247.93,0.58
250.41,0.55
252.92,0.49
255.45,0.46
258.00,0.43
260.58,0.39
263.19,0.37
265.82,0.35
268.48,0.32
271.16,0.31
273.87,0.29
276.61,0.26
279.38,0.24
282.17,0.21
284.99,0.19
287.84,0.14
290.72,0.11
293.63,0.09
296.57,0.06
299.53,0.02
302.53,-0.01
305.55,-0.04
308.61,-0.08
311.69,-0.11
314.81,-0.14
317.96,-0.16
321.14,-0.19
324.35,-0.22
327.59,-0.25
330.87,-0.30
334.18,-0.35
337.52,-0.40
340.90,-0.46
344.30,-0.51
347.75,-0.55
351.23,-0.58
354.74,-0.62
358.28,-0.65
361.87,-0.66
365.49,-0.69
369.14,-0.72
372.83,-0.76
376.56,-0.81
380.33,-0.84
384.13,-0.87
387.97,-0.90
391.85,-0.93
395.77,-0.96
399.73,-1.00
403.72,-1.02
407.76,-1.05
411.84,-1.07
415.96,-1.11
420.12,-1.14
424.32,-1.17
428.56,-1.20
432.85,-1.22
437.18,-1.25
441.55,-1.26
445.96,-1.29
450.42,-1.33
454.93,-1.37
459.48,-1.42
464.07,-1.47
468.71,-1.51
473.40,-1.56
478.13,-1.61
482.91,-1.64
487.74,-1.66
492.62,-1.68
497.55,-1.71
502.52,-1.75
507.55,-1.78
512.62,-1.82
517.75,-1.87
522.93,-1.90
528.16,-1.93
533.44,-1.95
538.77,-1.98
544.16,-2.00
549.60,-2.03
555.10,-2.07
560.65,-2.11
566.25,-2.16
571.92,-2.21
577.64,-2.25
583.41,-2.29
589.25,-2.32
595.14,-2.36
601.09,-2.39
607.10,-2.41
613.17,-2.44
619.30,-2.46
625.50,-2.49
631.75,-2.52
638.07,-2.57
644.45,-2.59
650.89,-2.61
657.40,-2.63
663.98,-2.66
670.62,-2.70
677.32,-2.73
684.10,-2.76
690.94,-2.79
697.85,-2.83
704.83,-2.86
711.87,-2.87
718.99,-2.88
726.18,-2.89
733.44,-2.88
740.78,-2.88
748.19,-2.87
755.67,-2.87
763.23,-2.88
770.86,-2.88
778.57,-2.88
786.35,-2.88
794.22,-2.87
802.16,-2.87
810.18,-2.87
818.28,-2.87
826.46,-2.86
834.73,-2.86
843.08,-2.85
851.51,-2.84
860.02,-2.85
868.62,-2.84
877.31,-2.83
886.08,-2.80
894.94,-2.76
903.89,-2.72
912.93,-2.68
922.06,-2.63
931.28,-2.58
940.59,-2.51
950.00,-2.42
959.50,-2.35
969.09,-2.26
978.78,-2.17
988.57,-2.06
998.46,-1.95
1008.44,-1.84
1018.53,-1.72
1028.71,-1.61
1039.00,-1.49
1049.39,-1.36
1059.88,-1.21
1070.48,-1.06
1081.19,-0.91
1092.00,-0.75
1102.92,-0.58
1113.95,-0.40
1125.09,-0.21
1136.34,-0.02
1147.70,0.18
1159.18,0.37
1170.77,0.56
1182.48,0.76
1194.30,0.96
1206.25,1.16
1218.31,1.36
1230.49,1.57
1242.80,1.76
1255.22,1.97
1267.78,2.18
1280.45,2.41
1293.26,2.63
1306.19,2.83
1319.25,3.03
1332.45,3.24
1345.77,3.46
1359.23,3.68
1372.82,3.89
1386.55,4.11
1400.41,4.31
1414.42,4.52
1428.56,4.73
1442.85,4.93
1457.28,5.14
1471.85,5.33
1486.57,5.52
1501.43,5.70
1516.45,5.88
1531.61,6.08
1546.93,6.27
1562.40,6.43
1578.02,6.60
1593.80,6.76
1609.74,6.92
1625.84,7.07
1642.10,7.23
1658.52,7.36
1675.10,7.49
1691.85,7.61
1708.77,7.73
1725.86,7.85
1743.12,7.94
1760.55,8.02
1778.15,8.10
1795.94,8.15
1813.90,8.20
1832.03,8.24
1850.36,8.27
1868.86,8.29
1887.55,8.30
1906.42,8.31
1925.49,8.33
1944.74,8.34
1964.19,8.34
1983.83,8.34
2003.67,8.34
2023.71,8.34
2043.94,8.33
2064.38,8.32
2085.03,8.30
2105.88,8.28
2126.94,8.27
2148.20,8.25
2169.69,8.22
2191.38,8.20
2213.30,8.19
2235.43,8.18
2257.78,8.19
2280.36,8.21
2303.17,8.24
2326.20,8.27
2349.46,8.34
2372.95,8.41
2396.68,8.48
2420.65,8.54
2444.86,8.61
2469.31,8.69
2494.00,8.76
2518.94,8.85
2544.13,8.96
2569.57,9.05
2595.27,9.13
2621.22,9.21
2647.43,9.28
2673.90,9.33
2700.64,9.39
2727.65,9.44
2754.93,9.46
2782.48,9.48
2810.30,9.48
2838.40,9.46
2866.79,9.42
2895.46,9.35
2924.41,9.28
2953.65,9.18
2983.19,9.07
3013.02,8.93
3043.15,8.79
3073.58,8.63
3104.32,8.47
3135.36,8.27
3166.72,8.04
3198.38,7.79
3230.37,7.53
