frequency,raw
20.00,-8.32
20.20,-8.21
20.40,-8.12
20.61,-8.02
20.81,-7.92
21.02,-7.82
21.23,-7.72
21.44,-7.62
21.66,-7.52
21.87,-7.44
22.09,-7.34
22.31,-7.25
22.54,-7.15
22.76,-7.06
22.99,-6.97
23.22,-6.88
23.45,-6.79
23.69,-6.71
23.92,-6.63
24.16,-6.54
24.40,-6.46
24.65,-6.37
24.89,-6.29
25.14,-6.20
25.39,-6.12
25.65,-6.04
25.91,-5.95
26.16,-5.87
26.43,-5.80
26.69,-5.71
26.96,-5.63
27.23,-5.55
27.50,-5.47
27.77,-5.39
28.05,-5.31
28.33,-5.23
28.62,-5.15
28.90,-5.07
29.19,-4.99
29.48,-4.92
29.78,-4.84
30.08,-4.77
30.38,-4.69
30.68,-4.62
30.99,-4.54
31.30,-4.48
31.61,-4.40
31.93,-4.34
32.24,-4.27
32.57,-4.20
32.89,-4.14
33.22,-4.08
33.55,-4.01
33.89,-3.95
34.23,-3.89
34.57,-3.82
34.92,-3.76
35.27,-3.70
35.62,-3.63
35.97,-3.57
36.33,-3.52
36.70,-3.46
37.06,-3.41
37.43,-3.34
37.81,-3.29
38.19,-3.23
38.57,-3.17
38.95,-3.12
39.34,-3.05
39.74,-3.00
40.14,-2.93
40.54,-2.87
40.94,-2.81
41.35,-2.75
41.76,-2.69
42.18,-2.63
42.60,-2.57
43.03,-2.53
43.46,-2.47
43.90,-2.40
44.33,-2.35
44.78,-2.29
45.23,-2.23
45.68,-2.16
46.13,-2.10
46.60,-2.04
47.06,-1.97
47.53,-1.91
48.01,-1.86
48.49,-1.81
48.97,-1.75
49.46,-1.71
49.96,-1.66
50.46,-1.61
50.96,-1.56
51.47,-1.53
51.99,-1.49
52.51,-1.45
53.03,-1.42
53.56,-1.38
54.10,-1.35
54.64,-1.31
55.18,-1.27
55.74,-1.22
56.29,-1.19
56.86,-1.16
57.42,-1.12
58.00,-1.10
58.58,-1.07
59.16,-1.04
59.76,-1.01
60.35,-0.98
60.96,-0.93
61.57,-0.89
62.18,-0.85
62.80,-0.81
63.43,-0.77
64.07,-0.72
64.71,-0.67
65.35,-0.63
66.01,-0.59
66.67,-0.56
67.33,-0.54
68.01,-0.51
68.69,-0.48
69.37,-0.45
70.07,-0.42
70.77,-0.38
71.48,-0.36
72.19,-0.33
72.91,-0.30
73.64,-0.27
74.38,-0.25
75.12,-0.23
75.87,-0.21
76.63,-0.19
77.40,-0.17
78.17,-0.15
78.95,-0.13
79.74,-0.09
80.54,-0.06
81.35,-0.02
82.16,0.02
82.98,0.05
83.81,0.08
84.65,0.10
85.50,0.12
86.35,0.14
87.22,0.16
88.09,0.18
88.97,0.20
89.86,0.21
90.76,0.23
91.66,0.24
92.58,0.26
