frequency,raw
20.00,3.36
20.20,3.39
20.40,3.41
20.61,3.42
20.81,3.44
21.02,3.46
21.23,3.48
21.44,3.50
21.66,3.51
21.87,3.52
22.09,3.54
22.31,3.55
22.54,3.55
22.76,3.56
22.99,3.57
23.22,3.58
23.45,3.59
23.69,3.59
23.92,3.59
24.16,3.60
24.40,3.60
24.65,3.60
24.89,3.60
25.14,3.61
25.39,3.61
25.65,3.61
25.91,3.61
26.16,3.61
26.43,3.61
26.69,3.61
26.96,3.61
27.23,3.62
27.50,3.61
27.77,3.61
28.05,3.62
28.33,3.61
28.62,3.61
28.90,3.61
29.19,3.61
29.48,3.61
29.78,3.60
30.08,3.60
30.38,3.62
30.68,3.62
30.99,3.63
31.30,3.63
31.61,3.63
31.93,3.63
32.24,3.63
32.57,3.63
32.89,3.62
33.22,3.62
33.55,3.62
33.89,3.61
34.23,3.60
34.57,3.60
34.92,3.59
35.27,3.58
35.62,3.58
35.97,3.57
36.33,3.56
36.70,3.54
37.06,3.53
37.43,3.53
37.81,3.52
38.19,3.50
38.57,3.50
38.95,3.49
39.34,3.49
39.74,3.47
40.14,3.47
40.54,3.45
40.94,3.44
41.35,3.43
41.76,3.42
42.18,3.41
42.60,3.40
43.03,3.38
43.46,3.37
43.90,3.36
44.33,3.36
44.78,3.36
45.23,3.36
45.68,3.36
46.13,3.36
46.60,3.36
47.06,3.36
47.53,3.38
48.01,3.38
48.49,3.38
48.97,3.38
49.46,3.37
49.96,3.36
50.46,3.35
50.96,3.33
51.47,3.31
51.99,3.29
52.51,3.27
53.03,3.26
53.56,3.24
54.10,3.21
54.64,3.19
55.18,3.17
55.74,3.16
56.29,3.13
56.86,3.11
57.42,3.09
58.00,3.06
58.58,3.05
59.16,3.04
59.76,3.01
60.35,3.01
60.96,3.01
61.57,3.00
62.18,3.00
62.80,2.99
63.43,2.99
64.07,2.98
64.71,2.98
65.35,2.97
66.01,2.96
66.67,2.94
67.33,2.92
68.01,2.90
68.69,2.87
69.37,2.85
70.07,2.83
70.77,2.80
71.48,2.77
72.19,2.74
72.91,2.72
73.64,2.70
74.38,2.67
75.12,2.66
75.87,2.64
76.63,2.64
77.40,2.64
78.17,2.63
78.95,2.64
79.74,2.64
80.54,2.62
81.35,2.61
82.16,2.60
82.98,2.58
83.81,2.56
84.65,2.51
85.50,2.49
86.35,2.46
87.22,2.43
88.09,2.40
88.97,2.37
89.86,2.34
90.76,2.32
91.66,2.30
92.58,2.28
93.51,2.27
94.44,2.27
95.39,2.28
96.34,2.30
97.30,2.30
98.28,2.29
99.26,2.27
100.25,2.25
101.25,2.23
102.27,2.21
103.29,2.19
104.32,2.16
105.37,2.13
106.42,2.09
107.48,2.04
108.56,2.00
109.64,1.98
110.74,1.96
111.85,1.94
112.97,1.92
114.10,1.92
115.24,1.93
116.39,1.92
117.55,1.90
118.73,1.89
119.92,1.85
121.12,1.82
122.33,1.79
123.55,1.76
124.79,1.71
126.03,1.67
127.29,1.64
128.57,1.62
129.85,1.59
131.15,1.57
132.46,1.55
133.79,1.52
135.12,1.50
136.48,1.49
137.84,1.45
139.22,1.43
140.61,1.40
142.02,1.35
143.44,1.32
144.87,1.29
146.32,1.27
147.78,1.24
149.26,1.23
150.75,1.19
152.26,1.18
153.78,1.16
155.32,1.14
156.88,1.11
158.44,1.09
160.03,1.06
161.63,1.04
163.24,1.01
164.88,0.96
166.53,0.93
168.19,0.90
169.87,0.83
171.57,0.80
173.29,0.77
175.02,0.73
176.77,0.68
178.54,0.66
180.32,0.62
182.13,0.58
183.95,0.50
185.79,0.45
187.65,0.38
189.52,0.32
191.42,0.25
193.33,0.19
195.27,0.14
197.22,0.08
199.19,0.02
201.18,-0.05
203.19,-0.10
205.23,-0.15
207.28,-0.17
209.35,-0.17
211.44,-0.17
213.56,-0.16
215.69,-0.13
217.85,-0.07
220.03,-0.03
222.23,0.05
224.45,0.15
226.70,0.25
228.96,0.36
231.25,0.44
233.57,0.56
235.90,0.69
238.26,0.79
240.64,0.91
243.05,1.00
245.48,1.12
247.93,1.26
250.41,1.33
252.92,1.43
255.45,1.49
258.00,1.56
260.58,1.61
263.19,1.64
265.82,1.66
268.48,1.66
271.16,1.66
273.87,1.64
276.61,1.60
279.38,1.56
282.17,1.50
284.99,1.44
287.84,1.37
290.72,1.32
293.63,1.28
296.57,1.22
299.53,1.15
302.53,1.09
305.55,1.04
308.61,0.98
311.69,0.93
314.81,0.87
317.96,0.83
321.14,0.77
324.35,0.74
327.59,0.70
330.87,0.68
334.18,0.64
337.52,0.59
340.90,0.54
344.30,0.51
347.75,0.48
351.23,0.45
354.74,0.41
358.28,0.38
361.87,0.35
365.49,0.32
369.14,0.29
372.83,0.28
376.56,0.24
380.33,0.24
384.13,0.24
387.97,0.24
391.85,0.24
395.77,0.26
399.73,0.26
403.72,0.26
407.76,0.25
411.84,0.24
415.96,0.22
420.12,0.19
424.32,0.16
428.56,0.13
432.85,0.09
437.18,0.06
441.55,0.02
445.96,-0.01
450.42,-0.04
454.93,-0.06
459.48,-0.08
464.07,-0.10
468.71,-0.12
473.40,-0.15
478.13,-0.18
482.91,-0.20
487.74,-0.21
492.62,-0.24
497.55,-0.29
502.52,-0.32
507.55,-0.34
512.62,-0.36
517.75,-0.40
522.93,-0.43
528.16,-0.47
533.44,-0.50
538.77,-0.54
544.16,-0.57
549.60,-0.60
555.10,-0.62
560.65,-0.64
566.25,-0.66
571.92,-0.70
577.64,-0.74
583.41,-0.78
589.25,-0.82
595.14,-0.87
601.09,-0.91
607.10,-0.95
613.17,-0.98
619.30,-1.00
625.50,-1.03
631.75,-1.06
638.07,-1.09
644.45,-1.11
650.89,-1.14
657.40,-1.18
663.98,-1.22
670.62,-1.25
677.32,-1.28
684.10,-1.29
690.94,-1.32
697.85,-1.36
704.83,-1.39
711.87,-1.42
718.99,-1.44
726.18,-1.47
733.44,-1.50
740.78,-1.54
748.19,-1.57
755.67,-1.60
763.23,-1.63
770.86,-1.65
778.57,-1.68
786.35,-1.71
794.22,-1.72
802.16,-1.75
810.18,-1.78
818.28,-1.82
826.46,-1.85
834.73,-1.88
843.08,-1.91
851.51,-1.93
860.02,-1.94
868.62,-1.95
877.31,-1.97
886.08,-1.97
894.94,-1.98
903.89,-1.99
912.93,-2.01
922.06,-2.01
931.28,-2.02
940.59,-2.02
950.00,-2.01
959.50,-2.01
969.09,-1.99
978.78,-1.97
988.57,-1.95
998.46,-1.93
1008.44,-1.92
1018.53,-1.91
1028.71,-1.89
1039.00,-1.86
1049.39,-1.82
1059.88,-1.78
1070.48,-1.73
1081.19,-1.67
1092.00,-1.62
1102.92,-1.56
1113.95,-1.52
1125.09,-1.47
1136.34,-1.42
1147.70,-1.37
1159.18,-1.31
1170.77,-1.25
1182.48,-1.18
1194.30,-1.12
1206.25,-1.06
1218.31,-1.01
1230.49,-0.97
1242.80,-0.93
1255.22,-0.89
1267.78,-0.86
1280.45,-0.82
1293.26,-0.78
1306.19,-0.75
1319.25,-0.71
1332.45,-0.68
1345.77,-0.67
1359.23,-0.66
1372.82,-0.66
1386.55,-0.65
1400.41,-0.65
1414.42,-0.64
1428.56,-0.64
1442.85,-0.64
1457.28,-0.63
1471.85,-0.63
1486.57,-0.63
1501.43,-0.64
1516.45,-0.67
1531.61,-0.69
1546.93,-0.70
1562.40,-0.72
1578.02,-0.73
1593.80,-0.73
1609.74,-0.74
1625.84,-0.77
1642.10,-0.80
1658.52,-0.83
1675.10,-0.87
1691.85,-0.90
1708.77,-0.94
1725.86,-0.97
1743.12,-1.01
1760.55,-1.04
1778.15,-1.06
1795.94,-1.12
1813.90,-1.18
1832.03,-1.24
1850.36,-1.30
1868.86,-1.35
1887.55,-1.41
1906.42,-1.47
1925.49,-1.52
1944.74,-1.58
1964.19,-1.63
1983.83,-1.70
2003.67,-1.76
2023.71,-1.80
2043.94,-1.85
2064.38,-1.90
2085.03,-1.96
2105.88,-2.01
2126.94,-2.07
2148.20,-2.14
2169.69,-2.21
2191.38,-2.28
2213.30,-2.35
2235.43,-2.42
2257.78,-2.50
2280.36,-2.58
2303.17,-2.67
2326.20,-2.77
2349.46,-2.87
2372.95,-2.98
2396.68,-3.09
2420.65,-3.21
2444.86,-3.33
2469.31,-3.46
2494.00,-3.60
2518.94,-3.75
2544.13,-3.90
2569.57,-4.05
2595.27,-4.20
2621.22,-4.34
2647.43,-4.46
2673.90,-4.59
2700.64,-4.70
2727.65,-4.80
2754.93,-4.88
2782.48,-4.93
2810.30,-4.98
2838.40,-5.02
2866.79,-5.05
2895.46,-5.06
2924.41,-5.04
2953.65,-5.02
2983.19,-4.98
3013.02,-4.91
3043.15,-4.84
3073.58,-4.77
3104.32,-4.67
3135.36,-4.57
3166.72,-4.48
3198.38,-4.38
3230.37,-4.30
3262.67,-4.22
3295.30,-4.17
3328.25,-4.12
3361.53,-4.08
3395.15,-4.05
3429.10,-4.03
3463.39,-4.01
3498.03,-4.02
3533.01,-4.02
3568.34,-4.03
3604.02,-4.04
3640.06,-4.05
3676.46,-4.05
3713.22,-4.08
3750.36,-4.09
3787.86,-4.10
3825.74,-4.12
3864.00,-4.13
3902.64,-4.16
3941.66,-4.19
3981.08,-4.23
4020.89,-4.27
4061.10,-4.30
4101.71,-4.34
4142.73,-4.35
4184.15,-4.38
4226.00,-4.40
4268.26,-4.41
4310.94,-4.42
4354.05,-4.44
4397.59,-4.44
4441.56,-4.46
4485.98,-4.47
4530.84,-4.49
4576.15,-4.51
4621.91,-4.53
4668.13,-4.54
4714.81,-4.55
4761.96,-4.57
4809.58,-4.60
4857.67,-4.64
4906.25,-4.66
4955.31,-4.68
5004.87,-4.70
5054.91,-4.71
5105.46,-4.74
5156.52,-4.76
5208.08,-4.78
5260.16,-4.78
5312.77,-4.79
5365.89,-4.82
5419.55,-4.84
5473.75,-4.86
5528.49,-4.88
5583.77,-4.89
5639.61,-4.88
5696.00,-4.88
5752.96,-4.86
5810.49,-4.84
5868.60,-4.80
5927.28,-4.75
5986.56,-4.66
6046.42,-4.55
6106.89,-4.44
6167.96,-4.32
6229.64,-4.19
6291.93,-4.03
6354.85,-3.86
6418.40,-3.67
6482.58,-3.46
6547.41,-3.24
6612.88,-3.02
6679.01,-2.79
6745.80,-2.55
6813.26,-2.32
6881.39,-2.06
6950.21,-1.79
7019.71,-1.48
7089.91,-1.15
7160.81,-0.77
7232.41,-0.36
7304.74,0.08
7377.79,0.52
7451.56,1.00
7526.08,1.52
7601.34,2.07
7677.35,2.62
7754.13,3.16
7831.67,3.70
7909.98,4.22
7989.08,4.71
8068.98,5.13
8149.67,5.52
8231.16,5.86
8313.47,6.13
8396.61,6.34
8480.57,6.47
8565.38,6.55
8651.03,6.54
8737.54,6.47
8824.92,6.34
8913.17,6.14
9002.30,5.90
9092.32,5.62
9183.25,5.31
9275.08,4.98
9367.83,4.63
9461.51,4.24
9556.12,3.83
9651.68,3.39
9748.20,2.95
9845.68,2.49
9944.14,2.03
10043.58,1.54
10144.02,1.01
10245.46,0.47
10347.91,-0.13
10451.39,-0.78
10555.91,-1.46
10661.46,-2.17
10768.08,-2.89
10875.76,-3.61
10984.52,-4.31
11094.36,-4.95
11205.31,-5.54
11317.36,-6.02
11430.53,-6.40
11544.84,-6.69
11660.29,-6.87
11776.89,-6.95
11894.66,-6.92
12013.60,-6.80
12133.74,-6.59
12255.08,-6.32
12377.63,-6.00
12501.41,-5.66
12626.42,-5.31
12752.68,-4.96
12880.21,-4.63
13009.01,-4.29
13139.10,-3.98
13270.49,-3.70
13403.20,-3.42
13537.23,-3.16
13672.60,-2.90
13809.33,-2.65
13947.42,-2.43
14086.90,-2.22
14227.77,-2.08
14370.04,-2.03
14513.74,-2.08
14658.88,-2.26
14805.47,-2.56
14953.52,-2.99
15103.06,-3.57
15254.09,-4.25
15406.63,-5.04
15560.70,-5.90
15716.30,-6.80
15873.47,-7.73
16032.20,-8.66
16192.52,-9.55
16354.45,-10.40
16517.99,-11.17
16683.17,-11.82
16850.01,-12.31
17018.51,-12.65
17188.69,-12.81
17360.58,-12.82
17534.18,-12.72
17709.53,-12.51
17886.62,-12.19
18065.49,-11.86
18246.14,-11.54
18428.60,-11.19
18612.89,-10.76
18799.02,-10.27
18987.01,-9.71
19176.88,-9.10
19368.65,-8.42
19562.33,-7.66
19757.96,-6.84
19955.54,-5.95
