frequency,raw
20.00,12.62
20.20,12.65
20.40,12.67
20.61,12.68
20.81,12.70
21.02,12.72
21.23,12.74
21.44,12.76
21.66,12.77
21.87,12.78
22.09,12.80
22.31,12.80
22.54,12.81
22.76,12.81
22.99,12.82
23.22,12.83
23.45,12.83
23.69,12.84
23.92,12.83
24.16,12.84
24.40,12.84
24.65,12.84
24.89,12.84
25.14,12.85
25.39,12.85
25.65,12.85
25.91,12.85
26.16,12.85
26.43,12.84
26.69,12.85
26.96,12.84
27.23,12.85
27.50,12.84
27.77,12.83
28.05,12.84
28.33,12.83
28.62,12.83
28.90,12.83
29.19,12.83
29.48,12.82
29.78,12.81
30.08,12.81
30.38,12.81
30.68,12.80
30.99,12.79
31.30,12.78
31.61,12.79
31.93,12.78
32.24,12.77
32.57,12.77
32.89,12.76
33.22,12.75
33.55,12.75
33.89,12.73
34.23,12.72
34.57,12.72
34.92,12.70
35.27,12.69
35.62,12.69
35.97,12.67
36.33,12.66
36.70,12.64
37.06,12.63
37.43,12.62
37.81,12.61
38.19,12.59
38.57,12.59
38.95,12.57
39.34,12.57
39.74,12.57
40.14,12.57
40.54,12.56
40.94,12.56
41.35,12.55
41.76,12.54
42.18,12.53
42.60,12.52
43.03,12.49
43.46,12.47
43.90,12.45
44.33,12.43
44.78,12.41
45.23,12.39
45.68,12.37
46.13,12.34
46.60,12.33
47.06,12.31
47.53,12.30
48.01,12.29
48.49,12.28
48.97,12.26
49.46,12.24
49.96,12.22
50.46,12.21
50.96,12.19
51.47,12.16
51.99,12.14
52.51,12.11
53.03,12.08
53.56,12.05
54.10,12.02
54.64,11.99
55.18,11.96
55.74,11.94
56.29,11.91
56.86,11.88
57.42,11.85
58.00,11.81
58.58,11.79
59.16,11.76
59.76,11.73
60.35,11.70
60.96,11.67
61.57,11.64
62.18,11.61
62.80,11.59
63.43,11.56
64.07,11.54
64.71,11.51
65.35,11.49
66.01,11.47
66.67,11.44
67.33,11.42
68.01,11.39
68.69,11.36
69.37,11.32
70.07,11.30
70.77,11.27
71.48,11.24
72.19,11.21
72.91,11.18
73.64,11.16
74.38,11.12
75.12,11.09
75.87,11.05
76.63,11.01
77.40,10.98
78.17,10.94
78.95,10.90
79.74,10.86
80.54,10.81
81.35,10.78
82.16,10.74
82.98,10.71
83.81,10.68
84.65,10.63
85.50,10.58
86.35,10.53
87.22,10.48
88.09,10.42
88.97,10.37
89.86,10.34
90.76,10.30
91.66,10.25
92.58,10.20
93.51,10.14
94.44,10.09
95.39,10.04
96.34,9.99
97.30,9.93
98.28,9.87
99.26,9.81
100.25,9.75
101.25,9.69
102.27,9.64
103.29,9.60
104.32,9.55
105.37,9.49
106.42,9.42
107.48,9.35
108.56,9.27
109.64,9.21
110.74,9.15
111.85,9.08
112.97,8.99
114.10,8.92
115.24,8.86
116.39,8.82
117.55,8.75
118.73,8.66
119.92,8.57
121.12,8.49
122.33,8.43
123.55,8.36
124.79,8.24
126.03,8.13
127.29,8.06
128.57,7.96
129.85,7.83
131.15,7.68
132.46,7.60
133.79,7.49
135.12,7.36
136.48,7.30
137.84,7.19
139.22,7.14
140.61,7.08
142.02,7.01
143.44,7.00
144.87,6.99
146.32,6.99
147.78,7.02
149.26,7.06
150.75,7.12
152.26,7.18
153.78,7.28
155.32,7.35
156.88,7.47
158.44,7.55
160.03,7.69
161.63,7.77
163.24,7.84
164.88,7.94
166.53,8.00
168.19,8.06
169.87,8.14
171.57,8.20
173.29,8.23
175.02,8.27
176.77,8.26
178.54,8.26
180.32,8.25
182.13,8.24
183.95,8.18
185.79,8.14
187.65,8.10
189.52,8.05
191.42,7.99
193.33,7.92
195.27,7.85
197.22,7.78
199.19,7.70
201.18,7.61
203.19,7.52
205.23,7.44
207.28,7.36
209.35,7.28
211.44,7.19
213.56,7.11
