frequency,raw
20.00,5.58
20.20,5.64
20.40,5.69
20.61,5.74
20.81,5.79
21.02,5.84
21.23,5.89
21.44,5.94
21.66,5.99
21.87,6.03
22.09,6.08
22.31,6.12
22.54,6.16
22.76,6.20
22.99,6.24
23.22,6.28
23.45,6.31
23.69,6.35
23.92,6.38
24.16,6.42
24.40,6.44
24.65,6.48
24.89,6.51
25.14,6.55
25.39,6.58
25.65,6.61
25.91,6.65
26.16,6.68
26.43,6.70
26.69,6.74
26.96,6.77
27.23,6.80
27.50,6.83
27.77,6.86
28.05,6.89
28.33,6.92
28.62,6.94
28.90,6.97
29.19,7.00
29.48,7.02
29.78,7.04
30.08,7.07
30.38,7.10
30.68,7.12
30.99,7.14
31.30,7.16
31.61,7.19
31.93,7.21
32.24,7.22
32.57,7.25
32.89,7.26
33.22,7.28
33.55,7.31
33.89,7.33
34.23,7.35
34.57,7.37
34.92,7.39
35.27,7.40
35.62,7.42
35.97,7.44
36.33,7.45
36.70,7.46
37.06,7.47
37.43,7.49
37.81,7.50
38.19,7.50
38.57,7.52
38.95,7.53
39.34,7.55
39.74,7.55
40.14,7.57
40.54,7.58
40.94,7.59
41.35,7.59
41.76,7.60
42.18,7.60
42.60,7.61
43.03,7.60
43.46,7.60
43.90,7.59
44.33,7.59
44.78,7.59
45.23,7.59
45.68,7.58
46.13,7.58
46.60,7.58
47.06,7.58
47.53,7.59
48.01,7.59
48.49,7.59
48.97,7.59
49.46,7.59
49.96,7.59
50.46,7.59
50.96,7.59
51.47,7.58
51.99,7.58
52.51,7.58
53.03,7.58
53.56,7.58
54.10,7.57
54.64,7.57
55.18,7.57
55.74,7.57
56.29,7.56
56.86,7.56
57.42,7.56
58.00,7.55
58.58,7.55
59.16,7.55
59.76,7.54
60.35,7.54
60.96,7.54
61.57,7.54
62.18,7.54
62.80,7.54
63.43,7.54
64.07,7.54
64.71,7.54
65.35,7.54
66.01,7.54
66.67,7.54
67.33,7.54
68.01,7.54
68.69,7.54
69.37,7.54
70.07,7.54
70.77,7.54
71.48,7.53
72.19,7.53
72.91,7.53
73.64,7.53
74.38,7.52
75.12,7.52
75.87,7.51
76.63,7.52
77.40,7.52
78.17,7.52
78.95,7.52
79.74,7.51
80.54,7.49
81.35,7.48
82.16,7.47
82.98,7.44
83.81,7.42
84.65,7.38
85.50,7.35
86.35,7.32
87.22,7.29
88.09,7.26
88.97,7.23
89.86,7.20
90.76,7.18
91.66,7.16
92.58,7.14
93.51,7.13
94.44,7.13
95.39,7.13
96.34,7.14
97.30,7.14
98.28,7.14
99.26,7.14
100.25,7.15
101.25,7.15
102.27,7.16
103.29,7.17
104.32,7.16
105.37,7.15
106.42,7.13
107.48,7.10
108.56,7.07
109.64,7.04
110.74,7.01
111.85,6.97
112.97,6.92
114.10,6.89
115.24,6.85
116.39,6.84
117.55,6.80
118.73,6.78
