frequency,raw
20.00,6.57
20.20,6.61
20.40,6.65
20.61,6.68
20.81,6.72
21.02,6.75
21.23,6.79
21.44,6.82
21.66,6.86
21.87,6.88
22.09,6.92
22.31,6.94
22.54,6.97
22.76,6.99
22.99,7.02
23.22,7.04
23.45,7.07
23.69,7.09
23.92,7.11
24.16,7.13
24.40,7.15
24.65,7.18
24.89,7.19
25.14,7.22
25.39,7.24
25.65,7.25
25.91,7.28
26.16,7.29
26.43,7.31
26.69,7.33
26.96,7.35
27.23,7.37
27.50,7.39
27.77,7.40
28.05,7.42
28.33,7.44
28.62,7.45
28.90,7.48
29.19,7.49
29.48,7.50
29.78,7.52
30.08,7.53
30.38,7.56
30.68,7.57
30.99,7.58
31.30,7.59
31.61,7.61
31.93,7.63
32.24,7.64
32.57,7.66
32.89,7.67
33.22,7.68
33.55,7.70
33.89,7.72
34.23,7.73
34.57,7.75
34.92,7.76
35.27,7.77
35.62,7.79
35.97,7.80
36.33,7.80
36.70,7.81
37.06,7.81
37.43,7.84
37.81,7.85
38.19,7.87
38.57,7.89
38.95,7.90
39.34,7.92
39.74,7.93
40.14,7.95
40.54,7.96
40.94,7.97
41.35,7.98
41.76,7.99
42.18,7.99
42.60,8.00
43.03,7.99
43.46,7.99
43.90,8.00
44.33,8.00
44.78,8.00
45.23,8.00
45.68,7.99
46.13,7.98
46.60,7.97
47.06,7.97
47.53,7.98
48.01,7.98
48.49,7.98
48.97,7.98
49.46,7.98
49.96,7.98
50.46,7.98
50.96,7.99
51.47,7.98
51.99,7.99
52.51,8.00
53.03,8.00
53.56,8.00
54.10,7.99
54.64,7.98
55.18,7.97
55.74,7.96
56.29,7.94
56.86,7.93
57.42,7.92
58.00,7.89
58.58,7.87
59.16,7.85
59.76,7.82
60.35,7.80
60.96,7.78
61.57,7.76
62.18,7.74
62.80,7.72
63.43,7.70
64.07,7.68
64.71,7.66
65.35,7.64
66.01,7.63
66.67,7.62
67.33,7.60
68.01,7.59
68.69,7.58
69.37,7.58
70.07,7.58
70.77,7.60
71.48,7.59
72.19,7.60
72.91,7.60
73.64,7.60
74.38,7.59
75.12,7.59
75.87,7.58
76.63,7.59
77.40,7.59
78.17,7.59
78.95,7.59
79.74,7.58
80.54,7.56
81.35,7.55
82.16,7.54
82.98,7.51
83.81,7.49
84.65,7.45
85.50,7.42
86.35,7.39
87.22,7.36
88.09,7.34
88.97,7.30
89.86,7.27
90.76,7.25
91.66,7.24
92.58,7.22
93.51,7.21
94.44,7.21
95.39,7.22
96.34,7.23
97.30,7.23
98.28,7.23
99.26,7.21
100.25,7.19
101.25,7.16
102.27,7.14
103.29,7.12
104.32,7.09
105.37,7.06
106.42,7.02
107.48,6.98
108.56,6.94
109.64,6.91
110.74,6.89
111.85,6.87
112.97,6.86
114.10,6.86
115.24,6.86
116.39,6.86
117.55,6.84
118.73,6.82
119.92,6.78
121.12,6.75
122.33,6.72
123.55,6.69
124.79,6.64
126.03,6.60
127.29,6.57
128.57,6.54
129.85,6.52
131.15,6.51
132.46,6.49
133.79,6.48
135.12,6.47
136.48,6.46
137.84,6.43
139.22,6.42
140.61,6.39
142.02,6.33
143.44,6.31
144.87,6.27
146.32,6.24
147.78,6.21
149.26,6.20
150.75,6.16
152.26,6.14
153.78,6.11
155.32,6.08
156.88,6.05
158.44,6.04
160.03,6.01
161.63,5.99
163.24,5.95
164.88,5.92
166.53,5.90
168.19,5.87
169.87,5.81
171.57,5.76
173.29,5.72
175.02,5.68
176.77,5.63
178.54,5.61
180.32,5.60
182.13,5.57
183.95,5.54
185.79,5.51
187.65,5.49
189.52,5.46
191.42,5.43
193.33,5.39
195.27,5.36
197.22,5.34
199.19,5.32
201.18,5.30
203.19,5.27
205.23,5.23
207.28,5.18
209.35,5.13
211.44,5.07
213.56,5.02
215.69,4.98
217.85,4.93
220.03,4.91
222.23,4.89
224.45,4.87
226.70,4.83
228.96,4.78
231.25,4.75
233.57,4.71
235.90,4.65
238.26,4.63
240.64,4.60
243.05,4.57
245.48,4.52
247.93,4.46
250.41,4.41
252.92,4.33
255.45,4.29
258.00,4.25
260.58,4.20
263.19,4.15
265.82,4.10
268.48,4.06
271.16,4.02
273.87,3.96
276.61,3.91
279.38,3.87
282.17,3.83
284.99,3.80
287.84,3.76
290.72,3.73
293.63,3.69
296.57,3.64
299.53,3.59
302.53,3.56
305.55,3.53
308.61,3.48
311.69,3.44
314.81,3.39
317.96,3.35
321.14,3.29
324.35,3.24
327.59,3.19
330.87,3.13
334.18,3.06
337.52,3.00
340.90,2.96
344.30,2.91
347.75,2.87
351.23,2.82
354.74,2.76
358.28,2.70
361.87,2.65
365.49,2.62
369.14,2.59
372.83,2.54
376.56,2.48
380.33,2.42
384.13,2.37
387.97,2.33
391.85,2.28
395.77,2.24
399.73,2.17
403.72,2.12
407.76,2.05
411.84,1.99
415.96,1.93
420.12,1.89
424.32,1.84
428.56,1.78
432.85,1.72
437.18,1.65
441.55,1.60
445.96,1.57
450.42,1.52
454.93,1.46
459.48,1.40
464.07,1.34
468.71,1.29
473.40,1.24
478.13,1.19
482.91,1.14
487.74,1.09
492.62,1.03
497.55,0.97
502.52,0.93
507.55,0.88
512.62,0.83
517.75,0.76
522.93,0.70
528.16,0.65
533.44,0.60
538.77,0.55
544.16,0.49
549.60,0.43
555.10,0.35
560.65,0.29
566.25,0.25
571.92,0.19
577.64,0.14
583.41,0.09
589.25,0.03
595.14,-0.05
601.09,-0.10
607.10,-0.14
613.17,-0.19
619.30,-0.24
625.50,-0.30
631.75,-0.36
638.07,-0.42
644.45,-0.46
650.89,-0.50
657.40,-0.55
663.98,-0.61
670.62,-0.66
677.32,-0.71
684.10,-0.76
690.94,-0.79
697.85,-0.84
704.83,-0.89
711.87,-0.94
718.99,-0.99
726.18,-1.03
733.44,-1.08
740.78,-1.11
748.19,-1.15
755.67,-1.20
763.23,-1.27
770.86,-1.32
778.57,-1.37
786.35,-1.41
794.22,-1.44
802.16,-1.49
810.18,-1.54
818.28,-1.60
826.46,-1.65
834.73,-1.70
843.08,-1.74
851.51,-1.78
860.02,-1.81
868.62,-1.84
877.31,-1.88
886.08,-1.91
894.94,-1.94
903.89,-1.95
912.93,-1.98
922.06,-2.00
931.28,-2.02
940.59,-2.03
950.00,-2.02
959.50,-2.02
969.09,-2.01
978.78,-1.99
988.57,-1.97
998.46,-1.93
1008.44,-1.90
1018.53,-1.85
1028.71,-1.79
1039.00,-1.71
1049.39,-1.63
1059.88,-1.56
1070.48,-1.49
1081.19,-1.42
1092.00,-1.34
1102.92,-1.25
1113.95,-1.16
1125.09,-1.07
1136.34,-0.98
1147.70,-0.91
1159.18,-0.82
1170.77,-0.73
1182.48,-0.63
1194.30,-0.53
1206.25,-0.43
1218.31,-0.33
1230.49,-0.22
1242.80,-0.12
1255.22,0.01
1267.78,0.12
1280.45,0.24
1293.26,0.35
1306.19,0.46
1319.25,0.58
1332.45,0.69
1345.77,0.79
1359.23,0.91
1372.82,1.01
1386.55,1.12
1400.41,1.21
1414.42,1.32
1428.56,1.43
1442.85,1.54
1457.28,1.65
1471.85,1.74
1486.57,1.83
1501.43,1.92
1516.45,2.01
1531.61,2.11
1546.93,2.21
1562.40,2.29
1578.02,2.37
1593.80,2.46
1609.74,2.53
1625.84,2.58
1642.10,2.65
1658.52,2.71
1675.10,2.75
1691.85,2.78
1708.77,2.79
1725.86,2.81
1743.12,2.82
1760.55,2.81
1778.15,2.79
1795.94,2.74
1813.90,2.70
1832.03,2.66
1850.36,2.61
1868.86,2.56
1887.55,2.50
1906.42,2.43
1925.49,2.37
1944.74,2.30
1964.19,2.24
1983.83,2.19
2003.67,2.15
