frequency,raw
20.00,15.03
20.20,15.05
20.40,15.06
20.61,15.08
20.81,15.09
21.02,15.10
21.23,15.11
21.44,15.12
21.66,15.13
21.87,15.13
22.09,15.14
22.31,15.14
22.54,15.14
22.76,15.14
22.99,15.14
23.22,15.14
23.45,15.14
23.69,15.14
23.92,15.13
24.16,15.13
24.40,15.12
24.65,15.12
24.89,15.11
25.14,15.11
25.39,15.11
25.65,15.10
25.91,15.10
26.16,15.09
26.43,15.08
26.69,15.08
26.96,15.07
27.23,15.07
27.50,15.06
27.77,15.05
28.05,15.05
28.33,15.04
28.62,15.03
28.90,15.02
29.19,15.01
29.48,15.01
29.78,15.00
30.08,14.99
30.38,14.98
30.68,14.97
30.99,14.95
31.30,14.94
31.61,14.93
31.93,14.91
32.24,14.90
32.57,14.90
32.89,14.88
33.22,14.87
33.55,14.87
33.89,14.85
34.23,14.85
34.57,14.85
34.92,14.85
35.27,14.85
35.62,14.85
35.97,14.85
36.33,14.84
36.70,14.83
37.06,14.82
37.43,14.82
37.81,14.81
38.19,14.79
38.57,14.79
38.95,14.77
39.34,14.77
39.74,14.75
40.14,14.75
40.54,14.73
40.94,14.72
41.35,14.71
41.76,14.70
42.18,14.69
42.60,14.68
43.03,14.66
43.46,14.65
43.90,14.64
44.33,14.63
44.78,14.61
45.23,14.59
45.68,14.57
46.13,14.54
46.60,14.53
47.06,14.51
47.53,14.49
48.01,14.47
48.49,14.45
48.97,14.42
49.46,14.39
49.96,14.36
50.46,14.33
50.96,14.29
51.47,14.25
51.99,14.22
52.51,14.19
53.03,14.16
53.56,14.14
54.10,14.11
54.64,14.08
55.18,14.06
55.74,14.03
56.29,13.99
56.86,13.96
57.42,13.92
58.00,13.87
58.58,13.84
59.16,13.80
59.76,13.77
60.35,13.75
60.96,13.72
61.57,13.69
62.18,13.66
62.80,13.63
63.43,13.59
64.07,13.56
64.71,13.52
65.35,13.48
66.01,13.44
66.67,13.42
67.33,13.40
68.01,13.37
68.69,13.34
69.37,13.30
70.07,13.26
70.77,13.21
71.48,13.17
72.19,13.13
72.91,13.10
73.64,13.07
74.38,13.03
75.12,13.00
75.87,12.95
76.63,12.90
77.40,12.86
78.17,12.80
78.95,12.76
79.74,12.73
80.54,12.69
81.35,12.65
82.16,12.61
82.98,12.57
83.81,12.53
84.65,12.47
85.50,12.43
86.35,12.40
87.22,12.36
88.09,12.33
88.97,12.29
89.86,12.26
90.76,12.21
91.66,12.17
92.58,12.14
93.51,12.11
94.44,12.07
95.39,12.02
96.34,11.97
97.30,11.90
98.28,11.85
99.26,11.80
100.25,11.76
101.25,11.71
102.27,11.66
103.29,11.62
104.32,11.57
105.37,11.51
106.42,11.45
107.48,11.39
108.56,11.33
109.64,11.27
110.74,11.21
111.85,11.13
112.97,11.07
114.10,11.03
115.24,10.97
116.39,10.94
117.55,10.88
118.73,10.81
119.92,10.75
121.12,10.70
122.33,10.66
123.55,10.61
124.79,10.52
126.03,10.46
127.29,10.42
128.57,10.37
129.85,10.29
131.15,10.20
132.46,10.15
133.79,10.07
135.12,9.99
136.48,9.94
137.84,9.88
139.22,9.83
140.61,9.77
142.02,9.66
143.44,9.61
144.87,9.54
146.32,9.48
147.78,9.41
149.26,9.35
150.75,9.26
152.26,9.21
153.78,9.14
155.32,9.07
156.88,8.99
158.44,8.93
160.03,8.85
161.63,8.79
163.24,8.72
164.88,8.62
166.53,8.56
168.19,8.51
169.87,8.41
171.57,8.34
173.29,8.27
175.02,8.17
176.77,8.11
178.54,8.05
180.32,7.99
182.13,7.93
183.95,7.84
185.79,7.79
187.65,7.72
189.52,7.66
191.42,7.62
193.33,7.58
195.27,7.53
197.22,7.49
199.19,7.44
201.18,7.39
203.19,7.35
205.23,7.30
207.28,7.26
209.35,7.20
211.44,7.13
213.56,7.09
215.69,7.05
217.85,6.99
220.03,6.94
222.23,6.88
224.45,6.81
226.70,6.74
228.96,6.67
231.25,6.64
233.57,6.58
235.90,6.50
238.26,6.46
240.64,6.40
243.05,6.34
245.48,6.27
247.93,6.19
250.41,6.13
252.92,6.05
255.45,5.99
258.00,5.93
260.58,5.85
263.19,5.80
265.82,5.73
268.48,5.64
271.16,5.58
273.87,5.49
276.61,5.43
279.38,5.37
282.17,5.29
284.99,5.22
287.84,5.14
290.72,5.08
293.63,5.01
296.57,4.94
299.53,4.86
302.53,4.79
305.55,4.73
308.61,4.66
311.69,4.58
314.81,4.52
317.96,4.45
321.14,4.37
324.35,4.30
327.59,4.21
330.87,4.14
334.18,4.06
337.52,3.98
340.90,3.90
344.30,3.82
347.75,3.75
351.23,3.68
354.74,3.60
358.28,3.52
361.87,3.44
365.49,3.36
369.14,3.29
372.83,3.22
376.56,3.12
380.33,3.05
384.13,2.98
387.97,2.91
391.85,2.82
395.77,2.75
399.73,2.67
403.72,2.59
407.76,2.50
411.84,2.42
415.96,2.34
420.12,2.26
424.32,2.18
428.56,2.10
432.85,2.03
437.18,1.95
441.55,1.88
445.96,1.81
450.42,1.73
454.93,1.66
459.48,1.57
464.07,1.49
468.71,1.43
473.40,1.35
478.13,1.27
482.91,1.20
487.74,1.13
492.62,1.07
497.55,0.99
502.52,0.92
507.55,0.84
512.62,0.77
517.75,0.69
522.93,0.62
528.16,0.55
533.44,0.49
538.77,0.41
544.16,0.34
549.60,0.28
555.10,0.19
560.65,0.12
566.25,0.06
571.92,-0.02
577.64,-0.08
583.41,-0.16
589.25,-0.23
595.14,-0.31
601.09,-0.37
607.10,-0.44
613.17,-0.51
619.30,-0.58
625.50,-0.65
631.75,-0.71
638.07,-0.77
644.45,-0.83
650.89,-0.88
657.40,-0.94
663.98,-1.00
670.62,-1.06
677.32,-1.12
684.10,-1.17
690.94,-1.23
697.85,-1.30
704.83,-1.38
711.87,-1.44
718.99,-1.49
726.18,-1.53
733.44,-1.58
740.78,-1.65
748.19,-1.71
755.67,-1.77
763.23,-1.83
770.86,-1.87
778.57,-1.90
786.35,-1.94
794.22,-1.97
802.16,-2.00
810.18,-2.03
818.28,-2.06
826.46,-2.10
834.73,-2.14
843.08,-2.17
851.51,-2.20
860.02,-2.23
868.62,-2.24
877.31,-2.26
886.08,-2.27
894.94,-2.27
903.89,-2.28
912.93,-2.29
922.06,-2.28
931.28,-2.25
940.59,-2.23
950.00,-2.18
959.50,-2.15
969.09,-2.10
978.78,-2.05
988.57,-1.99
998.46,-1.94
1008.44,-1.89
1018.53,-1.83
1028.71,-1.79
1039.00,-1.74
1049.39,-1.69
1059.88,-1.64
1070.48,-1.60
1081.19,-1.56
1092.00,-1.52
1102.92,-1.46
1113.95,-1.40
1125.09,-1.34
1136.34,-1.28
1147.70,-1.22
1159.18,-1.15
1170.77,-1.07
1182.48,-0.98
1194.30,-0.90
1206.25,-0.81
1218.31,-0.73
1230.49,-0.63
1242.80,-0.55
1255.22,-0.47
1267.78,-0.40
1280.45,-0.33
1293.26,-0.26
1306.19,-0.21
1319.25,-0.17
1332.45,-0.13
1345.77,-0.08
1359.23,-0.02
1372.82,0.03
1386.55,0.09
1400.41,0.14
1414.42,0.21
1428.56,0.28
1442.85,0.36
1457.28,0.43
1471.85,0.50
1486.57,0.58
1501.43,0.66
1516.45,0.73
1531.61,0.82
1546.93,0.92
1562.40,0.99
1578.02,1.08
1593.80,1.17
1609.74,1.25
1625.84,1.34
1642.10,1.44
1658.52,1.54
1675.10,1.64
1691.85,1.73
1708.77,1.83
1725.86,1.95
1743.12,2.06
1760.55,2.16
1778.15,2.26
1795.94,2.36
1813.90,2.46
1832.03,2.55
1850.36,2.65
1868.86,2.75
1887.55,2.85
1906.42,2.95
1925.49,3.04
1944.74,3.14
1964.19,3.25
1983.83,3.37
2003.67,3.48
2023.71,3.61
2043.94,3.73
2064.38,3.85
2085.03,4.00
2105.88,4.15
2126.94,4.30
2148.20,4.46
2169.69,4.62
2191.38,4.80
2213.30,4.96
2235.43,5.14
2257.78,5.31
2280.36,5.50
2303.17,5.68
2326.20,5.84
2349.46,6.00
2372.95,6.17
2396.68,6.34
2420.65,6.48
2444.86,6.62
2469.31,6.76
2494.00,6.87
2518.94,6.98
2544.13,7.07
2569.57,7.15
2595.27,7.21
2621.22,7.28
2647.43,7.34
2673.90,7.36
2700.64,7.39
2727.65,7.41
2754.93,7.43
2782.48,7.45
2810.30,7.43
2838.40,7.43
2866.79,7.42
2895.46,7.40
2924.41,7.38
2953.65,7.36
2983.19,7.33
3013.02,7.29
3043.15,7.25
3073.58,7.21
3104.32,7.19
3135.36,7.16
3166.72,7.13
3198.38,7.11
3230.37,7.08
3262.67,7.05
3295.30,7.02
3328.25,7.00
3361.53,6.98
3395.15,6.98
3429.10,6.98
3463.39,7.00
3498.03,7.01
3533.01,7.04
3568.34,7.08
3604.02,7.14
3640.06,7.20
3676.46,7.27
3713.22,7.34
3750.36,7.45
3787.86,7.55
3825.74,7.65
3864.00,7.75
3902.64,7.84
3941.66,7.93
3981.08,8.00
4020.89,8.07
4061.10,8.13
4101.71,8.17
4142.73,8.20
4184.15,8.20
4226.00,8.19
4268.26,8.17
4310.94,8.14
4354.05,8.11
4397.59,8.07
4441.56,8.03
4485.98,7.99
4530.84,7.96
4576.15,7.93
4621.91,7.89
4668.13,7.85
4714.81,7.79
4761.96,7.73
4809.58,7.66
4857.67,7.56
4906.25,7.45
4955.31,7.32
5004.87,7.18
5054.91,7.03
5105.46,6.86
5156.52,6.68
5208.08,6.48
5260.16,6.29
5312.77,6.09
5365.89,5.88
5419.55,5.66
5473.75,5.42
5528.49,5.18
5583.77,4.93
5639.61,4.66
5696.00,4.37
5752.96,4.08
5810.49,3.78
5868.60,3.46
5927.28,3.11
5986.56,2.77
6046.42,2.42
6106.89,2.07
6167.96,1.71
6229.64,1.35
6291.93,0.98
6354.85,0.61
6418.40,0.27
6482.58,-0.07
6547.41,-0.40
6612.88,-0.73
6679.01,-1.06
6745.80,-1.37
6813.26,-1.69
6881.39,-1.97
6950.21,-2.24
7019.71,-2.48
7089.91,-2.69
7160.81,-2.88
7232.41,-3.07
7304.74,-3.23
7377.79,-3.38
7451.56,-3.51
7526.08,-3.64
7601.34,-3.76
7677.35,-3.90
7754.13,-4.06
7831.67,-4.26
7909.98,-4.53
7989.08,-4.86
8068.98,-5.25
8149.67,-5.71
8231.16,-6.22
8313.47,-6.79
8396.61,-7.39
8480.57,-8.04
8565.38,-8.70
8651.03,-9.39
8737.54,-10.08
8824.92,-10.74
8913.17,-11.37
9002.30,-11.95
9092.32,-12.47
9183.25,-12.93
9275.08,-13.30
9367.83,-13.60
9461.51,-13.86
9556.12,-14.05
9651.68,-14.17
9748.20,-14.23
9845.68,-14.25
9944.14,-14.18
10043.58,-14.07
10144.02,-13.91
10245.46,-13.71
10347.91,-13.49
10451.39,-13.25
10555.91,-13.00
10661.46,-12.75
10768.08,-12.49
10875.76,-12.26
10984.52,-12.06
11094.36,-11.87
11205.31,-11.70
11317.36,-11.55
11430.53,-11.41
