frequency,raw
20.00,-12.86
20.20,-12.78
20.40,-12.70
20.61,-12.63
20.81,-12.56
21.02,-12.49
21.23,-12.41
21.44,-12.34
21.66,-12.27
21.87,-12.21
22.09,-12.14
22.31,-12.08
22.54,-12.02
22.76,-11.95
22.99,-11.89
23.22,-11.83
23.45,-11.77
23.69,-11.71
23.92,-11.66
24.16,-11.60
24.40,-11.54
24.65,-11.48
24.89,-11.43
25.14,-11.37
25.39,-11.31
25.65,-11.27
25.91,-11.21
26.16,-11.16
26.43,-11.11
26.69,-11.05
26.96,-11.00
27.23,-10.94
27.50,-10.89
27.77,-10.84
28.05,-10.78
28.33,-10.74
28.62,-10.69
28.90,-10.64
29.19,-10.59
29.48,-10.55
29.78,-10.50
30.08,-10.46
30.38,-10.41
30.68,-10.37
30.99,-10.33
31.30,-10.29
31.61,-10.25
31.93,-10.21
32.24,-10.17
32.57,-10.12
32.89,-10.08
33.22,-10.05
33.55,-10.00
33.89,-9.96
34.23,-9.93
34.57,-9.88
34.92,-9.85
35.27,-9.82
35.62,-9.77
35.97,-9.74
36.33,-9.71
36.70,-9.68
37.06,-9.65
37.43,-9.61
37.81,-9.58
38.19,-9.54
38.57,-9.50
38.95,-9.46
39.34,-9.42
39.74,-9.38
40.14,-9.34
40.54,-9.31
40.94,-9.28
41.35,-9.26
41.76,-9.23
42.18,-9.20
42.60,-9.17
43.03,-9.15
43.46,-9.12
43.90,-9.09
44.33,-9.05
44.78,-9.02
45.23,-8.98
45.68,-8.95
46.13,-8.92
46.60,-8.89
47.06,-8.86
47.53,-8.82
48.01,-8.79
48.49,-8.76
48.97,-8.73
49.46,-8.71
49.96,-8.68
50.46,-8.67
50.96,-8.65
51.47,-8.64
51.99,-8.62
52.51,-8.59
53.03,-8.57
53.56,-8.55
54.10,-8.54
54.64,-8.51
55.18,-8.49
55.74,-8.47
56.29,-8.46
56.86,-8.44
57.42,-8.41
58.00,-8.39
58.58,-8.37
59.16,-8.35
59.76,-8.34
60.35,-8.33
60.96,-8.32
61.57,-8.31
62.18,-8.30
62.80,-8.29
63.43,-8.27
64.07,-8.25
64.71,-8.22
65.35,-8.20
66.01,-8.18
66.67,-8.15
67.33,-8.13
68.01,-8.11
68.69,-8.10
69.37,-8.08
70.07,-8.07
70.77,-8.05
71.48,-8.03
72.19,-8.01
72.91,-7.99
73.64,-7.98
74.38,-7.97
75.12,-7.96
75.87,-7.94
76.63,-7.92
77.40,-7.90
78.17,-7.88
78.95,-7.86
79.74,-7.85
80.54,-7.84
81.35,-7.82
82.16,-7.80
82.98,-7.77
83.81,-7.74
84.65,-7.72
85.50,-7.70
86.35,-7.67
87.22,-7.65
88.09,-7.63
88.97,-7.61
89.86,-7.60
90.76,-7.59
91.66,-7.60
92.58,-7.62
93.51,-7.64
94.44,-7.64
95.39,-7.64
96.34,-7.63
97.30,-7.62
98.28,-7.59
99.26,-7.57
100.25,-7.54
101.25,-7.50
102.27,-7.47
103.29,-7.45
104.32,-7.44
105.37,-7.41
106.42,-7.38
107.48,-7.36
