frequency,raw
20.00,-11.28
20.20,-11.20
20.40,-11.13
20.61,-11.06
20.81,-10.99
21.02,-10.93
21.23,-10.86
21.44,-10.79
21.66,-10.72
21.87,-10.66
22.09,-10.59
22.31,-10.53
22.54,-10.47
22.76,-10.41
22.99,-10.35
23.22,-10.29
23.45,-10.23
23.69,-10.17
23.92,-10.13
24.16,-10.07
24.40,-10.02
24.65,-9.96
24.89,-9.91
25.14,-9.85
25.39,-9.79
25.65,-9.75
25.91,-9.69
26.16,-9.64
26.43,-9.59
26.69,-9.54
26.96,-9.49
27.23,-9.43
27.50,-9.39
27.77,-9.35
28.05,-9.29
28.33,-9.25
28.62,-9.20
28.90,-9.15
29.19,-9.10
29.48,-9.06
29.78,-9.02
30.08,-8.98
30.38,-8.93
30.68,-8.90
30.99,-8.86
31.30,-8.83
31.61,-8.79
31.93,-8.76
32.24,-8.73
32.57,-8.68
32.89,-8.65
33.22,-8.62
33.55,-8.58
33.89,-8.55
34.23,-8.52
34.57,-8.48
34.92,-8.45
35.27,-8.42
35.62,-8.37
35.97,-8.34
36.33,-8.31
36.70,-8.28
37.06,-8.25
37.43,-8.21
37.81,-8.18
38.19,-8.14
38.57,-8.10
38.95,-8.07
39.34,-8.03
39.74,-7.99
40.14,-7.94
40.54,-7.91
40.94,-7.87
41.35,-7.83
41.76,-7.79
42.18,-7.76
42.60,-7.72
43.03,-7.70
43.46,-7.67
43.90,-7.64
44.33,-7.61
44.78,-7.59
45.23,-7.57
45.68,-7.54
46.13,-7.51
46.60,-7.48
47.06,-7.46
47.53,-7.42
48.01,-7.40
48.49,-7.38
48.97,-7.35
49.46,-7.33
49.96,-7.30
50.46,-7.28
50.96,-7.26
51.47,-7.25
51.99,-7.23
52.51,-7.21
53.03,-7.19
53.56,-7.17
54.10,-7.17
54.64,-7.16
55.18,-7.15
55.74,-7.14
56.29,-7.14
56.86,-7.12
57.42,-7.10
58.00,-7.09
58.58,-7.06
59.16,-7.03
59.76,-7.02
60.35,-7.00
60.96,-6.97
61.57,-6.95
62.18,-6.92
62.80,-6.91
63.43,-6.89
64.07,-6.87
64.71,-6.86
65.35,-6.84
66.01,-6.83
66.67,-6.82
67.33,-6.80
68.01,-6.78
68.69,-6.76
69.37,-6.74
70.07,-6.72
70.77,-6.70
71.48,-6.69
72.19,-6.67
72.91,-6.65
73.64,-6.64
74.38,-6.63
75.12,-6.62
75.87,-6.60
76.63,-6.57
77.40,-6.54
78.17,-6.52
78.95,-6.50
79.74,-6.48
80.54,-6.47
81.35,-6.45
82.16,-6.44
82.98,-6.43
83.81,-6.43
84.65,-6.45
85.50,-6.46
86.35,-6.47
87.22,-6.48
88.09,-6.47
88.97,-6.45
89.86,-6.43
90.76,-6.41
91.66,-6.39
92.58,-6.36
93.51,-6.32
94.44,-6.29
95.39,-6.26
96.34,-6.23
97.30,-6.21
98.28,-6.18
99.26,-6.15
100.25,-6.14
101.25,-6.13
102.27,-6.12
103.29,-6.12
104.32,-6.13
105.37,-6.14
106.42,-6.15
107.48,-6.16
108.56,-6.16
109.64,-6.17
110.74,-6.18
111.85,-6.19
112.97,-6.20
114.10,-6.19
115.24,-6.17
116.39,-6.16
117.55,-6.15
118.73,-6.12
119.92,-6.08
121.12,-6.04
122.33,-6.03
