frequency,raw
20.00,6.83
20.20,6.85
20.40,6.86
20.61,6.88
20.81,6.89
21.02,6.90
21.23,6.91
21.44,6.93
21.66,6.94
21.87,6.94
22.09,6.96
22.31,6.96
22.54,6.96
22.76,6.96
22.99,6.96
23.22,6.96
23.45,6.97
23.69,6.97
23.92,6.96
24.16,6.97
24.40,6.96
24.65,6.96
24.89,6.95
25.14,6.95
25.39,6.95
25.65,6.94
25.91,6.94
26.16,6.94
26.43,6.93
26.69,6.94
26.96,6.93
27.23,6.93
27.50,6.92
27.77,6.92
28.05,6.92
28.33,6.91
28.62,6.90
28.90,6.90
29.19,6.90
29.48,6.89
29.78,6.88
30.08,6.88
30.38,6.88
30.68,6.87
30.99,6.86
31.30,6.85
31.61,6.85
31.93,6.84
32.24,6.84
32.57,6.84
32.89,6.84
33.22,6.84
33.55,6.84
33.89,6.84
34.23,6.84
34.57,6.84
34.92,6.83
35.27,6.82
35.62,6.83
35.97,6.82
36.33,6.82
36.70,6.81
37.06,6.81
37.43,6.81
37.81,6.80
38.19,6.80
38.57,6.80
38.95,6.80
39.34,6.80
39.74,6.79
40.14,6.79
40.54,6.77
40.94,6.76
41.35,6.75
41.76,6.73
42.18,6.71
42.60,6.70
43.03,6.68
43.46,6.67
43.90,6.66
44.33,6.65
44.78,6.64
45.23,6.63
45.68,6.61
46.13,6.60
46.60,6.58
47.06,6.57
47.53,6.56
48.01,6.54
48.49,6.52
48.97,6.50
49.46,6.49
49.96,6.47
50.46,6.46
50.96,6.44
51.47,6.42
51.99,6.41
52.51,6.40
53.03,6.39
53.56,6.37
54.10,6.35
54.64,6.34
55.18,6.32
55.74,6.31
56.29,6.28
56.86,6.26
57.42,6.23
58.00,6.20
58.58,6.18
59.16,6.15
59.76,6.12
60.35,6.10
60.96,6.08
61.57,6.06
62.18,6.05
62.80,6.04
63.43,6.03
64.07,6.02
64.71,6.00
65.35,5.98
66.01,5.95
66.67,5.92
67.33,5.89
68.01,5.86
68.69,5.83
69.37,5.80
70.07,5.78
70.77,5.75
71.48,5.72
72.19,5.70
72.91,5.68
73.64,5.66
74.38,5.63
75.12,5.60
75.87,5.56
76.63,5.52
77.40,5.48
78.17,5.43
78.95,5.40
79.74,5.37
80.54,5.33
81.35,5.31
82.16,5.28
82.98,5.25
83.81,5.22
84.65,5.17
85.50,5.13
86.35,5.09
87.22,5.05
88.09,5.02
88.97,4.99
89.86,4.96
90.76,4.92
91.66,4.88
92.58,4.84
93.51,4.79
94.44,4.75
95.39,4.70
96.34,4.67
97.30,4.62
98.28,4.59
99.26,4.56
100.25,4.54
101.25,4.53
102.27,4.52
103.29,4.51
104.32,4.49
105.37,4.47
106.42,4.46
107.48,4.43
108.56,4.41
109.64,4.38
110.74,4.35
111.85,4.31
112.97,4.26
114.10,4.23
115.24,4.20
116.39,4.18
117.55,4.15
118.73,4.13
119.92,4.10
121.12,4.10
122.33,4.10
123.55,4.11
124.79,4.12
126.03,4.12
127.29,4.10
128.57,4.09
129.85,4.05
131.15,4.02
132.46,3.99
133.79,3.96
135.12,3.93
136.48,3.91
137.84,3.87
139.22,3.85
140.61,3.81
142.02,3.74
143.44,3.71
144.87,3.67
146.32,3.62
147.78,3.59
149.26,3.58
150.75,3.54
152.26,3.52
153.78,3.49
155.32,3.44
156.88,3.39
158.44,3.35
160.03,3.31
161.63,3.29
163.24,3.26
164.88,3.23
166.53,3.21
168.19,3.18
169.87,3.12
171.57,3.07
173.29,3.03
175.02,2.98
176.77,2.93
178.54,2.91
180.32,2.87
182.13,2.84
183.95,2.77
185.79,2.73
187.65,2.69
189.52,2.64
191.42,2.60
193.33,2.56
195.27,2.51
197.22,2.47
199.19,2.42
201.18,2.37
203.19,2.33
205.23,2.27
207.28,2.22
209.35,2.17
211.44,2.11
213.56,2.08
215.69,2.04
217.85,1.98
220.03,1.93
222.23,1.88
224.45,1.82
226.70,1.76
228.96,1.70
231.25,1.67
233.57,1.62
235.90,1.53
238.26,1.48
240.64,1.42
243.05,1.37
245.48,1.31
247.93,1.25
250.41,1.20
252.92,1.12
255.45,1.07
258.00,1.03
260.58,0.97
263.19,0.93
265.82,0.87
268.48,0.79
271.16,0.74
273.87,0.66
276.61,0.62
279.38,0.58
282.17,0.52
284.99,0.47
287.84,0.39
290.72,0.33
293.63,0.29
296.57,0.25
299.53,0.19
302.53,0.14
305.55,0.08
308.61,0.01
311.69,-0.04
314.81,-0.08
317.96,-0.12
321.14,-0.18
324.35,-0.24
327.59,-0.29
330.87,-0.35
334.18,-0.41
337.52,-0.45
340.90,-0.50
344.30,-0.54
347.75,-0.58
351.23,-0.64
354.74,-0.69
358.28,-0.74
361.87,-0.78
365.49,-0.83
369.14,-0.86
372.83,-0.91
376.56,-0.96
380.33,-1.00
384.13,-1.04
387.97,-1.09
391.85,-1.15
395.77,-1.19
399.73,-1.25
403.72,-1.28
407.76,-1.32
411.84,-1.34
415.96,-1.38
420.12,-1.42
424.32,-1.47
428.56,-1.52
432.85,-1.57
437.18,-1.60
441.55,-1.63
445.96,-1.65
450.42,-1.67
454.93,-1.69
459.48,-1.73
464.07,-1.77
468.71,-1.81
473.40,-1.85
478.13,-1.90
482.91,-1.93
487.74,-1.96
492.62,-1.98
497.55,-2.02
502.52,-2.06
507.55,-2.09
512.62,-2.11
517.75,-2.15
522.93,-2.15
528.16,-2.15
533.44,-2.16
538.77,-2.17
544.16,-2.17
549.60,-2.19
555.10,-2.21
560.65,-2.23
566.25,-2.27
571.92,-2.31
577.64,-2.34
583.41,-2.38
589.25,-2.41
595.14,-2.45
601.09,-2.47
607.10,-2.49
613.17,-2.51
619.30,-2.53
625.50,-2.55
631.75,-2.57
638.07,-2.59
644.45,-2.61
650.89,-2.64
657.40,-2.67
663.98,-2.72
670.62,-2.75
677.32,-2.78
684.10,-2.81
690.94,-2.84
697.85,-2.86
704.83,-2.89
711.87,-2.89
718.99,-2.89
726.18,-2.89
733.44,-2.88
740.78,-2.88
748.19,-2.87
755.67,-2.87
763.23,-2.88
770.86,-2.88
778.57,-2.88
786.35,-2.89
794.22,-2.88
802.16,-2.89
810.18,-2.89
818.28,-2.89
826.46,-2.87
834.73,-2.86
843.08,-2.82
851.51,-2.79
860.02,-2.75
868.62,-2.71
877.31,-2.67
886.08,-2.61
894.94,-2.56
903.89,-2.51
912.93,-2.46
922.06,-2.42
931.28,-2.37
940.59,-2.32
950.00,-2.26
959.50,-2.22
969.09,-2.16
978.78,-2.10
988.57,-2.02
998.46,-1.95
1008.44,-1.87
1018.53,-1.78
1028.71,-1.70
1039.00,-1.59
1049.39,-1.48
1059.88,-1.37
1070.48,-1.26
1081.19,-1.15
1092.00,-1.03
1102.92,-0.91
1113.95,-0.80
1125.09,-0.69
1136.34,-0.58
1147.70,-0.46
1159.18,-0.33
1170.77,-0.20
1182.48,-0.07
1194.30,0.04
1206.25,0.15
1218.31,0.26
1230.49,0.37
1242.80,0.49
1255.22,0.61
1267.78,0.72
1280.45,0.84
1293.26,0.97
1306.19,1.08
1319.25,1.19
1332.45,1.30
1345.77,1.40
1359.23,1.50
1372.82,1.60
1386.55,1.72
1400.41,1.82
1414.42,1.93
1428.56,2.03
1442.85,2.12
1457.28,2.22
1471.85,2.30
1486.57,2.38
1501.43,2.47
1516.45,2.55
1531.61,2.64
1546.93,2.73
1562.40,2.82
1578.02,2.93
1593.80,3.02
1609.74,3.12
1625.84,3.23
1642.10,3.34
1658.52,3.45
1675.10,3.56
1691.85,3.68
1708.77,3.80
1725.86,3.94
1743.12,4.08
1760.55,4.22
1778.15,4.35
1795.94,4.48
1813.90,4.63
1832.03,4.77
1850.36,4.91
1868.86,5.05
1887.55,5.20
1906.42,5.35
1925.49,5.51
1944.74,5.65
1964.19,5.80
1983.83,5.97
2003.67,6.12
2023.71,6.29
2043.94,6.46
2064.38,6.62
2085.03,6.77
2105.88,6.93
2126.94,7.09
2148.20,7.24
2169.69,7.40
2191.38,7.57
2213.30,7.74
2235.43,7.89
2257.78,8.05
2280.36,8.22
2303.17,8.40
2326.20,8.58
2349.46,8.77
2372.95,8.97
2396.68,9.18
2420.65,9.37
2444.86,9.57
2469.31,9.78
2494.00,9.96
2518.94,10.14
2544.13,10.31
2569.57,10.48
2595.27,10.62
2621.22,10.76
2647.43,10.89
2673.90,10.98
2700.64,11.08
2727.65,11.14
2754.93,11.20
2782.48,11.27
2810.30,11.32
2838.40,11.35
2866.79,11.37
2895.46,11.38
2924.41,11.39
2953.65,11.38
2983.19,11.36
3013.02,11.31
3043.15,11.26
3073.58,11.18
3104.32,11.10
3135.36,11.01
3166.72,10.91
3198.38,10.81
3230.37,10.71
3262.67,10.61
3295.30,10.50
3328.25,10.41
3361.53,10.30
3395.15,10.22
3429.10,10.14
3463.39,10.07
3498.03,10.02
3533.01,9.99
3568.34,9.94
3604.02,9.91
3640.06,9.90
3676.46,9.88
3713.22,9.84
3750.36,9.82
3787.86,9.78
3825.74,9.73
3864.00,9.68
3902.64,9.61
3941.66,9.54
3981.08,9.46
4020.89,9.36
4061.10,9.26
4101.71,9.14
4142.73,9.03
4184.15,8.92
4226.00,8.81
4268.26,8.72
4310.94,8.65
4354.05,8.60
4397.59,8.57
4441.56,8.57
4485.98,8.59
4530.84,8.62
4576.15,8.66
4621.91,8.70
4668.13,8.76
4714.81,8.83
4761.96,8.92
4809.58,9.00
4857.67,9.07
4906.25,9.14
4955.31,9.20
5004.87,9.22
5054.91,9.24
5105.46,9.25
5156.52,9.25
5208.08,9.21
5260.16,9.16
5312.77,9.09
5365.89,8.98
5419.55,8.86
5473.75,8.70
5528.49,8.51
5583.77,8.30
5639.61,8.06
5696.00,7.78
5752.96,7.49
5810.49,7.18
5868.60,6.85
5927.28,6.49
5986.56,6.15
6046.42,5.82
6106.89,5.50
6167.96,5.20
6229.64,4.90
6291.93,4.63
6354.85,4.36
6418.40,4.15
6482.58,3.96
6547.41,3.79
6612.88,3.66
6679.01,3.53
6745.80,3.42
6813.26,3.32
6881.39,3.25
6950.21,3.19
7019.71,3.16
7089.91,3.17
7160.81,3.20
7232.41,3.28
7304.74,3.38
7377.79,3.50
7451.56,3.65
7526.08,3.81
7601.34,3.98
7677.35,4.14
7754.13,4.30
7831.67,4.43
7909.98,4.53
7989.08,4.59
8068.98,4.59
8149.67,4.54
8231.16,4.46
8313.47,4.36
8396.61,4.23
8480.57,4.07
8565.38,3.90
8651.03,3.71
8737.54,3.50
8824.92,3.29
8913.17,3.07
9002.30,2.85
9092.32,2.62
9183.25,2.37
9275.08,2.13
9367.83,1.88
9461.51,1.60
9556.12,1.28
9651.68,0.93
9748.20,0.57
9845.68,0.18
9944.14,-0.21
10043.58,-0.62
10144.02,-1.03
10245.46,-1.47
10347.91,-1.93
10451.39,-2.39
10555.91,-2.86
10661.46,-3.31
10768.08,-3.72
10875.76,-4.09
10984.52,-4.42
11094.36,-4.70
11205.31,-4.92
11317.36,-5.05
11430.53,-5.12
11544.84,-5.13
11660.29,-5.07
11776.89,-4.99
11894.66,-4.82
12013.60,-4.62
12133.74,-4.38
12255.08,-4.14
12377.63,-3.87
12501.41,-3.61
12626.42,-3.36
12752.68,-3.09
12880.21,-2.83
13009.01,-2.55
13139.10,-2.30
13270.49,-2.07
13403.20,-1.87
13537.23,-1.69
13672.60,-1.55
13809.33,-1.44
13947.42,-1.40
14086.90,-1.41
14227.77,-1.49
14370.04,-1.60
14513.74,-1.80
14658.88,-2.06
14805.47,-2.34
14953.52,-2.66
15103.06,-3.00
15254.09,-3.35
15406.63,-3.69
15560.70,-3.99
15716.30,-4.26
15873.47,-4.49
16032.20,-4.70
16192.52,-4.88
16354.45,-5.06
16517.99,-5.20
16683.17,-5.32
16850.01,-5.46
17018.51,-5.63
17188.69,-5.84
17360.58,-6.10
17534.18,-6.48
17709.53,-7.02
17886.62,-7.69
18065.49,-8.52
18246.14,-9.29
18428.60,-10.09
18612.89,-10.95
18799.02,-11.87
18987.01,-12.85
19176.88,-13.89
19368.65,-14.99
19562.33,-16.15
19757.96,-17.38
19955.54,-18.67
