frequency,raw
20.00,7.48
20.20,7.53
20.40,7.57
20.61,7.61
20.81,7.64
21.02,7.67
21.23,7.69
21.44,7.71
21.66,7.73
21.87,7.73
22.09,7.74
22.31,7.74
22.54,7.73
22.76,7.72
22.99,7.71
23.22,7.69
23.45,7.67
23.69,7.65
23.92,7.61
24.16,7.59
24.40,7.56
24.65,7.55
24.89,7.52
25.14,7.51
25.39,7.50
25.65,7.49
25.91,7.50
26.16,7.50
26.43,7.51
26.69,7.53
26.96,7.53
27.23,7.54
27.50,7.54
27.77,7.54
28.05,7.55
28.33,7.55
28.62,7.55
28.90,7.56
29.19,7.57
29.48,7.58
29.78,7.59
30.08,7.58
30.38,7.59
30.68,7.57
30.99,7.55
31.30,7.53
31.61,7.51
31.93,7.48
32.24,7.45
32.57,7.43
32.89,7.40
33.22,7.37
33.55,7.35
33.89,7.32
34.23,7.30
34.57,7.29
34.92,7.28
35.27,7.27
35.62,7.28
35.97,7.30
36.33,7.31
36.70,7.32
37.06,7.31
37.43,7.31
37.81,7.29
38.19,7.27
38.57,7.26
38.95,7.23
39.34,7.21
39.74,7.18
40.14,7.15
40.54,7.12
40.94,7.10
41.35,7.08
41.76,7.06
42.18,7.04
42.60,7.02
43.03,6.99
43.46,6.97
43.90,6.95
44.33,6.94
44.78,6.92
45.23,6.89
45.68,6.86
46.13,6.84
46.60,6.81
47.06,6.79
47.53,6.77
48.01,6.75
48.49,6.71
48.97,6.68
49.46,6.65
49.96,6.62
50.46,6.59
50.96,6.57
51.47,6.54
51.99,6.53
52.51,6.51
53.03,6.48
53.56,6.45
54.10,6.40
54.64,6.36
55.18,6.33
55.74,6.29
56.29,6.26
56.86,6.23
57.42,6.20
58.00,6.16
58.58,6.12
59.16,6.07
59.76,6.02
60.35,5.98
60.96,5.93
61.57,5.88
62.18,5.83
62.80,5.78
63.43,5.73
64.07,5.69
64.71,5.65
65.35,5.62
66.01,5.57
66.67,5.52
67.33,5.47
68.01,5.42
68.69,5.37
69.37,5.33
70.07,5.30
70.77,5.26
71.48,5.20
72.19,5.15
72.91,5.10
73.64,5.06
74.38,5.02
75.12,4.98
75.87,4.93
76.63,4.88
77.40,4.83
78.17,4.77
78.95,4.72
79.74,4.68
80.54,4.63
81.35,4.59
82.16,4.54
82.98,4.48
83.81,4.43
84.65,4.37
85.50,4.33
86.35,4.29
87.22,4.25
88.09,4.19
88.97,4.13
89.86,4.08
90.76,4.03
91.66,3.98
92.58,3.94
93.51,3.89
94.44,3.84
95.39,3.78
96.34,3.73
97.30,3.67
98.28,3.63
99.26,3.58
100.25,3.53
101.25,3.47
102.27,3.41
103.29,3.36
104.32,3.30
105.37,3.26
106.42,3.23
107.48,3.17
108.56,3.12
109.64,3.06
110.74,3.02
111.85,2.98
112.97,2.94
114.10,2.90
115.24,2.87
116.39,2.82
117.55,2.77
118.73,2.73
119.92,2.69
121.12,2.65
122.33,2.60
123.55,2.55
124.79,2.49
126.03,2.44
127.29,2.38
128.57,2.34
129.85,2.31
131.15,2.27
132.46,2.21
133.79,2.15
135.12,2.09
136.48,2.03
137.84,1.97
139.22,1.93
140.61,1.89
142.02,1.84
143.44,1.79
144.87,1.74
146.32,1.69
147.78,1.64
149.26,1.60
150.75,1.56
152.26,1.52
153.78,1.48
155.32,1.44
156.88,1.41
158.44,1.39
160.03,1.38
161.63,1.36
163.24,1.32
164.88,1.28
166.53,1.25
168.19,1.21
169.87,1.17
171.57,1.14
173.29,1.12
175.02,1.11
176.77,1.08
178.54,1.05
180.32,1.01
182.13,0.97
183.95,0.92
185.79,0.88
187.65,0.84
189.52,0.81
191.42,0.78
193.33,0.75
195.27,0.72
197.22,0.68
199.19,0.64
201.18,0.59
203.19,0.54
205.23,0.49
207.28,0.46
209.35,0.42
211.44,0.38
213.56,0.35
215.69,0.31
217.85,0.27
220.03,0.22
222.23,0.17
224.45,0.13
226.70,0.09
228.96,0.05
231.25,0.03
233.57,0.00
235.90,-0.03
238.26,-0.07
240.64,-0.12
243.05,-0.17
245.48,-0.22
247.93,-0.26
250.41,-0.31
252.92,-0.35
255.45,-0.38
258.00,-0.40
260.58,-0.42
263.19,-0.44
265.82,-0.47
268.48,-0.50
271.16,-0.53
273.87,-0.56
276.61,-0.60
279.38,-0.62
282.17,-0.65
284.99,-0.67
287.84,-0.70
290.72,-0.72
293.63,-0.74
296.57,-0.77
299.53,-0.81
302.53,-0.84
305.55,-0.88
308.61,-0.92
311.69,-0.96
314.81,-1.00
317.96,-1.02
321.14,-1.04
324.35,-1.06
327.59,-1.09
330.87,-1.14
334.18,-1.20
337.52,-1.24
340.90,-1.30
344.30,-1.34
347.75,-1.38
351.23,-1.41
354.74,-1.45
358.28,-1.49
361.87,-1.52
365.49,-1.56
369.14,-1.60
372.83,-1.65
376.56,-1.71
380.33,-1.75
384.13,-1.77
387.97,-1.80
391.85,-1.83
395.77,-1.86
399.73,-1.90
403.72,-1.94
407.76,-1.99
411.84,-2.04
415.96,-2.08
420.12,-2.12
424.32,-2.15
428.56,-2.18
432.85,-2.20
437.18,-2.23
441.55,-2.25
445.96,-2.26
450.42,-2.28
454.93,-2.30
459.48,-2.32
464.07,-2.34
468.71,-2.36
473.40,-2.37
478.13,-2.40
482.91,-2.43
487.74,-2.46
492.62,-2.49
497.55,-2.53
502.52,-2.56
507.55,-2.59
512.62,-2.62
517.75,-2.65
522.93,-2.66
528.16,-2.66
533.44,-2.67
538.77,-2.68
544.16,-2.68
549.60,-2.68
555.10,-2.70
560.65,-2.72
566.25,-2.74
571.92,-2.78
577.64,-2.81
583.41,-2.84
589.25,-2.86
595.14,-2.89
601.09,-2.92
607.10,-2.95
613.17,-3.00
619.30,-3.03
625.50,-3.07
631.75,-3.10
638.07,-3.14
644.45,-3.17
650.89,-3.19
657.40,-3.22
663.98,-3.25
670.62,-3.28
677.32,-3.31
684.10,-3.34
690.94,-3.36
697.85,-3.38
704.83,-3.40
711.87,-3.41
718.99,-3.41
726.18,-3.40
733.44,-3.39
740.78,-3.39
748.19,-3.39
755.67,-3.39
763.23,-3.40
770.86,-3.40
778.57,-3.40
786.35,-3.40
794.22,-3.40
802.16,-3.41
810.18,-3.41
818.28,-3.40
826.46,-3.39
834.73,-3.38
843.08,-3.35
851.51,-3.32
860.02,-3.27
868.62,-3.22
877.31,-3.17
886.08,-3.11
894.94,-3.03
903.89,-2.95
912.93,-2.86
922.06,-2.76
931.28,-2.67
940.59,-2.57
950.00,-2.46
959.50,-2.36
