frequency,raw
20.00,8.14
20.20,8.17
20.40,8.19
20.61,8.21
20.81,8.23
21.02,8.25
21.23,8.27
21.44,8.29
21.66,8.31
21.87,8.32
22.09,8.34
22.31,8.35
22.54,8.36
22.76,8.37
22.99,8.38
23.22,8.39
23.45,8.41
23.69,8.43
23.92,8.44
24.16,8.45
24.40,8.44
24.65,8.44
24.89,8.42
25.14,8.41
25.39,8.40
25.65,8.37
25.91,8.35
26.16,8.32
26.43,8.28
26.69,8.26
26.96,8.24
27.23,8.24
27.50,8.22
27.77,8.19
28.05,8.18
28.33,8.15
28.62,8.13
28.90,8.12
29.19,8.10
29.48,8.08
29.78,8.05
30.08,8.02
30.38,8.01
30.68,7.98
30.99,7.96
31.30,7.94
31.61,7.92
31.93,7.88
32.24,7.85
32.57,7.83
32.89,7.80
33.22,7.78
33.55,7.77
33.89,7.75
34.23,7.73
34.57,7.71
34.92,7.69
35.27,7.66
35.62,7.63
35.97,7.60
36.33,7.56
36.70,7.53
37.06,7.50
37.43,7.48
37.81,7.47
38.19,7.45
38.57,7.44
38.95,7.41
39.34,7.38
39.74,7.34
40.14,7.31
40.54,7.27
40.94,7.23
41.35,7.20
41.76,7.18
42.18,7.15
42.60,7.13
43.03,7.08
43.46,7.04
43.90,6.99
44.33,6.94
44.78,6.90
45.23,6.85
45.68,6.82
46.13,6.79
46.60,6.77
47.06,6.75
47.53,6.73
48.01,6.70
48.49,6.66
48.97,6.62
49.46,6.59
49.96,6.56
50.46,6.54
50.96,6.52
51.47,6.48
51.99,6.45
52.51,6.40
53.03,6.36
53.56,6.32
54.10,6.27
54.64,6.22
55.18,6.17
55.74,6.11
56.29,6.06
56.86,6.02
57.42,5.98
58.00,5.92
58.58,5.87
59.16,5.81
59.76,5.74
60.35,5.69
60.96,5.65
61.57,5.60
62.18,5.55
62.80,5.49
63.43,5.44
64.07,5.38
64.71,5.33
65.35,5.28
66.01,5.22
66.67,5.17
67.33,5.10
68.01,5.04
68.69,4.99
69.37,4.94
70.07,4.89
70.77,4.84
71.48,4.78
72.19,4.72
72.91,4.66
73.64,4.62
74.38,4.57
75.12,4.54
75.87,4.49
76.63,4.45
77.40,4.40
78.17,4.35
78.95,4.32
79.74,4.28
80.54,4.24
81.35,4.20
82.16,4.16
82.98,4.11
83.81,4.08
84.65,4.04
85.50,4.00
86.35,3.95
87.22,3.89
88.09,3.83
88.97,3.77
89.86,3.72
90.76,3.67
91.66,3.61
92.58,3.56
93.51,3.50
94.44,3.44
95.39,3.38
96.34,3.31
97.30,3.23
98.28,3.17
99.26,3.12
100.25,3.06
101.25,3.00
102.27,2.93
103.29,2.87
104.32,2.81
105.37,2.75
106.42,2.67
107.48,2.59
108.56,2.51
109.64,2.45
110.74,2.40
