frequency,raw
20.00,19.52
20.20,19.54
20.40,19.54
20.61,19.54
20.81,19.54
21.02,19.54
21.23,19.55
21.44,19.55
21.66,19.55
21.87,19.54
22.09,19.54
22.31,19.53
22.54,19.50
22.76,19.48
22.99,19.46
23.22,19.45
23.45,19.43
23.69,19.42
23.92,19.41
24.16,19.42
24.40,19.42
24.65,19.42
24.89,19.42
25.14,19.43
25.39,19.42
25.65,19.40
25.91,19.38
26.16,19.36
26.43,19.33
26.69,19.32
26.96,19.29
27.23,19.27
27.50,19.23
27.77,19.19
28.05,19.16
28.33,19.12
28.62,19.08
28.90,19.05
29.19,19.03
29.48,19.01
29.78,18.99
30.08,18.97
30.38,18.94
30.68,18.90
30.99,18.86
31.30,18.82
31.61,18.79
31.93,18.75
32.24,18.72
32.57,18.72
32.89,18.70
33.22,18.68
33.55,18.65
33.89,18.61
34.23,18.57
34.57,18.54
34.92,18.50
35.27,18.46
35.62,18.44
35.97,18.42
36.33,18.41
36.70,18.39
37.06,18.35
37.43,18.32
37.81,18.28
38.19,18.25
38.57,18.23
38.95,18.19
39.34,18.17
39.74,18.13
40.14,18.10
40.54,18.06
40.94,18.02
41.35,17.98
41.76,17.92
42.18,17.86
42.60,17.80
43.03,17.73
43.46,17.69
43.90,17.65
44.33,17.60
44.78,17.55
45.23,17.50
45.68,17.44
46.13,17.38
46.60,17.33
47.06,17.29
47.53,17.27
48.01,17.22
48.49,17.16
48.97,17.11
49.46,17.05
49.96,17.01
50.46,16.97
50.96,16.93
51.47,16.88
51.99,16.83
52.51,16.79
53.03,16.74
53.56,16.70
54.10,16.67
54.64,16.63
55.18,16.58
55.74,16.53
56.29,16.47
56.86,16.42
57.42,16.38
58.00,16.33
58.58,16.29
59.16,16.24
59.76,16.17
60.35,16.10
60.96,16.05
61.57,16.00
62.18,15.96
62.80,15.92
63.43,15.87
64.07,15.82
64.71,15.77
65.35,15.73
66.01,15.68
66.67,15.64
67.33,15.59
68.01,15.53
68.69,15.48
69.37,15.42
70.07,15.37
70.77,15.31
71.48,15.25
72.19,15.19
72.91,15.13
73.64,15.07
74.38,14.99
75.12,14.92
75.87,14.85
76.63,14.80
77.40,14.75
78.17,14.67
78.95,14.60
79.74,14.55
80.54,14.48
81.35,14.42
82.16,14.34
82.98,14.26
83.81,14.19
84.65,14.12
85.50,14.06
86.35,14.00
87.22,13.92
88.09,13.85
88.97,13.79
89.86,13.73
90.76,13.67
91.66,13.60
92.58,13.54
93.51,13.48
94.44,13.42
95.39,13.36
96.34,13.29
97.30,13.22
98.28,13.16
99.26,13.10
100.25,13.02
101.25,12.94
102.27,12.87
103.29,12.81
104.32,12.74
105.37,12.67
106.42,12.59
107.48,12.52
108.56,12.46
109.64,12.39
110.74,12.33
111.85,12.26
112.97,12.19
114.10,12.13
115.24,12.07
116.39,12.00
117.55,11.92
118.73,11.85
119.92,11.80
121.12,11.74
122.33,11.66
123.55,11.60
124.79,11.53
126.03,11.46
127.29,11.39
128.57,11.32
129.85,11.25
131.15,11.18
132.46,11.10
133.79,11.03
135.12,10.96
136.48,10.89
137.84,10.81
139.22,10.74
140.61,10.67
142.02,10.59
143.44,10.51
144.87,10.43
146.32,10.34
147.78,10.28
149.26,10.20
150.75,10.10
152.26,10.01
153.78,9.95
155.32,9.86
156.88,9.78
158.44,9.70
160.03,9.62
161.63,9.56
163.24,9.47
164.88,9.39
166.53,9.32
168.19,9.25
169.87,9.17
171.57,9.08
173.29,9.00
175.02,8.93
176.77,8.86
178.54,8.78
180.32,8.71
182.13,8.64
183.95,8.56
185.79,8.47
187.65,8.40
