frequency,raw
20.00,15.28
20.20,15.38
20.40,15.48
20.61,15.57
20.81,15.66
21.02,15.75
21.23,15.84
21.44,15.92
21.66,16.00
21.87,16.08
22.09,16.15
22.31,16.22
22.54,16.28
22.76,16.34
22.99,16.40
23.22,16.46
23.45,16.53
23.69,16.59
23.92,16.62
24.16,16.67
24.40,16.72
24.65,16.78
24.89,16.84
25.14,16.91
25.39,16.96
25.65,17.00
25.91,17.05
26.16,17.09
26.43,17.13
26.69,17.19
26.96,17.24
27.23,17.29
27.50,17.33
27.77,17.37
28.05,17.43
28.33,17.48
28.62,17.51
28.90,17.55
29.19,17.57
29.48,17.58
29.78,17.60
30.08,17.64
30.38,17.69
30.68,17.72
30.99,17.76
31.30,17.79
31.61,17.82
31.93,17.84
32.24,17.87
32.57,17.91
32.89,17.94
33.22,17.96
33.55,18.00
33.89,18.02
34.23,18.04
34.57,18.06
34.92,18.05
35.27,18.04
35.62,18.05
35.97,18.04
36.33,18.05
36.70,18.07
37.06,18.09
37.43,18.12
37.81,18.15
38.19,18.18
38.57,18.22
38.95,18.26
39.34,18.30
39.74,18.33
40.14,18.36
40.54,18.39
40.94,18.41
41.35,18.43
41.76,18.44
42.18,18.44
42.60,18.44
43.03,18.42
43.46,18.41
43.90,18.41
44.33,18.41
44.78,18.41
45.23,18.41
45.68,18.41
46.13,18.41
46.60,18.41
47.06,18.41
47.53,18.42
48.01,18.42
48.49,18.42
48.97,18.44
49.46,18.44
49.96,18.44
50.46,18.44
50.96,18.42
51.47,18.39
51.99,18.37
52.51,18.35
53.03,18.32
53.56,18.29
54.10,18.24
54.64,18.21
55.18,18.18
55.74,18.15
56.29,18.12
56.86,18.10
57.42,18.09
58.00,18.07
58.58,18.05
59.16,18.03
59.76,18.01
60.35,18.00
60.96,17.99
61.57,17.96
62.18,17.93
62.80,17.90
63.43,17.88
64.07,17.85
64.71,17.83
65.35,17.80
66.01,17.76
66.67,17.73
67.33,17.69
68.01,17.66
68.69,17.63
69.37,17.60
70.07,17.58
70.77,17.57
71.48,17.54
72.19,17.51
72.91,17.47
73.64,17.43
74.38,17.38
75.12,17.34
75.87,17.29
76.63,17.26
77.40,17.24
78.17,17.20
78.95,17.18
79.74,17.14
80.54,17.09
81.35,17.05
82.16,17.00
82.98,16.97
83.81,16.93
84.65,16.87
85.50,16.83
86.35,16.79
87.22,16.75
88.09,16.72
88.97,16.68
89.86,16.63
90.76,16.57
91.66,16.52
92.58,16.46
93.51,16.42
94.44,16.38
95.39,16.34
96.34,16.29
97.30,16.22
98.28,16.16
99.26,16.11
100.25,16.07
101.25,16.02
102.27,15.97
103.29,15.91
104.32,15.84
105.37,15.78
106.42,15.74
107.48,15.68
108.56,15.63
109.64,15.58
110.74,15.53
111.85,15.47
112.97,15.41
114.10,15.35
115.24,15.29
116.39,15.24
117.55,15.18
118.73,15.12
119.92,15.06
121.12,14.99
122.33,14.93
123.55,14.88
124.79,14.80
126.03,14.73
127.29,14.64
128.57,14.56
129.85,14.50
131.15,14.45
132.46,14.37
133.79,14.30
135.12,14.23
136.48,14.17
137.84,14.11
139.22,14.04
140.61,13.98
142.02,13.90
143.44,13.84
144.87,13.78
146.32,13.71
147.78,13.63
149.26,13.56
150.75,13.47
152.26,13.40
153.78,13.33
155.32,13.23
156.88,13.14
158.44,13.06
160.03,12.98
161.63,12.91
163.24,12.81
164.88,12.73
166.53,12.65
168.19,12.58
169.87,12.49
171.57,12.41
173.29,12.34
175.02,12.27
176.77,12.18
178.54,12.09
180.32,12.02
182.13,11.95
183.95,11.87
185.79,11.78
187.65,11.69
189.52,11.61
191.42,11.54
193.33,11.46
195.27,11.38
197.22,11.31
199.19,11.24
201.18,11.16
203.19,11.10
205.23,11.02
207.28,10.96
209.35,10.89
211.44,10.83
213.56,10.78
215.69,10.72
217.85,10.65
220.03,10.58
222.23,10.53
224.45,10.47
226.70,10.41
228.96,10.33
231.25,10.26
233.57,10.18
235.90,10.10
238.26,10.03
240.64,9.94
243.05,9.84
245.48,9.74
247.93,9.66
250.41,9.57
252.92,9.47
255.45,9.36
258.00,9.27
260.58,9.17
263.19,9.10
265.82,9.02
268.48,8.94
271.16,8.86
273.87,8.80
276.61,8.73
279.38,8.67
282.17,8.62
284.99,8.56
287.84,8.51
290.72,8.45
293.63,8.41
296.57,8.37
299.53,8.31
302.53,8.26
305.55,8.21
308.61,8.15
311.69,8.09
314.81,8.02
317.96,7.96
321.14,7.90
324.35,7.85
327.59,7.78
330.87,7.70
334.18,7.61
337.52,7.54
340.90,7.45
344.30,7.38
347.75,7.30
351.23,7.23
354.74,7.12
358.28,7.03
361.87,6.94
365.49,6.85
369.14,6.76
372.83,6.66
376.56,6.55
380.33,6.46
384.13,6.37
