frequency,raw
20.00,3.76
20.20,3.80
20.40,3.83
20.61,3.86
20.81,3.89
21.02,3.92
21.23,3.95
21.44,3.99
21.66,4.02
21.87,4.04
22.09,4.07
22.31,4.09
22.54,4.11
22.76,4.13
22.99,4.15
23.22,4.17
23.45,4.19
23.69,4.21
23.92,4.23
24.16,4.25
24.40,4.26
24.65,4.28
24.89,4.29
25.14,4.30
25.39,4.32
25.65,4.33
25.91,4.35
26.16,4.36
26.43,4.36
26.69,4.38
26.96,4.39
27.23,4.41
27.50,4.42
27.77,4.42
28.05,4.44
28.33,4.45
28.62,4.46
28.90,4.48
29.19,4.48
29.48,4.49
29.78,4.50
30.08,4.50
30.38,4.52
30.68,4.52
30.99,4.53
31.30,4.54
31.61,4.55
31.93,4.56
32.24,4.56
32.57,4.57
32.89,4.57
33.22,4.57
33.55,4.59
33.89,4.59
34.23,4.59
34.57,4.59
34.92,4.59
35.27,4.59
35.62,4.59
35.97,4.59
36.33,4.59
36.70,4.58
37.06,4.58
37.43,4.59
37.81,4.59
38.19,4.59
38.57,4.60
38.95,4.60
39.34,4.61
39.74,4.61
40.14,4.62
40.54,4.62
40.94,4.62
41.35,4.62
41.76,4.62
42.18,4.62
42.60,4.62
43.03,4.61
43.46,4.61
43.90,4.61
44.33,4.61
44.78,4.61
45.23,4.61
45.68,4.61
46.13,4.61
46.60,4.61
47.06,4.61
47.53,4.62
48.01,4.62
48.49,4.62
48.97,4.62
49.46,4.62
49.96,4.62
50.46,4.62
50.96,4.62
51.47,4.61
51.99,4.61
52.51,4.61
53.03,4.61
53.56,4.61
54.10,4.60
54.64,4.60
55.18,4.60
55.74,4.60
56.29,4.59
56.86,4.59
57.42,4.59
58.00,4.58
58.58,4.58
59.16,4.58
59.76,4.57
60.35,4.57
60.96,4.57
61.57,4.57
62.18,4.57
62.80,4.57
63.43,4.57
64.07,4.57
64.71,4.57
65.35,4.57
66.01,4.57
66.67,4.57
67.33,4.57
68.01,4.57
68.69,4.57
69.37,4.57
70.07,4.57
70.77,4.57
71.48,4.56
72.19,4.56
72.91,4.56
73.64,4.56
74.38,4.55
75.12,4.56
75.87,4.56
76.63,4.57
77.40,4.57
78.17,4.55
78.95,4.54
79.74,4.53
80.54,4.51
81.35,4.49
82.16,4.47
82.98,4.44
83.81,4.42
84.65,4.37
85.50,4.35
86.35,4.32
87.22,4.28
88.09,4.26
88.97,4.23
89.86,4.21
90.76,4.19
91.66,4.18
92.58,4.16
93.51,4.16
94.44,4.16
95.39,4.17
96.34,4.18
97.30,4.18
98.28,4.19
99.26,4.20
100.25,4.20
101.25,4.19
102.27,4.18
103.29,4.17
104.32,4.14
105.37,4.12
106.42,4.09
107.48,4.05
108.56,4.01
109.64,3.97
110.74,3.94
111.85,3.90
112.97,3.86
114.10,3.83
115.24,3.82
116.39,3.81
117.55,3.79
118.73,3.80
119.92,3.80
121.12,3.81
122.33,3.81
123.55,3.82
124.79,3.82
126.03,3.81
127.29,3.79
128.57,3.78
129.85,3.74
131.15,3.71
132.46,3.68
133.79,3.65
135.12,3.60
136.48,3.58
137.84,3.54
139.22,3.52
140.61,3.49
142.02,3.45
143.44,3.44
144.87,3.44
146.32,3.43
147.78,3.43
149.26,3.42
150.75,3.40
152.26,3.38
153.78,3.35
155.32,3.31
156.88,3.27
158.44,3.25
160.03,3.20
161.63,3.18
163.24,3.15
164.88,3.13
166.53,3.11
168.19,3.09
169.87,3.04
171.57,3.02
173.29,3.01
175.02,2.98
176.77,2.94
178.54,2.92
180.32,2.89
182.13,2.86
183.95,2.82
185.79,2.80
187.65,2.78
189.52,2.75
191.42,2.73
193.33,2.70
195.27,2.67
197.22,2.65
199.19,2.63
201.18,2.59
203.19,2.56
205.23,2.53
207.28,2.50
209.35,2.47
211.44,2.43
213.56,2.40
215.69,2.36
217.85,2.32
220.03,2.29
222.23,2.26
224.45,2.23
226.70,2.19
228.96,2.16
231.25,2.14
233.57,2.12
235.90,2.07
238.26,2.05
240.64,2.01
243.05,1.96
245.48,1.93
247.93,1.89
250.41,1.86
252.92,1.83
255.45,1.80
258.00,1.78
260.58,1.73
263.19,1.69
265.82,1.64
268.48,1.60
271.16,1.56
273.87,1.51
276.61,1.48
279.38,1.46
282.17,1.44
284.99,1.41
287.84,1.36
290.72,1.31
293.63,1.27
296.57,1.22
299.53,1.17
302.53,1.13
305.55,1.10
308.61,1.07
311.69,1.04
314.81,1.00
317.96,0.96
321.14,0.89
324.35,0.85
327.59,0.81
330.87,0.77
334.18,0.72
337.52,0.68
340.90,0.63
344.30,0.58
347.75,0.54
351.23,0.49
354.74,0.44
358.28,0.38
361.87,0.34
365.49,0.29
369.14,0.25
372.83,0.20
376.56,0.14
380.33,0.10
384.13,0.06
387.97,0.03
391.85,-0.02
395.77,-0.05
399.73,-0.10
403.72,-0.14
407.76,-0.20
411.84,-0.24
415.96,-0.28
420.12,-0.32
424.32,-0.35
428.56,-0.41
432.85,-0.46
437.18,-0.50
441.55,-0.55
445.96,-0.59
450.42,-0.64
454.93,-0.69
459.48,-0.73
464.07,-0.78
468.71,-0.83
473.40,-0.88
478.13,-0.93
482.91,-0.97
487.74,-1.00
492.62,-1.04
497.55,-1.08
502.52,-1.12
507.55,-1.17
512.62,-1.22
517.75,-1.27
522.93,-1.30
528.16,-1.33
533.44,-1.35
538.77,-1.39
544.16,-1.43
549.60,-1.48
555.10,-1.53
560.65,-1.58
566.25,-1.61
571.92,-1.65
577.64,-1.68
583.41,-1.70
589.25,-1.74
595.14,-1.80
601.09,-1.84
607.10,-1.89
613.17,-1.95
619.30,-1.99
625.50,-2.03
631.75,-2.06
638.07,-2.08
644.45,-2.10
650.89,-2.12
