frequency,raw
20.00,-26.24
20.20,-26.15
20.40,-26.07
20.61,-25.99
20.81,-25.91
21.02,-25.83
21.23,-25.75
21.44,-25.67
21.66,-25.58
21.87,-25.51
22.09,-25.42
22.31,-25.34
22.54,-25.26
22.76,-25.18
22.99,-25.10
23.22,-25.02
23.45,-24.94
23.69,-24.86
23.92,-24.78
24.16,-24.70
24.40,-24.62
24.65,-24.52
24.89,-24.44
25.14,-24.35
25.39,-24.26
25.65,-24.17
25.91,-24.08
26.16,-23.99
26.43,-23.90
26.69,-23.80
26.96,-23.71
27.23,-23.61
27.50,-23.52
27.77,-23.43
28.05,-23.32
28.33,-23.22
28.62,-23.12
28.90,-23.00
29.19,-22.90
29.48,-22.79
29.78,-22.69
30.08,-22.59
30.38,-22.48
30.68,-22.38
30.99,-22.28
31.30,-22.17
31.61,-22.05
31.93,-21.94
32.24,-21.81
32.57,-21.68
32.89,-21.55
33.22,-21.42
33.55,-21.27
33.89,-21.13
34.23,-20.99
34.57,-20.83
34.92,-20.68
35.27,-20.52
35.62,-20.35
35.97,-20.19
36.33,-20.03
36.70,-19.86
37.06,-19.70
37.43,-19.52
37.81,-19.35
38.19,-19.19
38.57,-19.02
38.95,-18.86
39.34,-18.69
39.74,-18.53
40.14,-18.37
40.54,-18.22
40.94,-18.07
41.35,-17.93
41.76,-17.79
42.18,-17.65
42.60,-17.52
43.03,-17.39
43.46,-17.26
43.90,-17.13
44.33,-17.02
44.78,-16.91
45.23,-16.80
45.68,-16.69
46.13,-16.58
46.60,-16.48
47.06,-16.39
47.53,-16.29
48.01,-16.20
48.49,-16.11
48.97,-16.02
49.46,-15.94
49.96,-15.85
50.46,-15.77
50.96,-15.69
51.47,-15.60
51.99,-15.51
52.51,-15.43
53.03,-15.34
53.56,-15.24
54.10,-15.15
54.64,-15.05
55.18,-14.94
55.74,-14.84
56.29,-14.74
56.86,-14.63
57.42,-14.52
58.00,-14.42
58.58,-14.31
59.16,-14.20
59.76,-14.10
60.35,-14.00
60.96,-13.89
61.57,-13.78
62.18,-13.68
62.80,-13.57
63.43,-13.46
64.07,-13.36
64.71,-13.26
65.35,-13.16
66.01,-13.06
66.67,-12.95
67.33,-12.85
68.01,-12.76
68.69,-12.65
69.37,-12.55
70.07,-12.45
70.77,-12.34
71.48,-12.25
72.19,-12.14
72.91,-12.03
73.64,-11.92
74.38,-11.82
75.12,-11.71
75.87,-11.60
76.63,-11.48
77.40,-11.36
78.17,-11.26
78.95,-11.15
79.74,-11.04
80.54,-10.94
81.35,-10.82
82.16,-10.71
82.98,-10.58
83.81,-10.47
84.65,-10.38
85.50,-10.27
86.35,-10.17
87.22,-10.06
88.09,-9.96
88.97,-9.86
89.86,-9.77
90.76,-9.67
91.66,-9.57
92.58,-9.47
93.51,-9.38
94.44,-9.29
95.39,-9.19
96.34,-9.08
97.30,-8.99
98.28,-8.88
99.26,-8.76
100.25,-8.64
101.25,-8.51
102.27,-8.39
103.29,-8.33
104.32,-8.25
105.37,-8.14
106.42,-8.01
107.48,-7.90
108.56,-7.79
109.64,-7.67
110.74,-7.55
111.85,-7.42
112.97,-7.29
114.10,-7.16
115.24,-7.04
116.39,-6.97
117.55,-6.87
118.73,-6.71
119.92,-6.56
121.12,-6.40
122.33,-6.33
123.55,-6.21
124.79,-6.04
126.03,-5.88
127.29,-5.81
128.57,-5.69
129.85,-5.54
131.15,-5.38
132.46,-5.31
133.79,-5.17
135.12,-5.00
136.48,-4.91
137.84,-4.75
139.22,-4.65
140.61,-4.53
142.02,-4.35
143.44,-4.26
144.87,-4.10
146.32,-4.01
147.78,-3.87
149.26,-3.76
150.75,-3.62
152.26,-3.50
153.78,-3.35
155.32,-3.24
156.88,-3.08
158.44,-2.95
160.03,-2.77
161.63,-2.66
163.24,-2.55
164.88,-2.38
166.53,-2.25
168.19,-2.14
169.87,-1.96
171.57,-1.83
173.29,-1.72
175.02,-1.53
176.77,-1.41
178.54,-1.29
180.32,-1.17
182.13,-1.05
183.95,-0.84
185.79,-0.70
187.65,-0.56
189.52,-0.42
191.42,-0.27
193.33,-0.13
195.27,0.02
197.22,0.18
199.19,0.34
201.18,0.47
203.19,0.63
205.23,0.78
207.28,0.96
209.35,1.13
211.44,1.29
213.56,1.45
215.69,1.63
217.85,1.81
220.03,1.93
222.23,2.09
224.45,2.28
226.70,2.47
228.96,2.64
231.25,2.76
233.57,2.93
235.90,3.13
238.26,3.28
240.64,3.44
243.05,3.57
245.48,3.74
247.93,3.95
250.41,4.10
252.92,4.29
255.45,4.42
258.00,4.56
260.58,4.74
263.19,4.91
265.82,5.12
268.48,5.27
271.16,5.42
273.87,5.62
276.61,5.75
279.38,5.90
282.17,6.04
284.99,6.19
287.84,6.39
290.72,6.53
293.63,6.67
296.57,6.82
299.53,6.97
302.53,7.12
305.55,7.27
308.61,7.40
311.69,7.55
314.81,7.67
317.96,7.82
321.14,7.97
324.35,8.13
327.59,8.29
330.87,8.42
334.18,8.58
337.52,8.76
340.90,8.90
344.30,9.07
347.75,9.23
351.23,9.42
354.74,9.56
358.28,9.74
361.87,9.91
365.49,10.09
369.14,10.25
372.83,10.39
376.56,10.56
380.33,10.72
384.13,10.87
387.97,11.01
391.85,11.15
395.77,11.29
