frequency,raw
20.00,5.64
20.20,5.67
20.40,5.69
20.61,5.71
20.81,5.73
21.02,5.75
21.23,5.77
21.44,5.79
21.66,5.81
21.87,5.82
22.09,5.84
22.31,5.85
22.54,5.86
22.76,5.87
22.99,5.88
23.22,5.89
23.45,5.90
23.69,5.91
23.92,5.91
24.16,5.92
24.40,5.92
24.65,5.93
24.89,5.93
25.14,5.94
25.39,5.95
25.65,5.95
25.91,5.96
26.16,5.96
26.43,5.96
26.69,5.97
26.96,5.97
27.23,5.98
27.50,5.98
27.77,5.98
28.05,5.99
28.33,5.99
28.62,5.99
28.90,6.00
29.19,6.00
29.48,6.00
29.78,6.00
30.08,6.00
30.38,6.01
30.68,6.01
30.99,6.01
31.30,6.01
31.61,6.02
31.93,6.02
32.24,6.02
32.57,6.03
32.89,6.03
33.22,6.03
33.55,6.05
33.89,6.06
34.23,6.06
34.57,6.08
34.92,6.08
35.27,6.08
35.62,6.08
35.97,6.08
36.33,6.08
36.70,6.07
37.06,6.07
37.43,6.08
37.81,6.07
38.19,6.07
38.57,6.07
38.95,6.06
39.34,6.06
39.74,6.05
40.14,6.05
40.54,6.03
40.94,6.02
41.35,6.01
41.76,6.00
42.18,5.98
42.60,5.97
43.03,5.94
43.46,5.93
43.90,5.91
44.33,5.90
44.78,5.88
45.23,5.86
45.68,5.85
46.13,5.84
46.60,5.82
47.06,5.81
47.53,5.80
48.01,5.79
48.49,5.79
48.97,5.78
49.46,5.78
49.96,5.77
50.46,5.77
50.96,5.77
51.47,5.76
51.99,5.76
52.51,5.77
53.03,5.77
53.56,5.77
54.10,5.76
54.64,5.75
55.18,5.73
55.74,5.72
56.29,5.69
56.86,5.67
57.42,5.66
58.00,5.63
58.58,5.61
59.16,5.59
59.76,5.56
60.35,5.54
60.96,5.51
61.57,5.49
62.18,5.47
62.80,5.46
63.43,5.44
64.07,5.43
64.71,5.42
65.35,5.41
66.01,5.40
66.67,5.40
67.33,5.40
68.01,5.40
68.69,5.40
69.37,5.40
70.07,5.39
70.77,5.38
71.48,5.36
72.19,5.33
72.91,5.31
73.64,5.29
74.38,5.26
75.12,5.24
75.87,5.20
76.63,5.17
77.40,5.15
78.17,5.12
78.95,5.10
79.74,5.09
80.54,5.06
81.35,5.04
82.16,5.03
82.98,5.01
83.81,4.99
84.65,4.97
85.50,4.96
86.35,4.94
87.22,4.91
88.09,4.89
88.97,4.86
89.86,4.83
90.76,4.80
91.66,4.78
92.58,4.76
93.51,4.74
94.44,4.72
95.39,4.69
96.34,4.67
97.30,4.63
98.28,4.61
99.26,4.59
100.25,4.57
101.25,4.54
102.27,4.51
103.29,4.49
104.32,4.46
105.37,4.44
106.42,4.42
107.48,4.38
108.56,4.35
109.64,4.32
110.74,4.29
111.85,4.26
112.97,4.22
114.10,4.20
115.24,4.17
116.39,4.14
117.55,4.10
118.73,4.07
119.92,4.03
121.12,4.00
122.33,3.98
123.55,3.97
124.79,3.95
126.03,3.95
127.29,3.95
128.57,3.96
129.85,3.96
131.15,3.96
132.46,3.95
133.79,3.95
135.12,3.95
136.48,3.95
137.84,3.95
139.22,3.95
140.61,3.95
142.02,3.94
143.44,3.94
144.87,3.94
146.32,3.93
147.78,3.93
149.26,3.93
150.75,3.92
152.26,3.92
153.78,3.92
155.32,3.91
156.88,3.91
158.44,3.91
160.03,3.91
161.63,3.91
163.24,3.90
164.88,3.90
166.53,3.90
168.19,3.90
169.87,3.89
171.57,3.89
173.29,3.89
175.02,3.89
176.77,3.88
178.54,3.88
180.32,3.88
182.13,3.88
183.95,3.88
185.79,3.88
187.65,3.88
189.52,3.88
191.42,3.88
193.33,3.88
195.27,3.88
197.22,3.88
199.19,3.89
201.18,3.88
203.19,3.89
205.23,3.89
207.28,3.88
209.35,3.87
211.44,3.85
213.56,3.82
215.69,3.79
217.85,3.76
220.03,3.74
222.23,3.71
224.45,3.68
226.70,3.64
228.96,3.59
231.25,3.56
233.57,3.51
235.90,3.45
238.26,3.42
240.64,3.37
243.05,3.33
245.48,3.30
247.93,3.27
250.41,3.24
252.92,3.20
255.45,3.17
258.00,3.13
260.58,3.08
263.19,3.05
265.82,3.01
268.48,2.98
271.16,2.97
273.87,2.93
276.61,2.89
279.38,2.86
282.17,2.80
284.99,2.76
287.84,2.69
290.72,2.65
293.63,2.62
296.57,2.59
299.53,2.56
302.53,2.53
305.55,2.50
308.61,2.45
311.69,2.40
314.81,2.35
317.96,2.31
321.14,2.27
324.35,2.24
327.59,2.22
330.87,2.19
334.18,2.15
337.52,2.11
340.90,2.05
344.30,2.01
347.75,1.97
351.23,1.94
354.74,1.90
358.28,1.87
361.87,1.83
365.49,1.78
369.14,1.73
372.83,1.68
376.56,1.61
380.33,1.57
384.13,1.53
387.97,1.50
391.85,1.47
395.77,1.44
399.73,1.40
403.72,1.36
407.76,1.31
411.84,1.27
415.96,1.24
420.12,1.21
424.32,1.18
428.56,1.14
432.85,1.10
437.18,1.04
441.55,0.99
445.96,0.94
450.42,0.88
454.93,0.85
459.48,0.81
464.07,0.79
468.71,0.76
473.40,0.72
478.13,0.67
482.91,0.63
487.74,0.58
492.62,0.54
497.55,0.51
502.52,0.49
507.55,0.47
512.62,0.44
517.75,0.39
522.93,0.34
528.16,0.30
533.44,0.25
538.77,0.20
544.16,0.17
549.60,0.14
555.10,0.13
560.65,0.11
566.25,0.06
571.92,0.00
577.64,-0.05
583.41,-0.09
589.25,-0.13
595.14,-0.17
601.09,-0.21
607.10,-0.23
613.17,-0.27
619.30,-0.31
625.50,-0.36
631.75,-0.41
638.07,-0.46
644.45,-0.50
650.89,-0.53
657.40,-0.56
663.98,-0.59
670.62,-0.63
677.32,-0.67
684.10,-0.72
690.94,-0.77
697.85,-0.81
704.83,-0.86
711.87,-0.89
718.99,-0.91
726.18,-0.94
733.44,-0.97
740.78,-1.02
748.19,-1.07
755.67,-1.12
763.23,-1.17
770.86,-1.20
778.57,-1.23
786.35,-1.25
794.22,-1.27
802.16,-1.31
810.18,-1.36
818.28,-1.40
826.46,-1.43
834.73,-1.47
843.08,-1.51
851.51,-1.54
860.02,-1.58
868.62,-1.61
877.31,-1.65
886.08,-1.69
894.94,-1.73
903.89,-1.77
912.93,-1.81
922.06,-1.82
931.28,-1.84
940.59,-1.86
950.00,-1.87
959.50,-1.90
969.09,-1.91
978.78,-1.92
988.57,-1.93
998.46,-1.93
1008.44,-1.94
1018.53,-1.95
1028.71,-1.95
1039.00,-1.95
1049.39,-1.93
1059.88,-1.92
1070.48,-1.91
1081.19,-1.91
1092.00,-1.91
1102.92,-1.89
1113.95,-1.87
1125.09,-1.84
1136.34,-1.84
1147.70,-1.83
1159.18,-1.82
1170.77,-1.81
1182.48,-1.80
1194.30,-1.81
1206.25,-1.82
1218.31,-1.84
1230.49,-1.83
1242.80,-1.84
1255.22,-1.86
1267.78,-1.87
1280.45,-1.89
1293.26,-1.92
1306.19,-1.98
1319.25,-2.01
1332.45,-2.05
1345.77,-2.09
1359.23,-2.13
1372.82,-2.18
1386.55,-2.20
1400.41,-2.23
1414.42,-2.28
