frequency,raw
20.00,-0.78
20.20,-0.67
20.40,-0.58
20.61,-0.48
20.81,-0.39
21.02,-0.29
21.23,-0.20
21.44,-0.10
21.66,-0.01
21.87,0.08
22.09,0.17
22.31,0.26
22.54,0.34
22.76,0.43
22.99,0.52
23.22,0.60
23.45,0.69
23.69,0.77
23.92,0.85
24.16,0.93
24.40,1.01
24.65,1.09
24.89,1.17
25.14,1.25
25.39,1.33
25.65,1.40
25.91,1.48
26.16,1.56
26.43,1.63
26.69,1.71
26.96,1.78
27.23,1.86
27.50,1.93
27.77,2.00
28.05,2.08
28.33,2.15
28.62,2.21
28.90,2.29
29.19,2.35
29.48,2.42
29.78,2.48
30.08,2.54
30.38,2.61
30.68,2.67
30.99,2.73
31.30,2.78
31.61,2.84
31.93,2.90
32.24,2.95
32.57,3.02
32.89,3.07
33.22,3.12
33.55,3.18
33.89,3.23
34.23,3.28
34.57,3.33
34.92,3.38
35.27,3.42
35.62,3.48
35.97,3.53
36.33,3.57
36.70,3.61
37.06,3.66
37.43,3.71
37.81,3.75
38.19,3.79
38.57,3.84
38.95,3.89
39.34,3.93
39.74,3.97
40.14,4.02
40.54,4.05
40.94,4.09
41.35,4.12
41.76,4.15
42.18,4.18
42.60,4.22
43.03,4.24
43.46,4.27
43.90,4.30
44.33,4.33
44.78,4.36
45.23,4.40
45.68,4.43
46.13,4.46
46.60,4.49
47.06,4.51
47.53,4.55
48.01,4.57
48.49,4.60
48.97,4.63
49.46,4.64
49.96,4.66
50.46,4.68
50.96,4.70
51.47,4.71
51.99,4.73
52.51,4.75
53.03,4.76
53.56,4.77
54.10,4.77
54.64,4.78
55.18,4.78
55.74,4.79
56.29,4.80
56.86,4.81
57.42,4.81
58.00,4.80
58.58,4.80
59.16,4.80
59.76,4.78
60.35,4.78
60.96,4.77
61.57,4.77
62.18,4.77
62.80,4.77
63.43,4.77
64.07,4.77
64.71,4.77
65.35,4.77
66.01,4.77
66.67,4.77
67.33,4.77
68.01,4.77
68.69,4.77
69.37,4.77
70.07,4.77
70.77,4.77
71.48,4.76
72.19,4.76
72.91,4.76
73.64,4.76
74.38,4.75
75.12,4.75
75.87,4.74
76.63,4.74
77.40,4.74
78.17,4.73
78.95,4.73
79.74,4.73
80.54,4.72
81.35,4.72
82.16,4.72
82.98,4.72
83.81,4.72
84.65,4.71
85.50,4.71
86.35,4.71
87.22,4.71
88.09,4.72
88.97,4.73
89.86,4.72
90.76,4.71
91.66,4.70
92.58,4.68
93.51,4.65
94.44,4.63
95.39,4.60
96.34,4.57
97.30,4.53
98.28,4.49
99.26,4.46
100.25,4.43
101.25,4.41
102.27,4.40
103.29,4.39
104.32,4.38
105.37,4.37
106.42,4.36
107.48,4.34
108.56,4.32
109.64,4.30
110.74,4.26
111.85,4.22
112.97,4.18
114.10,4.14
115.24,4.12
116.39,4.11
117.55,4.07
118.73,4.04
119.92,4.00
121.12,3.97
122.33,3.94
123.55,3.92
124.79,3.88
126.03,3.86
127.29,3.83
128.57,3.80
129.85,3.76
131.15,3.73
132.46,3.69
133.79,3.65
135.12,3.60
136.48,3.57
137.84,3.54
139.22,3.53
140.61,3.51
142.02,3.45
143.44,3.42
144.87,3.37
146.32,3.32
147.78,3.26
149.26,3.22
150.75,3.17
152.26,3.13
153.78,3.09
155.32,3.05
156.88,3.00
158.44,2.95
160.03,2.90
161.63,2.87
163.24,2.83
164.88,2.77
166.53,2.74
168.19,2.71
169.87,2.65
171.57,2.61
173.29,2.57
175.02,2.51
176.77,2.46
178.54,2.40
180.32,2.36
182.13,2.32
183.95,2.26
185.79,2.22
187.65,2.16
189.52,2.10
191.42,2.05
193.33,2.01
195.27,1.96
197.22,1.92
199.19,1.86
201.18,1.79
203.19,1.73
205.23,1.66
207.28,1.61
209.35,1.57
211.44,1.51
213.56,1.45
215.69,1.40
217.85,1.34
220.03,1.30
222.23,1.25
224.45,1.19
226.70,1.12
228.96,1.05
231.25,1.00
233.57,0.95
235.90,0.86
238.26,0.81
240.64,0.72
243.05,0.66
245.48,0.59
247.93,0.50
250.41,0.44
252.92,0.37
255.45,0.31
258.00,0.26
260.58,0.18
263.19,0.13
265.82,0.06
268.48,-0.01
271.16,-0.06
273.87,-0.15
276.61,-0.21
279.38,-0.27
282.17,-0.34
284.99,-0.40
287.84,-0.48
290.72,-0.53
293.63,-0.59
296.57,-0.64
299.53,-0.72
302.53,-0.79
305.55,-0.85
308.61,-0.92
311.69,-0.99
314.81,-1.07
317.96,-1.15
321.14,-1.24
324.35,-1.31
327.59,-1.38
330.87,-1.46
334.18,-1.57
337.52,-1.65
340.90,-1.72
344.30,-1.79
347.75,-1.86
351.23,-1.94
354.74,-2.02
358.28,-2.09
361.87,-2.15
365.49,-2.22
369.14,-2.29
372.83,-2.34
376.56,-2.42
380.33,-2.49
384.13,-2.55
387.97,-2.60
391.85,-2.66
395.77,-2.70
399.73,-2.75
403.72,-2.78
407.76,-2.82
411.84,-2.84
415.96,-2.86
420.12,-2.88
424.32,-2.88
428.56,-2.89
432.85,-2.89
437.18,-2.89
441.55,-2.90
445.96,-2.92
450.42,-2.96
454.93,-2.98
459.48,-3.02
464.07,-3.05
468.71,-3.08
473.40,-3.12
478.13,-3.15
482.91,-3.18
487.74,-3.19
492.62,-3.20
497.55,-3.23
502.52,-3.25
507.55,-3.27
512.62,-3.28
517.75,-3.32
522.93,-3.34
528.16,-3.38
533.44,-3.40
538.77,-3.44
544.16,-3.47
549.60,-3.50
555.10,-3.53
560.65,-3.57
566.25,-3.61
571.92,-3.65
577.64,-3.69
583.41,-3.71
589.25,-3.73
595.14,-3.77
601.09,-3.81
607.10,-3.85
613.17,-3.88
619.30,-3.90
625.50,-3.93
631.75,-3.96
638.07,-3.99
644.45,-3.99
650.89,-3.97
657.40,-3.95
663.98,-3.93
670.62,-3.90
677.32,-3.88
684.10,-3.85
690.94,-3.81
697.85,-3.77
704.83,-3.75
711.87,-3.71
718.99,-3.69
726.18,-3.67
733.44,-3.64
740.78,-3.62
748.19,-3.62
755.67,-3.63
763.23,-3.65
770.86,-3.66
778.57,-3.67
786.35,-3.66
794.22,-3.63
802.16,-3.61
810.18,-3.58
818.28,-3.56
826.46,-3.52
834.73,-3.50
843.08,-3.46
851.51,-3.41
860.02,-3.36
868.62,-3.31
877.31,-3.26
886.08,-3.18
894.94,-3.12
903.89,-3.05
912.93,-2.98
922.06,-2.89
931.28,-2.80
940.59,-2.71
950.00,-2.59
959.50,-2.47
969.09,-2.34
978.78,-2.22
988.57,-2.08
998.46,-1.95
1008.44,-1.82
1018.53,-1.68
1028.71,-1.54
1039.00,-1.39
1049.39,-1.25
1059.88,-1.10
1070.48,-0.96
1081.19,-0.82
1092.00,-0.67
1102.92,-0.52
1113.95,-0.36
1125.09,-0.21
1136.34,-0.05
1147.70,0.10
1159.18,0.25
1170.77,0.40
1182.48,0.54
1194.30,0.66
1206.25,0.79
1218.31,0.91
1230.49,1.03
1242.80,1.14
1255.22,1.24
1267.78,1.33
1280.45,1.43
1293.26,1.50
1306.19,1.54
1319.25,1.59
1332.45,1.62
1345.77,1.64
1359.23,1.65
1372.82,1.66
1386.55,1.66
1400.41,1.65
1414.42,1.63
1428.56,1.59
1442.85,1.55
1457.28,1.50
1471.85,1.43
1486.57,1.37
1501.43,1.31
1516.45,1.23
1531.61,1.16
1546.93,1.09
1562.40,1.01
1578.02,0.95
1593.80,0.88
1609.74,0.81
1625.84,0.75
1642.10,0.69
1658.52,0.63
1675.10,0.58
1691.85,0.54
1708.77,0.50
1725.86,0.48
1743.12,0.44
1760.55,0.40
1778.15,0.37
1795.94,0.34
1813.90,0.32
1832.03,0.28
1850.36,0.24
1868.86,0.19
1887.55,0.15
1906.42,0.12
1925.49,0.10
1944.74,0.06
1964.19,0.01
1983.83,-0.04
2003.67,-0.09
2023.71,-0.14
2043.94,-0.18
2064.38,-0.23
2085.03,-0.26
2105.88,-0.29
2126.94,-0.31
2148.20,-0.34
2169.69,-0.36
2191.38,-0.37
2213.30,-0.38
2235.43,-0.41
2257.78,-0.43
2280.36,-0.45
2303.17,-0.46
2326.20,-0.48
2349.46,-0.48
2372.95,-0.49
2396.68,-0.50
2420.65,-0.52
2444.86,-0.52
2469.31,-0.52
2494.00,-0.52
2518.94,-0.50
2544.13,-0.47
2569.57,-0.44
2595.27,-0.43
2621.22,-0.41
2647.43,-0.38
2673.90,-0.36
2700.64,-0.33
2727.65,-0.31
2754.93,-0.28
2782.48,-0.25
2810.30,-0.23
2838.40,-0.19
2866.79,-0.16
2895.46,-0.12
2924.41,-0.07
2953.65,0.00
2983.19,0.08
3013.02,0.19
3043.15,0.30
3073.58,0.44
3104.32,0.60
3135.36,0.76
3166.72,0.96
3198.38,1.17
3230.37,1.39
3262.67,1.64
3295.30,1.87
3328.25,2.10
3361.53,2.33
3395.15,2.55
3429.10,2.76
3463.39,2.97
3498.03,3.14
3533.01,3.31
3568.34,3.45
3604.02,3.58
3640.06,3.69
3676.46,3.77
3713.22,3.82
3750.36,3.86
3787.86,3.88
3825.74,3.88
3864.00,3.87
3902.64,3.81
3941.66,3.74
3981.08,3.65
4020.89,3.54
4061.10,3.41
4101.71,3.27
4142.73,3.11
4184.15,2.92
4226.00,2.72
4268.26,2.51
4310.94,2.28
4354.05,2.03
4397.59,1.78
4441.56,1.52
4485.98,1.28
4530.84,1.03
4576.15,0.79
4621.91,0.53
4668.13,0.28
4714.81,-0.01
4761.96,-0.29
4809.58,-0.58
4857.67,-0.88
