frequency,raw
20.00,10.13
20.20,10.16
20.40,10.18
20.61,10.20
20.81,10.22
21.02,10.24
21.23,10.26
21.44,10.28
21.66,10.30
21.87,10.31
22.09,10.33
22.31,10.34
22.54,10.35
22.76,10.36
22.99,10.37
23.22,10.38
23.45,10.39
23.69,10.40
23.92,10.40
24.16,10.41
24.40,10.41
24.65,10.42
24.89,10.42
25.14,10.43
25.39,10.44
25.65,10.43
25.91,10.43
26.16,10.43
26.43,10.43
26.69,10.45
26.96,10.46
27.23,10.49
27.50,10.51
27.77,10.54
28.05,10.58
28.33,10.61
28.62,10.64
28.90,10.68
29.19,10.71
29.48,10.74
29.78,10.77
30.08,10.79
30.38,10.82
30.68,10.84
30.99,10.85
31.30,10.85
31.61,10.85
31.93,10.84
32.24,10.84
32.57,10.84
32.89,10.84
33.22,10.84
33.55,10.85
33.89,10.85
34.23,10.85
34.57,10.86
34.92,10.86
35.27,10.86
35.62,10.87
35.97,10.87
36.33,10.87
36.70,10.87
37.06,10.87
37.43,10.88
37.81,10.88
38.19,10.88
38.57,10.89
38.95,10.89
39.34,10.90
39.74,10.90
40.14,10.91
40.54,10.91
40.94,10.91
41.35,10.91
41.76,10.91
42.18,10.91
42.60,10.91
43.03,10.90
43.46,10.90
43.90,10.90
44.33,10.90
44.78,10.90
45.23,10.90
45.68,10.90
46.13,10.90
46.60,10.90
47.06,10.90
47.53,10.91
48.01,10.91
48.49,10.91
48.97,10.91
49.46,10.91
49.96,10.91
50.46,10.91
50.96,10.91
51.47,10.90
51.99,10.91
52.51,10.91
53.03,10.92
53.56,10.93
54.10,10.92
54.64,10.91
55.18,10.90
55.74,10.88
56.29,10.85
56.86,10.82
57.42,10.79
58.00,10.75
58.58,10.72
59.16,10.69
59.76,10.65
60.35,10.62
60.96,10.59
61.57,10.57
62.18,10.55
62.80,10.53
63.43,10.52
64.07,10.52
64.71,10.52
65.35,10.53
66.01,10.54
66.67,10.54
67.33,10.54
68.01,10.54
68.69,10.54
69.37,10.54
70.07,10.54
70.77,10.54
71.48,10.53
72.19,10.53
72.91,10.53
73.64,10.53
74.38,10.52
75.12,10.53
75.87,10.53
76.63,10.53
77.40,10.53
78.17,10.52
78.95,10.50
79.74,10.49
80.54,10.45
81.35,10.43
82.16,10.40
82.98,10.37
83.81,10.34
84.65,10.31
85.50,10.29
86.35,10.26
87.22,10.23
88.09,10.20
88.97,10.16
89.86,10.12
90.76,10.09
91.66,10.06
92.58,10.03
93.51,10.01
94.44,9.98
95.39,9.96
96.34,9.94
97.30,9.91
98.28,9.89
99.26,9.86
100.25,9.83
101.25,9.80
102.27,9.78
103.29,9.75
104.32,9.72
105.37,9.70
106.42,9.68
107.48,9.65
108.56,9.63
109.64,9.59
110.74,9.56
111.85,9.52
112.97,9.46
114.10,9.42
115.24,9.38
116.39,9.34
117.55,9.30
118.73,9.28
119.92,9.27
121.12,9.25
122.33,9.22
123.55,9.18
124.79,9.14
126.03,9.10
127.29,9.06
128.57,9.02
129.85,8.99
131.15,8.97
132.46,8.94
133.79,8.91
135.12,8.89
136.48,8.87
137.84,8.85
139.22,8.82
140.61,8.80
142.02,8.76
143.44,8.73
144.87,8.70
146.32,8.67
147.78,8.65
149.26,8.63
150.75,8.61
152.26,8.58
153.78,8.55
155.32,8.51
156.88,8.47
158.44,8.43
160.03,8.38
161.63,8.34
163.24,8.30
164.88,8.27
166.53,8.25
168.19,8.23
169.87,8.19
171.57,8.16
173.29,8.12
175.02,8.08
176.77,8.02
178.54,7.97
180.32,7.91
182.13,7.86
183.95,7.82
185.79,7.78
187.65,7.73
189.52,7.67
191.42,7.61
193.33,7.55
195.27,7.49
197.22,7.43
199.19,7.37
201.18,7.31
203.19,7.25
205.23,7.19
207.28,7.13
209.35,7.08
211.44,7.03
213.56,6.98
215.69,6.94
217.85,6.88
220.03,6.81
222.23,6.75
224.45,6.70
226.70,6.65
228.96,6.60
231.25,6.57
233.57,6.53
235.90,6.49
238.26,6.46
240.64,6.42
243.05,6.39
245.48,6.34
247.93,6.31
250.41,6.26
252.92,6.22
255.45,6.18
258.00,6.17
260.58,6.14
263.19,6.11
265.82,6.08
268.48,6.03
271.16,5.99
273.87,5.96
276.61,5.90
279.38,5.86
282.17,5.80
284.99,5.77
287.84,5.73
290.72,5.69
293.63,5.63
296.57,5.57
299.53,5.49
302.53,5.43
305.55,5.37
308.61,5.30
311.69,5.23
314.81,5.17
317.96,5.12
321.14,5.05
324.35,4.98
327.59,4.91
330.87,4.84
334.18,4.77
337.52,4.71
340.90,4.63
344.30,4.56
347.75,4.49
351.23,4.43
354.74,4.36
358.28,4.28
361.87,4.20
365.49,4.13
369.14,4.06
372.83,3.99
376.56,3.92
380.33,3.85
384.13,3.78
387.97,3.71
391.85,3.64
395.77,3.57
399.73,3.49
403.72,3.42
407.76,3.33
411.84,3.26
415.96,3.18
420.12,3.11
424.32,3.04
428.56,2.95
432.85,2.88
437.18,2.80
441.55,2.74
445.96,2.67
450.42,2.60
454.93,2.53
459.48,2.47
464.07,2.40
468.71,2.34
473.40,2.27
478.13,2.19
482.91,2.12
487.74,2.06
492.62,2.00
497.55,1.92
502.52,1.85
507.55,1.78
512.62,1.71
517.75,1.63
522.93,1.55
528.16,1.48
533.44,1.41
538.77,1.33
544.16,1.27
549.60,1.20
555.10,1.14
560.65,1.07
566.25,1.00
571.92,0.92
577.64,0.84
583.41,0.76
589.25,0.70
595.14,0.63
601.09,0.56
607.10,0.49
613.17,0.42
619.30,0.36
625.50,0.30
631.75,0.23
638.07,0.14
644.45,0.08
650.89,0.02
657.40,-0.04
663.98,-0.12
670.62,-0.20
677.32,-0.26
684.10,-0.32
690.94,-0.38
697.85,-0.45
704.83,-0.54
711.87,-0.60
718.99,-0.66
726.18,-0.71
733.44,-0.76
740.78,-0.83
748.19,-0.89
755.67,-0.94
763.23,-1.00
770.86,-1.06
778.57,-1.11
786.35,-1.17
794.22,-1.22
802.16,-1.27
810.18,-1.33
818.28,-1.38
826.46,-1.43
834.73,-1.49
843.08,-1.54
851.51,-1.59
860.02,-1.64
868.62,-1.68
877.31,-1.72
886.08,-1.75
894.94,-1.78
903.89,-1.81
912.93,-1.85
922.06,-1.87
931.28,-1.88
940.59,-1.89
950.00,-1.89
959.50,-1.91
969.09,-1.93
978.78,-1.94
988.57,-1.95
998.46,-1.93
1008.44,-1.92
1018.53,-1.90
1028.71,-1.89
1039.00,-1.88
1049.39,-1.86
1059.88,-1.84
1070.48,-1.81
1081.19,-1.78
1092.00,-1.74
1102.92,-1.69
1113.95,-1.63
1125.09,-1.57
1136.34,-1.51
1147.70,-1.44
1159.18,-1.38
1170.77,-1.34
1182.48,-1.29
1194.30,-1.25
1206.25,-1.21
1218.31,-1.16
1230.49,-1.10
1242.80,-1.04
1255.22,-0.98
1267.78,-0.94
1280.45,-0.90
1293.26,-0.85
1306.19,-0.82
1319.25,-0.78
1332.45,-0.74
1345.77,-0.69
1359.23,-0.64
1372.82,-0.59
1386.55,-0.53
1400.41,-0.49
1414.42,-0.45
1428.56,-0.42
1442.85,-0.39
1457.28,-0.36
1471.85,-0.34
1486.57,-0.32
1501.43,-0.30
1516.45,-0.29
1531.61,-0.27
1546.93,-0.25
1562.40,-0.24
1578.02,-0.22
1593.80,-0.21
1609.74,-0.21
1625.84,-0.21
1642.10,-0.19
1658.52,-0.18
1675.10,-0.16
1691.85,-0.13
1708.77,-0.10
1725.86,-0.06
1743.12,-0.02
1760.55,0.01
1778.15,0.05
1795.94,0.08
1813.90,0.13
1832.03,0.18
1850.36,0.23
1868.86,0.28
1887.55,0.33
1906.42,0.38
1925.49,0.45
1944.74,0.50
1964.19,0.56
1983.83,0.61
2003.67,0.66
2023.71,0.73
2043.94,0.80
2064.38,0.88
2085.03,0.96
2105.88,1.04
2126.94,1.13
2148.20,1.19
