frequency,raw
20.00,2.34
20.20,2.38
20.40,2.42
20.61,2.45
20.81,2.49
21.02,2.52
21.23,2.55
21.44,2.59
21.66,2.62
21.87,2.64
22.09,2.68
22.31,2.70
22.54,2.73
22.76,2.75
22.99,2.78
23.22,2.80
23.45,2.83
23.69,2.85
23.92,2.87
24.16,2.89
24.40,2.90
24.65,2.92
24.89,2.93
25.14,2.96
25.39,2.98
25.65,3.00
25.91,3.02
26.16,3.04
26.43,3.05
26.69,3.07
26.96,3.09
27.23,3.11
27.50,3.13
27.77,3.14
28.05,3.16
28.33,3.17
28.62,3.18
28.90,3.21
29.19,3.22
29.48,3.23
29.78,3.24
30.08,3.25
30.38,3.28
30.68,3.29
30.99,3.30
31.30,3.31
31.61,3.33
31.93,3.34
32.24,3.35
32.57,3.37
32.89,3.38
33.22,3.39
33.55,3.42
33.89,3.43
34.23,3.45
34.57,3.48
34.92,3.50
35.27,3.51
35.62,3.53
35.97,3.54
36.33,3.54
36.70,3.55
37.06,3.55
37.43,3.56
37.81,3.55
38.19,3.55
38.57,3.56
38.95,3.56
39.34,3.57
39.74,3.58
40.14,3.59
40.54,3.60
40.94,3.60
41.35,3.61
41.76,3.62
42.18,3.62
42.60,3.63
43.03,3.62
43.46,3.62
43.90,3.63
44.33,3.63
44.78,3.64
45.23,3.64
45.68,3.65
46.13,3.65
46.60,3.65
47.06,3.65
47.53,3.66
48.01,3.66
48.49,3.66
48.97,3.66
49.46,3.67
49.96,3.68
50.46,3.69
50.96,3.70
51.47,3.70
51.99,3.71
52.51,3.73
53.03,3.74
53.56,3.76
54.10,3.77
54.64,3.78
55.18,3.79
55.74,3.79
56.29,3.78
56.86,3.77
57.42,3.76
58.00,3.73
58.58,3.72
59.16,3.71
59.76,3.68
60.35,3.67
60.96,3.65
61.57,3.63
62.18,3.61
62.80,3.60
63.43,3.57
64.07,3.55
64.71,3.52
65.35,3.49
66.01,3.46
66.67,3.44
67.33,3.42
68.01,3.40
68.69,3.39
69.37,3.39
70.07,3.39
70.77,3.40
71.48,3.40
72.19,3.43
72.91,3.45
73.64,3.48
74.38,3.51
75.12,3.53
75.87,3.55
76.63,3.58
77.40,3.60
78.17,3.62
78.95,3.64
79.74,3.65
80.54,3.66
81.35,3.67
82.16,3.68
82.98,3.69
83.81,3.68
84.65,3.66
85.50,3.66
86.35,3.65
87.22,3.65
88.09,3.65
88.97,3.65
89.86,3.65
90.76,3.65
91.66,3.65
92.58,3.65
93.51,3.65
94.44,3.65
95.39,3.65
96.34,3.65
97.30,3.64
98.28,3.64
99.26,3.64
100.25,3.64
101.25,3.64
102.27,3.64
103.29,3.64
104.32,3.63
105.37,3.63
106.42,3.63
107.48,3.62
108.56,3.62
109.64,3.62
110.74,3.62
111.85,3.62
112.97,3.61
114.10,3.61
115.24,3.61
116.39,3.61
117.55,3.60
118.73,3.60
119.92,3.60
121.12,3.60
122.33,3.59
123.55,3.60
124.79,3.60
126.03,3.61
127.29,3.59
128.57,3.58
129.85,3.57
131.15,3.54
132.46,3.52
133.79,3.49
135.12,3.44
136.48,3.42
137.84,3.38
139.22,3.36
140.61,3.32
142.02,3.27
143.44,3.26
144.87,3.24
146.32,3.22
147.78,3.21
149.26,3.21
150.75,3.19
152.26,3.18
153.78,3.16
155.32,3.13
156.88,3.08
158.44,3.06
160.03,3.02
161.63,2.99
163.24,2.95
164.88,2.91
166.53,2.89
168.19,2.88
169.87,2.85
171.57,2.86
173.29,2.86
175.02,2.86
176.77,2.84
178.54,2.83
180.32,2.82
182.13,2.79
183.95,2.75
185.79,2.72
187.65,2.69
189.52,2.66
191.42,2.62
193.33,2.59
195.27,2.57
197.22,2.55
199.19,2.54
201.18,2.52
203.19,2.50
205.23,2.48
207.28,2.47
209.35,2.46
211.44,2.42
213.56,2.39
215.69,2.35
217.85,2.31
220.03,2.29
222.23,2.26
224.45,2.24
226.70,2.20
228.96,2.15
231.25,2.13
233.57,2.10
235.90,2.05
238.26,2.03
240.64,1.99
243.05,1.97
245.48,1.94
247.93,1.90
250.41,1.86
252.92,1.80
255.45,1.76
258.00,1.72
260.58,1.67
263.19,1.64
265.82,1.61
268.48,1.58
271.16,1.57
273.87,1.52
276.61,1.48
279.38,1.43
282.17,1.37
284.99,1.33
287.84,1.27
290.72,1.23
293.63,1.21
296.57,1.19
299.53,1.16
302.53,1.13
305.55,1.10
308.61,1.04
311.69,0.99
314.81,0.96
317.96,0.94
321.14,0.90
324.35,0.87
327.59,0.83
330.87,0.77
334.18,0.71
337.52,0.65
340.90,0.59
344.30,0.55
347.75,0.52
351.23,0.48
354.74,0.44
358.28,0.40
361.87,0.36
365.49,0.31
369.14,0.27
372.83,0.23
376.56,0.18
380.33,0.16
384.13,0.14
387.97,0.10
391.85,0.05
395.77,0.01
399.73,-0.05
403.72,-0.09
407.76,-0.14
411.84,-0.17
415.96,-0.22
420.12,-0.26
424.32,-0.31
428.56,-0.37
432.85,-0.42
437.18,-0.48
441.55,-0.51
445.96,-0.54
