frequency,raw
20.00,4.21
20.20,4.24
20.40,4.27
20.61,4.29
20.81,4.32
21.02,4.34
21.23,4.36
21.44,4.39
21.66,4.41
21.87,4.43
22.09,4.45
22.31,4.47
22.54,4.48
22.76,4.50
22.99,4.51
23.22,4.52
23.45,4.54
23.69,4.55
23.92,4.56
24.16,4.57
24.40,4.58
24.65,4.59
24.89,4.60
25.14,4.61
25.39,4.63
25.65,4.63
25.91,4.65
26.16,4.65
26.43,4.66
26.69,4.67
26.96,4.68
27.23,4.69
27.50,4.70
27.77,4.71
28.05,4.72
28.33,4.73
28.62,4.73
28.90,4.75
29.19,4.75
29.48,4.76
29.78,4.77
30.08,4.77
30.38,4.79
30.68,4.79
30.99,4.80
31.30,4.81
31.61,4.83
31.93,4.84
32.24,4.84
32.57,4.86
32.89,4.87
33.22,4.87
33.55,4.89
33.89,4.90
34.23,4.90
34.57,4.92
34.92,4.93
35.27,4.93
35.62,4.95
35.97,4.95
36.33,4.96
36.70,4.96
37.06,4.97
37.43,4.98
37.81,4.99
38.19,4.99
38.57,5.01
38.95,5.01
39.34,5.02
39.74,5.02
40.14,5.03
40.54,5.03
40.94,5.03
41.35,5.03
41.76,5.04
42.18,5.04
42.60,5.04
43.03,5.03
43.46,5.03
43.90,5.03
44.33,5.03
44.78,5.03
45.23,5.03
45.68,5.02
46.13,5.02
46.60,5.02
47.06,5.02
47.53,5.03
48.01,5.03
48.49,5.03
48.97,5.03
49.46,5.03
49.96,5.03
50.46,5.03
50.96,5.03
51.47,5.02
51.99,5.02
52.51,5.02
53.03,5.02
53.56,5.02
54.10,5.01
54.64,5.01
55.18,5.01
55.74,5.01
56.29,5.00
56.86,5.00
57.42,5.00
58.00,4.99
58.58,4.99
59.16,4.99
59.76,4.98
60.35,4.98
60.96,4.98
61.57,4.98
62.18,4.98
62.80,4.98
63.43,4.98
64.07,4.98
64.71,4.98
65.35,4.98
66.01,4.98
66.67,4.98
67.33,4.98
68.01,4.97
68.69,4.96
69.37,4.96
70.07,4.96
70.77,4.96
71.48,4.95
72.19,4.96
72.91,4.98
73.64,4.99
74.38,5.00
75.12,5.02
75.87,5.04
76.63,5.06
77.40,5.08
78.17,5.10
78.95,5.13
