frequency,raw
20.00,1.99
20.20,2.01
20.40,2.02
20.61,2.03
20.81,2.04
21.02,2.05
21.23,2.06
21.44,2.07
21.66,2.08
21.87,2.08
22.09,2.09
22.31,2.08
22.54,2.08
22.76,2.08
22.99,2.08
23.22,2.08
23.45,2.08
23.69,2.08
23.92,2.07
24.16,2.08
24.40,2.07
24.65,2.07
24.89,2.06
25.14,2.06
25.39,2.06
25.65,2.05
25.91,2.05
26.16,2.04
26.43,2.04
26.69,2.04
26.96,2.03
27.23,2.03
27.50,2.02
27.77,2.02
28.05,2.02
28.33,2.01
28.62,2.01
28.90,2.01
29.19,2.01
29.48,2.00
29.78,1.99
30.08,1.99
30.38,2.00
30.68,1.99
30.99,1.99
31.30,1.99
31.61,2.00
31.93,2.00
32.24,2.00
32.57,2.01
32.89,2.01
33.22,2.01
33.55,2.01
33.89,2.01
34.23,2.01
34.57,2.01
34.92,2.01
35.27,2.00
35.62,2.01
35.97,2.00
36.33,1.99
36.70,1.98
37.06,1.97
37.43,1.97
37.81,1.96
38.19,1.94
38.57,1.94
38.95,1.93
39.34,1.93
39.74,1.92
40.14,1.91
40.54,1.90
40.94,1.88
41.35,1.87
41.76,1.86
42.18,1.85
42.60,1.84
43.03,1.82
43.46,1.81
43.90,1.79
44.33,1.79
44.78,1.78
45.23,1.78
45.68,1.77
46.13,1.76
46.60,1.76
47.06,1.76
47.53,1.76
48.01,1.76
48.49,1.76
48.97,1.75
49.46,1.75
49.96,1.76
50.46,1.76
50.96,1.77
51.47,1.76
51.99,1.76
52.51,1.76
53.03,1.76
53.56,1.76
54.10,1.75
54.64,1.75
55.18,1.75
55.74,1.75
56.29,1.74
56.86,1.74
57.42,1.74
58.00,1.73
58.58,1.73
59.16,1.73
59.76,1.72
60.35,1.72
60.96,1.72
61.57,1.72
62.18,1.72
62.80,1.72
63.43,1.72
64.07,1.72
64.71,1.72
65.35,1.72
66.01,1.72
66.67,1.72
67.33,1.72
68.01,1.72
68.69,1.72
69.37,1.72
70.07,1.72
70.77,1.72
71.48,1.71
72.19,1.71
72.91,1.71
73.64,1.71
74.38,1.70
75.12,1.70
75.87,1.69
76.63,1.68
77.40,1.68
78.17,1.67
78.95,1.67
79.74,1.67
80.54,1.67
81.35,1.69
82.16,1.70
82.98,1.72
83.81,1.74
84.65,1.76
85.50,1.79
86.35,1.82
87.22,1.85
88.09,1.87
88.97,1.91
89.86,1.94
90.76,1.96
91.66,1.97
92.58,1.99
93.51,2.01
94.44,2.01
95.39,2.01
96.34,2.00
97.30,1.99
98.28,1.98
99.26,1.98
100.25,1.98
101.25,1.98
102.27,1.98
103.29,1.98
104.32,1.97
105.37,1.97
106.42,1.97
107.48,1.96
108.56,1.96
109.64,1.96
110.74,1.96
111.85,1.96
112.97,1.95
114.10,1.95
115.24,1.95
116.39,1.95
117.55,1.94
118.73,1.94
119.92,1.94
121.12,1.94
122.33,1.93
123.55,1.93
124.79,1.92
126.03,1.92
127.29,1.91
128.57,1.91
129.85,1.91
131.15,1.91
132.46,1.90
133.79,1.90
135.12,1.91
136.48,1.92
137.84,1.92
139.22,1.91
140.61,1.90
142.02,1.87
143.44,1.86
144.87,1.82
146.32,1.79
147.78,1.75
149.26,1.72
150.75,1.67
152.26,1.64
153.78,1.61
155.32,1.57
156.88,1.54
158.44,1.53
160.03,1.51
161.63,1.51
163.24,1.51
164.88,1.52
166.53,1.52
168.19,1.52
169.87,1.51
171.57,1.51
173.29,1.51
175.02,1.51
176.77,1.50
178.54,1.50
180.32,1.50
182.13,1.50
183.95,1.50
185.79,1.50
187.65,1.50
189.52,1.50
191.42,1.50
193.33,1.50
195.27,1.50
197.22,1.50
199.19,1.50
201.18,1.49
203.19,1.49
205.23,1.48
207.28,1.48
209.35,1.48
211.44,1.47
213.56,1.47
215.69,1.47
217.85,1.47
220.03,1.46
222.23,1.46
224.45,1.46
226.70,1.46
228.96,1.45
231.25,1.45
233.57,1.45
235.90,1.44
238.26,1.44
240.64,1.43
243.05,1.42
245.48,1.41
247.93,1.41
250.41,1.40
252.92,1.39
255.45,1.39
258.00,1.40
260.58,1.39
263.19,1.40
265.82,1.39
268.48,1.37
271.16,1.36
273.87,1.32
276.61,1.28
279.38,1.26
282.17,1.22
284.99,1.18
287.84,1.14
290.72,1.11
293.63,1.08
296.57,1.05
299.53,1.02
302.53,1.00
305.55,0.99
308.61,0.98
311.69,0.98
314.81,0.98
317.96,0.99
321.14,0.98
324.35,0.98
327.59,0.98
330.87,0.97
334.18,0.97
337.52,0.97
340.90,0.97
344.30,0.97
347.75,0.96
351.23,0.95
354.74,0.92
358.28,0.89
361.87,0.87
365.49,0.84
369.14,0.80
372.83,0.77
376.56,0.72
380.33,0.70
384.13,0.67
387.97,0.65
391.85,0.62
395.77,0.61
399.73,0.59
403.72,0.58
407.76,0.56
411.84,0.55
415.96,0.53
420.12,0.50
424.32,0.47
428.56,0.42
432.85,0.39
437.18,0.35
441.55,0.32
445.96,0.30
450.42,0.27
