frequency,raw
20.00,4.37
20.20,4.42
20.40,4.46
20.61,4.50
20.81,4.54
21.02,4.58
21.23,4.63
21.44,4.67
21.66,4.71
21.87,4.75
22.09,4.79
22.31,4.82
22.54,4.85
22.76,4.88
22.99,4.91
23.22,4.94
23.45,4.97
23.69,5.00
23.92,5.02
24.16,5.05
24.40,5.08
24.65,5.11
24.89,5.13
25.14,5.16
25.39,5.19
25.65,5.21
25.91,5.24
26.16,5.26
26.43,5.28
26.69,5.31
26.96,5.33
27.23,5.36
27.50,5.38
27.77,5.39
28.05,5.42
28.33,5.44
28.62,5.46
28.90,5.49
29.19,5.51
29.48,5.53
29.78,5.55
30.08,5.56
30.38,5.58
30.68,5.59
30.99,5.60
31.30,5.61
31.61,5.63
31.93,5.65
32.24,5.66
32.57,5.68
32.89,5.70
33.22,5.71
33.55,5.73
33.89,5.74
34.23,5.75
34.57,5.77
34.92,5.79
35.27,5.80
35.62,5.82
35.97,5.84
36.33,5.85
36.70,5.85
37.06,5.86
37.43,5.88
37.81,5.89
38.19,5.90
38.57,5.92
38.95,5.93
39.34,5.95
39.74,5.96
40.14,5.98
40.54,6.00
40.94,6.01
41.35,6.02
41.76,6.03
42.18,6.03
42.60,6.04
43.03,6.04
43.46,6.04
43.90,6.05
44.33,6.05
44.78,6.05
45.23,6.05
45.68,6.04
46.13,6.04
46.60,6.03
47.06,6.03
47.53,6.03
48.01,6.03
48.49,6.03
48.97,6.03
49.46,6.03
49.96,6.04
50.46,6.04
50.96,6.05
51.47,6.04
51.99,6.05
52.51,6.05
53.03,6.05
53.56,6.04
54.10,6.03
54.64,6.02
55.18,6.01
55.74,6.00
56.29,5.97
56.86,5.95
57.42,5.94
58.00,5.91
58.58,5.89
59.16,5.88
59.76,5.85
60.35,5.83
60.96,5.80
61.57,5.78
62.18,5.76
62.80,5.75
63.43,5.73
64.07,5.71
64.71,5.69
65.35,5.67
66.01,5.66
66.67,5.65
67.33,5.64
68.01,5.64
68.69,5.64
69.37,5.64
70.07,5.64
70.77,5.66
71.48,5.65
72.19,5.65
72.91,5.66
73.64,5.67
74.38,5.66
75.12,5.66
75.87,5.65
76.63,5.64
77.40,5.63
78.17,5.60
78.95,5.58
79.74,5.56
80.54,5.52
81.35,5.50
82.16,5.47
82.98,5.44
83.81,5.42
84.65,5.38
85.50,5.35
86.35,5.32
87.22,5.31
88.09,5.29
88.97,5.28
89.86,5.28
90.76,5.27
91.66,5.27
92.58,5.26
93.51,5.25
94.44,5.24
95.39,5.22
96.34,5.19
97.30,5.14
98.28,5.11
99.26,5.08
100.25,5.04
101.25,5.01
102.27,4.99
103.29,4.97
104.32,4.95
105.37,4.94
106.42,4.94
107.48,4.92
108.56,4.91
109.64,4.90
110.74,4.89
111.85,4.86
112.97,4.82
114.10,4.78
115.24,4.75
116.39,4.73
117.55,4.69
118.73,4.66
119.92,4.63
121.12,4.60
122.33,4.57
123.55,4.54
124.79,4.50
126.03,4.47
127.29,4.45
128.57,4.43
129.85,4.39
131.15,4.36
132.46,4.34
133.79,4.31
135.12,4.27
136.48,4.24
137.84,4.20
139.22,4.18
140.61,4.14
142.02,4.09
143.44,4.07
144.87,4.03
146.32,4.01
147.78,3.98
149.26,3.96
150.75,3.92
152.26,3.89
153.78,3.86
155.32,3.81
156.88,3.77
158.44,3.76
160.03,3.73
161.63,3.72
163.24,3.69
164.88,3.64
166.53,3.61
168.19,3.57
169.87,3.51
171.57,3.46
173.29,3.42
175.02,3.37
176.77,3.34
178.54,3.32
180.32,3.29
182.13,3.26
183.95,3.19
185.79,3.15
187.65,3.10
189.52,3.06
191.42,3.03
193.33,3.01
195.27,2.98
197.22,2.95
199.19,2.92
201.18,2.86
203.19,2.81
205.23,2.76
207.28,2.72
209.35,2.69
211.44,2.64
213.56,2.60
215.69,2.56
217.85,2.50
220.03,2.46
222.23,2.42
224.45,2.36
226.70,2.32
228.96,2.25
231.25,2.22
233.57,2.17
235.90,2.10
238.26,2.06
240.64,2.01
243.05,1.96
245.48,1.92
247.93,1.87
250.41,1.83
252.92,1.77
255.45,1.73
258.00,1.69
260.58,1.64
263.19,1.61
265.82,1.56
268.48,1.53
271.16,1.48
273.87,1.42
276.61,1.38
279.38,1.33
282.17,1.27
284.99,1.23
287.84,1.16
290.72,1.11
293.63,1.07
296.57,1.03
299.53,0.97
302.53,0.93
305.55,0.88
308.61,0.82
311.69,0.77
314.81,0.73
317.96,0.70
321.14,0.64
324.35,0.59
327.59,0.54
330.87,0.48
334.18,0.42
337.52,0.38
340.90,0.33
344.30,0.27
347.75,0.21
351.23,0.15
354.74,0.08
358.28,0.01
361.87,-0.04
365.49,-0.08
369.14,-0.12
372.83,-0.16
376.56,-0.21
380.33,-0.24
384.13,-0.27
387.97,-0.31
391.85,-0.37
395.77,-0.41
399.73,-0.46
403.72,-0.49
407.76,-0.53
411.84,-0.55
415.96,-0.58
420.12,-0.61
424.32,-0.63
428.56,-0.67
432.85,-0.70
437.18,-0.73
441.55,-0.76
445.96,-0.79
450.42,-0.82
454.93,-0.84
459.48,-0.87
464.07,-0.89
468.71,-0.91
473.40,-0.95
478.13,-0.99
482.91,-1.03
487.74,-1.07
492.62,-1.10
497.55,-1.15
502.52,-1.17
507.55,-1.19
512.62,-1.20
517.75,-1.25
522.93,-1.29
528.16,-1.33
533.44,-1.37
538.77,-1.43
544.16,-1.47
549.60,-1.51
555.10,-1.54
560.65,-1.57
566.25,-1.58
571.92,-1.62
577.64,-1.65
583.41,-1.67
589.25,-1.69
595.14,-1.73
601.09,-1.77
607.10,-1.80
613.17,-1.82
619.30,-1.84
625.50,-1.87
631.75,-1.90
638.07,-1.95
644.45,-1.97
650.89,-2.00
657.40,-2.03
663.98,-2.06
670.62,-2.07
677.32,-2.08
684.10,-2.09
690.94,-2.09
697.85,-2.11
704.83,-2.13
711.87,-2.16
718.99,-2.18
726.18,-2.21
733.44,-2.25
740.78,-2.28
748.19,-2.31
755.67,-2.34
763.23,-2.38
770.86,-2.41
778.57,-2.44
786.35,-2.45
794.22,-2.44
802.16,-2.44
810.18,-2.43
818.28,-2.42
826.46,-2.41
834.73,-2.41
843.08,-2.40
851.51,-2.39
860.02,-2.38
868.62,-2.37
877.31,-2.36
886.08,-2.34
894.94,-2.32
903.89,-2.30
912.93,-2.28
922.06,-2.25
931.28,-2.22
940.59,-2.19
950.00,-2.15
959.50,-2.12
969.09,-2.08
978.78,-2.04
988.57,-1.99
998.46,-1.94
1008.44,-1.89
1018.53,-1.83
1028.71,-1.77
1039.00,-1.70
1049.39,-1.63
1059.88,-1.56
1070.48,-1.49
1081.19,-1.42
1092.00,-1.34
1102.92,-1.25
1113.95,-1.16
1125.09,-1.07
1136.34,-0.98
1147.70,-0.89
1159.18,-0.80
1170.77,-0.71
1182.48,-0.62
1194.30,-0.54
1206.25,-0.46
1218.31,-0.39
1230.49,-0.31
1242.80,-0.23
1255.22,-0.15
1267.78,-0.06
1280.45,0.03
1293.26,0.12
1306.19,0.19
1319.25,0.27
1332.45,0.35
1345.77,0.44
1359.23,0.53
1372.82,0.63
1386.55,0.73
1400.41,0.81
1414.42,0.89
1428.56,0.98
1442.85,1.06
1457.28,1.14
1471.85,1.20
1486.57,1.26
1501.43,1.33
1516.45,1.39
1531.61,1.47
1546.93,1.55
1562.40,1.62
1578.02,1.70
1593.80,1.78
1609.74,1.86
1625.84,1.95
1642.10,2.05
1658.52,2.13
1675.10,2.22
1691.85,2.32
1708.77,2.42
1725.86,2.54
1743.12,2.65
1760.55,2.78
1778.15,2.91
1795.94,3.02
1813.90,3.15
1832.03,3.29
1850.36,3.43
1868.86,3.58
1887.55,3.73
1906.42,3.90
1925.49,4.08
1944.74,4.27
1964.19,4.46
1983.83,4.66
2003.67,4.86
2023.71,5.08
2043.94,5.30
2064.38,5.52
2085.03,5.75
2105.88,5.99
2126.94,6.24
2148.20,6.50
2169.69,6.74
2191.38,6.99
2213.30,7.23
2235.43,7.47
2257.78,7.71
2280.36,7.95
2303.17,8.19
2326.20,8.43
2349.46,8.68
2372.95,8.96
2396.68,9.24
2420.65,9.50
2444.86,9.78
2469.31,10.05
2494.00,10.31
2518.94,10.58
2544.13,10.84
2569.57,11.08
2595.27,11.30
2621.22,11.53
2647.43,11.74
2673.90,11.92
2700.64,12.10
2727.65,12.23
2754.93,12.35
2782.48,12.47
2810.30,12.57
2838.40,12.64
2866.79,12.71
2895.46,12.75
2924.41,12.78
2953.65,12.79
2983.19,12.78
3013.02,12.75
3043.15,12.70
3073.58,12.62
3104.32,12.52
3135.36,12.41
3166.72,12.27
3198.38,12.14
3230.37,11.96
3262.67,11.78
3295.30,11.57
3328.25,11.35
3361.53,11.11
3395.15,10.87
3429.10,10.63
3463.39,10.38
3498.03,10.13
3533.01,9.88
3568.34,9.63
3604.02,9.40
3640.06,9.16
3676.46,8.94
3713.22,8.72
3750.36,8.53
3787.86,8.33
3825.74,8.14
3864.00,7.96
3902.64,7.78
3941.66,7.61
3981.08,7.46
4020.89,7.32
4061.10,7.19
4101.71,7.06
4142.73,6.95
4184.15,6.83
4226.00,6.71
4268.26,6.60
4310.94,6.49
4354.05,6.39
4397.59,6.29
4441.56,6.21
4485.98,6.15
4530.84,6.10
4576.15,6.05
4621.91,5.99
4668.13,5.94
4714.81,5.88
4761.96,5.84
4809.58,5.83
4857.67,5.82
4906.25,5.83
4955.31,5.84
5004.87,5.86
5054.91,5.90
5105.46,5.93
5156.52,5.98
5208.08,6.03
5260.16,6.12
5312.77,6.22
5365.89,6.35
5419.55,6.49
5473.75,6.64
5528.49,6.80
5583.77,6.99
5639.61,7.19
5696.00,7.40
5752.96,7.63
5810.49,7.91
5868.60,8.19
5927.28,8.48
5986.56,8.78
6046.42,9.08
6106.89,9.39
6167.96,9.70
6229.64,9.99
6291.93,10.26
6354.85,10.53
6418.40,10.81
6482.58,11.06
6547.41,11.28
6612.88,11.48
6679.01,11.66
6745.80,11.80
6813.26,11.91
6881.39,12.00
6950.21,12.06
7019.71,12.10
7089.91,12.11
7160.81,12.10
7232.41,12.05
7304.74,11.96
7377.79,11.84
7451.56,11.68
7526.08,11.50
7601.34,11.24
7677.35,10.93
7754.13,10.56
7831.67,10.11
7909.98,9.57
7989.08,8.94
8068.98,8.21
8149.67,7.41
