frequency,raw
20.00,0.70
20.20,0.74
20.40,0.78
20.61,0.81
20.81,0.85
21.02,0.88
21.23,0.91
21.44,0.95
21.66,0.98
21.87,1.00
22.09,1.04
22.31,1.06
22.54,1.08
22.76,1.11
22.99,1.13
23.22,1.15
23.45,1.18
23.69,1.20
23.92,1.22
24.16,1.24
24.40,1.25
24.65,1.28
24.89,1.29
25.14,1.32
25.39,1.34
25.65,1.35
25.91,1.38
26.16,1.39
26.43,1.40
26.69,1.42
26.96,1.43
27.23,1.45
27.50,1.46
27.77,1.47
28.05,1.49
28.33,1.50
28.62,1.51
28.90,1.54
29.19,1.55
29.48,1.56
29.78,1.57
30.08,1.58
30.38,1.60
30.68,1.61
30.99,1.62
31.30,1.62
31.61,1.64
31.93,1.64
32.24,1.65
32.57,1.67
32.89,1.68
33.22,1.68
33.55,1.70
33.89,1.71
34.23,1.72
34.57,1.74
34.92,1.75
35.27,1.75
35.62,1.77
35.97,1.77
36.33,1.77
36.70,1.78
37.06,1.78
37.43,1.79
37.81,1.79
38.19,1.79
38.57,1.79
38.95,1.79
39.34,1.80
39.74,1.79
40.14,1.80
40.54,1.80
40.94,1.80
41.35,1.80
41.76,1.80
42.18,1.80
42.60,1.80
43.03,1.79
43.46,1.79
43.90,1.79
44.33,1.79
44.78,1.79
45.23,1.79
45.68,1.79
46.13,1.79
46.60,1.79
47.06,1.79
47.53,1.80
48.01,1.80
48.49,1.80
48.97,1.80
49.46,1.80
49.96,1.80
50.46,1.80
50.96,1.80
51.47,1.79
51.99,1.79
52.51,1.79
53.03,1.79
53.56,1.79
54.10,1.78
54.64,1.78
55.18,1.78
55.74,1.78
56.29,1.77
56.86,1.77
57.42,1.77
58.00,1.76
58.58,1.76
59.16,1.76
59.76,1.75
60.35,1.75
60.96,1.75
61.57,1.75
62.18,1.75
62.80,1.75
63.43,1.75
64.07,1.75
64.71,1.75
65.35,1.75
66.01,1.75
66.67,1.75
67.33,1.75
68.01,1.75
68.69,1.75
69.37,1.75
70.07,1.75
70.77,1.75
71.48,1.74
72.19,1.74
72.91,1.74
73.64,1.74
74.38,1.73
75.12,1.73
75.87,1.72
76.63,1.72
77.40,1.72
78.17,1.71
78.95,1.71
79.74,1.71
80.54,1.70
81.35,1.70
82.16,1.70
82.98,1.70
83.81,1.70
84.65,1.69
85.50,1.69
86.35,1.69
87.22,1.69
88.09,1.69
88.97,1.69
89.86,1.69
90.76,1.69
91.66,1.69
92.58,1.69
93.51,1.69
94.44,1.69
95.39,1.69
96.34,1.69
97.30,1.68
98.28,1.68
99.26,1.68
100.25,1.68
101.25,1.68
102.27,1.68
103.29,1.68
104.32,1.67
105.37,1.67
106.42,1.67
107.48,1.66
108.56,1.66
109.64,1.66
110.74,1.66
111.85,1.66
112.97,1.65
114.10,1.65
115.24,1.65
116.39,1.65
117.55,1.64
118.73,1.64
119.92,1.64
121.12,1.64
122.33,1.63
123.55,1.63
124.79,1.62
126.03,1.62
127.29,1.62
128.57,1.62
129.85,1.63
131.15,1.62
132.46,1.60
133.79,1.58
135.12,1.56
136.48,1.54
137.84,1.50
139.22,1.48
140.61,1.45
142.02,1.39
143.44,1.37
144.87,1.33
146.32,1.30
147.78,1.27
149.26,1.25
150.75,1.22
152.26,1.22
153.78,1.22
155.32,1.22
156.88,1.23
158.44,1.24
160.03,1.25
161.63,1.25
163.24,1.24
164.88,1.22
166.53,1.20
168.19,1.19
169.87,1.14
171.57,1.12
173.29,1.08
175.02,1.04
176.77,1.00
178.54,0.97
180.32,0.94
182.13,0.92
183.95,0.88
185.79,0.87
187.65,0.86
189.52,0.85
191.42,0.86
193.33,0.87
195.27,0.87
197.22,0.88
199.19,0.88
201.18,0.87
203.19,0.87
205.23,0.86
207.28,0.86
209.35,0.86
211.44,0.86
213.56,0.87
215.69,0.87
217.85,0.86
220.03,0.84
222.23,0.83
224.45,0.80
226.70,0.76
228.96,0.72
231.25,0.69
233.57,0.66
235.90,0.61
238.26,0.58
240.64,0.54
243.05,0.51
245.48,0.48
247.93,0.46
250.41,0.45
252.92,0.44
255.45,0.43
258.00,0.42
260.58,0.40
263.19,0.38
265.82,0.34
268.48,0.31
271.16,0.28
273.87,0.23
276.61,0.19
279.38,0.17
282.17,0.14
284.99,0.12
287.84,0.09
290.72,0.07
293.63,0.05
296.57,0.04
299.53,0.01
302.53,-0.01
305.55,-0.03
308.61,-0.07
311.69,-0.11
314.81,-0.14
317.96,-0.18
321.14,-0.22
324.35,-0.25
327.59,-0.28
330.87,-0.30
334.18,-0.33
337.52,-0.34
340.90,-0.34
344.30,-0.34
347.75,-0.33
351.23,-0.33
354.74,-0.34
358.28,-0.34
361.87,-0.34
365.49,-0.34
369.14,-0.34
372.83,-0.34
376.56,-0.35
380.33,-0.35
384.13,-0.34
387.97,-0.33
391.85,-0.33
395.77,-0.34
399.73,-0.36
403.72,-0.37
407.76,-0.40
411.84,-0.42
415.96,-0.46
420.12,-0.50
424.32,-0.53
428.56,-0.57
432.85,-0.60
437.18,-0.63
441.55,-0.65
445.96,-0.68
450.42,-0.72
454.93,-0.74
459.48,-0.78
464.07,-0.81
468.71,-0.82
473.40,-0.86
478.13,-0.89
482.91,-0.92
487.74,-0.96
492.62,-0.99
497.55,-1.02
502.52,-1.04
507.55,-1.05
512.62,-1.06
517.75,-1.09
522.93,-1.10
528.16,-1.11
533.44,-1.12
538.77,-1.16
544.16,-1.20
549.60,-1.23
555.10,-1.26
560.65,-1.30
566.25,-1.32
571.92,-1.36
577.64,-1.39
583.41,-1.40
589.25,-1.41
595.14,-1.45
601.09,-1.47
607.10,-1.48
613.17,-1.50
619.30,-1.53
625.50,-1.56
631.75,-1.60
638.07,-1.65
644.45,-1.67
650.89,-1.70
657.40,-1.73
663.98,-1.75
670.62,-1.77
677.32,-1.79
684.10,-1.80
690.94,-1.82
697.85,-1.84
704.83,-1.87
711.87,-1.90
718.99,-1.93
726.18,-1.96
733.44,-2.00
740.78,-2.03
748.19,-2.06
755.67,-2.09
763.23,-2.12
770.86,-2.13
778.57,-2.13
786.35,-2.13
794.22,-2.12
802.16,-2.12
810.18,-2.13
818.28,-2.15
826.46,-2.16
834.73,-2.19
843.08,-2.21
851.51,-2.23
860.02,-2.26
868.62,-2.28
877.31,-2.30
886.08,-2.31
894.94,-2.32
903.89,-2.32
912.93,-2.32
922.06,-2.29
931.28,-2.26
940.59,-2.23
950.00,-2.18
959.50,-2.14
969.09,-2.10
978.78,-2.05
988.57,-1.99
998.46,-1.94
1008.44,-1.89
1018.53,-1.85
1028.71,-1.80
1039.00,-1.75
1049.39,-1.71
1059.88,-1.67
1070.48,-1.63
1081.19,-1.59
1092.00,-1.55
1102.92,-1.49
1113.95,-1.43
1125.09,-1.37
1136.34,-1.31
1147.70,-1.24
1159.18,-1.17
1170.77,-1.08
1182.48,-0.99
1194.30,-0.90
1206.25,-0.81
1218.31,-0.73
1230.49,-0.64
1242.80,-0.56
1255.22,-0.48
1267.78,-0.41
1280.45,-0.34
1293.26,-0.27
1306.19,-0.22
1319.25,-0.16
1332.45,-0.11
1345.77,-0.06
1359.23,-0.01
1372.82,0.03
1386.55,0.08
1400.41,0.12
1414.42,0.16
1428.56,0.19
1442.85,0.22
1457.28,0.25
1471.85,0.27
1486.57,0.29
1501.43,0.31
1516.45,0.32
1531.61,0.34
1546.93,0.37
1562.40,0.38
1578.02,0.41
1593.80,0.42
1609.74,0.43
1625.84,0.43
1642.10,0.43
1658.52,0.42
1675.10,0.40
1691.85,0.38
1708.77,0.36
1725.86,0.35
1743.12,0.32
1760.55,0.30
1778.15,0.29
1795.94,0.26
1813.90,0.24
1832.03,0.23
1850.36,0.23
1868.86,0.24
1887.55,0.25
1906.42,0.27
1925.49,0.28
1944.74,0.30
1964.19,0.31
1983.83,0.32
2003.67,0.31
2023.71,0.31
2043.94,0.31
2064.38,0.32
2085.03,0.34
2105.88,0.37
2126.94,0.42
2148.20,0.47
2169.69,0.55
2191.38,0.66
2213.30,0.79
2235.43,0.95
2257.78,1.12
2280.36,1.33
2303.17,1.56
2326.20,1.80
2349.46,2.07
2372.95,2.35
2396.68,2.63
2420.65,2.90
2444.86,3.18
2469.31,3.46
2494.00,3.73
2518.94,3.99
2544.13,4.24
2569.57,4.47
2595.27,4.68
2621.22,4.87
2647.43,5.07
2673.90,5.24
2700.64,5.38
2727.65,5.50
2754.93,5.61
2782.48,5.70
2810.30,5.76
2838.40,5.82
2866.79,5.84
2895.46,5.85
2924.41,5.85
2953.65,5.84
2983.19,5.81
3013.02,5.76
3043.15,5.71
3073.58,5.62
3104.32,5.55
3135.36,5.47
3166.72,5.39
3198.38,5.32
3230.37,5.24
3262.67,5.16
3295.30,5.08
3328.25,5.01
3361.53,4.93
3395.15,4.84
3429.10,4.76
3463.39,4.69
3498.03,4.60
3533.01,4.54
3568.34,4.47
3604.02,4.39
3640.06,4.31
3676.46,4.23
3713.22,4.14
3750.36,4.06
3787.86,3.97
3825.74,3.89
3864.00,3.82
3902.64,3.74
3941.66,3.66
3981.08,3.58
4020.89,3.49
4061.10,3.40
4101.71,3.28
4142.73,3.18
4184.15,3.08
4226.00,2.98
4268.26,2.89
4310.94,2.80
4354.05,2.68
4397.59,2.57
4441.56,2.47
4485.98,2.38
4530.84,2.28
4576.15,2.18
4621.91,2.08
4668.13,1.99
