frequency,raw
20.00,11.34
20.20,11.38
20.40,11.41
20.61,11.45
20.81,11.48
21.02,11.51
21.23,11.54
21.44,11.57
21.66,11.60
21.87,11.62
22.09,11.65
22.31,11.68
22.54,11.70
22.76,11.72
22.99,11.74
23.22,11.76
23.45,11.78
23.69,11.80
23.92,11.81
24.16,11.83
24.40,11.84
24.65,11.86
24.89,11.87
25.14,11.88
25.39,11.90
25.65,11.91
25.91,11.93
26.16,11.94
26.43,11.95
26.69,11.97
26.96,11.98
27.23,11.99
27.50,12.00
27.77,12.01
28.05,12.02
28.33,12.03
28.62,12.03
28.90,12.05
29.19,12.05
29.48,12.06
29.78,12.07
30.08,12.07
30.38,12.09
30.68,12.09
30.99,12.10
31.30,12.10
31.61,12.11
31.93,12.11
32.24,12.11
32.57,12.11
32.89,12.10
33.22,12.10
33.55,12.10
33.89,12.09
34.23,12.09
34.57,12.10
34.92,12.10
35.27,12.11
35.62,12.13
35.97,12.14
36.33,12.15
36.70,12.15
37.06,12.16
37.43,12.18
37.81,12.19
38.19,12.19
38.57,12.21
38.95,12.22
39.34,12.23
39.74,12.24
40.14,12.25
40.54,12.26
40.94,12.26
41.35,12.26
41.76,12.27
42.18,12.27
42.60,12.27
43.03,12.26
43.46,12.26
43.90,12.26
44.33,12.26
44.78,12.26
45.23,12.26
45.68,12.25
46.13,12.25
46.60,12.25
47.06,12.25
47.53,12.25
48.01,12.24
48.49,12.24
48.97,12.23
49.46,12.22
49.96,12.21
50.46,12.20
50.96,12.19
51.47,12.17
51.99,12.15
52.51,12.14
53.03,12.13
53.56,12.13
54.10,12.12
54.64,12.13
55.18,12.13
55.74,12.14
56.29,12.14
56.86,12.14
57.42,12.14
58.00,12.13
58.58,12.13
59.16,12.13
59.76,12.12
60.35,12.12
60.96,12.12
61.57,12.12
62.18,12.12
62.80,12.12
63.43,12.12
64.07,12.12
64.71,12.12
65.35,12.12
66.01,12.12
66.67,12.12
67.33,12.12
68.01,12.12
68.69,12.12
69.37,12.12
70.07,12.12
70.77,12.12
71.48,12.11
72.19,12.11
72.91,12.11
73.64,12.11
74.38,12.10
75.12,12.10
75.87,12.09
76.63,12.09
77.40,12.09
78.17,12.08
78.95,12.09
79.74,12.10
80.54,12.09
81.35,12.09
82.16,12.09
82.98,12.07
83.81,12.06
84.65,12.03
85.50,12.01
86.35,11.99
87.22,11.95
88.09,11.93
88.97,11.90
89.86,11.87
90.76,11.84
91.66,11.81
92.58,11.78
93.51,11.76
94.44,11.74
95.39,11.72
96.34,11.71
97.30,11.70
98.28,11.72
99.26,11.73
100.25,11.74
101.25,11.74
102.27,11.73
103.29,11.72
104.32,11.69
105.37,11.66
106.42,11.63
107.48,11.59
108.56,11.55
109.64,11.51
110.74,11.48
111.85,11.45
112.97,11.41
114.10,11.39
115.24,11.38
116.39,11.37
117.55,11.34
118.73,11.32
119.92,11.30
121.12,11.28
122.33,11.25
123.55,11.22
124.79,11.18
126.03,11.13
127.29,11.10
128.57,11.08
129.85,11.05
131.15,11.04
132.46,11.02
133.79,10.99
135.12,10.98
136.48,10.97
137.84,10.94
139.22,10.92
140.61,10.89
142.02,10.84
143.44,10.82
144.87,10.78
146.32,10.76
147.78,10.73
149.26,10.70
150.75,10.66
152.26,10.63
153.78,10.59
155.32,10.55
156.88,10.53
158.44,10.52
160.03,10.49
161.63,10.47
163.24,10.43
164.88,10.37
166.53,10.33
168.19,10.29
169.87,10.23
171.57,10.19
173.29,10.16
175.02,10.11
176.77,10.06
178.54,10.03
180.32,9.99
182.13,9.94
183.95,9.87
185.79,9.83
187.65,9.80
189.52,9.76
191.42,9.73
193.33,9.69
195.27,9.65
197.22,9.62
199.19,9.58
201.18,9.53
203.19,9.48
205.23,9.42
207.28,9.37
209.35,9.33
211.44,9.27
213.56,9.21
215.69,9.15
217.85,9.08
220.03,9.03
222.23,8.98
224.45,8.92
226.70,8.86
228.96,8.78
231.25,8.73
233.57,8.66
235.90,8.59
238.26,8.56
240.64,8.49
243.05,8.44
245.48,8.37
247.93,8.29
250.41,8.25
252.92,8.18
255.45,8.12
258.00,8.07
