frequency,raw
20.00,6.33
20.20,6.35
20.40,6.37
20.61,6.38
20.81,6.40
21.02,6.43
21.23,6.45
21.44,6.48
21.66,6.51
21.87,6.53
22.09,6.57
22.31,6.60
22.54,6.63
22.76,6.67
22.99,6.72
23.22,6.76
23.45,6.80
23.69,6.84
23.92,6.87
24.16,6.90
24.40,6.92
24.65,6.95
24.89,6.96
25.14,6.98
25.39,6.99
25.65,6.98
25.91,6.98
26.16,6.97
26.43,6.97
26.69,6.98
26.96,6.98
27.23,6.99
27.50,6.99
27.77,6.99
28.05,7.00
28.33,7.00
28.62,7.00
28.90,7.01
29.19,7.01
29.48,7.01
29.78,7.01
30.08,7.01
30.38,7.02
30.68,7.02
30.99,7.02
31.30,7.02
31.61,7.03
31.93,7.03
32.24,7.04
32.57,7.06
32.89,7.07
33.22,7.06
33.55,7.07
33.89,7.05
34.23,7.04
34.57,7.02
34.92,7.00
35.27,6.97
35.62,6.95
35.97,6.92
36.33,6.88
36.70,6.85
37.06,6.82
37.43,6.81
37.81,6.78
38.19,6.76
38.57,6.76
38.95,6.75
39.34,6.75
39.74,6.76
40.14,6.78
40.54,6.78
40.94,6.79
41.35,6.79
41.76,6.80
42.18,6.81
42.60,6.81
43.03,6.80
43.46,6.79
43.90,6.78
44.33,6.76
44.78,6.74
45.23,6.71
45.68,6.68
46.13,6.65
46.60,6.62
47.06,6.59
47.53,6.57
48.01,6.54
48.49,6.51
48.97,6.49
49.46,6.47
49.96,6.45
50.46,6.44
50.96,6.45
51.47,6.45
51.99,6.47
52.51,6.47
53.03,6.47
53.56,6.46
54.10,6.43
54.64,6.41
55.18,6.38
55.74,6.35
56.29,6.31
56.86,6.28
57.42,6.25
58.00,6.22
58.58,6.19
59.16,6.17
59.76,6.14
60.35,6.12
60.96,6.09
61.57,6.07
62.18,6.04
62.80,6.02
63.43,6.01
64.07,5.99
64.71,5.96
65.35,5.93
66.01,5.90
66.67,5.87
67.33,5.85
68.01,5.83
68.69,5.81
69.37,5.79
70.07,5.77
70.77,5.75
71.48,5.72
72.19,5.70
72.91,5.69
73.64,5.66
74.38,5.63
75.12,5.60
75.87,5.56
76.63,5.53
77.40,5.50
78.17,5.46
78.95,5.45
79.74,5.44
80.54,5.41
