frequency,raw
20.00,15.29
20.20,15.30
20.40,15.30
20.61,15.30
20.81,15.30
21.02,15.30
21.23,15.30
21.44,15.30
21.66,15.29
21.87,15.28
22.09,15.28
22.31,15.27
22.54,15.26
22.76,15.24
22.99,15.23
23.22,15.22
23.45,15.20
23.69,15.18
23.92,15.16
24.16,15.14
24.40,15.12
24.65,15.10
24.89,15.08
25.14,15.07
25.39,15.05
25.65,15.02
25.91,15.01
26.16,14.98
26.43,14.96
26.69,14.94
26.96,14.91
27.23,14.89
27.50,14.86
27.77,14.83
28.05,14.81
28.33,14.79
28.62,14.76
28.90,14.74
29.19,14.71
29.48,14.68
29.78,14.65
30.08,14.62
30.38,14.60
30.68,14.57
30.99,14.54
31.30,14.51
31.61,14.49
31.93,14.46
32.24,14.42
32.57,14.40
32.89,14.36
33.22,14.33
33.55,14.30
33.89,14.27
34.23,14.24
34.57,14.22
34.92,14.19
35.27,14.15
35.62,14.12
35.97,14.08
36.33,14.05
36.70,14.01
37.06,13.97
37.43,13.95
37.81,13.92
38.19,13.88
38.57,13.85
38.95,13.80
39.34,13.78
39.74,13.74
40.14,13.71
40.54,13.67
40.94,13.63
41.35,13.58
41.76,13.54
42.18,13.50
42.60,13.46
43.03,13.41
43.46,13.37
43.90,13.33
44.33,13.28
44.78,13.23
45.23,13.18
45.68,13.14
46.13,13.09
46.60,13.03
47.06,12.98
47.53,12.95
48.01,12.90
48.49,12.85
48.97,12.79
49.46,12.73
49.96,12.68
50.46,12.63
50.96,12.58
51.47,12.53
51.99,12.48
52.51,12.42
53.03,12.37
53.56,12.32
54.10,12.27
54.64,12.22
55.18,12.17
55.74,12.12
56.29,12.06
56.86,12.01
57.42,11.97
58.00,11.91
58.58,11.85
59.16,11.80
59.76,11.73
60.35,11.68
60.96,11.63
61.57,11.57
62.18,11.51
62.80,11.46
63.43,11.40
64.07,11.33
64.71,11.27
65.35,11.21
66.01,11.15
66.67,11.08
67.33,11.01
68.01,10.94
68.69,10.88
69.37,10.82
70.07,10.75
70.77,10.69
71.48,10.61
72.19,10.54
72.91,10.48
73.64,10.42
74.38,10.36
75.12,10.30
75.87,10.23
76.63,10.17
77.40,10.11
78.17,10.05
78.95,9.99
79.74,9.93
80.54,9.86
81.35,9.81
82.16,9.75
82.98,9.69
83.81,9.63
84.65,9.56
85.50,9.50
86.35,9.43
87.22,9.36
88.09,9.29
88.97,9.23
89.86,9.16
90.76,9.09
91.66,9.02
92.58,8.95
93.51,8.89
94.44,8.82
95.39,8.75
96.34,8.67
97.30,8.59
98.28,8.51
99.26,8.43
100.25,8.35
101.25,8.28
102.27,8.21
103.29,8.17
104.32,8.10
105.37,8.02
106.42,7.95
107.48,7.87
108.56,7.79
109.64,7.70
110.74,7.63
111.85,7.57
112.97,7.49
114.10,7.42
115.24,7.36
116.39,7.33
117.55,7.26
118.73,7.17
119.92,7.09
121.12,7.01
122.33,6.95
123.55,6.88
124.79,6.77
126.03,6.68
127.29,6.62
128.57,6.55
129.85,6.45
131.15,6.35
132.46,6.29
133.79,6.21
135.12,6.10
136.48,6.05
137.84,5.97
139.22,5.92
140.61,5.85
142.02,5.73
143.44,5.68
144.87,5.59
146.32,5.52
147.78,5.44
149.26,5.36
150.75,5.27
152.26,5.21
153.78,5.12
155.32,5.03
156.88,4.93
158.44,4.86
160.03,4.74
161.63,4.67
163.24,4.58
164.88,4.46
166.53,4.38
168.19,4.30
169.87,4.16
171.57,4.08
173.29,4.00
175.02,3.87
176.77,3.77
178.54,3.69
180.32,3.61
182.13,3.52
183.95,3.38
185.79,3.30
187.65,3.20
189.52,3.10
191.42,3.02
193.33,2.92
195.27,2.81
197.22,2.70
199.19,2.59
201.18,2.47
203.19,2.36
205.23,2.24
207.28,2.13
209.35,2.02
211.44,1.92
213.56,1.85
215.69,1.77
217.85,1.72
220.03,1.69
222.23,1.67
224.45,1.67
226.70,1.70
228.96,1.73
231.25,1.78
233.57,1.84
235.90,1.92
238.26,2.00
240.64,2.09
243.05,2.18
245.48,2.27
247.93,2.39
250.41,2.44
252.92,2.53
255.45,2.58
258.00,2.62
260.58,2.67
263.19,2.69
265.82,2.73
268.48,2.74
271.16,2.75
273.87,2.75
276.61,2.74
279.38,2.72
282.17,2.68
284.99,2.64
287.84,2.60
290.72,2.55
293.63,2.50
296.57,2.43
299.53,2.35
302.53,2.27
305.55,2.18
308.61,2.07
311.69,1.97
314.81,1.89
317.96,1.82
321.14,1.72
324.35,1.64
327.59,1.56
330.87,1.49
334.18,1.40
337.52,1.32
340.90,1.24
344.30,1.17
347.75,1.11
351.23,1.04
354.74,0.96
358.28,0.88
361.87,0.82
365.49,0.75
369.14,0.68
372.83,0.62
376.56,0.52
380.33,0.46
384.13,0.41
387.97,0.36
391.85,0.28
395.77,0.22
399.73,0.15
403.72,0.09
407.76,0.01
411.84,-0.05
415.96,-0.11
420.12,-0.16
424.32,-0.22
428.56,-0.28
432.85,-0.33
437.18,-0.38
441.55,-0.42
445.96,-0.47
450.42,-0.54
454.93,-0.60
459.48,-0.66
464.07,-0.71
468.71,-0.75
473.40,-0.80
478.13,-0.85
482.91,-0.90
487.74,-0.95
492.62,-0.99
497.55,-1.04
502.52,-1.08
507.55,-1.12
512.62,-1.16
517.75,-1.20
522.93,-1.23
528.16,-1.25
533.44,-1.29
538.77,-1.34
544.16,-1.39
549.60,-1.44
555.10,-1.49
560.65,-1.52
566.25,-1.55
571.92,-1.59
577.64,-1.61
583.41,-1.63
589.25,-1.67
595.14,-1.72
601.09,-1.76
607.10,-1.80
613.17,-1.84
619.30,-1.87
625.50,-1.90
631.75,-1.93
638.07,-1.97
644.45,-1.99
650.89,-2.02
657.40,-2.04
663.98,-2.07
670.62,-2.09
677.32,-2.11
684.10,-2.13
690.94,-2.16
697.85,-2.18
704.83,-2.21
711.87,-2.25
718.99,-2.28
726.18,-2.31
733.44,-2.34
740.78,-2.37
748.19,-2.40
755.67,-2.42
763.23,-2.45
770.86,-2.45
778.57,-2.45
786.35,-2.44
794.22,-2.42
