frequency,raw
20.00,4.93
20.20,4.96
20.40,4.98
20.61,5.00
20.81,5.02
21.02,5.04
21.23,5.06
21.44,5.08
21.66,5.10
21.87,5.11
22.09,5.13
22.31,5.14
22.54,5.15
22.76,5.16
22.99,5.17
23.22,5.18
23.45,5.19
23.69,5.20
23.92,5.20
24.16,5.21
24.40,5.21
24.65,5.22
24.89,5.22
25.14,5.23
25.39,5.24
25.65,5.24
25.91,5.25
26.16,5.25
26.43,5.25
26.69,5.26
26.96,5.26
27.23,5.27
27.50,5.27
27.77,5.27
28.05,5.28
28.33,5.27
28.62,5.26
28.90,5.26
29.19,5.25
29.48,5.24
29.78,5.22
30.08,5.20
30.38,5.18
30.68,5.16
30.99,5.13
31.30,5.11
31.61,5.09
31.93,5.07
32.24,5.05
32.57,5.04
32.89,5.02
33.22,5.01
33.55,5.01
33.89,5.00
34.23,5.00
34.57,5.01
34.92,5.00
35.27,5.00
35.62,5.01
35.97,5.02
36.33,5.02
36.70,5.02
37.06,5.02
37.43,5.03
37.81,5.03
38.19,5.03
38.57,5.04
38.95,5.04
39.34,5.05
39.74,5.05
40.14,5.06
40.54,5.07
40.94,5.08
41.35,5.08
41.76,5.08
42.18,5.08
42.60,5.06
43.03,5.04
43.46,5.01
43.90,4.99
44.33,4.96
44.78,4.93
45.23,4.90
45.68,4.87
46.13,4.84
46.60,4.81
47.06,4.78
47.53,4.76
48.01,4.74
48.49,4.73
48.97,4.72
49.46,4.72
49.96,4.73
50.46,4.75
50.96,4.76
51.47,4.74
51.99,4.73
52.51,4.72
53.03,4.69
53.56,4.67
54.10,4.63
54.64,4.60
55.18,4.57
55.74,4.54
56.29,4.50
56.86,4.47
57.42,4.44
58.00,4.40
58.58,4.38
59.16,4.37
59.76,4.34
60.35,4.34
60.96,4.34
61.57,4.35
62.18,4.36
62.80,4.38
63.43,4.38
64.07,4.39
64.71,4.38
65.35,4.37
66.01,4.35
66.67,4.33
67.33,4.31
68.01,4.28
68.69,4.25
69.37,4.22
70.07,4.19
70.77,4.15
71.48,4.11
72.19,4.09
72.91,4.06
73.64,4.04
74.38,4.01
75.12,4.00
75.87,3.98
76.63,3.99
77.40,4.00
78.17,4.01
78.95,4.02
79.74,4.02
80.54,4.00
81.35,3.99
82.16,3.97
82.98,3.95
83.81,3.92
84.65,3.88
85.50,3.85
86.35,3.82
87.22,3.79
88.09,3.76
88.97,3.73
89.86,3.71
90.76,3.69
91.66,3.68
92.58,3.67
93.51,3.66
94.44,3.64
95.39,3.63
96.34,3.62
97.30,3.60
98.28,3.57
99.26,3.55
100.25,3.52
101.25,3.48
102.27,3.45
103.29,3.42
104.32,3.39
105.37,3.37
106.42,3.36
107.48,3.33
108.56,3.31
109.64,3.29
110.74,3.27
111.85,3.25
112.97,3.22
114.10,3.20
115.24,3.17
116.39,3.15
117.55,3.11
118.73,3.09
119.92,3.06
121.12,3.03
122.33,2.99
123.55,2.96
124.79,2.91
126.03,2.87
127.29,2.84
128.57,2.82
129.85,2.80
131.15,2.78
132.46,2.74
133.79,2.70
135.12,2.66
136.48,2.61
137.84,2.56
139.22,2.51
140.61,2.47
142.02,2.43
143.44,2.41
144.87,2.38
146.32,2.35
147.78,2.32
149.26,2.28
150.75,2.23
152.26,2.18
153.78,2.15
155.32,2.11
156.88,2.09
158.44,2.07
160.03,2.04
161.63,2.00
163.24,1.95
164.88,1.90
166.53,1.85
168.19,1.81
169.87,1.77
171.57,1.74
173.29,1.70
175.02,1.67
176.77,1.63
178.54,1.59
180.32,1.54
182.13,1.50
183.95,1.46
185.79,1.42
187.65,1.39
189.52,1.36
191.42,1.32
193.33,1.29
195.27,1.25
197.22,1.20
199.19,1.15
201.18,1.10
203.19,1.06
205.23,1.01
207.28,0.98
209.35,0.96
211.44,0.93
213.56,0.91
215.69,0.89
217.85,0.87
220.03,0.84
222.23,0.84
224.45,0.84
226.70,0.84
228.96,0.84
231.25,0.85
233.57,0.85
235.90,0.84
238.26,0.84
240.64,0.83
243.05,0.82
245.48,0.81
247.93,0.81
250.41,0.80
252.92,0.79
255.45,0.78
258.00,0.78
260.58,0.77
263.19,0.78
265.82,0.79
268.48,0.78
271.16,0.78
273.87,0.77
276.61,0.74
279.38,0.73
282.17,0.69
284.99,0.66
287.84,0.64
290.72,0.60
293.63,0.57
296.57,0.55
299.53,0.51
302.53,0.49
305.55,0.47
308.61,0.43
311.69,0.41
314.81,0.37
317.96,0.34
321.14,0.30
324.35,0.28
327.59,0.26
330.87,0.24
334.18,0.21
337.52,0.18
340.90,0.14
344.30,0.10
347.75,0.06
351.23,0.02
354.74,-0.03
358.28,-0.08
361.87,-0.11
365.49,-0.13
369.14,-0.14
372.83,-0.17
376.56,-0.21
380.33,-0.25
384.13,-0.29
387.97,-0.34
391.85,-0.39
395.77,-0.44
399.73,-0.48
403.72,-0.51
407.76,-0.54
411.84,-0.56
415.96,-0.59
420.12,-0.62
424.32,-0.66
428.56,-0.71
432.85,-0.75
437.18,-0.78
441.55,-0.82
445.96,-0.85
450.42,-0.86
454.93,-0.87
459.48,-0.90
464.07,-0.92
468.71,-0.95
473.40,-0.99
478.13,-1.03
482.91,-1.07
487.74,-1.10
492.62,-1.14
497.55,-1.17
502.52,-1.19
507.55,-1.22
512.62,-1.24
517.75,-1.27
522.93,-1.29
528.16,-1.32
533.44,-1.34
538.77,-1.38
544.16,-1.41
549.60,-1.44
555.10,-1.46
560.65,-1.48
566.25,-1.50
571.92,-1.54
577.64,-1.57
583.41,-1.60
589.25,-1.62
595.14,-1.65
601.09,-1.67
607.10,-1.70
613.17,-1.73
619.30,-1.75
625.50,-1.78
631.75,-1.80
638.07,-1.83
644.45,-1.85
650.89,-1.87
657.40,-1.90
663.98,-1.94
670.62,-1.97
677.32,-2.00
684.10,-2.02
690.94,-2.04
697.85,-2.05
704.83,-2.08
711.87,-2.09
718.99,-2.11
726.18,-2.12
733.44,-2.14
740.78,-2.16
748.19,-2.18
755.67,-2.21
763.23,-2.25
770.86,-2.28
778.57,-2.31
786.35,-2.34
794.22,-2.36
802.16,-2.39
810.18,-2.41
818.28,-2.43
826.46,-2.43
834.73,-2.43
843.08,-2.42
851.51,-2.41
860.02,-2.39
868.62,-2.37
877.31,-2.36
886.08,-2.34
894.94,-2.32
903.89,-2.30
912.93,-2.28
922.06,-2.25
931.28,-2.22
940.59,-2.19
950.00,-2.15
959.50,-2.12
969.09,-2.08
978.78,-2.04
988.57,-1.99
998.46,-1.94
1008.44,-1.89
1018.53,-1.83
1028.71,-1.77
1039.00,-1.70
1049.39,-1.63
1059.88,-1.56
1070.48,-1.49
1081.19,-1.42
1092.00,-1.34
1102.92,-1.26
1113.95,-1.18
1125.09,-1.09
1136.34,-1.00
1147.70,-0.91
1159.18,-0.80
1170.77,-0.69
1182.48,-0.58
1194.30,-0.48
1206.25,-0.38
1218.31,-0.28
1230.49,-0.16
1242.80,-0.04
1255.22,0.08
1267.78,0.19
1280.45,0.31
1293.26,0.42
1306.19,0.51
1319.25,0.60
1332.45,0.70
1345.77,0.79
1359.23,0.88
1372.82,0.94
1386.55,1.03
1400.41,1.12
1414.42,1.22
1428.56,1.30
1442.85,1.38
1457.28,1.47
1471.85,1.55
1486.57,1.63
1501.43,1.71
1516.45,1.79
1531.61,1.88
1546.93,1.98
1562.40,2.07
1578.02,2.17
1593.80,2.26
1609.74,2.35
1625.84,2.44
1642.10,2.55
1658.52,2.66
1675.10,2.76
1691.85,2.86
1708.77,2.97
1725.86,3.10
1743.12,3.22
1760.55,3.34
1778.15,3.47
1795.94,3.59
1813.90,3.72
1832.03,3.84
1850.36,3.99
1868.86,4.13
1887.55,4.27
1906.42,4.40
1925.49,4.56
1944.74,4.71
1964.19,4.86
1983.83,5.03
2003.67,5.19
2023.71,5.35
2043.94,5.51
2064.38,5.67
2085.03,5.82
2105.88,5.98
2126.94,6.14
2148.20,6.28
2169.69,6.43
2191.38,6.59
2213.30,6.74
2235.43,6.87
2257.78,7.00
2280.36,7.13
2303.17,7.26
2326.20,7.37
2349.46,7.48
2372.95,7.59
2396.68,7.71
2420.65,7.80
2444.86,7.89
2469.31,7.97
2494.00,8.03
2518.94,8.10
2544.13,8.17
2569.57,8.22
2595.27,8.26
2621.22,8.29
2647.43,8.33
2673.90,8.35
2700.64,8.38
2727.65,8.38
2754.93,8.39
2782.48,8.39
2810.30,8.35
2838.40,8.33
2866.79,8.30
2895.46,8.26
2924.41,8.22
2953.65,8.17
2983.19,8.10
3013.02,8.02
3043.15,7.92
3073.58,7.82
3104.32,7.72
3135.36,7.59
3166.72,7.46
3198.38,7.33
3230.37,7.18
3262.67,7.03
3295.30,6.87
3328.25,6.70
3361.53,6.52
3395.15,6.34
3429.10,6.15
3463.39,5.96
3498.03,5.74
3533.01,5.55
3568.34,5.34
3604.02,5.14
3640.06,4.96
3676.46,4.80
3713.22,4.63
3750.36,4.49
3787.86,4.36
3825.74,4.24
3864.00,4.17
3902.64,4.10
3941.66,4.05
3981.08,4.02
4020.89,4.01
4061.10,4.02
4101.71,4.05
4142.73,4.10
4184.15,4.16
4226.00,4.24
4268.26,4.35
4310.94,4.46
4354.05,4.57
4397.59,4.70
4441.56,4.83
4485.98,4.99
4530.84,5.16
4576.15,5.34
4621.91,5.52
4668.13,5.70
4714.81,5.87
4761.96,6.04
4809.58,6.20
4857.67,6.34
4906.25,6.46
4955.31,6.56
5004.87,6.64
5054.91,6.69
5105.46,6.72
5156.52,6.73
5208.08,6.71
5260.16,6.66
5312.77,6.58
5365.89,6.47
5419.55,6.35
5473.75,6.19
5528.49,6.01
5583.77,5.81
5639.61,5.60
5696.00,5.35
5752.96,5.09
5810.49,4.82
5868.60,4.53
5927.28,4.21
5986.56,3.89
6046.42,3.57
6106.89,3.24
6167.96,2.91
6229.64,2.56
6291.93,2.22
6354.85,1.89
6418.40,1.59
6482.58,1.29
6547.41,0.99
6612.88,0.72
6679.01,0.46
6745.80,0.22
6813.26,0.01
6881.39,-0.17
6950.21,-0.31
7019.71,-0.41
7089.91,-0.47
7160.81,-0.47
7232.41,-0.44
7304.74,-0.37
7377.79,-0.27
7451.56,-0.13
7526.08,0.05
