frequency,raw
20.00,4.87
20.20,4.90
20.40,4.92
20.61,4.94
20.81,4.96
21.02,4.98
21.23,5.00
21.44,5.02
21.66,5.04
21.87,5.05
22.09,5.07
22.31,5.08
22.54,5.09
22.76,5.10
22.99,5.11
23.22,5.12
23.45,5.13
23.69,5.14
23.92,5.14
24.16,5.15
24.40,5.15
24.65,5.16
24.89,5.16
25.14,5.17
25.39,5.18
25.65,5.18
25.91,5.19
26.16,5.19
26.43,5.19
26.69,5.20
26.96,5.21
27.23,5.22
27.50,5.23
27.77,5.23
28.05,5.24
28.33,5.24
28.62,5.23
28.90,5.22
29.19,5.20
29.48,5.18
29.78,5.15
30.08,5.12
30.38,5.10
30.68,5.07
30.99,5.04
31.30,5.01
31.61,4.99
31.93,4.97
32.24,4.94
32.57,4.94
32.89,4.93
33.22,4.92
33.55,4.93
33.89,4.94
34.23,4.94
34.57,4.96
34.92,4.96
35.27,4.96
35.62,4.97
35.97,4.97
36.33,4.97
36.70,4.97
37.06,4.97
37.43,4.98
37.81,4.98
38.19,4.98
38.57,4.99
38.95,4.99
39.34,5.00
39.74,5.00
40.14,5.02
40.54,5.03
40.94,5.03
41.35,5.03
41.76,5.02
42.18,5.00
42.60,4.98
43.03,4.95
43.46,4.92
43.90,4.89
44.33,4.86
44.78,4.83
45.23,4.80
45.68,4.77
46.13,4.74
46.60,4.72
47.06,4.69
47.53,4.68
48.01,4.67
48.49,4.66
48.97,4.66
49.46,4.67
49.96,4.68
50.46,4.68
50.96,4.69
51.47,4.68
51.99,4.68
52.51,4.68
53.03,4.68
53.56,4.68
54.10,4.67
54.64,4.68
55.18,4.68
55.74,4.69
56.29,4.67
56.86,4.66
57.42,4.65
58.00,4.62
58.58,4.60
59.16,4.57
59.76,4.53
60.35,4.50
60.96,4.47
61.57,4.44
62.18,4.41
62.80,4.38
63.43,4.35
64.07,4.33
64.71,4.31
65.35,4.30
66.01,4.30
66.67,4.31
67.33,4.32
68.01,4.32
68.69,4.32
69.37,4.31
70.07,4.30
70.77,4.27
71.48,4.24
72.19,4.21
72.91,4.18
73.64,4.15
74.38,4.11
75.12,4.08
75.87,4.04
76.63,4.02
77.40,4.01
78.17,3.98
78.95,3.96
79.74,3.94
80.54,3.91
81.35,3.89
82.16,3.87
82.98,3.85
83.81,3.83
84.65,3.79
85.50,3.76
86.35,3.73
87.22,3.70
88.09,3.67
88.97,3.64
89.86,3.62
90.76,3.60
91.66,3.59
92.58,3.59
93.51,3.60
94.44,3.61
95.39,3.61
96.34,3.61
97.30,3.58
98.28,3.56
99.26,3.54
100.25,3.51
101.25,3.48
