frequency,raw
20.00,9.86
20.20,9.88
20.40,9.88
20.61,9.88
20.81,9.88
21.02,9.88
21.23,9.89
21.44,9.89
21.66,9.89
21.87,9.88
22.09,9.88
22.31,9.87
22.54,9.84
22.76,9.82
22.99,9.80
23.22,9.79
23.45,9.77
23.69,9.76
23.92,9.74
24.16,9.74
24.40,9.73
24.65,9.74
24.89,9.75
25.14,9.77
25.39,9.79
25.65,9.79
25.91,9.80
26.16,9.80
26.43,9.80
26.69,9.81
26.96,9.81
27.23,9.82
27.50,9.82
27.77,9.82
28.05,9.83
28.33,9.83
28.62,9.83
28.90,9.84
29.19,9.84
29.48,9.84
29.78,9.84
30.08,9.84
30.38,9.85
30.68,9.85
30.99,9.85
31.30,9.85
31.61,9.86
31.93,9.86
32.24,9.87
32.57,9.88
32.89,9.89
33.22,9.89
33.55,9.89
33.89,9.88
34.23,9.86
34.57,9.85
34.92,9.82
35.27,9.79
35.62,9.77
35.97,9.74
36.33,9.71
36.70,9.68
37.06,9.65
37.43,9.63
37.81,9.61
38.19,9.59
38.57,9.58
38.95,9.57
39.34,9.59
39.74,9.60
40.14,9.62
40.54,9.63
40.94,9.63
41.35,9.62
41.76,9.60
42.18,9.58
42.60,9.55
43.03,9.51
43.46,9.48
43.90,9.45
44.33,9.42
44.78,9.39
45.23,9.36
45.68,9.34
46.13,9.32
46.60,9.31
47.06,9.29
47.53,9.28
48.01,9.27
48.49,9.25
48.97,9.24
49.46,9.23
49.96,9.20
50.46,9.17
50.96,9.14
51.47,9.11
51.99,9.08
52.51,9.06
53.03,9.04
53.56,9.01
54.10,8.97
54.64,8.94
55.18,8.90
55.74,8.87
56.29,8.84
56.86,8.81
57.42,8.79
58.00,8.76
58.58,8.74
59.16,8.72
59.76,8.68
60.35,8.65
60.96,8.61
61.57,8.57
62.18,8.54
62.80,8.51
63.43,8.48
64.07,8.46
64.71,8.45
65.35,8.43
66.01,8.40
66.67,8.36
67.33,8.33
68.01,8.28
68.69,8.24
69.37,8.20
70.07,8.18
70.77,8.15
71.48,8.11
72.19,8.08
72.91,8.05
73.64,8.00
74.38,7.94
75.12,7.89
75.87,7.84
76.63,7.80
77.40,7.76
78.17,7.72
78.95,7.68
79.74,7.65
80.54,7.61
81.35,7.57
82.16,7.52
82.98,7.49
83.81,7.45
84.65,7.42
85.50,7.39
86.35,7.36
87.22,7.33
88.09,7.29
88.97,7.24
89.86,7.19
90.76,7.14
91.66,7.10
92.58,7.06
93.51,7.04
94.44,7.02
95.39,7.01
96.34,6.98
97.30,6.94
98.28,6.91
99.26,6.87
100.25,6.84
101.25,6.82
102.27,6.80
103.29,6.78
104.32,6.73
105.37,6.70
106.42,6.66
107.48,6.60
108.56,6.56
109.64,6.50
110.74,6.44
111.85,6.38
112.97,6.31
114.10,6.26
115.24,6.22
116.39,6.18
117.55,6.12
118.73,6.07
119.92,6.01
121.12,5.95
122.33,5.89
123.55,5.86
124.79,5.81
126.03,5.76
127.29,5.70
128.57,5.64
129.85,5.60
131.15,5.56
132.46,5.51
133.79,5.46
135.12,5.39
136.48,5.34
137.84,5.29
139.22,5.23
140.61,5.18
142.02,5.11
143.44,5.05
144.87,4.99
146.32,4.92
147.78,4.87
149.26,4.81
150.75,4.75
152.26,4.70
153.78,4.64
155.32,4.58
156.88,4.53
158.44,4.48
160.03,4.43
161.63,4.38
163.24,4.31
164.88,4.26
166.53,4.20
168.19,4.15
169.87,4.09
171.57,4.04
173.29,3.98
175.02,3.92
176.77,3.85
178.54,3.79
180.32,3.74
182.13,3.68
183.95,3.62
185.79,3.55
187.65,3.50
189.52,3.46
191.42,3.41
193.33,3.37
195.27,3.32
197.22,3.26
199.19,3.21
201.18,3.17
203.19,3.13
205.23,3.08
207.28,3.04
209.35,2.98
211.44,2.93
213.56,2.89
215.69,2.85
217.85,2.80
220.03,2.74
222.23,2.67
224.45,2.61
226.70,2.56
228.96,2.50
231.25,2.45
233.57,2.40
235.90,2.34
238.26,2.28
240.64,2.22
243.05,2.16
245.48,2.10
247.93,2.04
250.41,1.98
252.92,1.92
255.45,1.86
258.00,1.80
260.58,1.74
263.19,1.68
265.82,1.62
268.48,1.56
271.16,1.50
273.87,1.44
276.61,1.37
279.38,1.31
282.17,1.25
284.99,1.20
287.84,1.14
290.72,1.08
293.63,1.02
296.57,0.97
299.53,0.90
302.53,0.84
305.55,0.79
308.61,0.73
311.69,0.67
314.81,0.61
317.96,0.56
321.14,0.49
324.35,0.43
327.59,0.38
330.87,0.33
334.18,0.28
337.52,0.23
340.90,0.16
344.30,0.11
347.75,0.06
351.23,0.02
354.74,-0.02
358.28,-0.06
361.87,-0.11
365.49,-0.17
369.14,-0.22
372.83,-0.26
376.56,-0.32
380.33,-0.36
384.13,-0.39
387.97,-0.43
391.85,-0.49
395.77,-0.53
399.73,-0.58
403.72,-0.62
407.76,-0.67
411.84,-0.71
415.96,-0.76
420.12,-0.79
424.32,-0.82
428.56,-0.87
432.85,-0.90
437.18,-0.94
441.55,-0.98
445.96,-1.02
450.42,-1.06
454.93,-1.10
459.48,-1.13
464.07,-1.17
468.71,-1.21
473.40,-1.25
478.13,-1.30
482.91,-1.34
487.74,-1.39
492.62,-1.44
497.55,-1.48
502.52,-1.51
507.55,-1.55
512.62,-1.58
517.75,-1.62
522.93,-1.66
528.16,-1.70
533.44,-1.75
538.77,-1.80
544.16,-1.84
549.60,-1.87
555.10,-1.89
560.65,-1.91
566.25,-1.92
571.92,-1.96
577.64,-1.99
583.41,-2.02
589.25,-2.05
595.14,-2.09
601.09,-2.12
607.10,-2.15
613.17,-2.18
619.30,-2.20
625.50,-2.23
631.75,-2.26
638.07,-2.30
644.45,-2.33
650.89,-2.35
657.40,-2.37
663.98,-2.40
670.62,-2.41
677.32,-2.41
684.10,-2.40
690.94,-2.39
697.85,-2.39
704.83,-2.40
711.87,-2.41
718.99,-2.43
726.18,-2.45
733.44,-2.48
740.78,-2.50
748.19,-2.53
755.67,-2.57
763.23,-2.61
770.86,-2.64
778.57,-2.67
786.35,-2.69
794.22,-2.71
802.16,-2.73
810.18,-2.74
818.28,-2.75
826.46,-2.75
834.73,-2.75
843.08,-2.74
851.51,-2.73
860.02,-2.71
868.62,-2.69
877.31,-2.67
886.08,-2.63
894.94,-2.59
903.89,-2.54
912.93,-2.49
922.06,-2.43
931.28,-2.37
940.59,-2.31
950.00,-2.24
959.50,-2.18
969.09,-2.12
978.78,-2.06
988.57,-2.00
998.46,-1.94
1008.44,-1.88
1018.53,-1.82
1028.71,-1.75
1039.00,-1.67
1049.39,-1.58
1059.88,-1.49
1070.48,-1.40
1081.19,-1.30
1092.00,-1.20
1102.92,-1.09
1113.95,-0.97
1125.09,-0.84
1136.34,-0.72
1147.70,-0.59
1159.18,-0.47
1170.77,-0.34
1182.48,-0.21
1194.30,-0.09
1206.25,0.03
1218.31,0.14
1230.49,0.26
1242.80,0.39
1255.22,0.53
1267.78,0.66
1280.45,0.79
1293.26,0.92
1306.19,1.04
1319.25,1.17
1332.45,1.27
1345.77,1.38
1359.23,1.50
1372.82,1.61
1386.55,1.73
1400.41,1.85
1414.42,1.96
1428.56,2.05
1442.85,2.15
1457.28,2.27
1471.85,2.37
1486.57,2.48
1501.43,2.58
1516.45,2.68
1531.61,2.79
1546.93,2.90
1562.40,3.01
1578.02,3.11
1593.80,3.21
1609.74,3.32
1625.84,3.42
1642.10,3.52
1658.52,3.62
1675.10,3.74
1691.85,3.86
1708.77,3.98
1725.86,4.11
1743.12,4.23
1760.55,4.35
1778.15,4.48
1795.94,4.61
1813.90,4.76
1832.03,4.90
1850.36,5.05
1868.86,5.20
1887.55,5.35
1906.42,5.49
1925.49,5.64
1944.74,5.79
1964.19,5.93
1983.83,6.08
2003.67,6.23
2023.71,6.38
2043.94,6.53
2064.38,6.69
2085.03,6.84
2105.88,7.00
2126.94,7.15
2148.20,7.30
2169.69,7.44
2191.38,7.58
2213.30,7.73
2235.43,7.88
2257.78,8.00
2280.36,8.12
2303.17,8.24
2326.20,8.34
2349.46,8.44
2372.95,8.54
2396.68,8.63
2420.65,8.71
2444.86,8.80
2469.31,8.90
2494.00,8.98
2518.94,9.07
2544.13,9.16
2569.57,9.24
2595.27,9.30
2621.22,9.38
2647.43,9.46
2673.90,9.52
2700.64,9.59
2727.65,9.64
2754.93,9.70
2782.48,9.76
2810.30,9.81
2838.40,9.86
2866.79,9.91
2895.46,9.94
2924.41,9.98
2953.65,10.02
2983.19,10.05
3013.02,10.08
