frequency,raw
20.00,10.31
20.20,10.35
20.40,10.38
20.61,10.41
20.81,10.44
21.02,10.47
21.23,10.50
21.44,10.53
21.66,10.56
21.87,10.58
22.09,10.60
22.31,10.62
22.54,10.64
22.76,10.65
22.99,10.67
23.22,10.68
23.45,10.70
23.69,10.71
23.92,10.72
24.16,10.73
24.40,10.73
24.65,10.75
24.89,10.75
25.14,10.76
25.39,10.77
25.65,10.78
25.91,10.79
26.16,10.79
26.43,10.79
26.69,10.80
26.96,10.80
27.23,10.81
27.50,10.81
27.77,10.81
28.05,10.82
28.33,10.81
28.62,10.81
28.90,10.81
29.19,10.81
29.48,10.80
29.78,10.79
30.08,10.79
30.38,10.78
30.68,10.77
30.99,10.76
31.30,10.75
31.61,10.74
31.93,10.72
32.24,10.71
32.57,10.70
32.89,10.68
33.22,10.66
33.55,10.65
33.89,10.64
34.23,10.62
34.57,10.61
34.92,10.58
35.27,10.56
35.62,10.55
35.97,10.53
36.33,10.51
36.70,10.49
37.06,10.48
37.43,10.47
37.81,10.46
38.19,10.44
38.57,10.44
38.95,10.43
39.34,10.43
39.74,10.43
40.14,10.43
40.54,10.42
40.94,10.41
41.35,10.40
41.76,10.38
42.18,10.36
42.60,10.35
43.03,10.33
43.46,10.31
43.90,10.29
44.33,10.28
44.78,10.26
45.23,10.24
45.68,10.22
46.13,10.19
46.60,10.16
47.06,10.13
47.53,10.11
48.01,10.08
48.49,10.04
48.97,10.00
49.46,9.97
49.96,9.93
50.46,9.90
50.96,9.87
51.47,9.83
51.99,9.80
52.51,9.77
53.03,9.75
53.56,9.72
54.10,9.68
54.64,9.65
55.18,9.62
55.74,9.58
56.29,9.54
56.86,9.51
57.42,9.48
58.00,9.44
58.58,9.42
59.16,9.39
59.76,9.35
60.35,9.32
60.96,9.28
61.57,9.25
62.18,9.21
62.80,9.18
63.43,9.15
64.07,9.12
64.71,9.08
65.35,9.05
66.01,9.00
66.67,8.95
67.33,8.91
68.01,8.87
68.69,8.84
69.37,8.80
70.07,8.76
70.77,8.72
71.48,8.67
72.19,8.62
72.91,8.57
73.64,8.52
74.38,8.47
75.12,8.43
75.87,8.39
76.63,8.35
77.40,8.31
78.17,8.25
78.95,8.20
79.74,8.16
80.54,8.11
81.35,8.08
82.16,8.04
82.98,8.00
83.81,7.95
84.65,7.89
85.50,7.84
86.35,7.79
87.22,7.75
88.09,7.73
88.97,7.69
89.86,7.65
90.76,7.59
91.66,7.55
92.58,7.50
93.51,7.46
94.44,7.42
95.39,7.38
96.34,7.35
97.30,7.29
98.28,7.25
99.26,7.20
100.25,7.16
101.25,7.11
102.27,7.06
103.29,7.03
104.32,6.98
105.37,6.94
106.42,6.91
107.48,6.87
108.56,6.84
109.64,6.81
110.74,6.77
111.85,6.73
112.97,6.68
114.10,6.64
115.24,6.61
116.39,6.60
117.55,6.56
118.73,6.54
119.92,6.51
121.12,6.48
122.33,6.45
123.55,6.42
124.79,6.38
126.03,6.34
127.29,6.32
128.57,6.30
129.85,6.28
131.15,6.24
132.46,6.20
133.79,6.14
135.12,6.08
136.48,6.04
137.84,5.99
139.22,5.95
140.61,5.91
142.02,5.84
143.44,5.81
144.87,5.77
146.32,5.72
147.78,5.66
149.26,5.62
150.75,5.56
152.26,5.53
153.78,5.50
155.32,5.47
156.88,5.44
158.44,5.43
160.03,5.38
161.63,5.35
163.24,5.31
164.88,5.27
166.53,5.25
168.19,5.23
169.87,5.19
171.57,5.17
173.29,5.13
175.02,5.08
176.77,5.03
178.54,4.98
180.32,4.94
182.13,4.90
183.95,4.85
185.79,4.83
187.65,4.81
189.52,4.79
191.42,4.76
193.33,4.72
195.27,4.68
197.22,4.65
199.19,4.61
201.18,4.57
203.19,4.55
205.23,4.51
207.28,4.47
209.35,4.42
211.44,4.35
213.56,4.30
215.69,4.26
217.85,4.20
