frequency,raw
20.00,4.95
20.20,5.03
20.40,5.10
20.61,5.17
20.81,5.24
21.02,5.31
21.23,5.39
21.44,5.46
21.66,5.53
21.87,5.59
22.09,5.66
22.31,5.72
22.54,5.78
22.76,5.84
22.99,5.90
23.22,5.96
23.45,6.02
23.69,6.08
23.92,6.12
24.16,6.18
24.40,6.23
24.65,6.29
24.89,6.34
25.14,6.39
25.39,6.45
25.65,6.49
25.91,6.54
26.16,6.59
26.43,6.63
26.69,6.69
26.96,6.73
27.23,6.78
27.50,6.82
27.77,6.86
28.05,6.91
28.33,6.95
28.62,6.99
28.90,7.04
29.19,7.07
29.48,7.10
29.78,7.14
30.08,7.17
30.38,7.20
30.68,7.22
30.99,7.24
31.30,7.26
31.61,7.29
31.93,7.31
32.24,7.34
32.57,7.37
32.89,7.39
33.22,7.41
33.55,7.44
33.89,7.46
34.23,7.48
34.57,7.50
34.92,7.52
35.27,7.53
35.62,7.55
35.97,7.57
36.33,7.58
36.70,7.58
37.06,7.59
37.43,7.61
37.81,7.62
38.19,7.63
38.57,7.65
38.95,7.65
39.34,7.66
39.74,7.66
40.14,7.67
40.54,7.68
40.94,7.69
41.35,7.69
41.76,7.69
42.18,7.69
42.60,7.68
43.03,7.67
43.46,7.67
43.90,7.66
44.33,7.66
44.78,7.65
45.23,7.65
45.68,7.65
46.13,7.65
46.60,7.65
47.06,7.65
47.53,7.66
48.01,7.66
48.49,7.66
48.97,7.66
49.46,7.66
49.96,7.66
50.46,7.67
50.96,7.68
51.47,7.67
51.99,7.68
52.51,7.68
53.03,7.68
53.56,7.67
54.10,7.66
54.64,7.65
55.18,7.65
55.74,7.64
56.29,7.61
56.86,7.60
57.42,7.59
58.00,7.56
58.58,7.54
59.16,7.52
59.76,7.49
60.35,7.47
60.96,7.45
61.57,7.43
62.18,7.42
62.80,7.40
63.43,7.39
64.07,7.37
64.71,7.35
65.35,7.33
66.01,7.30
66.67,7.27
67.33,7.25
68.01,7.23
68.69,7.20
69.37,7.18
70.07,7.17
70.77,7.16
71.48,7.14
72.19,7.12
72.91,7.10
73.64,7.07
74.38,7.03
75.12,6.99
75.87,6.95
76.63,6.91
77.40,6.88
78.17,6.84
78.95,6.82
79.74,6.79
80.54,6.75
81.35,6.72
