frequency,raw
20.00,10.66
20.20,10.68
20.40,10.69
20.61,10.70
20.81,10.71
21.02,10.72
21.23,10.73
21.44,10.74
21.66,10.74
21.87,10.74
22.09,10.75
22.31,10.74
22.54,10.73
22.76,10.73
22.99,10.72
23.22,10.71
23.45,10.71
23.69,10.70
23.92,10.68
24.16,10.68
24.40,10.66
24.65,10.65
24.89,10.64
25.14,10.63
25.39,10.62
25.65,10.61
25.91,10.60
26.16,10.58
26.43,10.57
26.69,10.56
26.96,10.55
27.23,10.54
27.50,10.52
27.77,10.51
28.05,10.50
28.33,10.48
28.62,10.47
28.90,10.46
29.19,10.44
29.48,10.43
29.78,10.41
30.08,10.39
30.38,10.39
30.68,10.37
30.99,10.36
31.30,10.34
31.61,10.33
31.93,10.32
32.24,10.30
32.57,10.29
32.89,10.28
33.22,10.26
33.55,10.25
33.89,10.24
34.23,10.22
34.57,10.21
34.92,10.19
35.27,10.18
35.62,10.17
35.97,10.15
36.33,10.14
36.70,10.14
37.06,10.13
37.43,10.14
37.81,10.13
38.19,10.12
38.57,10.11
38.95,10.09
39.34,10.07
39.74,10.04
40.14,10.02
40.54,9.99
40.94,9.96
41.35,9.94
41.76,9.92
42.18,9.90
42.60,9.87
43.03,9.83
43.46,9.80
43.90,9.77
44.33,9.74
44.78,9.71
45.23,9.68
45.68,9.66
46.13,9.64
46.60,9.61
47.06,9.59
47.53,9.58
48.01,9.55
48.49,9.52
48.97,9.49
49.46,9.46
49.96,9.43
50.46,9.40
50.96,9.38
51.47,9.36
51.99,9.35
52.51,9.32
53.03,9.28
53.56,9.24
54.10,9.18
54.64,9.13
55.18,9.09
55.74,9.06
56.29,9.01
56.86,8.97
57.42,8.93
58.00,8.89
58.58,8.85
59.16,8.81
59.76,8.76
60.35,8.72
60.96,8.67
61.57,8.61
62.18,8.56
62.80,8.51
63.43,8.48
64.07,8.44
64.71,8.39
65.35,8.34
66.01,8.28
66.67,8.23
67.33,8.19
68.01,8.15
68.69,8.11
69.37,8.06
70.07,8.01
70.77,7.95
71.48,7.88
72.19,7.83
72.91,7.79
73.64,7.75
74.38,7.69
75.12,7.63
75.87,7.56
76.63,7.50
77.40,7.45
78.17,7.41
78.95,7.37
79.74,7.33
80.54,7.27
81.35,7.22
82.16,7.18
82.98,7.14
83.81,7.10
84.65,7.04
85.50,6.99
86.35,6.93
87.22,6.87
88.09,6.81
88.97,6.77
89.86,6.73
90.76,6.69
91.66,6.64
92.58,6.58
93.51,6.53
94.44,6.48
95.39,6.44
96.34,6.41
97.30,6.36
98.28,6.31
99.26,6.26
100.25,6.21
101.25,6.18
102.27,6.14
103.29,6.09
104.32,6.02
105.37,5.96
106.42,5.89
107.48,5.82
108.56,5.78
109.64,5.73
110.74,5.69
111.85,5.64
112.97,5.57
114.10,5.51
115.24,5.46
116.39,5.41
117.55,5.37
118.73,5.33
119.92,5.28
121.12,5.23
122.33,5.17
123.55,5.13
124.79,5.09
126.03,5.05
127.29,4.99
128.57,4.94
129.85,4.89
131.15,4.84
132.46,4.78
133.79,4.74
135.12,4.68
136.48,4.62
137.84,4.55
139.22,4.50
140.61,4.45
142.02,4.38
143.44,4.33
144.87,4.27
146.32,4.20
147.78,4.14
149.26,4.09
150.75,4.03
152.26,3.97
153.78,3.93
155.32,3.87
156.88,3.83
158.44,3.78
160.03,3.72
161.63,3.67
163.24,3.60
164.88,3.54
166.53,3.48
168.19,3.42
169.87,3.36
171.57,3.30
173.29,3.25
175.02,3.19
176.77,3.12
178.54,3.07
180.32,3.01
182.13,2.96
183.95,2.91
185.79,2.87
187.65,2.82
189.52,2.77
191.42,2.72
193.33,2.67
195.27,2.61
197.22,2.55
199.19,2.49
201.18,2.43
203.19,2.37
205.23,2.30
207.28,2.24
209.35,2.18
211.44,2.11
213.56,2.05
215.69,1.99
217.85,1.93
220.03,1.86
222.23,1.82
224.45,1.76
226.70,1.70
228.96,1.63
231.25,1.58
233.57,1.52
235.90,1.46
238.26,1.40
240.64,1.33
243.05,1.27
245.48,1.20
247.93,1.16
250.41,1.09
252.92,1.02
255.45,0.94
258.00,0.88
260.58,0.81
263.19,0.75
265.82,0.70
268.48,0.63
271.16,0.57
273.87,0.51
276.61,0.44
279.38,0.38
282.17,0.32
284.99,0.27
287.84,0.22
290.72,0.17
293.63,0.11
296.57,0.06
299.53,-0.00
302.53,-0.04
305.55,-0.08
308.61,-0.14
311.69,-0.20
314.81,-0.27
317.96,-0.32
321.14,-0.38
324.35,-0.42
327.59,-0.46
330.87,-0.52
334.18,-0.58
337.52,-0.64
340.90,-0.70
344.30,-0.74
347.75,-0.78
351.23,-0.81
354.74,-0.87
358.28,-0.92
361.87,-0.97
365.49,-1.02
369.14,-1.07
372.83,-1.11
376.56,-1.16
380.33,-1.20
384.13,-1.24
387.97,-1.28
391.85,-1.33
395.77,-1.37
399.73,-1.42
403.72,-1.46
407.76,-1.52
411.84,-1.56
415.96,-1.60
420.12,-1.63
424.32,-1.66
428.56,-1.69
432.85,-1.72
437.18,-1.75
441.55,-1.80
445.96,-1.84
450.42,-1.88
454.93,-1.92
459.48,-1.94
