frequency,raw
20.00,10.02
20.20,10.03
20.40,10.03
20.61,10.04
20.81,10.04
21.02,10.04
21.23,10.04
21.44,10.04
21.66,10.05
21.87,10.04
22.09,10.04
22.31,10.03
22.54,10.01
22.76,9.99
22.99,9.98
23.22,9.96
23.45,9.95
23.69,9.94
23.92,9.92
24.16,9.91
24.40,9.90
24.65,9.89
24.89,9.88
25.14,9.87
25.39,9.87
25.65,9.85
25.91,9.85
26.16,9.84
26.43,9.82
26.69,9.82
26.96,9.81
27.23,9.80
27.50,9.79
27.77,9.77
28.05,9.77
28.33,9.76
28.62,9.74
28.90,9.74
29.19,9.72
29.48,9.71
29.78,9.70
30.08,9.68
30.38,9.68
30.68,9.66
30.99,9.65
31.30,9.64
31.61,9.63
31.93,9.62
32.24,9.60
32.57,9.60
32.89,9.58
33.22,9.57
33.55,9.57
33.89,9.55
34.23,9.54
34.57,9.53
34.92,9.52
35.27,9.51
35.62,9.51
35.97,9.50
36.33,9.49
36.70,9.48
37.06,9.46
37.43,9.44
37.81,9.41
38.19,9.38
38.57,9.36
38.95,9.33
39.34,9.31
39.74,9.28
40.14,9.27
40.54,9.25
40.94,9.22
41.35,9.19
41.76,9.16
42.18,9.13
42.60,9.10
43.03,9.06
43.46,9.04
43.90,9.02
44.33,9.00
44.78,8.98
45.23,8.95
45.68,8.91
46.13,8.87
46.60,8.83
47.06,8.78
47.53,8.75
48.01,8.71
48.49,8.68
48.97,8.66
49.46,8.64
49.96,8.61
50.46,8.58
50.96,8.53
51.47,8.48
51.99,8.45
52.51,8.41
53.03,8.38
53.56,8.34
54.10,8.29
54.64,8.25
55.18,8.20
55.74,8.16
56.29,8.10
56.86,8.06
57.42,8.02
58.00,7.97
58.58,7.92
59.16,7.88
59.76,7.83
60.35,7.80
60.96,7.76
61.57,7.73
62.18,7.69
62.80,7.64
63.43,7.60
64.07,7.56
64.71,7.53
65.35,7.49
66.01,7.44
66.67,7.39
67.33,7.33
68.01,7.27
68.69,7.21
69.37,7.16
70.07,7.12
70.77,7.08
71.48,7.03
72.19,6.97
72.91,6.91
73.64,6.86
74.38,6.81
75.12,6.78
75.87,6.73
76.63,6.68
77.40,6.63
78.17,6.57
78.95,6.53
79.74,6.50
80.54,6.44
81.35,6.39
82.16,6.33
82.98,6.27
83.81,6.21
84.65,6.15
85.50,6.10
86.35,6.05
87.22,5.99
88.09,5.93
88.97,5.87
89.86,5.82
90.76,5.76
91.66,5.71
92.58,5.66
93.51,5.60
94.44,5.55
95.39,5.49
96.34,5.45
97.30,5.39
98.28,5.34
99.26,5.29
100.25,5.24
101.25,5.19
102.27,5.14
103.29,5.09
104.32,5.03
105.37,4.97
106.42,4.92
107.48,4.85
108.56,4.80
109.64,4.75
110.74,4.70
111.85,4.64
112.97,4.58
114.10,4.52
115.24,4.45
116.39,4.39
117.55,4.32
118.73,4.27
119.92,4.21
121.12,4.15
122.33,4.08
123.55,4.02
124.79,3.95
126.03,3.90
127.29,3.83
128.57,3.76
129.85,3.69
131.15,3.63
132.46,3.56
133.79,3.51
135.12,3.45
136.48,3.38
137.84,3.32
139.22,3.27
140.61,3.22
142.02,3.14
143.44,3.07
144.87,3.01
146.32,2.94
147.78,2.89
149.26,2.84
150.75,2.76
152.26,2.70
153.78,2.64
155.32,2.58
156.88,2.52
158.44,2.45
160.03,2.38
161.63,2.32
163.24,2.25
164.88,2.19
166.53,2.12
168.19,2.04
169.87,1.97
171.57,1.91
173.29,1.85
175.02,1.78
176.77,1.70
178.54,1.63
180.32,1.56
182.13,1.50
183.95,1.44
185.79,1.37
187.65,1.30
189.52,1.22
191.42,1.15
193.33,1.08
195.27,1.00
197.22,0.92
199.19,0.85
201.18,0.77
203.19,0.69
205.23,0.60
207.28,0.51
209.35,0.43
211.44,0.34
213.56,0.26
215.69,0.16
217.85,0.08
220.03,0.01
222.23,-0.05
224.45,-0.10
226.70,-0.13
228.96,-0.16
231.25,-0.17
233.57,-0.17
235.90,-0.18
238.26,-0.16
240.64,-0.13
243.05,-0.11
245.48,-0.09
247.93,-0.05
250.41,-0.03
252.92,-0.01
255.45,-0.00
258.00,0.01
260.58,0.01
263.19,0.01
265.82,0.01
268.48,0.00
271.16,0.00
273.87,-0.00
276.61,-0.02
279.38,-0.03
282.17,-0.05
284.99,-0.06
287.84,-0.08
290.72,-0.11
293.63,-0.15
296.57,-0.20
299.53,-0.26
302.53,-0.30
305.55,-0.35
308.61,-0.41
311.69,-0.47
314.81,-0.53
317.96,-0.59
321.14,-0.66
324.35,-0.71
327.59,-0.76
330.87,-0.80
334.18,-0.85
337.52,-0.90
340.90,-0.96
344.30,-1.01
347.75,-1.04
351.23,-1.08
354.74,-1.13
358.28,-1.19
361.87,-1.25
365.49,-1.31
369.14,-1.37
372.83,-1.42
376.56,-1.48
380.33,-1.52
384.13,-1.56
387.97,-1.60
391.85,-1.65
395.77,-1.69
399.73,-1.74
403.72,-1.78
407.76,-1.82
411.84,-1.86
415.96,-1.90
420.12,-1.93
424.32,-1.95
428.56,-1.98
432.85,-2.00
437.18,-2.03
441.55,-2.07
445.96,-2.11
450.42,-2.15
454.93,-2.20
459.48,-2.24
464.07,-2.27
468.71,-2.30
473.40,-2.32
478.13,-2.36
482.91,-2.38
487.74,-2.41
492.62,-2.43
497.55,-2.47
502.52,-2.48
507.55,-2.49
512.62,-2.48
517.75,-2.49
522.93,-2.48
528.16,-2.48
533.44,-2.48
538.77,-2.51
544.16,-2.53
549.60,-2.56
555.10,-2.59
560.65,-2.62
566.25,-2.65
571.92,-2.69
577.64,-2.72
583.41,-2.75
589.25,-2.78
595.14,-2.81
601.09,-2.83
607.10,-2.85
613.17,-2.87
619.30,-2.87
625.50,-2.87
631.75,-2.86
638.07,-2.86
644.45,-2.86
650.89,-2.86
657.40,-2.86
663.98,-2.87
670.62,-2.87
677.32,-2.87
684.10,-2.87
690.94,-2.87
697.85,-2.87
704.83,-2.88
711.87,-2.88
718.99,-2.88
726.18,-2.88
733.44,-2.88
740.78,-2.88
748.19,-2.88
755.67,-2.88
763.23,-2.89
770.86,-2.89
778.57,-2.89
786.35,-2.89
794.22,-2.88
802.16,-2.88
810.18,-2.88
818.28,-2.89
826.46,-2.89
834.73,-2.89
843.08,-2.88
851.51,-2.86
860.02,-2.84
868.62,-2.81
877.31,-2.77
886.08,-2.73
894.94,-2.68
903.89,-2.64
912.93,-2.59
922.06,-2.54
931.28,-2.48
940.59,-2.41
950.00,-2.33
959.50,-2.26
969.09,-2.18
978.78,-2.11
988.57,-2.03
998.46,-1.95
1008.44,-1.86
1018.53,-1.77
1028.71,-1.66
1039.00,-1.55
1049.39,-1.44
1059.88,-1.32
1070.48,-1.20
1081.19,-1.08
1092.00,-0.95
1102.92,-0.82
1113.95,-0.69
1125.09,-0.56
