frequency,raw
20.00,2.98
20.20,3.03
20.40,3.07
20.61,3.12
20.81,3.16
21.02,3.20
21.23,3.25
21.44,3.29
21.66,3.33
21.87,3.37
22.09,3.41
22.31,3.44
22.54,3.48
22.76,3.51
22.99,3.55
23.22,3.58
23.45,3.61
23.69,3.64
23.92,3.66
24.16,3.69
24.40,3.72
24.65,3.75
24.89,3.77
25.14,3.80
25.39,3.83
25.65,3.85
25.91,3.88
26.16,3.90
26.43,3.92
26.69,3.95
26.96,3.97
27.23,4.00
27.50,4.02
27.77,4.03
28.05,4.06
28.33,4.08
28.62,4.10
28.90,4.12
29.19,4.14
29.48,4.15
29.78,4.17
30.08,4.18
30.38,4.20
30.68,4.20
30.99,4.21
31.30,4.22
31.61,4.24
31.93,4.26
32.24,4.27
32.57,4.29
32.89,4.30
33.22,4.30
33.55,4.32
33.89,4.32
34.23,4.32
34.57,4.33
34.92,4.33
35.27,4.33
35.62,4.35
35.97,4.35
36.33,4.36
36.70,4.36
37.06,4.37
37.43,4.38
37.81,4.39
38.19,4.39
38.57,4.41
38.95,4.41
39.34,4.42
39.74,4.43
40.14,4.44
40.54,4.46
40.94,4.47
41.35,4.48
41.76,4.49
42.18,4.51
42.60,4.52
43.03,4.52
43.46,4.54
43.90,4.56
44.33,4.57
44.78,4.58
45.23,4.60
45.68,4.62
46.13,4.63
46.60,4.65
47.06,4.66
47.53,4.68
48.01,4.69
48.49,4.70
48.97,4.72
49.46,4.72
49.96,4.73
50.46,4.73
50.96,4.74
51.47,4.73
51.99,4.74
52.51,4.73
53.03,4.73
53.56,4.72
54.10,4.71
54.64,4.70
55.18,4.70
55.74,4.70
56.29,4.69
56.86,4.69
57.42,4.69
58.00,4.68
58.58,4.68
59.16,4.68
59.76,4.67
60.35,4.67
60.96,4.68
61.57,4.69
62.18,4.70
62.80,4.70
63.43,4.70
64.07,4.69
64.71,4.68
65.35,4.67
66.01,4.66
66.67,4.64
67.33,4.62
68.01,4.60
68.69,4.58
69.37,4.56
70.07,4.54
70.77,4.51
71.48,4.48
72.19,4.45
72.91,4.42
73.64,4.40
74.38,4.37
75.12,4.36
75.87,4.32
76.63,4.31
77.40,4.31
78.17,4.29
78.95,4.28
79.74,4.29
80.54,4.29
81.35,4.29
82.16,4.30
82.98,4.30
83.81,4.30
84.65,4.29
85.50,4.29
86.35,4.29
87.22,4.29
88.09,4.29
88.97,4.29
89.86,4.29
90.76,4.29
91.66,4.29
92.58,4.29
93.51,4.29
94.44,4.29
95.39,4.29
96.34,4.29
97.30,4.28
98.28,4.28
99.26,4.28
100.25,4.28
101.25,4.28
102.27,4.28
103.29,4.28
104.32,4.27
105.37,4.27
106.42,4.27
107.48,4.26
108.56,4.28
109.64,4.28
110.74,4.27
111.85,4.26
112.97,4.23
114.10,4.20
115.24,4.18
116.39,4.15
117.55,4.11
118.73,4.08
119.92,4.03
121.12,4.00
122.33,3.97
123.55,3.94
124.79,3.90
126.03,3.88
127.29,3.86
128.57,3.86
129.85,3.87
131.15,3.88
132.46,3.88
133.79,3.89
135.12,3.90
136.48,3.90
137.84,3.89
139.22,3.88
140.61,3.86
142.02,3.81
143.44,3.79
144.87,3.75
146.32,3.71
147.78,3.68
149.26,3.65
150.75,3.60
152.26,3.57
153.78,3.54
155.32,3.52
156.88,3.49
158.44,3.49
160.03,3.49
161.63,3.50
163.24,3.49
164.88,3.50
166.53,3.50
168.19,3.50
169.87,3.49
171.57,3.49
173.29,3.49
175.02,3.50
176.77,3.49
178.54,3.50
180.32,3.50
182.13,3.49
183.95,3.47
185.79,3.45
187.65,3.43
189.52,3.41
191.42,3.37
193.33,3.34
195.27,3.31
197.22,3.28
199.19,3.24
201.18,3.21
203.19,3.19
205.23,3.17
207.28,3.15
209.35,3.13
211.44,3.10
213.56,3.08
215.69,3.06
217.85,3.03
220.03,3.00
222.23,2.97
224.45,2.94
226.70,2.90
228.96,2.87
231.25,2.85
233.57,2.82
235.90,2.77
238.26,2.75
240.64,2.71
243.05,2.67
245.48,2.64
247.93,2.61
250.41,2.58
252.92,2.53
255.45,2.50
258.00,2.48
260.58,2.44
263.19,2.41
265.82,2.36
268.48,2.33
271.16,2.30
273.87,2.27
276.61,2.24
279.38,2.22
282.17,2.20
284.99,2.16
287.84,2.10
290.72,2.06
293.63,2.02
296.57,1.97
299.53,1.91
302.53,1.87
305.55,1.84
308.61,1.81
311.69,1.79
314.81,1.76
317.96,1.72
321.14,1.67
324.35,1.63
327.59,1.59
330.87,1.54
334.18,1.50
337.52,1.48
340.90,1.46
344.30,1.43
347.75,1.40
351.23,1.36
354.74,1.31
358.28,1.27
361.87,1.23
365.49,1.19
369.14,1.16
372.83,1.14
376.56,1.11
380.33,1.09
384.13,1.06
387.97,1.02
391.85,0.97
395.77,0.93
399.73,0.88
403.72,0.84
407.76,0.81
411.84,0.79
415.96,0.76
420.12,0.73
424.32,0.68
428.56,0.63
432.85,0.58
437.18,0.54
441.55,0.50
445.96,0.47
450.42,0.43
454.93,0.39
459.48,0.35
464.07,0.30
468.71,0.25
473.40,0.19
478.13,0.13
482.91,0.09
487.74,0.06
492.62,0.03
497.55,0.00
502.52,-0.02
507.55,-0.05
512.62,-0.09
517.75,-0.14
522.93,-0.17
528.16,-0.20
533.44,-0.21
538.77,-0.24
544.16,-0.27
549.60,-0.32
555.10,-0.37
560.65,-0.42
566.25,-0.47
571.92,-0.52
577.64,-0.55
583.41,-0.59
589.25,-0.62
595.14,-0.68
601.09,-0.72
607.10,-0.77
613.17,-0.82
619.30,-0.86
625.50,-0.90
631.75,-0.94
638.07,-0.99
644.45,-1.02
650.89,-1.06
657.40,-1.11
663.98,-1.18
670.62,-1.22
677.32,-1.26
684.10,-1.29
690.94,-1.32
697.85,-1.36
