frequency,raw
20.00,3.74
20.20,3.77
20.40,3.79
20.61,3.81
20.81,3.83
21.02,3.85
21.23,3.87
21.44,3.89
21.66,3.91
21.87,3.92
22.09,3.94
22.31,3.95
22.54,3.95
22.76,3.95
22.99,3.96
23.22,3.97
23.45,3.99
23.69,4.01
23.92,4.03
24.16,4.06
24.40,4.09
24.65,4.13
24.89,4.16
25.14,4.20
25.39,4.24
25.65,4.27
25.91,4.31
26.16,4.34
26.43,4.36
26.69,4.39
26.96,4.41
27.23,4.43
27.50,4.43
27.77,4.42
28.05,4.43
28.33,4.42
28.62,4.42
28.90,4.43
29.19,4.43
29.48,4.43
29.78,4.43
30.08,4.43
30.38,4.44
30.68,4.44
30.99,4.44
31.30,4.44
31.61,4.45
31.93,4.44
32.24,4.44
32.57,4.44
32.89,4.43
33.22,4.43
33.55,4.45
33.89,4.46
34.23,4.48
34.57,4.52
34.92,4.54
35.27,4.57
35.62,4.61
35.97,4.64
36.33,4.67
36.70,4.70
37.06,4.73
37.43,4.77
37.81,4.79
38.19,4.81
38.57,4.84
38.95,4.85
39.34,4.86
39.74,4.86
40.14,4.86
40.54,4.85
40.94,4.85
41.35,4.85
41.76,4.85
42.18,4.85
42.60,4.85
43.03,4.84
43.46,4.84
43.90,4.84
44.33,4.84
44.78,4.84
45.23,4.84
45.68,4.84
46.13,4.84
46.60,4.84
47.06,4.84
47.53,4.85
48.01,4.85
48.49,4.85
48.97,4.85
49.46,4.85
49.96,4.85
50.46,4.85
50.96,4.85
51.47,4.84
51.99,4.84
52.51,4.84
53.03,4.84
53.56,4.84
54.10,4.83
54.64,4.83
55.18,4.83
55.74,4.83
56.29,4.82
56.86,4.82
57.42,4.82
58.00,4.81
58.58,4.81
59.16,4.81
59.76,4.80
60.35,4.80
60.96,4.80
61.57,4.81
62.18,4.82
62.80,4.82
63.43,4.82
64.07,4.81
64.71,4.80
65.35,4.78
66.01,4.76
66.67,4.73
67.33,4.70
68.01,4.67
68.69,4.64
69.37,4.61
70.07,4.58
70.77,4.55
71.48,4.51
72.19,4.49
72.91,4.47
73.64,4.45
74.38,4.44
75.12,4.43
75.87,4.43
76.63,4.43
77.40,4.44
78.17,4.44
78.95,4.44
79.74,4.44
80.54,4.43
81.35,4.44
82.16,4.45
82.98,4.45
83.81,4.44
84.65,4.42
85.50,4.41
86.35,4.38
87.22,4.36
88.09,4.33
88.97,4.30
89.86,4.27
90.76,4.24
91.66,4.21
92.58,4.18
93.51,4.15
94.44,4.12
95.39,4.10
96.34,4.09
97.30,4.06
98.28,4.06
99.26,4.06
100.25,4.07
101.25,4.09
102.27,4.10
103.29,4.10
104.32,4.09
105.37,4.07
106.42,4.05
107.48,4.02
108.56,4.00
109.64,3.97
110.74,3.94
111.85,3.91
112.97,3.86
114.10,3.83
115.24,3.80
116.39,3.78
117.55,3.74
118.73,3.72
119.92,3.71
121.12,3.71
122.33,3.70
123.55,3.71
124.79,3.71
126.03,3.70
127.29,3.68
128.57,3.66
129.85,3.64
131.15,3.61
132.46,3.58
133.79,3.54
135.12,3.51
136.48,3.48
137.84,3.45
139.22,3.42
140.61,3.40
142.02,3.36
143.44,3.34
144.87,3.33
146.32,3.31
147.78,3.31
149.26,3.32
150.75,3.33
152.26,3.34
153.78,3.35
155.32,3.33
156.88,3.32
158.44,3.30
160.03,3.28
161.63,3.26
163.24,3.22
164.88,3.19
166.53,3.16
168.19,3.13
169.87,3.09
171.57,3.06
173.29,3.03
175.02,3.01
176.77,2.99
178.54,2.97
180.32,2.96
182.13,2.94
183.95,2.93
185.79,2.91
187.65,2.90
189.52,2.88
191.42,2.85
193.33,2.82
195.27,2.79
197.22,2.76
199.19,2.73
201.18,2.70
203.19,2.69
205.23,2.66
207.28,2.63
209.35,2.61
211.44,2.57
213.56,2.55
215.69,2.53
217.85,2.51
220.03,2.47
222.23,2.45
224.45,2.42
226.70,2.40
228.96,2.37
231.25,2.34
233.57,2.30
235.90,2.26
238.26,2.22
240.64,2.18
243.05,2.13
245.48,2.10
247.93,2.08
250.41,2.04
252.92,2.01
255.45,1.98
258.00,1.96
260.58,1.92
263.19,1.90
265.82,1.87
268.48,1.83
271.16,1.80
273.87,1.78
276.61,1.75
279.38,1.73
282.17,1.70
284.99,1.68
287.84,1.66
290.72,1.62
293.63,1.59
296.57,1.55
299.53,1.49
302.53,1.45
305.55,1.41
308.61,1.36
311.69,1.33
314.81,1.30
317.96,1.28
321.14,1.26
324.35,1.23
327.59,1.20
330.87,1.16
334.18,1.11
337.52,1.08
340.90,1.03
344.30,1.00
347.75,0.98
351.23,0.97
354.74,0.94
358.28,0.92
361.87,0.88
365.49,0.84
369.14,0.80
372.83,0.76
376.56,0.71
380.33,0.67
384.13,0.63
387.97,0.61
391.85,0.59
395.77,0.57
399.73,0.53
403.72,0.49
407.76,0.44
411.84,0.40
415.96,0.35
420.12,0.31
424.32,0.27
428.56,0.24
432.85,0.22
437.18,0.21
441.55,0.18
445.96,0.14
450.42,0.10
454.93,0.06
459.48,0.02
464.07,-0.02
468.71,-0.06
473.40,-0.09
478.13,-0.12
482.91,-0.14
487.74,-0.15
492.62,-0.18
497.55,-0.22
502.52,-0.25
507.55,-0.29
512.62,-0.33
517.75,-0.37
522.93,-0.40
528.16,-0.42
533.44,-0.43
538.77,-0.46
544.16,-0.49
549.60,-0.52
555.10,-0.56
560.65,-0.60
566.25,-0.64
571.92,-0.70
577.64,-0.74
583.41,-0.77
589.25,-0.79
595.14,-0.82
601.09,-0.84
607.10,-0.86
613.17,-0.90
619.30,-0.94
625.50,-0.98
631.75,-1.02
638.07,-1.07
644.45,-1.10
650.89,-1.12
657.40,-1.13
663.98,-1.16
670.62,-1.19
677.32,-1.23
684.10,-1.27
690.94,-1.32
697.85,-1.36
704.83,-1.41
711.87,-1.45
718.99,-1.49
726.18,-1.51
733.44,-1.53
740.78,-1.55
748.19,-1.57
755.67,-1.60
763.23,-1.65
770.86,-1.68
778.57,-1.72
786.35,-1.75
794.22,-1.77
802.16,-1.79
810.18,-1.81
818.28,-1.83
826.46,-1.84
834.73,-1.87
843.08,-1.89
851.51,-1.91
860.02,-1.94
868.62,-1.96
877.31,-1.99
886.08,-2.00
894.94,-2.01
903.89,-2.01
912.93,-2.01
922.06,-1.99
931.28,-1.99
940.59,-1.98
950.00,-1.98
959.50,-1.98
969.09,-1.98
978.78,-1.97
988.57,-1.96
998.46,-1.94
1008.44,-1.91
1018.53,-1.87
1028.71,-1.84
1039.00,-1.80
1049.39,-1.76
1059.88,-1.71
1070.48,-1.67
1081.19,-1.62
1092.00,-1.55
1102.92,-1.46
1113.95,-1.37
1125.09,-1.28
1136.34,-1.20
1147.70,-1.12
1159.18,-1.05
1170.77,-0.99
1182.48,-0.93
1194.30,-0.88
1206.25,-0.82
1218.31,-0.75
1230.49,-0.67
1242.80,-0.60
1255.22,-0.52
1267.78,-0.44
1280.45,-0.36
1293.26,-0.28
1306.19,-0.22
1319.25,-0.14
1332.45,-0.08
1345.77,0.01
1359.23,0.09
1372.82,0.17
1386.55,0.25
1400.41,0.31
1414.42,0.37
1428.56,0.41
1442.85,0.46
1457.28,0.51
1471.85,0.58
1486.57,0.64
1501.43,0.70
1516.45,0.75
1531.61,0.82
1546.93,0.90
1562.40,0.97
1578.02,1.04
1593.80,1.10
1609.74,1.16
1625.84,1.22
1642.10,1.29
1658.52,1.36
1675.10,1.44
1691.85,1.52
1708.77,1.59
1725.86,1.66
1743.12,1.71
1760.55,1.76
1778.15,1.82
1795.94,1.87
1813.90,1.92
1832.03,1.98
1850.36,2.02
1868.86,2.07
1887.55,2.12
1906.42,2.17
1925.49,2.21
1944.74,2.25
1964.19,2.28
1983.83,2.31
2003.67,2.35
2023.71,2.39
