frequency,raw
20.00,14.09
20.20,14.10
20.40,14.11
20.61,14.11
20.81,14.11
21.02,14.12
21.23,14.12
21.44,14.12
21.66,14.13
21.87,14.12
22.09,14.12
22.31,14.11
22.54,14.11
22.76,14.10
22.99,14.09
23.22,14.08
23.45,14.07
23.69,14.06
23.92,14.05
24.16,14.04
24.40,14.01
24.65,14.00
24.89,13.98
25.14,13.97
25.39,13.96
25.65,13.94
25.91,13.93
26.16,13.90
26.43,13.88
26.69,13.87
26.96,13.84
27.23,13.83
27.50,13.80
27.77,13.78
28.05,13.77
28.33,13.74
28.62,13.72
28.90,13.71
29.19,13.68
29.48,13.66
29.78,13.63
30.08,13.60
30.38,13.58
30.68,13.55
30.99,13.52
31.30,13.49
31.61,13.47
31.93,13.45
32.24,13.42
32.57,13.40
32.89,13.37
33.22,13.34
33.55,13.31
33.89,13.28
34.23,13.25
34.57,13.22
34.92,13.19
35.27,13.16
35.62,13.13
35.97,13.10
36.33,13.07
36.70,13.03
37.06,12.99
37.43,12.97
37.81,12.95
38.19,12.91
38.57,12.88
38.95,12.84
39.34,12.82
39.74,12.78
40.14,12.76
40.54,12.72
40.94,12.69
41.35,12.65
41.76,12.61
42.18,12.57
42.60,12.53
43.03,12.48
43.46,12.44
43.90,12.40
44.33,12.36
44.78,12.31
45.23,12.27
45.68,12.22
46.13,12.18
46.60,12.14
47.06,12.09
47.53,12.06
48.01,12.02
48.49,11.97
48.97,11.92
49.46,11.87
49.96,11.82
50.46,11.78
50.96,11.73
51.47,11.67
51.99,11.62
52.51,11.57
53.03,11.53
53.56,11.48
54.10,11.43
54.64,11.38
55.18,11.32
55.74,11.27
56.29,11.21
56.86,11.16
57.42,11.12
58.00,11.07
58.58,11.02
59.16,10.97
59.76,10.90
60.35,10.86
60.96,10.81
61.57,10.76
62.18,10.70
62.80,10.65
63.43,10.60
64.07,10.55
64.71,10.50
65.35,10.45
66.01,10.39
66.67,10.33
67.33,10.28
68.01,10.23
68.69,10.17
69.37,10.12
70.07,10.05
70.77,9.99
71.48,9.92
72.19,9.86
72.91,9.81
73.64,9.75
74.38,9.68
75.12,9.62
75.87,9.55
76.63,9.50
77.40,9.44
78.17,9.38
78.95,9.32
79.74,9.27
80.54,9.20
81.35,9.14
82.16,9.08
82.98,9.03
83.81,8.98
84.65,8.91
85.50,8.85
86.35,8.78
87.22,8.72
88.09,8.67
88.97,8.62
89.86,8.56
90.76,8.49
91.66,8.42
92.58,8.37
93.51,8.32
94.44,8.26
95.39,8.19
96.34,8.13
97.30,8.05
98.28,8.00
99.26,7.94
100.25,7.88
101.25,7.82
102.27,7.77
103.29,7.74
104.32,7.69
105.37,7.63
106.42,7.56
107.48,7.49
108.56,7.43
109.64,7.37
110.74,7.31
111.85,7.25
112.97,7.17
114.10,7.10
115.24,7.04
116.39,7.01
117.55,6.94
118.73,6.86
119.92,6.78
121.12,6.71
122.33,6.66
123.55,6.60
124.79,6.50
126.03,6.42
127.29,6.36
128.57,6.31
129.85,6.23
131.15,6.16
132.46,6.11
133.79,6.04
135.12,5.98
136.48,5.94
137.84,5.87
139.22,5.82
140.61,5.76
142.02,5.66
143.44,5.62
144.87,5.55
146.32,5.49
147.78,5.43
149.26,5.38
150.75,5.29
152.26,5.24
153.78,5.17
155.32,5.11
156.88,5.05
158.44,5.00
160.03,4.92
161.63,4.88
163.24,4.83
164.88,4.77
166.53,4.71
168.19,4.66
169.87,4.57
171.57,4.52
173.29,4.48
175.02,4.41
176.77,4.35
178.54,4.29
180.32,4.23
182.13,4.19
183.95,4.12
185.79,4.08
187.65,4.02
189.52,3.96
191.42,3.90
193.33,3.86
195.27,3.81
197.22,3.77
199.19,3.71
201.18,3.64
203.19,3.58
205.23,3.52
207.28,3.47
209.35,3.42
211.44,3.36
213.56,3.29
215.69,3.24
217.85,3.19
220.03,3.15
222.23,3.10
