frequency,raw
20.00,7.47
20.20,7.52
20.40,7.56
20.61,7.59
20.81,7.63
21.02,7.66
21.23,7.68
21.44,7.71
21.66,7.73
21.87,7.73
22.09,7.75
22.31,7.75
22.54,7.76
22.76,7.75
22.99,7.75
23.22,7.74
23.45,7.72
23.69,7.70
23.92,7.67
24.16,7.65
24.40,7.62
24.65,7.60
24.89,7.57
25.14,7.55
25.39,7.54
25.65,7.52
25.91,7.51
26.16,7.50
26.43,7.50
26.69,7.51
26.96,7.51
27.23,7.53
27.50,7.53
27.77,7.54
28.05,7.55
28.33,7.55
28.62,7.56
28.90,7.58
29.19,7.58
29.48,7.57
29.78,7.56
30.08,7.54
30.38,7.53
30.68,7.50
30.99,7.47
31.30,7.44
31.61,7.42
31.93,7.39
32.24,7.36
32.57,7.34
32.89,7.31
33.22,7.29
33.55,7.28
33.89,7.27
34.23,7.27
34.57,7.28
34.92,7.28
35.27,7.28
35.62,7.29
35.97,7.27
36.33,7.25
36.70,7.23
37.06,7.20
37.43,7.18
37.81,7.15
38.19,7.12
38.57,7.10
38.95,7.07
39.34,7.06
39.74,7.04
40.14,7.04
40.54,7.02
40.94,7.01
41.35,6.99
41.76,6.98
42.18,6.96
42.60,6.94
43.03,6.91
43.46,6.88
43.90,6.85
44.33,6.82
44.78,6.79
45.23,6.77
45.68,6.74
46.13,6.72
46.60,6.70
47.06,6.68
47.53,6.66
48.01,6.64
48.49,6.62
48.97,6.60
49.46,6.58
49.96,6.56
50.46,6.52
50.96,6.50
51.47,6.47
51.99,6.45
52.51,6.42
53.03,6.39
53.56,6.36
54.10,6.32
54.64,6.29
55.18,6.26
55.74,6.23
56.29,6.20
56.86,6.18
57.42,6.16
58.00,6.13
58.58,6.10
59.16,6.07
59.76,6.03
60.35,5.99
60.96,5.95
61.57,5.92
62.18,5.89
62.80,5.87
63.43,5.86
64.07,5.84
64.71,5.81
65.35,5.76
66.01,5.72
66.67,5.67
67.33,5.62
68.01,5.58
68.69,5.53
69.37,5.50
70.07,5.48
70.77,5.46
71.48,5.43
72.19,5.40
72.91,5.36
73.64,5.32
74.38,5.28
75.12,5.24
75.87,5.20
76.63,5.17
77.40,5.16
78.17,5.13
78.95,5.10
79.74,5.06
80.54,5.01
81.35,4.97
82.16,4.93
82.98,4.89
83.81,4.86
84.65,4.81
85.50,4.77
86.35,4.73
87.22,4.70
88.09,4.65
88.97,4.59
89.86,4.54
90.76,4.50
91.66,4.46
92.58,4.43
93.51,4.40
94.44,4.37
95.39,4.35
96.34,4.32
97.30,4.27
98.28,4.23
99.26,4.19
100.25,4.16
101.25,4.14
102.27,4.13
103.29,4.11
104.32,4.08
105.37,4.04
106.42,4.01
107.48,3.96
108.56,3.92
109.64,3.88
110.74,3.85
111.85,3.82
112.97,3.79
114.10,3.78
115.24,3.75
116.39,3.72
117.55,3.67
118.73,3.63
119.92,3.59
121.12,3.55
122.33,3.50
123.55,3.48
124.79,3.45
126.03,3.42
127.29,3.38
128.57,3.35
129.85,3.30
131.15,3.25
132.46,3.20
133.79,3.16
135.12,3.12
136.48,3.09
137.84,3.06
139.22,3.03
140.61,2.99
142.02,2.94
143.44,2.89
144.87,2.85
146.32,2.79
147.78,2.75
149.26,2.72
150.75,2.69
152.26,2.67
153.78,2.65
155.32,2.61
156.88,2.57
158.44,2.53
160.03,2.49
161.63,2.46
163.24,2.42
164.88,2.40
166.53,2.39
168.19,2.36
169.87,2.32
171.57,2.28
173.29,2.23
175.02,2.19
176.77,2.14
178.54,2.09
180.32,2.06
182.13,2.03
183.95,2.01
185.79,1.99
187.65,1.97
189.52,1.94
191.42,1.90
193.33,1.86
195.27,1.82
197.22,1.78
199.19,1.76
201.18,1.73
203.19,1.71
205.23,1.68
207.28,1.65
209.35,1.61
211.44,1.56
213.56,1.51
215.69,1.47
217.85,1.42
220.03,1.37
222.23,1.34
224.45,1.32
226.70,1.31
228.96,1.28
231.25,1.25
233.57,1.22
235.90,1.17
238.26,1.14
240.64,1.09
243.05,1.05
245.48,1.01
247.93,0.99
250.41,0.96
252.92,0.93
255.45,0.90
258.00,0.88
260.58,0.83
263.19,0.80
265.82,0.76
268.48,0.72
271.16,0.68
273.87,0.65
276.61,0.62
279.38,0.61
282.17,0.58
284.99,0.56
287.84,0.52
290.72,0.48
293.63,0.44
296.57,0.40
299.53,0.35
302.53,0.31
305.55,0.27
308.61,0.23
311.69,0.22
314.81,0.19
317.96,0.17
321.14,0.14
324.35,0.10
327.59,0.07
330.87,0.02
