frequency,raw
20.00,3.64
20.20,3.67
20.40,3.70
20.61,3.72
20.81,3.75
21.02,3.77
21.23,3.80
21.44,3.82
21.66,3.85
21.87,3.86
22.09,3.89
22.31,3.90
22.54,3.93
22.76,3.94
22.99,3.96
23.22,3.97
23.45,4.00
23.69,4.01
23.92,4.02
24.16,4.03
24.40,4.04
24.65,4.05
24.89,4.05
25.14,4.06
25.39,4.06
25.65,4.05
25.91,4.06
26.16,4.06
26.43,4.06
26.69,4.06
26.96,4.06
27.23,4.04
27.50,4.04
27.77,4.03
28.05,4.01
28.33,4.00
28.62,3.99
28.90,3.97
29.19,3.95
29.48,3.93
29.78,3.91
30.08,3.88
30.38,3.84
30.68,3.81
30.99,3.77
31.30,3.72
31.61,3.68
31.93,3.64
32.24,3.59
32.57,3.55
32.89,3.49
33.22,3.44
33.55,3.39
33.89,3.34
34.23,3.28
34.57,3.22
34.92,3.16
35.27,3.11
35.62,3.04
35.97,2.98
36.33,2.93
36.70,2.87
37.06,2.82
37.43,2.77
37.81,2.72
38.19,2.68
38.57,2.64
38.95,2.61
39.34,2.59
39.74,2.57
40.14,2.56
40.54,2.54
40.94,2.53
41.35,2.54
41.76,2.54
42.18,2.54
42.60,2.56
43.03,2.57
43.46,2.59
43.90,2.61
44.33,2.64
44.78,2.65
45.23,2.68
45.68,2.72
46.13,2.76
46.60,2.79
47.06,2.84
47.53,2.88
48.01,2.92
48.49,2.97
48.97,3.02
49.46,3.05
49.96,3.09
50.46,3.12
50.96,3.16
51.47,3.19
51.99,3.22
52.51,3.26
53.03,3.29
53.56,3.32
54.10,3.35
54.64,3.37
55.18,3.38
55.74,3.40
56.29,3.42
56.86,3.45
57.42,3.48
58.00,3.52
58.58,3.55
59.16,3.58
59.76,3.62
60.35,3.67
60.96,3.72
61.57,3.75
62.18,3.79
62.80,3.83
63.43,3.87
64.07,3.90
64.71,3.94
65.35,3.98
66.01,4.01
66.67,4.04
67.33,4.07
68.01,4.09
68.69,4.10
69.37,4.11
70.07,4.13
70.77,4.14
71.48,4.14
72.19,4.15
72.91,4.15
73.64,4.13
74.38,4.12
75.12,4.11
75.87,4.10
76.63,4.09
77.40,4.08
78.17,4.08
78.95,4.07
79.74,4.06
80.54,4.05
81.35,4.04
82.16,4.03
82.98,4.02
83.81,4.02
84.65,4.01
85.50,4.00
86.35,3.99
87.22,3.98
88.09,3.97
88.97,3.95
89.86,3.94
90.76,3.93
91.66,3.92
92.58,3.91
93.51,3.89
94.44,3.88
95.39,3.87
96.34,3.86
97.30,3.84
98.28,3.83
99.26,3.82
100.25,3.81
101.25,3.80
102.27,3.79
103.29,3.79
104.32,3.78
105.37,3.78
106.42,3.79
107.48,3.79
108.56,3.81
109.64,3.80
110.74,3.78
111.85,3.75
112.97,3.74
114.10,3.72
115.24,3.68
116.39,3.67
117.55,3.65
118.73,3.61
119.92,3.58
121.12,3.55
122.33,3.55
123.55,3.53
124.79,3.50
126.03,3.50
127.29,3.51
128.57,3.52
129.85,3.54
131.15,3.54
132.46,3.53
133.79,3.51
135.12,3.48
136.48,3.47
