frequency,raw
20.00,-6.37
20.20,-6.33
20.40,-6.28
20.61,-6.25
20.81,-6.21
21.02,-6.18
21.23,-6.13
21.44,-6.10
21.66,-6.05
21.87,-6.02
22.09,-5.97
22.31,-5.93
22.54,-5.88
22.76,-5.84
22.99,-5.80
23.22,-5.76
23.45,-5.70
23.69,-5.66
23.92,-5.62
24.16,-5.57
24.40,-5.53
24.65,-5.48
24.89,-5.43
25.14,-5.39
25.39,-5.33
25.65,-5.29
25.91,-5.24
26.16,-5.19
26.43,-5.13
26.69,-5.08
26.96,-5.02
27.23,-4.97
27.50,-4.91
27.77,-4.86
28.05,-4.81
28.33,-4.74
28.62,-4.68
28.90,-4.63
29.19,-4.56
29.48,-4.50
29.78,-4.43
30.08,-4.35
30.38,-4.23
30.68,-4.10
30.99,-3.98
31.30,-3.86
31.61,-3.74
31.93,-3.63
32.24,-3.52
32.57,-3.40
32.89,-3.30
33.22,-3.19
33.55,-3.09
33.89,-2.99
34.23,-2.90
34.57,-2.81
34.92,-2.72
35.27,-2.65
35.62,-2.59
35.97,-2.53
36.33,-2.48
36.70,-2.43
37.06,-2.37
37.43,-2.35
37.81,-2.34
38.19,-2.32
38.57,-2.32
38.95,-2.31
39.34,-2.32
39.74,-2.32
40.14,-2.32
40.54,-2.31
40.94,-2.31
41.35,-2.29
41.76,-2.27
42.18,-2.25
42.60,-2.22
43.03,-2.19
43.46,-2.13
43.90,-2.08
44.33,-2.01
44.78,-1.95
45.23,-1.88
45.68,-1.81
46.13,-1.73
46.60,-1.67
47.06,-1.59
47.53,-1.52
48.01,-1.46
48.49,-1.41
48.97,-1.35
49.46,-1.34
49.96,-1.31
50.46,-1.31
50.96,-1.30
51.47,-1.32
51.99,-1.35
52.51,-1.38
53.03,-1.41
53.56,-1.46
54.10,-1.50
54.64,-1.56
55.18,-1.62
55.74,-1.68
56.29,-1.73
56.86,-1.79
57.42,-1.85
58.00,-1.91
58.58,-1.96
59.16,-2.00
59.76,-2.05
60.35,-2.09
60.96,-2.13
61.57,-2.16
62.18,-2.19
62.80,-2.21
63.43,-2.22
64.07,-2.24
64.71,-2.25
65.35,-2.26
66.01,-2.27
66.67,-2.28
67.33,-2.28
68.01,-2.29
68.69,-2.30
69.37,-2.30
70.07,-2.29
70.77,-2.28
71.48,-2.28
72.19,-2.27
72.91,-2.27
73.64,-2.28
74.38,-2.28
75.12,-2.28
75.87,-2.29
76.63,-2.30
77.40,-2.31
78.17,-2.31
78.95,-2.32
79.74,-2.33
80.54,-2.33
81.35,-2.34
82.16,-2.34
82.98,-2.34
83.81,-2.34
84.65,-2.36
85.50,-2.38
86.35,-2.41
87.22,-2.43
88.09,-2.46
88.97,-2.51
89.86,-2.55
90.76,-2.59
91.66,-2.63
92.58,-2.67
93.51,-2.73
94.44,-2.76
95.39,-2.80
96.34,-2.83
97.30,-2.87
98.28,-2.89
99.26,-2.91
100.25,-2.92
101.25,-2.93
102.27,-2.93
103.29,-2.92
104.32,-2.93
105.37,-2.93
106.42,-2.93
107.48,-2.94
108.56,-2.93
109.64,-2.93
110.74,-2.93
111.85,-2.93
112.97,-2.92
114.10,-2.91
115.24,-2.91
116.39,-2.90
117.55,-2.89
118.73,-2.89
119.92,-2.88
121.12,-2.88
122.33,-2.87
123.55,-2.87
124.79,-2.87
126.03,-2.87
127.29,-2.87
128.57,-2.87
129.85,-2.87
131.15,-2.87
132.46,-2.87
133.79,-2.87
135.12,-2.87
136.48,-2.87
137.84,-2.87
139.22,-2.87
140.61,-2.87
142.02,-2.87
143.44,-2.87
144.87,-2.87
146.32,-2.86
147.78,-2.86
149.26,-2.86
150.75,-2.85
152.26,-2.85
153.78,-2.85
155.32,-2.84
156.88,-2.84
158.44,-2.84
160.03,-2.83
161.63,-2.82
163.24,-2.82
164.88,-2.80
166.53,-2.78
168.19,-2.77
169.87,-2.76
171.57,-2.77
173.29,-2.77
175.02,-2.78
176.77,-2.80
178.54,-2.80
180.32,-2.81
182.13,-2.83
183.95,-2.86
185.79,-2.87
187.65,-2.87
189.52,-2.88
191.42,-2.88
193.33,-2.89
195.27,-2.89
197.22,-2.87
199.19,-2.84
201.18,-2.81
203.19,-2.79
205.23,-2.76
207.28,-2.73
209.35,-2.71
211.44,-2.68
213.56,-2.65
215.69,-2.63
217.85,-2.60
220.03,-2.57
222.23,-2.55
224.45,-2.52
226.70,-2.50
228.96,-2.48
231.25,-2.46
233.57,-2.44
235.90,-2.43
238.26,-2.41
240.64,-2.41
243.05,-2.40
245.48,-2.40
247.93,-2.39
250.41,-2.38
252.92,-2.37
255.45,-2.35
258.00,-2.33
260.58,-2.29
263.19,-2.25
265.82,-2.20
268.48,-2.16
271.16,-2.12
273.87,-2.07
276.61,-2.04
279.38,-2.01
282.17,-1.97
284.99,-1.92
287.84,-1.86
290.72,-1.82
293.63,-1.78
296.57,-1.73
299.53,-1.69
302.53,-1.65
305.55,-1.60
308.61,-1.56
311.69,-1.51
314.81,-1.48
317.96,-1.44
321.14,-1.40
324.35,-1.37
327.59,-1.35
330.87,-1.35
334.18,-1.33
337.52,-1.30
340.90,-1.29
344.30,-1.28
347.75,-1.27
351.23,-1.26
354.74,-1.28
358.28,-1.29
361.87,-1.29
365.49,-1.30
369.14,-1.31
372.83,-1.33
376.56,-1.35
380.33,-1.38
384.13,-1.41
387.97,-1.45
391.85,-1.47
395.77,-1.50
399.73,-1.53
403.72,-1.55
407.76,-1.56
411.84,-1.57
415.96,-1.59
420.12,-1.61
424.32,-1.61
428.56,-1.60
432.85,-1.59
437.18,-1.58
441.55,-1.56
445.96,-1.55
450.42,-1.55
454.93,-1.55
459.48,-1.57
464.07,-1.57
468.71,-1.59
473.40,-1.61
478.13,-1.62
482.91,-1.64
487.74,-1.65
492.62,-1.66
497.55,-1.67
502.52,-1.68
507.55,-1.67
512.62,-1.66
517.75,-1.63
522.93,-1.61
528.16,-1.59
533.44,-1.58
538.77,-1.56
544.16,-1.54
549.60,-1.51
555.10,-1.46
560.65,-1.41
566.25,-1.38
571.92,-1.32
577.64,-1.27
583.41,-1.22
589.25,-1.14
595.14,-1.07
601.09,-1.00
607.10,-0.93
613.17,-0.87
619.30,-0.81
625.50,-0.74
631.75,-0.67
638.07,-0.61
644.45,-0.56
650.89,-0.51
657.40,-0.44
663.98,-0.39
670.62,-0.35
677.32,-0.30
684.10,-0.26
690.94,-0.24
697.85,-0.22
704.83,-0.21
711.87,-0.18
718.99,-0.16
726.18,-0.13
733.44,-0.09
740.78,-0.05
748.19,-0.01
755.67,0.03
763.23,0.08
770.86,0.13
778.57,0.17
786.35,0.21
794.22,0.23
802.16,0.26
810.18,0.28
818.28,0.30
826.46,0.30
834.73,0.29
843.08,0.27
851.51,0.25
860.02,0.22
868.62,0.21
877.31,0.19
886.08,0.17
894.94,0.14
903.89,0.11
912.93,0.06
922.06,0.00
931.28,-0.07
940.59,-0.15
950.00,-0.23
959.50,-0.30
969.09,-0.39
978.78,-0.47
988.57,-0.53
998.46,-0.60
1008.44,-0.68
1018.53,-0.75
1028.71,-0.81
1039.00,-0.88
1049.39,-0.94
1059.88,-0.99
1070.48,-1.06
1081.19,-1.10
1092.00,-1.13
1102.92,-1.14
1113.95,-1.16
1125.09,-1.15
1136.34,-1.11
1147.70,-1.06
1159.18,-0.99
1170.77,-0.90
