frequency,raw
20.00,2.63
20.20,2.67
20.40,2.72
20.61,2.75
20.81,2.80
21.02,2.84
21.23,2.89
21.44,2.94
21.66,3.00
21.87,3.05
22.09,3.11
22.31,3.16
22.54,3.23
22.76,3.29
22.99,3.35
23.22,3.42
23.45,3.49
23.69,3.56
23.92,3.64
24.16,3.71
24.40,3.78
24.65,3.85
24.89,3.92
25.14,4.00
25.39,4.09
25.65,4.16
25.91,4.24
26.16,4.33
26.43,4.43
26.69,4.52
26.96,4.60
27.23,4.69
27.50,4.79
27.77,4.88
28.05,4.96
28.33,5.05
28.62,5.14
28.90,5.22
29.19,5.29
29.48,5.35
29.78,5.41
30.08,5.46
30.38,5.51
30.68,5.57
30.99,5.62
31.30,5.66
31.61,5.70
31.93,5.73
32.24,5.78
32.57,5.84
32.89,5.87
33.22,5.90
33.55,5.95
33.89,6.00
34.23,6.04
34.57,6.08
34.92,6.13
35.27,6.18
35.62,6.23
35.97,6.29
36.33,6.36
36.70,6.41
37.06,6.47
37.43,6.52
37.81,6.58
38.19,6.64
38.57,6.69
38.95,6.75
39.34,6.80
39.74,6.84
40.14,6.90
40.54,6.94
40.94,6.97
41.35,7.00
41.76,7.04
42.18,7.07
42.60,7.09
43.03,7.09
43.46,7.09
43.90,7.08
44.33,7.08
44.78,7.05
45.23,7.03
45.68,6.99
46.13,6.94
46.60,6.88
47.06,6.82
47.53,6.76
48.01,6.67
48.49,6.58
48.97,6.48
49.46,6.36
49.96,6.25
50.46,6.13
50.96,5.99
51.47,5.84
51.99,5.68
52.51,5.52
53.03,5.34
53.56,5.15
54.10,4.97
54.64,4.79
55.18,4.60
55.74,4.43
56.29,4.30
56.86,4.18
57.42,4.07
58.00,4.01
58.58,3.97
59.16,3.97
59.76,3.99
60.35,4.04
60.96,4.14
61.57,4.26
62.18,4.39
62.80,4.54
63.43,4.69
64.07,4.84
64.71,4.99
65.35,5.12
66.01,5.25
66.67,5.35
67.33,5.44
68.01,5.50
68.69,5.55
69.37,5.58
70.07,5.61
70.77,5.60
71.48,5.56
72.19,5.50
72.91,5.42
73.64,5.30
74.38,5.15
75.12,5.00
75.87,4.81
76.63,4.59
77.40,4.36
78.17,4.13
78.95,3.88
79.74,3.63
80.54,3.38
81.35,3.16
82.16,2.96
82.98,2.79
83.81,2.67
84.65,2.59
85.50,2.56
86.35,2.58
87.22,2.63
88.09,2.73
88.97,2.84
89.86,2.98
90.76,3.14
91.66,3.31
92.58,3.49
93.51,3.66
94.44,3.84
95.39,4.01
96.34,4.16
97.30,4.27
98.28,4.36
99.26,4.42
100.25,4.46
101.25,4.49
102.27,4.50
103.29,4.49
104.32,4.46
105.37,4.43
106.42,4.39
107.48,4.32
108.56,4.26
109.64,4.19
110.74,4.12
111.85,4.05
112.97,4.02
114.10,3.99
115.24,3.97
116.39,3.98
117.55,4.00
118.73,4.01
119.92,4.04
121.12,4.06
122.33,4.10
123.55,4.14
124.79,4.20
126.03,4.25
127.29,4.30
128.57,4.33
129.85,4.35
131.15,4.33
132.46,4.30
133.79,4.24
135.12,4.16
136.48,4.06
