frequency,raw
20.00,-18.73
20.20,-18.64
20.40,-18.56
20.61,-18.48
20.81,-18.40
21.02,-18.32
21.23,-18.23
21.44,-18.16
21.66,-18.07
21.87,-17.99
22.09,-17.90
22.31,-17.82
22.54,-17.73
22.76,-17.65
22.99,-17.57
23.22,-17.49
23.45,-17.40
23.69,-17.32
23.92,-17.24
24.16,-17.16
24.40,-17.07
24.65,-16.99
24.89,-16.90
25.14,-16.82
25.39,-16.73
25.65,-16.66
25.91,-16.57
26.16,-16.49
26.43,-16.41
26.69,-16.32
26.96,-16.24
27.23,-16.16
27.50,-16.07
27.77,-15.99
28.05,-15.91
28.33,-15.83
28.62,-15.74
28.90,-15.66
29.19,-15.57
29.48,-15.49
29.78,-15.40
30.08,-15.32
30.38,-15.24
30.68,-15.15
30.99,-15.06
31.30,-14.99
31.61,-14.91
31.93,-14.83
32.24,-14.74
32.57,-14.65
32.89,-14.57
33.22,-14.48
33.55,-14.40
33.89,-14.31
34.23,-14.23
34.57,-14.14
34.92,-14.05
35.27,-13.97
35.62,-13.89
35.97,-13.81
36.33,-13.72
36.70,-13.63
37.06,-13.53
37.43,-13.45
37.81,-13.36
38.19,-13.27
38.57,-13.19
38.95,-13.10
39.34,-13.02
39.74,-12.94
40.14,-12.85
40.54,-12.76
40.94,-12.67
41.35,-12.58
41.76,-12.49
42.18,-12.41
42.60,-12.32
43.03,-12.23
43.46,-12.15
43.90,-12.07
44.33,-11.99
44.78,-11.92
45.23,-11.84
45.68,-11.76
46.13,-11.68
46.60,-11.62
47.06,-11.54
47.53,-11.46
48.01,-11.39
48.49,-11.31
48.97,-11.23
49.46,-11.17
49.96,-11.09
50.46,-11.01
50.96,-10.94
51.47,-10.85
51.99,-10.78
52.51,-10.71
53.03,-10.63
53.56,-10.55
54.10,-10.46
54.64,-10.38
55.18,-10.30
55.74,-10.23
56.29,-10.15
56.86,-10.06
57.42,-9.99
58.00,-9.90
58.58,-9.82
59.16,-9.75
59.76,-9.66
60.35,-9.58
60.96,-9.49
61.57,-9.41
62.18,-9.33
62.80,-9.25
63.43,-9.15
64.07,-9.07
64.71,-8.99
65.35,-8.91
66.01,-8.83
66.67,-8.75
67.33,-8.66
68.01,-8.59
68.69,-8.51
69.37,-8.44
70.07,-8.35
70.77,-8.28
71.48,-8.21
72.19,-8.13
72.91,-8.05
73.64,-7.98
74.38,-7.90
75.12,-7.82
75.87,-7.74
76.63,-7.67
77.40,-7.60
78.17,-7.51
78.95,-7.43
79.74,-7.37
80.54,-7.29
81.35,-7.22
82.16,-7.14
82.98,-7.05
83.81,-6.97
84.65,-6.90
85.50,-6.83
86.35,-6.75
87.22,-6.68
88.09,-6.61
88.97,-6.54
89.86,-6.47
90.76,-6.40
91.66,-6.32
92.58,-6.25
93.51,-6.18
94.44,-6.11
95.39,-6.04
96.34,-5.96
97.30,-5.89
98.28,-5.82
99.26,-5.74
100.25,-5.67
101.25,-5.59
102.27,-5.52
103.29,-5.48
104.32,-5.43
105.37,-5.35
106.42,-5.27
107.48,-5.21
108.56,-5.14
109.64,-5.06
110.74,-5.00
111.85,-4.93
112.97,-4.86
114.10,-4.79
115.24,-4.74
116.39,-4.71
117.55,-4.65
118.73,-4.59
119.92,-4.52
121.12,-4.48
122.33,-4.44
123.55,-4.40
124.79,-4.32
126.03,-4.25
127.29,-4.21
128.57,-4.16
129.85,-4.11
131.15,-4.06
132.46,-4.02
133.79,-3.96
135.12,-3.90
136.48,-3.86
137.84,-3.81
139.22,-3.78
140.61,-3.73
142.02,-3.67
143.44,-3.64
144.87,-3.60
146.32,-3.58
147.78,-3.55
149.26,-3.54
150.75,-3.49
152.26,-3.45
153.78,-3.42
155.32,-3.37
156.88,-3.34
158.44,-3.33
160.03,-3.28
161.63,-3.25
163.24,-3.22
164.88,-3.16
166.53,-3.13
168.19,-3.10
169.87,-3.06
171.57,-3.05
173.29,-3.04
175.02,-3.03
176.77,-3.03
178.54,-3.01
180.32,-2.98
182.13,-2.95
183.95,-2.89
185.79,-2.84
187.65,-2.80
189.52,-2.75
191.42,-2.69
193.33,-2.65
195.27,-2.60
197.22,-2.54
199.19,-2.49
201.18,-2.45
203.19,-2.41
205.23,-2.38
207.28,-2.35
209.35,-2.34
211.44,-2.32
213.56,-2.29
215.69,-2.27
217.85,-2.24
220.03,-2.21
222.23,-2.19
224.45,-2.16
226.70,-2.14
228.96,-2.12
231.25,-2.10
233.57,-2.08
235.90,-2.07
238.26,-2.05
240.64,-2.03
243.05,-2.01
245.48,-2.00
247.93,-2.00
250.41,-2.00
252.92,-2.01
255.45,-2.02
258.00,-2.04
260.58,-2.06
263.19,-2.08
265.82,-2.12
268.48,-2.12
271.16,-2.15
273.87,-2.18
276.61,-2.19
279.38,-2.20
282.17,-2.20
284.99,-2.21
287.84,-2.20
290.72,-2.18
293.63,-2.16
296.57,-2.13
299.53,-2.11
302.53,-2.10
305.55,-2.08
308.61,-2.07
311.69,-2.06
314.81,-2.06
317.96,-2.07
321.14,-2.07
324.35,-2.09
327.59,-2.11
330.87,-2.13
334.18,-2.14
337.52,-2.16
340.90,-2.17
344.30,-2.18
347.75,-2.17
351.23,-2.17
354.74,-2.17
358.28,-2.18
361.87,-2.17
365.49,-2.17
369.14,-2.17
372.83,-2.19
376.56,-2.21
380.33,-2.21
384.13,-2.23
387.97,-2.25
391.85,-2.26
395.77,-2.28
399.73,-2.29
403.72,-2.30
407.76,-2.30
411.84,-2.29
415.96,-2.27
420.12,-2.25
424.32,-2.23
428.56,-2.22
432.85,-2.21
437.18,-2.19
441.55,-2.17
