frequency,raw
20.00,-2.84
20.20,-2.78
20.40,-2.73
20.61,-2.68
20.81,-2.63
21.02,-2.58
21.23,-2.53
21.44,-2.48
21.66,-2.43
21.87,-2.38
22.09,-2.33
22.31,-2.28
22.54,-2.22
22.76,-2.18
22.99,-2.13
23.22,-2.09
23.45,-2.03
23.69,-1.98
23.92,-1.94
24.16,-1.89
24.40,-1.85
24.65,-1.80
24.89,-1.75
25.14,-1.71
25.39,-1.66
25.65,-1.63
25.91,-1.58
26.16,-1.53
26.43,-1.49
26.69,-1.44
26.96,-1.39
27.23,-1.35
27.50,-1.31
27.77,-1.26
28.05,-1.23
28.33,-1.19
28.62,-1.14
28.90,-1.11
29.19,-1.07
29.48,-1.03
29.78,-0.99
30.08,-0.95
30.38,-0.92
30.68,-0.87
30.99,-0.83
31.30,-0.80
31.61,-0.76
31.93,-0.73
32.24,-0.69
32.57,-0.65
32.89,-0.62
33.22,-0.58
33.55,-0.54
33.89,-0.51
34.23,-0.48
34.57,-0.45
34.92,-0.41
35.27,-0.38
35.62,-0.35
35.97,-0.31
36.33,-0.28
36.70,-0.25
37.06,-0.21
37.43,-0.19
37.81,-0.16
38.19,-0.13
38.57,-0.11
38.95,-0.07
39.34,-0.06
39.74,-0.05
40.14,-0.02
40.54,-0.01
40.94,0.00
41.35,0.01
41.76,0.01
42.18,0.01
42.60,0.01
43.03,0.01
43.46,-0.01
43.90,-0.03
44.33,-0.05
44.78,-0.08
45.23,-0.12
45.68,-0.16
46.13,-0.20
46.60,-0.26
47.06,-0.32
47.53,-0.38
48.01,-0.46
48.49,-0.55
48.97,-0.64
49.46,-0.74
49.96,-0.83
50.46,-0.93
50.96,-1.03
51.47,-1.13
51.99,-1.24
52.51,-1.34
53.03,-1.45
53.56,-1.56
54.10,-1.66
54.64,-1.75
55.18,-1.84
55.74,-1.93
56.29,-1.99
56.86,-2.05
57.42,-2.12
58.00,-2.17
58.58,-2.20
59.16,-2.23
59.76,-2.24
60.35,-2.24
60.96,-2.23
61.57,-2.21
62.18,-2.19
62.80,-2.15
63.43,-2.10
64.07,-2.05
64.71,-2.00
65.35,-1.92
66.01,-1.86
66.67,-1.79
67.33,-1.72
68.01,-1.66
68.69,-1.60
69.37,-1.55
70.07,-1.50
70.77,-1.45
71.48,-1.41
72.19,-1.37
72.91,-1.33
73.64,-1.31
74.38,-1.28
75.12,-1.26
75.87,-1.24
76.63,-1.21
77.40,-1.19
78.17,-1.16
78.95,-1.12
79.74,-1.10
80.54,-1.08
81.35,-1.06
82.16,-1.03
82.98,-0.98
83.81,-0.93
84.65,-0.88
85.50,-0.84
86.35,-0.79
87.22,-0.73
88.09,-0.68
88.97,-0.65
89.86,-0.59
90.76,-0.52
91.66,-0.46
92.58,-0.39
93.51,-0.34
94.44,-0.27
95.39,-0.21
96.34,-0.14
97.30,-0.08
98.28,-0.01
99.26,0.06
100.25,0.12
101.25,0.20
102.27,0.25
103.29,0.28
104.32,0.31
105.37,0.38
106.42,0.45
107.48,0.51
108.56,0.60
109.64,0.68
110.74,0.74
111.85,0.79
112.97,0.85
114.10,0.92
115.24,0.98
116.39,1.01
117.55,1.06
118.73,1.12
119.92,1.18
121.12,1.23
122.33,1.27
123.55,1.29
124.79,1.31
126.03,1.32
127.29,1.34
128.57,1.37
129.85,1.42
131.15,1.45
132.46,1.47
133.79,1.50
135.12,1.52
136.48,1.54
137.84,1.58
139.22,1.61
140.61,1.64
142.02,1.68
143.44,1.70
144.87,1.73
146.32,1.75
147.78,1.76
149.26,1.76
150.75,1.75
152.26,1.75
153.78,1.74
155.32,1.76
156.88,1.77
158.44,1.78
160.03,1.79
161.63,1.78
163.24,1.77
164.88,1.76
166.53,1.75
168.19,1.73
169.87,1.70
171.57,1.68
173.29,1.67
175.02,1.66
176.77,1.63
178.54,1.62
180.32,1.60
182.13,1.58
183.95,1.56
185.79,1.55
187.65,1.54
189.52,1.53
191.42,1.51
193.33,1.48
195.27,1.45
197.22,1.42
199.19,1.37
201.18,1.33
203.19,1.28
205.23,1.23
207.28,1.19
209.35,1.13
211.44,1.07
213.56,1.01
215.69,0.93
217.85,0.87
220.03,0.82
222.23,0.75
224.45,0.67
226.70,0.57
228.96,0.45
231.25,0.39
233.57,0.30
235.90,0.18
238.26,0.10
240.64,-0.02
243.05,-0.12
245.48,-0.25
247.93,-0.39
250.41,-0.49
252.92,-0.64
255.45,-0.74
258.00,-0.83
260.58,-0.96
263.19,-1.07
265.82,-1.22
268.48,-1.33
271.16,-1.43
273.87,-1.58
276.61,-1.68
279.38,-1.79
282.17,-1.89
284.99,-2.01
287.84,-2.17
290.72,-2.29
293.63,-2.42
296.57,-2.54
299.53,-2.66
302.53,-2.80
305.55,-2.92
308.61,-3.03
311.69,-3.15
314.81,-3.26
317.96,-3.38
321.14,-3.51
324.35,-3.65
327.59,-3.79
330.87,-3.90
334.18,-4.02
337.52,-4.17
340.90,-4.30
344.30,-4.44
347.75,-4.55
351.23,-4.67
354.74,-4.80
358.28,-4.93
361.87,-5.03
365.49,-5.14
369.14,-5.23
372.83,-5.32
376.56,-5.41
380.33,-5.48
384.13,-5.54
387.97,-5.59
391.85,-5.63
395.77,-5.67
399.73,-5.72
403.72,-5.77
407.76,-5.80
411.84,-5.85
415.96,-5.89
420.12,-5.91
424.32,-5.92
428.56,-5.92
432.85,-5.92
437.18,-5.89
441.55,-5.87
445.96,-5.87
450.42,-5.84
454.93,-5.80
459.48,-5.75
464.07,-5.70
468.71,-5.64
473.40,-5.57
478.13,-5.50
482.91,-5.44
487.74,-5.39
492.62,-5.32
497.55,-5.25
502.52,-5.18
507.55,-5.09
512.62,-5.00
517.75,-4.90
522.93,-4.80
528.16,-4.69
533.44,-4.60
538.77,-4.49
544.16,-4.38
549.60,-4.27
555.10,-4.15
560.65,-4.04
566.25,-3.94
571.92,-3.83
577.64,-3.72
583.41,-3.62
589.25,-3.51
595.14,-3.40
601.09,-3.31
607.10,-3.22
613.17,-3.14
619.30,-3.06
625.50,-2.97
631.75,-2.89
638.07,-2.81
644.45,-2.73
650.89,-2.63
657.40,-2.56
663.98,-2.50
670.62,-2.43
677.32,-2.36
684.10,-2.29
690.94,-2.21
697.85,-2.14
704.83,-2.07
711.87,-2.00
718.99,-1.94
726.18,-1.90
733.44,-1.86
740.78,-1.81
748.19,-1.75
755.67,-1.70
763.23,-1.65
770.86,-1.58
778.57,-1.51
786.35,-1.44
794.22,-1.39
802.16,-1.33
810.18,-1.29
818.28,-1.23
826.46,-1.18
834.73,-1.13
843.08,-1.08
851.51,-1.03
860.02,-1.00
868.62,-0.97
877.31,-0.95
886.08,-0.93
894.94,-0.92
903.89,-0.89
912.93,-0.87
922.06,-0.84
931.28,-0.82
940.59,-0.80
950.00,-0.77
959.50,-0.74
969.09,-0.72
978.78,-0.69
988.57,-0.65
998.46,-0.62
1008.44,-0.59
1018.53,-0.55
1028.71,-0.51
1039.00,-0.48
1049.39,-0.44
1059.88,-0.40
1070.48,-0.37
1081.19,-0.33
1092.00,-0.30
1102.92,-0.26
1113.95,-0.24
1125.09,-0.20
1136.34,-0.15
1147.70,-0.10
1159.18,-0.04
1170.77,0.02
1182.48,0.09
1194.30,0.16
1206.25,0.25
1218.31,0.35
1230.49,0.46
1242.80,0.57
1255.22,0.69
1267.78,0.80
1280.45,0.91
1293.26,1.01
1306.19,1.10
1319.25,1.18
1332.45,1.27
1345.77,1.35
1359.23,1.45
1372.82,1.55
1386.55,1.64
1400.41,1.73
1414.42,1.80
1428.56,1.88
1442.85,1.95
1457.28,2.04
1471.85,2.12
1486.57,2.19
1501.43,2.28
1516.45,2.35
1531.61,2.44
1546.93,2.52
1562.40,2.59
1578.02,2.66
1593.80,2.72
1609.74,2.79
1625.84,2.87
1642.10,2.95
1658.52,3.03
1675.10,3.10
1691.85,3.15
1708.77,3.20
1725.86,3.26
1743.12,3.29
1760.55,3.32
1778.15,3.36
1795.94,3.40
1813.90,3.43
1832.03,3.46
1850.36,3.50
1868.86,3.53
1887.55,3.55
1906.42,3.57
1925.49,3.57
1944.74,3.58
1964.19,3.59
1983.83,3.60
2003.67,3.62
2023.71,3.63
2043.94,3.66
2064.38,3.69
2085.03,3.71
2105.88,3.76
2126.94,3.82
2148.20,3.90
2169.69,4.00
2191.38,4.12
2213.30,4.25
2235.43,4.38
2257.78,4.55
2280.36,4.73
2303.17,4.92
2326.20,5.10
2349.46,5.29
2372.95,5.48
2396.68,5.69
2420.65,5.88
2444.86,6.07
2469.31,6.25
2494.00,6.41
2518.94,6.55
2544.13,6.69
2569.57,6.80
2595.27,6.88
2621.22,6.95
2647.43,7.01
2673.90,7.05
2700.64,7.08
2727.65,7.11
2754.93,7.13
2782.48,7.13
2810.30,7.11
2838.40,7.09
