frequency,raw
20.00,-20.83
20.20,-20.68
20.40,-20.52
20.61,-20.38
20.81,-20.22
21.02,-20.07
21.23,-19.92
21.44,-19.77
21.66,-19.61
21.87,-19.46
22.09,-19.30
22.31,-19.15
22.54,-18.99
22.76,-18.84
22.99,-18.69
23.22,-18.53
23.45,-18.37
23.69,-18.22
23.92,-18.06
24.16,-17.91
24.40,-17.76
24.65,-17.60
24.89,-17.45
25.14,-17.30
25.39,-17.14
25.65,-17.00
25.91,-16.84
26.16,-16.68
26.43,-16.53
26.69,-16.37
26.96,-16.22
27.23,-16.07
27.50,-15.92
27.77,-15.76
28.05,-15.62
28.33,-15.47
28.62,-15.32
28.90,-15.18
29.19,-15.02
29.48,-14.88
29.78,-14.72
30.08,-14.57
30.38,-14.44
30.68,-14.29
30.99,-14.15
31.30,-14.01
31.61,-13.87
31.93,-13.74
32.24,-13.59
32.57,-13.45
32.89,-13.31
33.22,-13.17
33.55,-13.04
33.89,-12.91
34.23,-12.78
34.57,-12.63
34.92,-12.49
35.27,-12.35
35.62,-12.23
35.97,-12.10
36.33,-11.96
36.70,-11.82
37.06,-11.66
37.43,-11.52
37.81,-11.38
38.19,-11.24
38.57,-11.10
38.95,-10.95
39.34,-10.81
39.74,-10.67
40.14,-10.52
40.54,-10.37
40.94,-10.23
41.35,-10.08
41.76,-9.94
42.18,-9.81
42.60,-9.67
43.03,-9.54
43.46,-9.41
43.90,-9.27
44.33,-9.14
44.78,-9.02
45.23,-8.89
45.68,-8.77
46.13,-8.64
46.60,-8.53
47.06,-8.41
47.53,-8.30
48.01,-8.19
48.49,-8.07
48.97,-7.96
49.46,-7.86
49.96,-7.75
50.46,-7.64
50.96,-7.54
51.47,-7.44
51.99,-7.34
52.51,-7.24
53.03,-7.13
53.56,-7.04
54.10,-6.93
54.64,-6.83
55.18,-6.72
55.74,-6.62
56.29,-6.51
56.86,-6.40
57.42,-6.30
58.00,-6.19
58.58,-6.09
59.16,-5.99
59.76,-5.89
60.35,-5.79
60.96,-5.69
61.57,-5.60
62.18,-5.51
62.80,-5.43
63.43,-5.34
64.07,-5.26
64.71,-5.20
65.35,-5.13
66.01,-5.07
66.67,-5.02
67.33,-4.96
68.01,-4.93
68.69,-4.90
69.37,-4.87
70.07,-4.85
70.77,-4.84
71.48,-4.83
72.19,-4.82
72.91,-4.81
73.64,-4.82
74.38,-4.81
75.12,-4.80
75.87,-4.80
76.63,-4.80
77.40,-4.80
78.17,-4.78
78.95,-4.76
79.74,-4.74
80.54,-4.72
81.35,-4.69
82.16,-4.65
82.98,-4.60
83.81,-4.53
84.65,-4.48
85.50,-4.43
86.35,-4.38
87.22,-4.32
88.09,-4.27
88.97,-4.23
89.86,-4.18
90.76,-4.13
91.66,-4.09
92.58,-4.05
93.51,-4.02
94.44,-3.98
95.39,-3.94
96.34,-3.90
97.30,-3.87
98.28,-3.83
99.26,-3.79
100.25,-3.75
101.25,-3.70
102.27,-3.66
103.29,-3.62
104.32,-3.58
105.37,-3.51
106.42,-3.44
107.48,-3.37
108.56,-3.28
109.64,-3.18
110.74,-3.09
111.85,-2.99
112.97,-2.90
114.10,-2.80
115.24,-2.72
116.39,-2.66
117.55,-2.58
118.73,-2.47
119.92,-2.37
121.12,-2.29
122.33,-2.23
123.55,-2.17
124.79,-2.08
126.03,-1.98
127.29,-1.93
128.57,-1.88
129.85,-1.80
131.15,-1.73
132.46,-1.69
133.79,-1.65
135.12,-1.61
136.48,-1.59
137.84,-1.57
139.22,-1.56
140.61,-1.55
142.02,-1.51
143.44,-1.50
144.87,-1.47
146.32,-1.45
147.78,-1.42
149.26,-1.40
150.75,-1.35
152.26,-1.32
153.78,-1.29
155.32,-1.24
156.88,-1.21
158.44,-1.19
160.03,-1.14
161.63,-1.11
163.24,-1.10
164.88,-1.09
166.53,-1.10
168.19,-1.11
169.87,-1.13
171.57,-1.14
173.29,-1.16
175.02,-1.19
176.77,-1.21
178.54,-1.21
180.32,-1.20
182.13,-1.22
183.95,-1.25
185.79,-1.27
187.65,-1.28
189.52,-1.30
191.42,-1.31
193.33,-1.32
195.27,-1.32
197.22,-1.31
199.19,-1.32
201.18,-1.34
203.19,-1.37
205.23,-1.39
207.28,-1.41
209.35,-1.43
211.44,-1.46
213.56,-1.48
215.69,-1.51
217.85,-1.52
220.03,-1.52
222.23,-1.55
224.45,-1.59
226.70,-1.65
228.96,-1.71
231.25,-1.74
233.57,-1.77
235.90,-1.82
238.26,-1.83
240.64,-1.87
243.05,-1.90
245.48,-1.93
247.93,-1.97
250.41,-1.98
252.92,-2.02
255.45,-2.04
258.00,-2.07
260.58,-2.09
263.19,-2.10
265.82,-2.11
268.48,-2.11
271.16,-2.14
273.87,-2.19
276.61,-2.21
279.38,-2.24
282.17,-2.27
284.99,-2.30
287.84,-2.31
290.72,-2.32
293.63,-2.34
296.57,-2.35
299.53,-2.38
302.53,-2.42
305.55,-2.45
308.61,-2.48
311.69,-2.51
314.81,-2.51
317.96,-2.51
321.14,-2.51
324.35,-2.54
327.59,-2.56
330.87,-2.59
334.18,-2.62
337.52,-2.64
340.90,-2.67
344.30,-2.69
347.75,-2.69
351.23,-2.69
354.74,-2.71
358.28,-2.72
361.87,-2.72
365.49,-2.73
369.14,-2.72
372.83,-2.72
376.56,-2.73
380.33,-2.73
384.13,-2.72
387.97,-2.72
391.85,-2.73
395.77,-2.76
399.73,-2.78
403.72,-2.80
407.76,-2.82
411.84,-2.84
415.96,-2.85
420.12,-2.87
424.32,-2.87
428.56,-2.87
432.85,-2.86
437.18,-2.83
441.55,-2.81
445.96,-2.79
450.42,-2.77
454.93,-2.76
459.48,-2.74
464.07,-2.73
468.71,-2.71
473.40,-2.68
478.13,-2.66
482.91,-2.62
487.74,-2.59
492.62,-2.54
497.55,-2.50
502.52,-2.45
507.55,-2.40
512.62,-2.37
517.75,-2.32
522.93,-2.28
528.16,-2.24
533.44,-2.18
538.77,-2.12
544.16,-2.07
549.60,-2.01
555.10,-1.95
560.65,-1.90
566.25,-1.87
571.92,-1.81
577.64,-1.75
583.41,-1.69
589.25,-1.61
595.14,-1.55
601.09,-1.49
607.10,-1.44
613.17,-1.40
619.30,-1.35
625.50,-1.29
631.75,-1.24
638.07,-1.19
644.45,-1.13
650.89,-1.06
657.40,-0.99
663.98,-0.93
670.62,-0.88
677.32,-0.82
684.10,-0.77
690.94,-0.72
697.85,-0.65
704.83,-0.58
711.87,-0.52
718.99,-0.46
726.18,-0.40
733.44,-0.32
740.78,-0.25
748.19,-0.17
755.67,-0.08
763.23,-0.00
770.86,0.09
778.57,0.16
786.35,0.24
794.22,0.32
802.16,0.39
810.18,0.44
818.28,0.48
826.46,0.51
834.73,0.54
843.08,0.54
851.51,0.55
860.02,0.53
868.62,0.51
877.31,0.48
886.08,0.44
894.94,0.39
903.89,0.33
912.93,0.25
922.06,0.18
931.28,0.08
940.59,-0.02
950.00,-0.12
959.50,-0.21
969.09,-0.32
978.78,-0.42
988.57,-0.51
998.46,-0.60
1008.44,-0.67
1018.53,-0.72
1028.71,-0.75
1039.00,-0.76
1049.39,-0.73
1059.88,-0.68
1070.48,-0.63
