frequency,raw
20.00,-14.74
20.20,-14.65
20.40,-14.56
20.61,-14.47
20.81,-14.38
21.02,-14.30
21.23,-14.21
21.44,-14.12
21.66,-14.03
21.87,-13.94
22.09,-13.85
22.31,-13.77
22.54,-13.67
22.76,-13.59
22.99,-13.50
23.22,-13.42
23.45,-13.33
23.69,-13.24
23.92,-13.16
24.16,-13.08
24.40,-12.99
24.65,-12.91
24.89,-12.82
25.14,-12.74
25.39,-12.65
25.65,-12.58
25.91,-12.49
26.16,-12.41
26.43,-12.33
26.69,-12.24
26.96,-12.16
27.23,-12.08
27.50,-12.00
27.77,-11.92
28.05,-11.84
28.33,-11.76
28.62,-11.68
28.90,-11.60
29.19,-11.52
29.48,-11.45
29.78,-11.37
30.08,-11.29
30.38,-11.23
30.68,-11.16
30.99,-11.08
31.30,-11.02
31.61,-10.95
31.93,-10.89
32.24,-10.82
32.57,-10.74
32.89,-10.68
33.22,-10.61
33.55,-10.54
33.89,-10.47
34.23,-10.40
34.57,-10.33
34.92,-10.26
35.27,-10.19
35.62,-10.14
35.97,-10.08
36.33,-10.01
36.70,-9.94
37.06,-9.86
37.43,-9.78
37.81,-9.71
38.19,-9.64
38.57,-9.58
38.95,-9.51
39.34,-9.44
39.74,-9.37
40.14,-9.30
40.54,-9.24
40.94,-9.18
41.35,-9.11
41.76,-9.04
42.18,-8.98
42.60,-8.92
43.03,-8.87
43.46,-8.81
43.90,-8.76
44.33,-8.70
44.78,-8.65
45.23,-8.59
45.68,-8.53
46.13,-8.47
46.60,-8.43
47.06,-8.38
47.53,-8.33
48.01,-8.28
48.49,-8.23
48.97,-8.17
49.46,-8.13
49.96,-8.08
50.46,-8.02
50.96,-7.97
51.47,-7.93
51.99,-7.89
52.51,-7.84
53.03,-7.80
53.56,-7.75
54.10,-7.70
54.64,-7.66
55.18,-7.61
55.74,-7.57
56.29,-7.53
56.86,-7.48
57.42,-7.44
58.00,-7.39
58.58,-7.34
59.16,-7.30
59.76,-7.25
60.35,-7.21
60.96,-7.16
61.57,-7.11
62.18,-7.07
62.80,-7.03
63.43,-6.99
64.07,-6.97
64.71,-6.92
65.35,-6.87
66.01,-6.83
66.67,-6.79
67.33,-6.74
68.01,-6.69
68.69,-6.65
69.37,-6.61
70.07,-6.56
70.77,-6.54
71.48,-6.52
72.19,-6.49
72.91,-6.45
73.64,-6.43
74.38,-6.39
75.12,-6.37
75.87,-6.35
76.63,-6.32
77.40,-6.30
78.17,-6.26
78.95,-6.23
79.74,-6.21
80.54,-6.19
81.35,-6.19
82.16,-6.19
82.98,-6.19
83.81,-6.17
84.65,-6.15
85.50,-6.13
86.35,-6.11
87.22,-6.08
88.09,-6.07
88.97,-6.06
89.86,-6.04
90.76,-6.03
91.66,-6.02
92.58,-6.00
93.51,-5.99
94.44,-5.98
95.39,-5.97
96.34,-5.96
97.30,-5.96
98.28,-5.95
99.26,-5.93
100.25,-5.93
101.25,-5.92
102.27,-5.92
103.29,-5.90
104.32,-5.89
105.37,-5.86
106.42,-5.82
107.48,-5.80
108.56,-5.75
109.64,-5.72
110.74,-5.70
111.85,-5.67
112.97,-5.65
114.10,-5.64
115.24,-5.65
116.39,-5.65
117.55,-5.66
118.73,-5.66
119.92,-5.63
121.12,-5.61
122.33,-5.59
123.55,-5.56
