frequency,raw
20.00,-15.40
20.20,-15.27
20.40,-15.15
20.61,-15.03
20.81,-14.90
21.02,-14.79
21.23,-14.66
21.44,-14.54
21.66,-14.41
21.87,-14.29
22.09,-14.15
22.31,-14.03
22.54,-13.90
22.76,-13.78
22.99,-13.66
23.22,-13.53
23.45,-13.40
23.69,-13.28
23.92,-13.15
24.16,-13.03
24.40,-12.91
24.65,-12.78
24.89,-12.66
25.14,-12.53
25.39,-12.41
25.65,-12.29
25.91,-12.17
26.16,-12.04
26.43,-11.92
26.69,-11.79
26.96,-11.66
27.23,-11.55
27.50,-11.42
27.77,-11.30
28.05,-11.18
28.33,-11.06
28.62,-10.93
28.90,-10.82
29.19,-10.69
29.48,-10.58
29.78,-10.45
30.08,-10.33
30.38,-10.22
30.68,-10.10
30.99,-9.98
31.30,-9.86
31.61,-9.74
31.93,-9.63
32.24,-9.51
32.57,-9.39
32.89,-9.27
33.22,-9.15
33.55,-9.04
33.89,-8.92
34.23,-8.81
34.57,-8.70
34.92,-8.58
35.27,-8.47
35.62,-8.37
35.97,-8.26
36.33,-8.15
36.70,-8.04
37.06,-7.92
37.43,-7.81
37.81,-7.69
38.19,-7.58
38.57,-7.47
38.95,-7.34
39.34,-7.23
39.74,-7.12
40.14,-7.00
40.54,-6.89
40.94,-6.79
41.35,-6.67
41.76,-6.56
42.18,-6.45
42.60,-6.35
43.03,-6.24
43.46,-6.14
43.90,-6.05
44.33,-5.95
44.78,-5.86
45.23,-5.77
45.68,-5.67
46.13,-5.58
46.60,-5.52
47.06,-5.44
47.53,-5.34
48.01,-5.26
48.49,-5.17
48.97,-5.09
49.46,-5.02
49.96,-4.94
50.46,-4.86
50.96,-4.79
51.47,-4.71
51.99,-4.65
52.51,-4.59
53.03,-4.53
53.56,-4.47
54.10,-4.40
54.64,-4.33
55.18,-4.27
55.74,-4.20
56.29,-4.14
56.86,-4.08
57.42,-4.02
58.00,-3.96
58.58,-3.90
59.16,-3.83
59.76,-3.77
60.35,-3.71
60.96,-3.64
61.57,-3.59
62.18,-3.54
62.80,-3.49
63.43,-3.42
64.07,-3.36
64.71,-3.31
65.35,-3.24
66.01,-3.18
66.67,-3.13
67.33,-3.07
68.01,-3.02
68.69,-2.97
69.37,-2.93
70.07,-2.87
70.77,-2.82
71.48,-2.77
72.19,-2.72
72.91,-2.68
73.64,-2.65
74.38,-2.61
75.12,-2.57
75.87,-2.55
76.63,-2.52
77.40,-2.49
78.17,-2.45
78.95,-2.41
79.74,-2.38
80.54,-2.35
81.35,-2.33
82.16,-2.30
82.98,-2.26
83.81,-2.23
84.65,-2.21
85.50,-2.20
86.35,-2.19
87.22,-2.18
88.09,-2.17
88.97,-2.15
89.86,-2.13
90.76,-2.10
91.66,-2.07
92.58,-2.05
93.51,-2.05
94.44,-2.04
95.39,-2.02
96.34,-2.00
97.30,-1.98
98.28,-1.96
99.26,-1.93
100.25,-1.93
101.25,-1.93
102.27,-1.95
103.29,-1.96
104.32,-1.98
105.37,-2.02
106.42,-2.06
107.48,-2.10
108.56,-2.13
109.64,-2.17
110.74,-2.20
111.85,-2.24
112.97,-2.25
114.10,-2.26
115.24,-2.28
116.39,-2.28
117.55,-2.29
118.73,-2.31
119.92,-2.33
121.12,-2.36
122.33,-2.37
123.55,-2.40
124.79,-2.44
126.03,-2.48
127.29,-2.50
128.57,-2.52
129.85,-2.55
131.15,-2.56
132.46,-2.57
133.79,-2.58
135.12,-2.59
136.48,-2.60
137.84,-2.62
139.22,-2.64
140.61,-2.67
142.02,-2.71
143.44,-2.74
144.87,-2.77
146.32,-2.78
147.78,-2.81
149.26,-2.83
150.75,-2.86
152.26,-2.89
153.78,-2.92
155.32,-2.94
156.88,-2.97
158.44,-2.98
160.03,-3.00
161.63,-3.01
163.24,-3.04
164.88,-3.09
166.53,-3.12
168.19,-3.15
169.87,-3.20
171.57,-3.23
173.29,-3.26
175.02,-3.27
176.77,-3.28
178.54,-3.28
180.32,-3.28
182.13,-3.30
183.95,-3.35
185.79,-3.37
187.65,-3.38
189.52,-3.39
191.42,-3.40
193.33,-3.42
195.27,-3.42
197.22,-3.42
199.19,-3.43
201.18,-3.44
203.19,-3.44
205.23,-3.44
207.28,-3.43
209.35,-3.41
211.44,-3.37
213.56,-3.33
215.69,-3.29
217.85,-3.26
220.03,-3.23
222.23,-3.22
224.45,-3.20
226.70,-3.21
228.96,-3.22
231.25,-3.22
233.57,-3.23
235.90,-3.27
238.26,-3.27
240.64,-3.30
243.05,-3.32
245.48,-3.34
247.93,-3.36
250.41,-3.37
252.92,-3.37
255.45,-3.37
258.00,-3.35
260.58,-3.33
263.19,-3.32
265.82,-3.30
268.48,-3.28
271.16,-3.27
273.87,-3.26
276.61,-3.25
279.38,-3.24
282.17,-3.22
284.99,-3.20
287.84,-3.19
290.72,-3.19
293.63,-3.19
296.57,-3.20
299.53,-3.21
302.53,-3.22
305.55,-3.22
308.61,-3.24
311.69,-3.26
314.81,-3.30
317.96,-3.32
321.14,-3.35
324.35,-3.39
327.59,-3.42
330.87,-3.46
334.18,-3.49
337.52,-3.52
340.90,-3.55
344.30,-3.58
347.75,-3.60
351.23,-3.65
354.74,-3.70
358.28,-3.75
361.87,-3.79
365.49,-3.83
369.14,-3.85
372.83,-3.89
376.56,-3.92
380.33,-3.96
384.13,-3.99
387.97,-4.02
391.85,-4.03
395.77,-4.06
399.73,-4.10
403.72,-4.15
407.76,-4.18
411.84,-4.21
415.96,-4.25
420.12,-4.30
424.32,-4.35
428.56,-4.40
432.85,-4.46
437.18,-4.52
441.55,-4.58
445.96,-4.64
450.42,-4.72
454.93,-4.80
459.48,-4.89
464.07,-4.97
468.71,-5.04
473.40,-5.15
478.13,-5.25
482.91,-5.34
487.74,-5.43
492.62,-5.51
497.55,-5.60
502.52,-5.69
507.55,-5.76
512.62,-5.85
517.75,-5.92
522.93,-5.98
528.16,-6.01
533.44,-6.03
538.77,-6.03
544.16,-6.02
549.60,-5.99
555.10,-5.95
560.65,-5.90
566.25,-5.83
571.92,-5.73
577.64,-5.61
583.41,-5.48
589.25,-5.34
595.14,-5.19
601.09,-5.04
607.10,-4.89
613.17,-4.76
619.30,-4.63
625.50,-4.49
631.75,-4.35
638.07,-4.20
644.45,-4.08
650.89,-3.97
657.40,-3.85
663.98,-3.75
670.62,-3.67
677.32,-3.58
684.10,-3.50
690.94,-3.41
697.85,-3.34
704.83,-3.28
711.87,-3.22
718.99,-3.19
726.18,-3.15
733.44,-3.11
740.78,-3.08
748.19,-3.05
755.67,-3.02
763.23,-2.98
770.86,-2.94
778.57,-2.91
786.35,-2.86
794.22,-2.81
802.16,-2.74
810.18,-2.68
818.28,-2.60
826.46,-2.53
834.73,-2.45
843.08,-2.36
851.51,-2.27
860.02,-2.19
868.62,-2.11
877.31,-2.02
886.08,-1.93
894.94,-1.85
903.89,-1.75
912.93,-1.65
922.06,-1.54
931.28,-1.44
940.59,-1.34
