frequency,raw
20.00,-2.51
20.20,-2.47
20.40,-2.43
20.61,-2.40
20.81,-2.36
21.02,-2.33
21.23,-2.29
21.44,-2.26
21.66,-2.23
21.87,-2.20
22.09,-2.16
22.31,-2.14
22.54,-2.11
22.76,-2.09
22.99,-2.08
23.22,-2.07
23.45,-2.03
23.69,-2.00
23.92,-1.97
24.16,-1.93
24.40,-1.89
24.65,-1.86
24.89,-1.83
25.14,-1.82
25.39,-1.80
25.65,-1.80
25.91,-1.78
26.16,-1.76
26.43,-1.72
26.69,-1.69
26.96,-1.66
27.23,-1.64
27.50,-1.62
27.77,-1.60
28.05,-1.60
28.33,-1.59
28.62,-1.57
28.90,-1.56
29.19,-1.55
29.48,-1.55
29.78,-1.55
30.08,-1.56
30.38,-1.58
30.68,-1.59
30.99,-1.60
31.30,-1.62
31.61,-1.62
31.93,-1.61
32.24,-1.60
32.57,-1.58
32.89,-1.57
33.22,-1.55
33.55,-1.53
33.89,-1.51
34.23,-1.50
34.57,-1.48
34.92,-1.47
35.27,-1.46
35.62,-1.46
35.97,-1.46
36.33,-1.47
36.70,-1.48
37.06,-1.49
37.43,-1.52
37.81,-1.54
38.19,-1.55
38.57,-1.56
38.95,-1.55
39.34,-1.54
39.74,-1.53
40.14,-1.50
40.54,-1.49
40.94,-1.47
41.35,-1.43
41.76,-1.41
42.18,-1.39
42.60,-1.37
43.03,-1.35
43.46,-1.34
43.90,-1.33
44.33,-1.32
44.78,-1.33
45.23,-1.33
45.68,-1.34
46.13,-1.36
46.60,-1.39
47.06,-1.40
47.53,-1.41
48.01,-1.43
48.49,-1.44
48.97,-1.45
49.46,-1.47
49.96,-1.49
50.46,-1.50
50.96,-1.52
51.47,-1.53
51.99,-1.55
52.51,-1.56
53.03,-1.56
53.56,-1.55
54.10,-1.53
54.64,-1.52
55.18,-1.50
55.74,-1.48
56.29,-1.45
56.86,-1.42
57.42,-1.40
58.00,-1.37
58.58,-1.34
59.16,-1.32
59.76,-1.30
60.35,-1.28
60.96,-1.27
61.57,-1.26
62.18,-1.26
62.80,-1.27
63.43,-1.26
64.07,-1.27
64.71,-1.27
65.35,-1.26
66.01,-1.26
66.67,-1.26
67.33,-1.25
68.01,-1.25
68.69,-1.25
69.37,-1.25
70.07,-1.24
70.77,-1.24
71.48,-1.24
72.19,-1.24
72.91,-1.24
73.64,-1.25
74.38,-1.25
75.12,-1.25
75.87,-1.26
76.63,-1.27
77.40,-1.28
78.17,-1.28
78.95,-1.29
79.74,-1.30
80.54,-1.31
81.35,-1.32
82.16,-1.33
82.98,-1.34
83.81,-1.34
84.65,-1.35
85.50,-1.36
86.35,-1.37
87.22,-1.38
88.09,-1.39
88.97,-1.41
89.86,-1.42
90.76,-1.43
91.66,-1.44
92.58,-1.45
93.51,-1.47
94.44,-1.48
95.39,-1.49
96.34,-1.50
97.30,-1.52
98.28,-1.53
99.26,-1.54
100.25,-1.55
101.25,-1.56
102.27,-1.57
103.29,-1.57
104.32,-1.58
105.37,-1.58
106.42,-1.58
107.48,-1.59
108.56,-1.58
109.64,-1.58
110.74,-1.58
111.85,-1.58
112.97,-1.57
114.10,-1.56
115.24,-1.56
116.39,-1.55
117.55,-1.54
118.73,-1.54
119.92,-1.53
121.12,-1.53
122.33,-1.52
123.55,-1.52
124.79,-1.51
126.03,-1.50
127.29,-1.50
128.57,-1.50
129.85,-1.51
131.15,-1.52
132.46,-1.53
133.79,-1.55
135.12,-1.57
136.48,-1.61
137.84,-1.65
139.22,-1.68
140.61,-1.73
142.02,-1.78
143.44,-1.83
144.87,-1.89
146.32,-1.94
147.78,-2.01
149.26,-2.08
150.75,-2.14
152.26,-2.21
153.78,-2.28
155.32,-2.35
156.88,-2.42
158.44,-2.51
160.03,-2.58
161.63,-2.65
163.24,-2.73
164.88,-2.81
166.53,-2.88
168.19,-2.97
169.87,-3.05
171.57,-3.13
173.29,-3.21
175.02,-3.29
176.77,-3.38
178.54,-3.46
180.32,-3.54
182.13,-3.64
183.95,-3.74
185.79,-3.82
187.65,-3.91
189.52,-4.02
191.42,-4.12
193.33,-4.22
195.27,-4.31
197.22,-4.39
199.19,-4.48
201.18,-4.56
203.19,-4.66
205.23,-4.74
207.28,-4.81
209.35,-4.91
211.44,-4.98
213.56,-5.06
215.69,-5.15
217.85,-5.21
220.03,-5.27
222.23,-5.33
224.45,-5.38
226.70,-5.44
228.96,-5.51
231.25,-5.56
233.57,-5.63
235.90,-5.69
238.26,-5.72
240.64,-5.75
243.05,-5.76
245.48,-5.77
247.93,-5.76
250.41,-5.76
252.92,-5.75
255.45,-5.73
258.00,-5.70
260.58,-5.67
263.19,-5.63
265.82,-5.58
268.48,-5.51
271.16,-5.44
273.87,-5.37
276.61,-5.32
279.38,-5.27
282.17,-5.23
284.99,-5.21
287.84,-5.18
290.72,-5.15
293.63,-5.11
296.57,-5.05
299.53,-5.01
302.53,-4.96
305.55,-4.91
308.61,-4.87
311.69,-4.83
314.81,-4.80
317.96,-4.75
321.14,-4.69
324.35,-4.64
327.59,-4.59
330.87,-4.56
334.18,-4.53
337.52,-4.51
340.90,-4.50
344.30,-4.50
347.75,-4.51
351.23,-4.53
354.74,-4.56
358.28,-4.57
361.87,-4.59
365.49,-4.60
369.14,-4.61
372.83,-4.62
376.56,-4.63
380.33,-4.63
384.13,-4.64
387.97,-4.64
391.85,-4.63
395.77,-4.61
399.73,-4.58
403.72,-4.54
407.76,-4.50
411.84,-4.46
415.96,-4.42
420.12,-4.38
424.32,-4.33
428.56,-4.29
432.85,-4.25
437.18,-4.20
441.55,-4.15
445.96,-4.12
450.42,-4.09
454.93,-4.06
459.48,-4.03
464.07,-4.00
468.71,-3.97
473.40,-3.94
478.13,-3.91
482.91,-3.87
487.74,-3.83
492.62,-3.78
497.55,-3.74
502.52,-3.70
507.55,-3.65
512.62,-3.61
517.75,-3.56
522.93,-3.53
528.16,-3.49
533.44,-3.45
538.77,-3.41
544.16,-3.39
549.60,-3.36
555.10,-3.35
560.65,-3.34
566.25,-3.33
571.92,-3.29
577.64,-3.25
583.41,-3.22
589.25,-3.17
595.14,-3.13
601.09,-3.08
607.10,-3.05
613.17,-3.01
619.30,-2.97
625.50,-2.92
631.75,-2.86
638.07,-2.81
644.45,-2.77
650.89,-2.72
657.40,-2.66
663.98,-2.61
670.62,-2.56
677.32,-2.50
684.10,-2.45
690.94,-2.41
697.85,-2.37
704.83,-2.32
711.87,-2.25
718.99,-2.19
726.18,-2.12
733.44,-2.06
740.78,-2.00
748.19,-1.94
755.67,-1.89
763.23,-1.84
770.86,-1.77
778.57,-1.70
786.35,-1.63
794.22,-1.58
802.16,-1.51
810.18,-1.44
818.28,-1.37
826.46,-1.30
