frequency,raw
20.00,11.68
20.20,11.58
20.40,11.47
20.61,11.36
20.81,11.25
21.02,11.14
21.23,11.04
21.44,10.94
21.66,10.84
21.87,10.74
22.09,10.64
22.31,10.54
22.54,10.47
22.76,10.38
22.99,10.29
23.22,10.19
23.45,10.11
23.69,10.01
23.92,9.91
24.16,9.82
24.40,9.73
24.65,9.65
24.89,9.55
25.14,9.46
25.39,9.37
25.65,9.27
25.91,9.18
26.16,9.08
26.43,8.98
26.69,8.88
26.96,8.78
27.23,8.68
27.50,8.59
27.77,8.49
28.05,8.38
28.33,8.28
28.62,8.19
28.90,8.09
29.19,8.00
29.48,7.90
29.78,7.81
30.08,7.73
30.38,7.63
30.68,7.54
30.99,7.45
31.30,7.34
31.61,7.24
31.93,7.12
32.24,7.01
32.57,6.90
32.89,6.78
33.22,6.67
33.55,6.57
33.89,6.47
34.23,6.36
34.57,6.26
34.92,6.16
35.27,6.07
35.62,5.96
35.97,5.88
36.33,5.81
36.70,5.73
37.06,5.66
37.43,5.59
37.81,5.51
38.19,5.44
38.57,5.37
38.95,5.30
39.34,5.23
39.74,5.16
40.14,5.11
40.54,5.04
40.94,4.96
41.35,4.89
41.76,4.83
42.18,4.76
42.60,4.69
43.03,4.60
43.46,4.53
43.90,4.46
44.33,4.39
44.78,4.30
45.23,4.22
45.68,4.14
46.13,4.06
46.60,3.98
47.06,3.90
47.53,3.81
48.01,3.72
48.49,3.64
48.97,3.57
49.46,3.49
49.96,3.41
50.46,3.33
50.96,3.25
51.47,3.18
51.99,3.12
52.51,3.05
53.03,2.98
53.56,2.91
54.10,2.86
54.64,2.80
55.18,2.73
55.74,2.68
56.29,2.64
56.86,2.59
57.42,2.53
58.00,2.48
58.58,2.42
59.16,2.38
59.76,2.34
60.35,2.30
60.96,2.26
61.57,2.20
62.18,2.14
62.80,2.09
63.43,2.06
64.07,2.03
64.71,1.99
65.35,1.94
66.01,1.89
66.67,1.83
67.33,1.80
68.01,1.76
68.69,1.72
69.37,1.68
70.07,1.63
70.77,1.57
71.48,1.51
72.19,1.46
72.91,1.42
73.64,1.37
74.38,1.32
75.12,1.26
75.87,1.19
76.63,1.12
77.40,1.07
78.17,1.03
78.95,0.98
79.74,0.93
80.54,0.87
81.35,0.81
82.16,0.75
82.98,0.70
83.81,0.66
84.65,0.62
85.50,0.56
86.35,0.50
87.22,0.43
88.09,0.37
88.97,0.31
89.86,0.25
90.76,0.20
91.66,0.15
92.58,0.10
93.51,0.05
94.44,-0.00
95.39,-0.04
96.34,-0.08
97.30,-0.14
98.28,-0.18
99.26,-0.22
100.25,-0.26
101.25,-0.31
102.27,-0.35
103.29,-0.38
104.32,-0.43
105.37,-0.48
106.42,-0.53
107.48,-0.59
108.56,-0.62
109.64,-0.66
110.74,-0.70
111.85,-0.74
112.97,-0.78
114.10,-0.80
115.24,-0.84
116.39,-0.87
117.55,-0.90
118.73,-0.94
119.92,-0.96
121.12,-0.99
122.33,-1.02
123.55,-1.05
124.79,-1.09
126.03,-1.13
127.29,-1.17
128.57,-1.21
129.85,-1.25
131.15,-1.29
132.46,-1.34
133.79,-1.38
135.12,-1.41
136.48,-1.45
137.84,-1.49
139.22,-1.54
140.61,-1.60
142.02,-1.65
143.44,-1.70
144.87,-1.74
146.32,-1.76
147.78,-1.80
149.26,-1.85
150.75,-1.89
152.26,-1.95
153.78,-2.00
155.32,-2.03
156.88,-2.07
158.44,-2.12
160.03,-2.16
161.63,-2.21
163.24,-2.26
164.88,-2.30
166.53,-2.34
168.19,-2.38
169.87,-2.42
171.57,-2.46
173.29,-2.51
175.02,-2.54
176.77,-2.59
178.54,-2.62
180.32,-2.65
182.13,-2.70
183.95,-2.75
185.79,-2.79
187.65,-2.82
189.52,-2.85
191.42,-2.87
193.33,-2.92
195.27,-2.95
197.22,-2.97
199.19,-3.00
201.18,-3.02
203.19,-3.05
205.23,-3.08
207.28,-3.10
209.35,-3.13
211.44,-3.15
213.56,-3.17
215.69,-3.20
217.85,-3.23
220.03,-3.26
222.23,-3.31
224.45,-3.34
226.70,-3.37
228.96,-3.39
231.25,-3.42
233.57,-3.44
235.90,-3.48
238.26,-3.52
240.64,-3.56
243.05,-3.60
245.48,-3.63
247.93,-3.66
250.41,-3.68
252.92,-3.71
255.45,-3.72
258.00,-3.73
260.58,-3.75
263.19,-3.77
265.82,-3.80
268.48,-3.82
271.16,-3.85
273.87,-3.87
276.61,-3.89
279.38,-3.91
282.17,-3.91
284.99,-3.93
287.84,-3.94
290.72,-3.95
293.63,-3.96
296.57,-3.97
299.53,-3.98
302.53,-3.99
305.55,-4.00
308.61,-4.01
311.69,-4.01
314.81,-4.02
317.96,-4.02
321.14,-4.03
324.35,-4.05
327.59,-4.06
330.87,-4.08
334.18,-4.08
337.52,-4.08
340.90,-4.08
344.30,-4.07
347.75,-4.07
351.23,-4.07
354.74,-4.07
358.28,-4.07
361.87,-4.07
365.49,-4.07
369.14,-4.08
372.83,-4.10
376.56,-4.11
380.33,-4.12
384.13,-4.13
387.97,-4.15
391.85,-4.15
395.77,-4.17
399.73,-4.17
403.72,-4.17
407.76,-4.16
411.84,-4.15
415.96,-4.13
420.12,-4.11
424.32,-4.09
428.56,-4.08
432.85,-4.07
437.18,-4.05
441.55,-4.03
445.96,-4.02
450.42,-4.00
454.93,-3.98
459.48,-3.96
464.07,-3.94
468.71,-3.92
473.40,-3.90
478.13,-3.89
482.91,-3.87
487.74,-3.86
492.62,-3.84
497.55,-3.83
502.52,-3.82
507.55,-3.80
512.62,-3.79
517.75,-3.77
522.93,-3.76
528.16,-3.74
533.44,-3.72
538.77,-3.69
544.16,-3.67
549.60,-3.64
555.10,-3.61
560.65,-3.58
566.25,-3.56
571.92,-3.53
577.64,-3.50
583.41,-3.48
589.25,-3.45
595.14,-3.43
601.09,-3.41
607.10,-3.41
613.17,-3.40
619.30,-3.39
625.50,-3.36
631.75,-3.34
638.07,-3.32
644.45,-3.29
650.89,-3.25
657.40,-3.21
663.98,-3.18
670.62,-3.16
677.32,-3.13
684.10,-3.10
690.94,-3.07
697.85,-3.04
704.83,-3.00
711.87,-2.95
718.99,-2.91
726.18,-2.87
733.44,-2.84
740.78,-2.80
748.19,-2.76
755.67,-2.72
763.23,-2.67
770.86,-2.59
778.57,-2.53
786.35,-2.46
794.22,-2.39
802.16,-2.30
810.18,-2.23
818.28,-2.15
826.46,-2.09
834.73,-2.02
843.08,-1.95
851.51,-1.86
860.02,-1.77
868.62,-1.67
877.31,-1.60
886.08,-1.51
894.94,-1.45
903.89,-1.37
912.93,-1.30
922.06,-1.21
931.28,-1.13
940.59,-1.06
950.00,-0.99
959.50,-0.93
969.09,-0.87
978.78,-0.79
988.57,-0.70
998.46,-0.63
1008.44,-0.56
1018.53,-0.48
1028.71,-0.39
1039.00,-0.31
1049.39,-0.21
1059.88,-0.11
1070.48,-0.02
1081.19,0.07
1092.00,0.15
1102.92,0.22
1113.95,0.30
1125.09,0.39
1136.34,0.48
1147.70,0.57
1159.18,0.67
1170.77,0.74
1182.48,0.82
1194.30,0.89
1206.25,0.99
1218.31,1.08
1230.49,1.17
1242.80,1.26
1255.22,1.36
1267.78,1.45
1280.45,1.55
1293.26,1.65
1306.19,1.77
1319.25,1.87
1332.45,1.98
1345.77,2.08
1359.23,2.19
1372.82,2.30
1386.55,2.40
1400.41,2.51
1414.42,2.61
1428.56,2.73
1442.85,2.83
1457.28,2.94
1471.85,3.05
1486.57,3.17
1501.43,3.30
1516.45,3.41
1531.61,3.53
1546.93,3.64
1562.40,3.76
1578.02,3.88
1593.80,4.01
1609.74,4.15
1625.84,4.29
1642.10,4.44
1658.52,4.59
1675.10,4.74
1691.85,4.89
1708.77,5.04
1725.86,5.18
1743.12,5.30
1760.55,5.43
1778.15,5.56
1795.94,5.70
1813.90,5.81
1832.03,5.91
1850.36,6.01
1868.86,6.09
1887.55,6.14
1906.42,6.21
1925.49,6.26
1944.74,6.29
1964.19,6.32
1983.83,6.34
2003.67,6.36
2023.71,6.35
2043.94,6.36
2064.38,6.35
2085.03,6.32
2105.88,6.30
2126.94,6.27
2148.20,6.24
2169.69,6.20
2191.38,6.17
2213.30,6.15
2235.43,6.12
2257.78,6.11
2280.36,6.10
2303.17,6.08
2326.20,6.06
2349.46,6.04
2372.95,6.01
2396.68,5.99
2420.65,5.96
2444.86,5.94
2469.31,5.91
2494.00,5.85
2518.94,5.79
2544.13,5.72
2569.57,5.62
2595.27,5.52
2621.22,5.41
2647.43,5.28
2673.90,5.13
2700.64,4.99
2727.65,4.83
2754.93,4.67
2782.48,4.50
2810.30,4.34
2838.40,4.16
2866.79,3.96
2895.46,3.78
2924.41,3.60
2953.65,3.42
