frequency,raw
20.00,-5.53
20.20,-5.51
20.40,-5.50
20.61,-5.49
20.81,-5.47
21.02,-5.47
21.23,-5.45
21.44,-5.45
21.66,-5.43
21.87,-5.43
22.09,-5.42
22.31,-5.41
22.54,-5.40
22.76,-5.40
22.99,-5.40
23.22,-5.40
23.45,-5.39
23.69,-5.39
23.92,-5.39
24.16,-5.40
24.40,-5.40
24.65,-5.41
24.89,-5.41
25.14,-5.42
25.39,-5.43
25.65,-5.44
25.91,-5.45
26.16,-5.46
26.43,-5.47
26.69,-5.49
26.96,-5.50
27.23,-5.53
27.50,-5.55
27.77,-5.56
28.05,-5.59
28.33,-5.61
28.62,-5.63
28.90,-5.67
29.19,-5.69
29.48,-5.72
29.78,-5.75
30.08,-5.78
30.38,-5.82
30.68,-5.85
30.99,-5.88
31.30,-5.92
31.61,-5.95
31.93,-5.99
32.24,-6.04
32.57,-6.08
32.89,-6.14
33.22,-6.19
33.55,-6.24
33.89,-6.29
34.23,-6.35
34.57,-6.42
34.92,-6.48
35.27,-6.55
35.62,-6.63
35.97,-6.70
36.33,-6.77
36.70,-6.85
37.06,-6.92
37.43,-7.00
37.81,-7.08
38.19,-7.16
38.57,-7.23
38.95,-7.29
39.34,-7.37
39.74,-7.45
40.14,-7.53
40.54,-7.61
40.94,-7.70
41.35,-7.78
41.76,-7.87
42.18,-7.96
42.60,-8.05
43.03,-8.14
43.46,-8.23
43.90,-8.33
44.33,-8.43
44.78,-8.54
45.23,-8.65
45.68,-8.77
46.13,-8.90
46.60,-9.04
47.06,-9.17
47.53,-9.32
48.01,-9.47
48.49,-9.64
48.97,-9.80
49.46,-10.00
49.96,-10.18
50.46,-10.38
50.96,-10.57
51.47,-10.76
51.99,-10.96
52.51,-11.16
53.03,-11.35
53.56,-11.52
54.10,-11.68
54.64,-11.83
55.18,-11.97
55.74,-12.09
56.29,-12.19
56.86,-12.25
57.42,-12.29
58.00,-12.30
58.58,-12.25
59.16,-12.19
59.76,-12.09
60.35,-11.95
60.96,-11.77
61.57,-11.54
62.18,-11.29
62.80,-11.00
63.43,-10.67
64.07,-10.33
64.71,-9.96
65.35,-9.56
66.01,-9.16
66.67,-8.73
67.33,-8.29
68.01,-7.87
68.69,-7.44
69.37,-7.02
70.07,-6.60
70.77,-6.19
71.48,-5.76
72.19,-5.34
72.91,-4.92
73.64,-4.51
74.38,-4.10
75.12,-3.68
75.87,-3.27
76.63,-2.84
77.40,-2.40
78.17,-1.95
78.95,-1.50
79.74,-1.03
80.54,-0.55
81.35,-0.08
82.16,0.39
82.98,0.86
83.81,1.33
84.65,1.77
85.50,2.21
86.35,2.65
87.22,3.06
88.09,3.44
88.97,3.77
89.86,4.08
90.76,4.37
91.66,4.64
92.58,4.88
93.51,5.09
94.44,5.29
95.39,5.48
96.34,5.66
97.30,5.82
98.28,5.97
99.26,6.09
100.25,6.20
101.25,6.29
102.27,6.35
103.29,6.39
104.32,6.42
105.37,6.47
106.42,6.52
107.48,6.54
108.56,6.57
109.64,6.57
110.74,6.57
111.85,6.57
112.97,6.57
114.10,6.56
115.24,6.55
116.39,6.55
117.55,6.53
118.73,6.47
119.92,6.42
121.12,6.34
122.33,6.30
123.55,6.23
124.79,6.11
126.03,5.98
127.29,5.91
128.57,5.80
129.85,5.65
131.15,5.51
132.46,5.43
133.79,5.30
135.12,5.14
136.48,5.07
137.84,4.95
139.22,4.86
140.61,4.75
142.02,4.61
143.44,4.55
144.87,4.43
146.32,4.38
147.78,4.28
149.26,4.21
150.75,4.14
152.26,4.08
153.78,4.00
155.32,3.95
156.88,3.87
158.44,3.82
160.03,3.74
161.63,3.68
163.24,3.63
164.88,3.56
166.53,3.51
168.19,3.46
169.87,3.37
171.57,3.31
173.29,3.26
175.02,3.21
176.77,3.16
178.54,3.11
180.32,3.07
182.13,3.02
183.95,2.95
185.79,2.92
187.65,2.89
189.52,2.87
191.42,2.84
193.33,2.81
195.27,2.78
197.22,2.77
199.19,2.75
201.18,2.73
203.19,2.71
205.23,2.69
207.28,2.67
209.35,2.65
211.44,2.64
213.56,2.62
215.69,2.59
217.85,2.56
220.03,2.56
222.23,2.55
224.45,2.53
226.70,2.51
228.96,2.49
231.25,2.48
233.57,2.46
235.90,2.41
238.26,2.40
240.64,2.37
243.05,2.36
245.48,2.35
247.93,2.33
250.41,2.31
252.92,2.27
255.45,2.24
258.00,2.22
260.58,2.19
263.19,2.17
265.82,2.13
268.48,2.13
271.16,2.09
273.87,2.05
276.61,2.02
279.38,1.97
282.17,1.93
284.99,1.87
287.84,1.80
290.72,1.76
293.63,1.73
296.57,1.72
299.53,1.68
302.53,1.63
305.55,1.59
308.61,1.55
311.69,1.52
314.81,1.50
317.96,1.48
321.14,1.45
324.35,1.39
327.59,1.36
330.87,1.33
334.18,1.30
337.52,1.27
340.90,1.22
344.30,1.17
347.75,1.14
351.23,1.10
354.74,1.07
358.28,1.02
361.87,0.99
365.49,0.94
369.14,0.89
372.83,0.85
376.56,0.82
380.33,0.80
384.13,0.78
387.97,0.74
391.85,0.70
395.77,0.67
399.73,0.63
403.72,0.61
407.76,0.59
411.84,0.55
415.96,0.51
420.12,0.48
424.32,0.45
428.56,0.42
432.85,0.38
437.18,0.35
441.55,0.32
445.96,0.28
450.42,0.25
454.93,0.22
459.48,0.20
464.07,0.17
468.71,0.14
473.40,0.12
478.13,0.10
482.91,0.08
487.74,0.06
492.62,0.04
497.55,0.01
502.52,-0.03
507.55,-0.06
512.62,-0.08
517.75,-0.09
522.93,-0.11
528.16,-0.11
533.44,-0.13
538.77,-0.15
544.16,-0.18
549.60,-0.19
555.10,-0.21
560.65,-0.22
566.25,-0.23
571.92,-0.23
577.64,-0.23
583.41,-0.23
589.25,-0.23
595.14,-0.24
601.09,-0.24
607.10,-0.24
613.17,-0.23
619.30,-0.21
625.50,-0.19
631.75,-0.16
638.07,-0.14
644.45,-0.12
650.89,-0.11
657.40,-0.11
663.98,-0.12
670.62,-0.14
677.32,-0.14
684.10,-0.15
690.94,-0.19
697.85,-0.23
704.83,-0.28
711.87,-0.31
718.99,-0.36
726.18,-0.40
733.44,-0.46
740.78,-0.52
748.19,-0.56
755.67,-0.62
763.23,-0.66
770.86,-0.68
778.57,-0.70
786.35,-0.72
794.22,-0.75
802.16,-0.77
810.18,-0.80
818.28,-0.81
826.46,-0.83
834.73,-0.85
843.08,-0.88
851.51,-0.89
860.02,-0.90
868.62,-0.89
877.31,-0.90
886.08,-0.90
894.94,-0.90
903.89,-0.89
912.93,-0.89
922.06,-0.86
931.28,-0.84
940.59,-0.81
950.00,-0.77
959.50,-0.73
969.09,-0.71
978.78,-0.67
988.57,-0.64
998.46,-0.62
1008.44,-0.60
1018.53,-0.59
1028.71,-0.57
1039.00,-0.57
1049.39,-0.57
1059.88,-0.56
1070.48,-0.56
1081.19,-0.56
1092.00,-0.55
1102.92,-0.54
1113.95,-0.53
1125.09,-0.51
1136.34,-0.48
1147.70,-0.45
1159.18,-0.39
1170.77,-0.35
1182.48,-0.29
1194.30,-0.25
1206.25,-0.20
1218.31,-0.15
1230.49,-0.10
1242.80,-0.05
1255.22,0.01
1267.78,0.05
1280.45,0.10
1293.26,0.15
1306.19,0.21
1319.25,0.28
1332.45,0.36
1345.77,0.44
1359.23,0.52
1372.82,0.62
1386.55,0.70
1400.41,0.79
1414.42,0.90
1428.56,1.03
1442.85,1.15
1457.28,1.27
1471.85,1.40
1486.57,1.52
1501.43,1.65
1516.45,1.77
1531.61,1.89
1546.93,2.03
1562.40,2.17
1578.02,2.32
1593.80,2.48
1609.74,2.64
1625.84,2.81
1642.10,2.97
1658.52,3.13
1675.10,3.29
1691.85,3.49
1708.77,3.69
1725.86,3.91
1743.12,4.12
1760.55,4.36
1778.15,4.59
1795.94,4.84
1813.90,5.08
1832.03,5.34
1850.36,5.60
1868.86,5.86
1887.55,6.12
1906.42,6.41
1925.49,6.69
1944.74,6.97
1964.19,7.25
1983.83,7.55
2003.67,7.83
2023.71,8.11
2043.94,8.40
2064.38,8.69
2085.03,8.97
2105.88,9.24
2126.94,9.54
2148.20,9.84
2169.69,10.10
2191.38,10.37
2213.30,10.65
2235.43,10.91
2257.78,11.15
2280.36,11.39
2303.17,11.62
2326.20,11.86
2349.46,12.08
2372.95,12.30
2396.68,12.51
2420.65,12.67
2444.86,12.82
2469.31,12.95
2494.00,13.05
2518.94,13.15
2544.13,13.23
2569.57,13.28
2595.27,13.31
2621.22,13.32
2647.43,13.32
2673.90,13.31
2700.64,13.27
2727.65,13.22
2754.93,13.14
2782.48,13.07
2810.30,13.00
2838.40,12.93
2866.79,12.88
2895.46,12.82
2924.41,12.75
2953.65,12.66
2983.19,12.58
3013.02,12.48
3043.15,12.39
3073.58,12.28
3104.32,12.17
3135.36,12.05
3166.72,11.91
3198.38,11.78
3230.37,11.64
3262.67,11.51
3295.30,11.35
3328.25,11.17
3361.53,10.98
3395.15,10.79
3429.10,10.60
3463.39,10.41
3498.03,10.23
3533.01,10.05
3568.34,9.86
3604.02,9.65
3640.06,9.43
3676.46,9.23
3713.22,9.02
3750.36,8.79
3787.86,8.57
3825.74,8.36
3864.00,8.15
3902.64,7.93
3941.66,7.71
3981.08,7.47
4020.89,7.22
4061.10,6.96
4101.71,6.69
4142.73,6.43
4184.15,6.16
4226.00,5.88
4268.26,5.59
4310.94,5.28
4354.05,4.97
4397.59,4.63
4441.56,4.28
4485.98,3.93
4530.84,3.57
4576.15,3.22
4621.91,2.87
4668.13,2.56
4714.81,2.28
4761.96,2.04
4809.58,1.87
4857.67,1.74
4906.25,1.66
4955.31,1.67
5004.87,1.75
5054.91,1.92
5105.46,2.14
5156.52,2.43
5208.08,2.75
5260.16,3.13
5312.77,3.55
5365.89,3.99
5419.55,4.44
5473.75,4.92
5528.49,5.36
5583.77,5.79
5639.61,6.19
5696.00,6.56
5752.96,6.87
5810.49,7.14
5868.60,7.36
5927.28,7.54
5986.56,7.64
6046.42,7.70
6106.89,7.70
6167.96,7.65
6229.64,7.59
6291.93,7.48
6354.85,7.38
6418.40,7.25
6482.58,7.15
6547.41,7.04
6612.88,6.91
6679.01,6.79
6745.80,6.64
6813.26,6.48
6881.39,6.30
6950.21,6.11
7019.71,5.90
7089.91,5.67
7160.81,5.43
7232.41,5.17
7304.74,4.88
7377.79,4.61
7451.56,4.36
7526.08,4.11
7601.34,3.86
7677.35,3.64
7754.13,3.43
7831.67,3.24
7909.98,3.06
7989.08,2.87
8068.98,2.69
8149.67,2.51
8231.16,2.33
8313.47,2.12
8396.61,1.89
8480.57,1.64
8565.38,1.37
8651.03,1.06
8737.54,0.74
8824.92,0.41
8913.17,0.04
9002.30,-0.34
9092.32,-0.73
9183.25,-1.12
9275.08,-1.48
9367.83,-1.81
9461.51,-2.08
9556.12,-2.26
9651.68,-2.38
9748.20,-2.41
9845.68,-2.37
9944.14,-2.25
10043.58,-2.07
10144.02,-1.87
10245.46,-1.64
10347.91,-1.42
10451.39,-1.22
10555.91,-1.06
10661.46,-0.96
10768.08,-0.92
10875.76,-0.95
10984.52,-1.05
11094.36,-1.18
11205.31,-1.36
11317.36,-1.54
11430.53,-1.72
11544.84,-1.88
11660.29,-1.99
11776.89,-2.09
11894.66,-2.18
12013.60,-2.25
12133.74,-2.32
12255.08,-2.39
12377.63,-2.52
12501.41,-2.66
12626.42,-2.85
12752.68,-3.11
12880.21,-3.44
13009.01,-3.84
13139.10,-4.31
13270.49,-4.87
13403.20,-5.50
13537.23,-6.18
13672.60,-6.91
13809.33,-7.69
13947.42,-8.49
14086.90,-9.29
14227.77,-10.08
14370.04,-10.85
14513.74,-11.57
14658.88,-12.26
14805.47,-12.90
14953.52,-13.47
15103.06,-13.98
15254.09,-14.42
15406.63,-14.83
15560.70,-15.20
15716.30,-15.56
15873.47,-15.93
16032.20,-16.31
16192.52,-16.71
16354.45,-17.14
16517.99,-17.61
16683.17,-18.10
16850.01,-18.60
17018.51,-19.13
17188.69,-19.66
17360.58,-20.19
17534.18,-20.72
17709.53,-21.23
17886.62,-21.69
18065.49,-22.02
18246.14,-22.39
18428.60,-22.78
18612.89,-23.15
18799.02,-23.53
18987.01,-23.88
19176.88,-24.22
19368.65,-24.54
19562.33,-24.86
19757.96,-25.16
19955.54,-25.44
