frequency,raw
20.00,-1.66
20.20,-1.63
20.40,-1.61
20.61,-1.59
20.81,-1.56
21.02,-1.55
21.23,-1.52
21.44,-1.51
21.66,-1.49
21.87,-1.47
22.09,-1.45
22.31,-1.44
22.54,-1.41
22.76,-1.40
22.99,-1.38
23.22,-1.37
23.45,-1.34
23.69,-1.33
23.92,-1.32
24.16,-1.31
24.40,-1.29
24.65,-1.28
24.89,-1.27
25.14,-1.26
25.39,-1.25
25.65,-1.25
25.91,-1.24
26.16,-1.23
26.43,-1.22
26.69,-1.21
26.96,-1.20
27.23,-1.21
27.50,-1.20
27.77,-1.19
28.05,-1.20
28.33,-1.19
28.62,-1.18
28.90,-1.19
29.19,-1.18
29.48,-1.19
29.78,-1.19
30.08,-1.19
30.38,-1.21
30.68,-1.21
30.99,-1.22
31.30,-1.23
31.61,-1.24
31.93,-1.25
32.24,-1.26
32.57,-1.27
32.89,-1.29
33.22,-1.30
33.55,-1.30
33.89,-1.30
34.23,-1.32
34.57,-1.32
34.92,-1.33
35.27,-1.34
35.62,-1.36
35.97,-1.37
36.33,-1.38
36.70,-1.39
37.06,-1.39
37.43,-1.41
37.81,-1.43
38.19,-1.44
38.57,-1.45
38.95,-1.45
39.34,-1.46
39.74,-1.47
40.14,-1.47
40.54,-1.48
40.94,-1.49
41.35,-1.49
41.76,-1.50
42.18,-1.51
42.60,-1.52
43.03,-1.53
43.46,-1.54
43.90,-1.55
44.33,-1.56
44.78,-1.58
45.23,-1.59
45.68,-1.60
46.13,-1.61
46.60,-1.63
47.06,-1.64
47.53,-1.66
48.01,-1.68
48.49,-1.70
48.97,-1.72
49.46,-1.74
49.96,-1.75
50.46,-1.76
50.96,-1.76
51.47,-1.77
51.99,-1.78
52.51,-1.78
53.03,-1.78
53.56,-1.77
54.10,-1.76
54.64,-1.74
55.18,-1.73
55.74,-1.72
56.29,-1.70
56.86,-1.68
57.42,-1.68
58.00,-1.67
58.58,-1.66
59.16,-1.66
59.76,-1.65
60.35,-1.65
60.96,-1.64
61.57,-1.65
62.18,-1.65
62.80,-1.66
63.43,-1.65
64.07,-1.66
64.71,-1.68
65.35,-1.69
66.01,-1.70
66.67,-1.73
67.33,-1.75
68.01,-1.78
68.69,-1.81
69.37,-1.83
70.07,-1.84
70.77,-1.85
71.48,-1.85
72.19,-1.84
72.91,-1.82
73.64,-1.81
74.38,-1.78
75.12,-1.76
75.87,-1.74
76.63,-1.73
77.40,-1.71
78.17,-1.68
78.95,-1.67
79.74,-1.67
80.54,-1.66
81.35,-1.65
82.16,-1.64
82.98,-1.62
83.81,-1.59
84.65,-1.57
85.50,-1.56
86.35,-1.54
87.22,-1.53
88.09,-1.52
88.97,-1.51
89.86,-1.49
90.76,-1.48
91.66,-1.45
92.58,-1.43
93.51,-1.42
94.44,-1.41
95.39,-1.40
96.34,-1.40
97.30,-1.41
98.28,-1.42
99.26,-1.44
100.25,-1.46
101.25,-1.48
102.27,-1.49
103.29,-1.49
104.32,-1.50
105.37,-1.50
106.42,-1.50
107.48,-1.51
108.56,-1.50
109.64,-1.50
110.74,-1.50
111.85,-1.50
112.97,-1.49
114.10,-1.48
115.24,-1.48
116.39,-1.47
117.55,-1.46
118.73,-1.46
119.92,-1.45
121.12,-1.45
122.33,-1.44
123.55,-1.44
124.79,-1.44
126.03,-1.44
127.29,-1.44
128.57,-1.44
129.85,-1.45
131.15,-1.46
132.46,-1.46
133.79,-1.45
135.12,-1.44
136.48,-1.42
137.84,-1.39
139.22,-1.37
140.61,-1.34
142.02,-1.29
143.44,-1.27
144.87,-1.23
146.32,-1.19
147.78,-1.16
149.26,-1.14
150.75,-1.10
152.26,-1.08
153.78,-1.07
155.32,-1.06
156.88,-1.07
158.44,-1.08
160.03,-1.07
161.63,-1.06
163.24,-1.05
164.88,-1.03
166.53,-1.02
168.19,-1.02
169.87,-1.02
171.57,-1.03
173.29,-1.04
175.02,-1.06
176.77,-1.08
178.54,-1.09
180.32,-1.10
182.13,-1.12
183.95,-1.15
185.79,-1.16
187.65,-1.16
189.52,-1.16
191.42,-1.15
193.33,-1.16
195.27,-1.14
197.22,-1.10
199.19,-1.07
201.18,-1.05
203.19,-1.03
205.23,-1.01
207.28,-0.98
209.35,-0.96
211.44,-0.93
213.56,-0.90
215.69,-0.88
217.85,-0.85
220.03,-0.82
222.23,-0.80
224.45,-0.77
226.70,-0.75
228.96,-0.73
231.25,-0.71
233.57,-0.68
235.90,-0.67
238.26,-0.64
240.64,-0.62
243.05,-0.62
245.48,-0.62
247.93,-0.63
250.41,-0.64
252.92,-0.66
255.45,-0.67
258.00,-0.69
260.58,-0.72
