frequency,raw
20.00,2.36
20.20,2.36
20.40,2.36
20.61,2.35
20.81,2.35
21.02,2.34
21.23,2.34
21.44,2.33
21.66,2.33
21.87,2.32
22.09,2.32
22.31,2.31
22.54,2.31
22.76,2.30
22.99,2.29
23.22,2.28
23.45,2.28
23.69,2.27
23.92,2.26
24.16,2.25
24.40,2.24
24.65,2.23
24.89,2.22
25.14,2.20
25.39,2.19
25.65,2.16
25.91,2.15
26.16,2.14
26.43,2.14
26.69,2.15
26.96,2.16
27.23,2.16
27.50,2.17
27.77,2.19
28.05,2.19
28.33,2.21
28.62,2.24
28.90,2.26
29.19,2.30
29.48,2.33
29.78,2.36
30.08,2.39
30.38,2.40
30.68,2.43
30.99,2.45
31.30,2.46
31.61,2.49
31.93,2.51
32.24,2.54
32.57,2.57
32.89,2.59
33.22,2.62
33.55,2.65
33.89,2.68
34.23,2.68
34.57,2.71
34.92,2.75
35.27,2.80
35.62,2.83
35.97,2.87
36.33,2.93
36.70,2.98
37.06,3.04
37.43,3.09
37.81,3.14
38.19,3.20
38.57,3.26
38.95,3.33
39.34,3.39
39.74,3.46
40.14,3.53
40.54,3.60
40.94,3.66
41.35,3.74
41.76,3.81
42.18,3.87
42.60,3.93
43.03,4.00
43.46,4.06
43.90,4.11
44.33,4.17
44.78,4.22
45.23,4.29
45.68,4.35
46.13,4.40
46.60,4.44
47.06,4.48
47.53,4.52
48.01,4.54
48.49,4.57
48.97,4.60
49.46,4.61
49.96,4.63
50.46,4.63
50.96,4.63
51.47,4.63
51.99,4.62
52.51,4.62
53.03,4.60
53.56,4.59
54.10,4.59
54.64,4.59
55.18,4.58
55.74,4.56
56.29,4.55
56.86,4.53
57.42,4.50
58.00,4.48
58.58,4.46
59.16,4.44
59.76,4.41
60.35,4.37
60.96,4.33
61.57,4.29
62.18,4.24
62.80,4.20
63.43,4.16
64.07,4.10
64.71,4.05
65.35,4.01
66.01,3.97
66.67,3.93
67.33,3.89
68.01,3.83
68.69,3.76
69.37,3.70
70.07,3.66
70.77,3.60
71.48,3.55
72.19,3.49
72.91,3.44
73.64,3.37
74.38,3.31
75.12,3.25
75.87,3.19
76.63,3.15
77.40,3.10
78.17,3.06
78.95,3.01
79.74,2.96
80.54,2.91
81.35,2.86
82.16,2.82
82.98,2.76
83.81,2.72
84.65,2.68
85.50,2.64
86.35,2.61
87.22,2.58
88.09,2.54
88.97,2.50
89.86,2.46
90.76,2.44
91.66,2.41
