frequency,raw
20.00,4.64
20.20,4.64
20.40,4.64
20.61,4.62
20.81,4.62
21.02,4.61
21.23,4.61
21.44,4.60
21.66,4.59
21.87,4.58
22.09,4.58
22.31,4.57
22.54,4.57
22.76,4.56
22.99,4.55
23.22,4.54
23.45,4.54
23.69,4.53
23.92,4.52
24.16,4.51
24.40,4.50
24.65,4.49
24.89,4.48
25.14,4.47
25.39,4.46
25.65,4.44
25.91,4.43
26.16,4.42
26.43,4.41
26.69,4.41
26.96,4.40
27.23,4.38
27.50,4.38
27.77,4.38
28.05,4.36
28.33,4.35
28.62,4.35
28.90,4.33
29.19,4.32
29.48,4.31
29.78,4.31
30.08,4.30
30.38,4.29
30.68,4.29
30.99,4.29
31.30,4.28
31.61,4.28
31.93,4.27
32.24,4.27
32.57,4.27
32.89,4.27
33.22,4.27
33.55,4.27
33.89,4.27
34.23,4.26
34.57,4.26
34.92,4.27
35.27,4.27
35.62,4.26
35.97,4.26
36.33,4.26
36.70,4.26
37.06,4.27
37.43,4.27
37.81,4.27
38.19,4.28
38.57,4.28
38.95,4.29
39.34,4.29
39.74,4.28
40.14,4.29
40.54,4.29
40.94,4.29
41.35,4.29
41.76,4.27
42.18,4.26
42.60,4.24
43.03,4.23
43.46,4.20
43.90,4.17
44.33,4.15
44.78,4.12
45.23,4.10
45.68,4.08
46.13,4.06
46.60,4.02
47.06,4.00
47.53,3.97
48.01,3.93
48.49,3.91
48.97,3.88
49.46,3.84
49.96,3.81
50.46,3.79
50.96,3.76
51.47,3.74
51.99,3.70
52.51,3.67
53.03,3.65
53.56,3.63
54.10,3.62
54.64,3.60
55.18,3.58
55.74,3.56
56.29,3.55
56.86,3.55
57.42,3.54
58.00,3.54
58.58,3.55
59.16,3.55
59.76,3.56
60.35,3.56
60.96,3.56
61.57,3.56
62.18,3.56
62.80,3.56
63.43,3.57
64.07,3.57
64.71,3.58
65.35,3.59
66.01,3.60
66.67,3.61
67.33,3.62
68.01,3.61
68.69,3.60
69.37,3.59
70.07,3.59
70.77,3.57
71.48,3.56
72.19,3.53
72.91,3.51
73.64,3.47
74.38,3.45
75.12,3.43
75.87,3.39
76.63,3.35
77.40,3.32
78.17,3.29
78.95,3.26
79.74,3.24
80.54,3.21
81.35,3.19
82.16,3.18
82.98,3.18
83.81,3.18
84.65,3.18
85.50,3.17
86.35,3.14
87.22,3.11
88.09,3.08
88.97,3.03
89.86,2.99
90.76,2.96
91.66,2.91
92.58,2.87
93.51,2.82
94.44,2.79
95.39,2.75
96.34,2.71
97.30,2.68
98.28,2.66
99.26,2.65
100.25,2.64
101.25,2.63
102.27,2.62
103.29,2.61
104.32,2.59
105.37,2.57
106.42,2.54
107.48,2.49
108.56,2.46
109.64,2.43
110.74,2.41
111.85,2.38
112.97,2.36
114.10,2.33
115.24,2.30
116.39,2.28
117.55,2.26
118.73,2.24
119.92,2.23
121.12,2.20
122.33,2.19
123.55,2.15
124.79,2.09
126.03,2.04
127.29,2.01
128.57,1.97
129.85,1.91
131.15,1.86
132.46,1.82
133.79,1.76
135.12,1.70
136.48,1.65
137.84,1.57
139.22,1.51
140.61,1.44
142.02,1.33
143.44,1.27
144.87,1.19
146.32,1.13
147.78,1.03
149.26,0.95
150.75,0.84
152.26,0.76
153.78,0.65
155.32,0.57
156.88,0.43
158.44,0.35
160.03,0.21
161.63,0.12
163.24,0.03
164.88,-0.11
166.53,-0.19
168.19,-0.28
169.87,-0.41
171.57,-0.49
173.29,-0.58
175.02,-0.74
176.77,-0.84
178.54,-0.93
180.32,-1.03
182.13,-1.14
183.95,-1.33
185.79,-1.45
187.65,-1.56
189.52,-1.69
191.42,-1.81
193.33,-1.95
195.27,-2.10
197.22,-2.23
199.19,-2.38
201.18,-2.53
203.19,-2.68
205.23,-2.82
207.28,-2.96
209.35,-3.12
211.44,-3.29
213.56,-3.46
215.69,-3.63
217.85,-3.81
220.03,-3.93
222.23,-4.08
224.45,-4.23
226.70,-4.39
228.96,-4.54
231.25,-4.63
233.57,-4.74
235.90,-4.88
238.26,-4.95
240.64,-5.04
243.05,-5.09
245.48,-5.14
247.93,-5.19
250.41,-5.21
252.92,-5.24
255.45,-5.25
258.00,-5.24
260.58,-5.22
263.19,-5.20
265.82,-5.16
268.48,-5.11
271.16,-5.06
273.87,-5.00
276.61,-4.96
279.38,-4.92
282.17,-4.88
284.99,-4.84
287.84,-4.80
290.72,-4.77
293.63,-4.74
296.57,-4.72
299.53,-4.71
302.53,-4.71
305.55,-4.69
308.61,-4.69
311.69,-4.67
314.81,-4.65
317.96,-4.62
321.14,-4.60
324.35,-4.59
327.59,-4.58
330.87,-4.58
334.18,-4.59
337.52,-4.60
340.90,-4.61
344.30,-4.63
347.75,-4.64
351.23,-4.66
354.74,-4.68
358.28,-4.69
361.87,-4.70
365.49,-4.71
369.14,-4.71
372.83,-4.71
376.56,-4.70
380.33,-4.67
384.13,-4.64
387.97,-4.63
391.85,-4.60
395.77,-4.59
399.73,-4.58
403.72,-4.57
407.76,-4.55
411.84,-4.55
415.96,-4.54
420.12,-4.54
424.32,-4.52
428.56,-4.51
432.85,-4.49
437.18,-4.45
441.55,-4.42
445.96,-4.38
450.42,-4.32
454.93,-4.28
459.48,-4.22
464.07,-4.17
468.71,-4.13
473.40,-4.07
478.13,-4.04
482.91,-4.00
487.74,-3.97
492.62,-3.92
497.55,-3.88
502.52,-3.85
507.55,-3.81
512.62,-3.78
517.75,-3.73
522.93,-3.70
528.16,-3.64
533.44,-3.58
538.77,-3.50
544.16,-3.43
549.60,-3.35
555.10,-3.28
560.65,-3.21
566.25,-3.16
571.92,-3.10
577.64,-3.05
583.41,-3.01
589.25,-2.95
595.14,-2.88
601.09,-2.82
607.10,-2.77
613.17,-2.72
619.30,-2.68
625.50,-2.63
631.75,-2.59
638.07,-2.56
644.45,-2.53
650.89,-2.49
657.40,-2.46
663.98,-2.42
670.62,-2.39
677.32,-2.35
684.10,-2.32
690.94,-2.29
697.85,-2.27
704.83,-2.24
711.87,-2.19
718.99,-2.17
726.18,-2.14
733.44,-2.10
740.78,-2.07
748.19,-2.03
755.67,-2.00
763.23,-1.95
770.86,-1.91
778.57,-1.86
786.35,-1.81
794.22,-1.76
802.16,-1.70
810.18,-1.64
818.28,-1.58
826.46,-1.53
834.73,-1.48
843.08,-1.44
851.51,-1.40
860.02,-1.37
868.62,-1.33
877.31,-1.29
886.08,-1.25
894.94,-1.21
903.89,-1.16
912.93,-1.10
922.06,-1.04
931.28,-0.99
940.59,-0.93
950.00,-0.87
959.50,-0.81
969.09,-0.76
978.78,-0.71
988.57,-0.66
998.46,-0.62
1008.44,-0.59
1018.53,-0.56
1028.71,-0.53
1039.00,-0.50
1049.39,-0.46
1059.88,-0.42
1070.48,-0.39
1081.19,-0.35
1092.00,-0.31
1102.92,-0.27
1113.95,-0.24
1125.09,-0.20
1136.34,-0.16
1147.70,-0.12
1159.18,-0.07
1170.77,-0.03
1182.48,0.03
1194.30,0.08
1206.25,0.13
1218.31,0.17
1230.49,0.21
1242.80,0.24
1255.22,0.28
1267.78,0.31
1280.45,0.34
1293.26,0.35
1306.19,0.38
1319.25,0.40
1332.45,0.43
1345.77,0.47
1359.23,0.50
1372.82,0.54
1386.55,0.57
1400.41,0.61
1414.42,0.65
1428.56,0.71
1442.85,0.76
1457.28,0.82
1471.85,0.86
1486.57,0.89
1501.43,0.93
1516.45,0.96
1531.61,1.01
1546.93,1.05
1562.40,1.09
1578.02,1.13
1593.80,1.16
1609.74,1.22
1625.84,1.28
1642.10,1.33
1658.52,1.37
1675.10,1.41
1691.85,1.46
1708.77,1.52
1725.86,1.60
1743.12,1.66
1760.55,1.72
1778.15,1.77
1795.94,1.84
1813.90,1.90
1832.03,1.97
1850.36,2.05
1868.86,2.12
1887.55,2.17
1906.42,2.22
1925.49,2.27
1944.74,2.32
1964.19,2.38
1983.83,2.42
2003.67,2.46
2023.71,2.49
2043.94,2.53
2064.38,2.58
2085.03,2.61
2105.88,2.65
2126.94,2.68
2148.20,2.71
2169.69,2.75
2191.38,2.80
2213.30,2.88
2235.43,2.92
2257.78,2.98
2280.36,3.03
2303.17,3.08
2326.20,3.14
2349.46,3.21
2372.95,3.26
2396.68,3.32
2420.65,3.38
2444.86,3.44
2469.31,3.50
2494.00,3.55
2518.94,3.60
2544.13,3.63
2569.57,3.64
2595.27,3.65
2621.22,3.66
2647.43,3.67
2673.90,3.67
2700.64,3.66
2727.65,3.63
2754.93,3.59
2782.48,3.54
2810.30,3.49
2838.40,3.44
2866.79,3.37
2895.46,3.30
2924.41,3.22
2953.65,3.12
2983.19,3.01
3013.02,2.89
3043.15,2.74
3073.58,2.56
3104.32,2.38
3135.36,2.19
3166.72,1.98
3198.38,1.78
3230.37,1.55
3262.67,1.32
3295.30,1.07
3328.25,0.81
3361.53,0.53
3395.15,0.26
3429.10,-0.01
3463.39,-0.30
3498.03,-0.58
3533.01,-0.86
3568.34,-1.16
3604.02,-1.46
3640.06,-1.76
3676.46,-2.06
3713.22,-2.38
3750.36,-2.70
3787.86,-3.02
3825.74,-3.34
3864.00,-3.66
3902.64,-4.00
3941.66,-4.34
3981.08,-4.67
4020.89,-4.98
4061.10,-5.27
4101.71,-5.54
4142.73,-5.76
4184.15,-5.93
4226.00,-6.06
4268.26,-6.14
4310.94,-6.17
4354.05,-6.14
4397.59,-6.06
4441.56,-5.93
4485.98,-5.77
4530.84,-5.57
4576.15,-5.33
4621.91,-5.10
4668.13,-4.89
4714.81,-4.66
4761.96,-4.45
4809.58,-4.25
4857.67,-4.07
4906.25,-3.91
4955.31,-3.76
5004.87,-3.65
5054.91,-3.56
5105.46,-3.50
5156.52,-3.46
5208.08,-3.46
5260.16,-3.48
5312.77,-3.53
5365.89,-3.60
5419.55,-3.72
5473.75,-3.84
5528.49,-4.01
5583.77,-4.21
5639.61,-4.42
5696.00,-4.65
5752.96,-4.90
5810.49,-5.16
5868.60,-5.43
5927.28,-5.68
5986.56,-5.94
6046.42,-6.18
6106.89,-6.42
6167.96,-6.65
6229.64,-6.85
6291.93,-7.04
6354.85,-7.19
6418.40,-7.30
6482.58,-7.37
6547.41,-7.43
6612.88,-7.45
6679.01,-7.45
6745.80,-7.43
6813.26,-7.36
6881.39,-7.27
6950.21,-7.14
7019.71,-6.97
7089.91,-6.79
7160.81,-6.59
7232.41,-6.39
7304.74,-6.20
7377.79,-6.04
7451.56,-5.91
7526.08,-5.82
7601.34,-5.78
7677.35,-5.80
7754.13,-5.89
7831.67,-6.04
7909.98,-6.28
7989.08,-6.64
8068.98,-7.09
8149.67,-7.61
8231.16,-8.21
8313.47,-8.90
8396.61,-9.64
8480.57,-10.43
8565.38,-11.25
8651.03,-12.10
8737.54,-12.95
8824.92,-13.80
8913.17,-14.67
9002.30,-15.50
9092.32,-16.31
9183.25,-17.10
9275.08,-17.83
9367.83,-18.52
9461.51,-19.14
9556.12,-19.71
9651.68,-20.22
9748.20,-20.65
9845.68,-21.03
9944.14,-21.35
10043.58,-21.62
10144.02,-21.84
10245.46,-21.99
10347.91,-22.12
10451.39,-22.21
10555.91,-22.28
10661.46,-22.33
10768.08,-22.37
10875.76,-22.40
10984.52,-22.43
11094.36,-22.46
11205.31,-22.49
11317.36,-22.51
11430.53,-22.53
11544.84,-22.53
11660.29,-22.52
11776.89,-22.50
11894.66,-22.46
12013.60,-22.42
12133.74,-22.37
12255.08,-22.35
12377.63,-22.34
12501.41,-22.36
12626.42,-22.42
12752.68,-22.53
12880.21,-22.73
13009.01,-22.98
13139.10,-23.31
13270.49,-23.72
13403.20,-24.25
13537.23,-24.84
13672.60,-25.52
13809.33,-26.27
13947.42,-27.05
14086.90,-27.85
14227.77,-28.64
14370.04,-29.38
14513.74,-30.03
14658.88,-30.59
14805.47,-31.02
14953.52,-31.29
15103.06,-31.37
15254.09,-31.26
15406.63,-30.99
15560.70,-30.55
15716.30,-29.98
15873.47,-29.30
16032.20,-28.54
16192.52,-27.74
16354.45,-26.91
16517.99,-26.11
16683.17,-25.36
16850.01,-24.67
17018.51,-24.08
17188.69,-23.60
17360.58,-23.23
17534.18,-22.95
17709.53,-22.78
17886.62,-22.69
18065.49,-22.55
18246.14,-22.42
18428.60,-22.32
18612.89,-22.27
18799.02,-22.28
18987.01,-22.32
19176.88,-22.40
19368.65,-22.54
19562.33,-22.72
19757.96,-22.93
19955.54,-23.20
