frequency,raw
20.00,-0.20
20.20,-0.17
20.40,-0.15
20.61,-0.13
20.81,-0.10
21.02,-0.09
21.23,-0.06
21.44,-0.05
21.66,-0.02
21.87,0.00
22.09,0.02
22.31,0.03
22.54,0.06
22.76,0.07
22.99,0.09
23.22,0.10
23.45,0.13
23.69,0.15
23.92,0.16
24.16,0.18
24.40,0.19
24.65,0.21
24.89,0.22
25.14,0.23
25.39,0.25
25.65,0.25
25.91,0.26
26.16,0.28
26.43,0.29
26.69,0.30
26.96,0.32
27.23,0.32
27.50,0.33
27.77,0.34
28.05,0.34
28.33,0.35
28.62,0.36
28.90,0.36
29.19,0.37
29.48,0.37
29.78,0.38
30.08,0.39
30.38,0.39
30.68,0.39
30.99,0.40
31.30,0.39
31.61,0.39
31.93,0.39
32.24,0.39
32.57,0.40
32.89,0.39
33.22,0.40
33.55,0.40
33.89,0.40
34.23,0.39
34.57,0.39
34.92,0.40
35.27,0.40
35.62,0.39
35.97,0.39
36.33,0.39
36.70,0.38
37.06,0.39
37.43,0.38
37.81,0.38
38.19,0.38
38.57,0.38
38.95,0.39
39.34,0.39
39.74,0.38
40.14,0.39
40.54,0.39
40.94,0.38
41.35,0.38
41.76,0.38
42.18,0.37
42.60,0.36
43.03,0.35
43.46,0.34
43.90,0.32
44.33,0.30
44.78,0.27
45.23,0.26
45.68,0.25
46.13,0.24
46.60,0.22
47.06,0.21
47.53,0.20
48.01,0.18
48.49,0.17
48.97,0.16
49.46,0.14
49.96,0.13
50.46,0.12
50.96,0.11
51.47,0.10
51.99,0.08
52.51,0.07
53.03,0.06
53.56,0.05
54.10,0.05
54.64,0.04
55.18,0.03
55.74,0.02
56.29,0.02
56.86,0.02
57.42,0.01
58.00,0.01
58.58,0.01
59.16,0.01
59.76,0.01
60.35,0.01
60.96,0.01
61.57,0.01
62.18,0.01
62.80,0.01
63.43,0.02
64.07,0.02
64.71,0.02
65.35,0.03
66.01,0.03
66.67,0.03
67.33,0.04
68.01,0.04
68.69,0.04
69.37,0.04
70.07,0.05
70.77,0.05
71.48,0.05
72.19,0.05
72.91,0.05
73.64,0.04
74.38,0.04
75.12,0.04
75.87,0.03
76.63,0.02
77.40,0.01
78.17,0.01
78.95,-0.00
79.74,-0.01
80.54,-0.02
81.35,-0.03
82.16,-0.04
82.98,-0.05
83.81,-0.05
84.65,-0.06
85.50,-0.07
86.35,-0.08
87.22,-0.09
88.09,-0.10
88.97,-0.12
89.86,-0.13
90.76,-0.14
91.66,-0.16
92.58,-0.18
93.51,-0.20
94.44,-0.21
95.39,-0.20
96.34,-0.19
97.30,-0.19
98.28,-0.17
99.26,-0.15
100.25,-0.13
101.25,-0.11
102.27,-0.10
103.29,-0.09
104.32,-0.08
105.37,-0.05
106.42,-0.01
107.48,0.02
108.56,0.07
109.64,0.12
110.74,0.15
111.85,0.18
112.97,0.22
114.10,0.26
115.24,0.29
116.39,0.32
117.55,0.36
118.73,0.38
119.92,0.42
121.12,0.43
122.33,0.45
123.55,0.44
124.79,0.43
126.03,0.42
127.29,0.42
128.57,0.42
129.85,0.43
131.15,0.43
132.46,0.44
133.79,0.45
135.12,0.45
136.48,0.44
137.84,0.43
139.22,0.42
140.61,0.40
142.02,0.36
143.44,0.33
144.87,0.26
146.32,0.21
147.78,0.13
149.26,0.05
150.75,-0.06
152.26,-0.17
153.78,-0.33
155.32,-0.45
156.88,-0.64
158.44,-0.78
160.03,-1.01
161.63,-1.15
163.24,-1.32
164.88,-1.59
166.53,-1.80
168.19,-2.01
169.87,-2.35
171.57,-2.61
173.29,-2.85
175.02,-3.26
176.77,-3.56
178.54,-3.85
180.32,-4.16
182.13,-4.49
183.95,-5.01
185.79,-5.37
187.65,-5.72
189.52,-6.07
191.42,-6.42
193.33,-6.80
195.27,-7.16
197.22,-7.50
199.19,-7.84
201.18,-8.16
203.19,-8.48
205.23,-8.77
207.28,-9.02
209.35,-9.24
211.44,-9.42
213.56,-9.60
215.69,-9.76
217.85,-9.87
220.03,-9.93
222.23,-10.00
224.45,-10.05
226.70,-10.10
228.96,-10.13
231.25,-10.13
233.57,-10.14
235.90,-10.16
238.26,-10.16
240.64,-10.16
243.05,-10.15
245.48,-10.14
247.93,-10.12
250.41,-10.11
252.92,-10.09
255.45,-10.08
258.00,-10.07
260.58,-10.07
263.19,-10.07
265.82,-10.06
268.48,-10.03
271.16,-10.01
273.87,-9.98
276.61,-9.94
279.38,-9.91
282.17,-9.88
284.99,-9.85
287.84,-9.79
290.72,-9.74
293.63,-9.69
296.57,-9.62
299.53,-9.57
302.53,-9.51
305.55,-9.45
308.61,-9.40
311.69,-9.33
314.81,-9.29
317.96,-9.23
321.14,-9.15
324.35,-9.09
327.59,-9.01
330.87,-8.96
334.18,-8.89
337.52,-8.83
340.90,-8.80
344.30,-8.75
347.75,-8.72
351.23,-8.69
354.74,-8.67
358.28,-8.63
361.87,-8.60
365.49,-8.57
369.14,-8.55
372.83,-8.53
376.56,-8.48
380.33,-8.43
384.13,-8.36
387.97,-8.31
391.85,-8.24
395.77,-8.18
399.73,-8.11
403.72,-8.03
407.76,-7.95
411.84,-7.88
415.96,-7.80
420.12,-7.72
424.32,-7.63
428.56,-7.57
432.85,-7.48
437.18,-7.38
441.55,-7.29
445.96,-7.21
450.42,-7.11
454.93,-7.02
459.48,-6.91
464.07,-6.81
468.71,-6.73
473.40,-6.63
478.13,-6.55
482.91,-6.45
487.74,-6.37
492.62,-6.29
497.55,-6.22
502.52,-6.14
507.55,-6.05
512.62,-5.98
517.75,-5.90
522.93,-5.82
528.16,-5.72
533.44,-5.64
538.77,-5.54
544.16,-5.46
549.60,-5.36
555.10,-5.24
560.65,-5.15
566.25,-5.07
571.92,-4.97
577.64,-4.88
583.41,-4.78
589.25,-4.68
595.14,-4.60
601.09,-4.52
607.10,-4.44
613.17,-4.36
619.30,-4.29
625.50,-4.21
631.75,-4.14
638.07,-4.06
644.45,-3.99
650.89,-3.91
657.40,-3.84
663.98,-3.77
670.62,-3.70
677.32,-3.63
684.10,-3.57
690.94,-3.51
697.85,-3.45
704.83,-3.38
711.87,-3.30
718.99,-3.24
726.18,-3.17
733.44,-3.09
740.78,-3.01
748.19,-2.93
755.67,-2.85
763.23,-2.78
770.86,-2.70
778.57,-2.60
786.35,-2.50
794.22,-2.42
802.16,-2.32
810.18,-2.24
818.28,-2.14
826.46,-2.05
834.73,-1.96
843.08,-1.87
851.51,-1.78
860.02,-1.70
868.62,-1.62
877.31,-1.53
886.08,-1.44
894.94,-1.36
903.89,-1.27
912.93,-1.18
922.06,-1.10
931.28,-1.04
940.59,-0.97
950.00,-0.90
959.50,-0.83
969.09,-0.78
978.78,-0.72
988.57,-0.67
998.46,-0.63
1008.44,-0.58
1018.53,-0.53
1028.71,-0.49
1039.00,-0.47
1049.39,-0.43
1059.88,-0.39
1070.48,-0.35
1081.19,-0.31
1092.00,-0.28
1102.92,-0.25
1113.95,-0.23
1125.09,-0.21
1136.34,-0.20
1147.70,-0.20
1159.18,-0.19
1170.77,-0.20
1182.48,-0.20
1194.30,-0.22
1206.25,-0.23
1218.31,-0.26
1230.49,-0.29
1242.80,-0.32
1255.22,-0.34
1267.78,-0.38
1280.45,-0.41
1293.26,-0.46
1306.19,-0.50
1319.25,-0.55
1332.45,-0.60
1345.77,-0.64
1359.23,-0.70
1372.82,-0.75
1386.55,-0.82
1400.41,-0.88
1414.42,-0.94
1428.56,-0.99
1442.85,-1.06
1457.28,-1.11
1471.85,-1.17
1486.57,-1.24
1501.43,-1.28
1516.45,-1.34
1531.61,-1.39
1546.93,-1.43
1562.40,-1.47
1578.02,-1.49
1593.80,-1.53
1609.74,-1.57
1625.84,-1.59
1642.10,-1.62
1658.52,-1.64
1675.10,-1.67
1691.85,-1.69
1708.77,-1.71
1725.86,-1.71
1743.12,-1.73
1760.55,-1.74
1778.15,-1.75
1795.94,-1.75
1813.90,-1.76
1832.03,-1.76
1850.36,-1.76
1868.86,-1.75
1887.55,-1.74
1906.42,-1.74
1925.49,-1.74
1944.74,-1.76
1964.19,-1.77
1983.83,-1.79
2003.67,-1.80
2023.71,-1.81
2043.94,-1.82
2064.38,-1.82
2085.03,-1.83
2105.88,-1.83
2126.94,-1.83
2148.20,-1.81
2169.69,-1.79
2191.38,-1.77
