frequency,raw
20.00,-4.09
20.20,-4.04
20.40,-3.98
20.61,-3.94
20.81,-3.89
21.02,-3.84
21.23,-3.79
21.44,-3.74
21.66,-3.69
21.87,-3.64
22.09,-3.59
22.31,-3.54
22.54,-3.49
22.76,-3.45
22.99,-3.40
23.22,-3.36
23.45,-3.30
23.69,-3.25
23.92,-3.21
24.16,-3.16
24.40,-3.12
24.65,-3.08
24.89,-3.03
25.14,-2.99
25.39,-2.94
25.65,-2.91
25.91,-2.86
26.16,-2.82
26.43,-2.77
26.69,-2.73
26.96,-2.69
27.23,-2.66
27.50,-2.61
27.77,-2.57
28.05,-2.54
28.33,-2.50
28.62,-2.45
28.90,-2.42
29.19,-2.38
29.48,-2.35
29.78,-2.31
30.08,-2.27
30.38,-2.24
30.68,-2.21
30.99,-2.17
31.30,-2.14
31.61,-2.10
31.93,-2.07
32.24,-2.04
32.57,-2.00
32.89,-1.97
33.22,-1.94
33.55,-1.90
33.89,-1.87
34.23,-1.84
34.57,-1.82
34.92,-1.79
35.27,-1.76
35.62,-1.74
35.97,-1.71
36.33,-1.68
36.70,-1.65
37.06,-1.61
37.43,-1.59
37.81,-1.57
38.19,-1.54
38.57,-1.51
38.95,-1.47
39.34,-1.45
39.74,-1.43
40.14,-1.40
40.54,-1.38
40.94,-1.36
41.35,-1.34
41.76,-1.32
42.18,-1.31
42.60,-1.29
43.03,-1.27
43.46,-1.25
43.90,-1.23
44.33,-1.20
44.78,-1.19
45.23,-1.16
45.68,-1.14
46.13,-1.12
46.60,-1.12
47.06,-1.11
47.53,-1.09
48.01,-1.08
48.49,-1.07
48.97,-1.06
49.46,-1.06
49.96,-1.05
50.46,-1.04
50.96,-1.02
51.47,-1.00
51.99,-0.99
52.51,-0.97
53.03,-0.96
53.56,-0.94
54.10,-0.92
54.64,-0.90
55.18,-0.89
55.74,-0.88
56.29,-0.86
56.86,-0.83
57.42,-0.81
58.00,-0.79
58.58,-0.77
59.16,-0.76
59.76,-0.74
60.35,-0.74
60.96,-0.74
61.57,-0.73
62.18,-0.71
62.80,-0.70
63.43,-0.67
64.07,-0.65
64.71,-0.63
65.35,-0.60
66.01,-0.58
66.67,-0.57
67.33,-0.54
68.01,-0.53
68.69,-0.52
69.37,-0.49
70.07,-0.46
70.77,-0.44
71.48,-0.42
72.19,-0.39
72.91,-0.36
73.64,-0.35
74.38,-0.33
75.12,-0.32
75.87,-0.31
76.63,-0.31
77.40,-0.31
78.17,-0.31
78.95,-0.32
79.74,-0.34
80.54,-0.36
81.35,-0.37
82.16,-0.38
82.98,-0.39
83.81,-0.39
84.65,-0.40
85.50,-0.41
86.35,-0.42
87.22,-0.43
88.09,-0.44
88.97,-0.46
89.86,-0.47
90.76,-0.48
91.66,-0.49
92.58,-0.50
93.51,-0.52
94.44,-0.53
95.39,-0.54
96.34,-0.55
97.30,-0.57
98.28,-0.58
99.26,-0.59
100.25,-0.60
101.25,-0.61
102.27,-0.62
103.29,-0.62
104.32,-0.63
105.37,-0.63
106.42,-0.63
107.48,-0.64
108.56,-0.63
109.64,-0.63
110.74,-0.63
111.85,-0.63
112.97,-0.63
114.10,-0.63
115.24,-0.63
116.39,-0.62
117.55,-0.61
118.73,-0.60
119.92,-0.56
