frequency,raw
20.00,-16.86
20.20,-16.68
20.40,-16.51
20.61,-16.35
20.81,-16.19
21.02,-16.04
21.23,-15.89
21.44,-15.75
21.66,-15.60
21.87,-15.47
22.09,-15.34
22.31,-15.22
22.54,-15.09
22.76,-14.97
22.99,-14.87
23.22,-14.78
23.45,-14.67
23.69,-14.57
23.92,-14.48
24.16,-14.40
24.40,-14.31
24.65,-14.23
24.89,-14.15
25.14,-14.06
25.39,-13.97
25.65,-13.88
25.91,-13.77
26.16,-13.67
26.43,-13.56
26.69,-13.44
26.96,-13.32
27.23,-13.21
27.50,-13.08
27.77,-12.96
28.05,-12.86
28.33,-12.74
28.62,-12.62
28.90,-12.52
29.19,-12.41
29.48,-12.32
29.78,-12.22
30.08,-12.12
30.38,-12.04
30.68,-11.96
30.99,-11.88
31.30,-11.80
31.61,-11.72
31.93,-11.65
32.24,-11.59
32.57,-11.53
32.89,-11.48
33.22,-11.41
33.55,-11.36
33.89,-11.32
34.23,-11.27
34.57,-11.22
34.92,-11.17
35.27,-11.12
35.62,-11.06
35.97,-11.01
36.33,-10.95
36.70,-10.89
37.06,-10.81
37.43,-10.74
37.81,-10.68
38.19,-10.61
38.57,-10.54
38.95,-10.45
39.34,-10.37
39.74,-10.31
40.14,-10.24
40.54,-10.16
40.94,-10.09
41.35,-10.02
41.76,-9.97
42.18,-9.89
42.60,-9.82
43.03,-9.76
43.46,-9.69
43.90,-9.62
44.33,-9.55
44.78,-9.49
45.23,-9.42
45.68,-9.37
46.13,-9.30
46.60,-9.24
47.06,-9.18
47.53,-9.12
48.01,-9.07
48.49,-9.02
48.97,-8.96
49.46,-8.92
49.96,-8.86
50.46,-8.80
50.96,-8.75
51.47,-8.70
51.99,-8.66
52.51,-8.62
53.03,-8.58
53.56,-8.54
54.10,-8.50
54.64,-8.45
55.18,-8.41
55.74,-8.38
56.29,-8.35
56.86,-8.33
57.42,-8.30
58.00,-8.27
58.58,-8.24
59.16,-8.20
59.76,-8.16
60.35,-8.12
60.96,-8.07
61.57,-8.03
62.18,-7.98
62.80,-7.95
63.43,-7.92
64.07,-7.90
64.71,-7.88
65.35,-7.84
66.01,-7.80
66.67,-7.76
67.33,-7.71
68.01,-7.68
68.69,-7.64
69.37,-7.61
70.07,-7.58
70.77,-7.56
71.48,-7.54
72.19,-7.52
72.91,-7.50
73.64,-7.48
74.38,-7.45
75.12,-7.41
75.87,-7.39
76.63,-7.37
77.40,-7.36
78.17,-7.34
78.95,-7.33
79.74,-7.31
80.54,-7.29
81.35,-7.27
82.16,-7.25
82.98,-7.23
83.81,-7.21
84.65,-7.20
85.50,-7.20
86.35,-7.21
87.22,-7.22
88.09,-7.24
88.97,-7.28
89.86,-7.30
90.76,-7.31
91.66,-7.32
92.58,-7.31
93.51,-7.31
94.44,-7.30
95.39,-7.28
96.34,-7.27
97.30,-7.26
98.28,-7.23
99.26,-7.21
100.25,-7.19
101.25,-7.17
102.27,-7.16
103.29,-7.13
104.32,-7.12
105.37,-7.11
106.42,-7.10
107.48,-7.10
108.56,-7.10
109.64,-7.10
110.74,-7.11
111.85,-7.12
112.97,-7.11
114.10,-7.10
115.24,-7.10
116.39,-7.09
117.55,-7.08
118.73,-7.07
119.92,-7.05
121.12,-7.04
122.33,-7.03
123.55,-7.04
124.79,-7.05
126.03,-7.07
127.29,-7.09
128.57,-7.11
129.85,-7.14
131.15,-7.17
132.46,-7.20
133.79,-7.23
135.12,-7.26
136.48,-7.29
137.84,-7.32
139.22,-7.35
140.61,-7.37
142.02,-7.39
143.44,-7.40
144.87,-7.40
146.32,-7.39
147.78,-7.38
149.26,-7.38
150.75,-7.36
152.26,-7.36
153.78,-7.36
155.32,-7.35
156.88,-7.35
158.44,-7.35
160.03,-7.34
161.63,-7.33
163.24,-7.33
164.88,-7.32
166.53,-7.31
168.19,-7.30
169.87,-7.29
171.57,-7.28
173.29,-7.27
175.02,-7.25
176.77,-7.24
178.54,-7.22
180.32,-7.20
182.13,-7.19
183.95,-7.17
185.79,-7.15
187.65,-7.13
189.52,-7.11
191.42,-7.09
193.33,-7.08
195.27,-7.06
197.22,-7.03
199.19,-7.01
201.18,-6.99
203.19,-6.97
205.23,-6.95
207.28,-6.92
209.35,-6.90
211.44,-6.87
213.56,-6.84
215.69,-6.82
217.85,-6.79
220.03,-6.76
222.23,-6.74
224.45,-6.71
226.70,-6.69
228.96,-6.67
231.25,-6.65
233.57,-6.62
235.90,-6.60
238.26,-6.58
240.64,-6.57
243.05,-6.56
245.48,-6.57
247.93,-6.57
250.41,-6.59
252.92,-6.60
255.45,-6.62
258.00,-6.64
260.58,-6.66
263.19,-6.68
265.82,-6.70
268.48,-6.71
271.16,-6.73
273.87,-6.75
276.61,-6.76
279.38,-6.76
282.17,-6.76
284.99,-6.76
287.84,-6.75
290.72,-6.73
293.63,-6.71
296.57,-6.68
299.53,-6.67
302.53,-6.66
305.55,-6.64
308.61,-6.63
311.69,-6.61
314.81,-6.60
317.96,-6.58
321.14,-6.56
324.35,-6.55
327.59,-6.53
330.87,-6.52
334.18,-6.50
337.52,-6.48
340.90,-6.47
344.30,-6.45
347.75,-6.43
351.23,-6.41
354.74,-6.40
358.28,-6.38
361.87,-6.36
365.49,-6.34
369.14,-6.32
372.83,-6.31
376.56,-6.29
380.33,-6.27
384.13,-6.25
387.97,-6.24
391.85,-6.22
395.77,-6.21
399.73,-6.20
403.72,-6.19
407.76,-6.18
411.84,-6.17
415.96,-6.17
420.12,-6.16
424.32,-6.14
428.56,-6.13
432.85,-6.11
437.18,-6.07
441.55,-6.03
445.96,-5.99
450.42,-5.94
454.93,-5.89
459.48,-5.84
464.07,-5.80
468.71,-5.76
473.40,-5.71
478.13,-5.68
482.91,-5.63
487.74,-5.59
492.62,-5.54
497.55,-5.50
502.52,-5.47
507.55,-5.43
512.62,-5.40
517.75,-5.35
522.93,-5.30
528.16,-5.24
533.44,-5.17
538.77,-5.11
544.16,-5.04
549.60,-4.96
555.10,-4.87
560.65,-4.79
566.25,-4.71
571.92,-4.64
577.64,-4.57
583.41,-4.51
589.25,-4.43
595.14,-4.35
601.09,-4.28
607.10,-4.22
613.17,-4.15
619.30,-4.09
625.50,-4.02
631.75,-3.95
638.07,-3.89
644.45,-3.81
650.89,-3.74
657.40,-3.67
663.98,-3.61
670.62,-3.56
677.32,-3.49
684.10,-3.41
690.94,-3.34
697.85,-3.26
704.83,-3.21
711.87,-3.14
718.99,-3.08
726.18,-3.00
733.44,-2.93
740.78,-2.86
748.19,-2.79
755.67,-2.72
763.23,-2.63
770.86,-2.54
778.57,-2.46
786.35,-2.38
794.22,-2.30
802.16,-2.20
810.18,-2.12
818.28,-2.03
826.46,-1.95
834.73,-1.86
843.08,-1.77
851.51,-1.66
860.02,-1.57
868.62,-1.47
877.31,-1.39
886.08,-1.30
894.94,-1.21
903.89,-1.12
912.93,-1.05
922.06,-0.98
931.28,-0.92
940.59,-0.87
950.00,-0.81
959.50,-0.76
969.09,-0.74
978.78,-0.70
988.57,-0.65
998.46,-0.62
1008.44,-0.59
1018.53,-0.56
1028.71,-0.53
1039.00,-0.50
1049.39,-0.46
1059.88,-0.42
1070.48,-0.39
1081.19,-0.35
1092.00,-0.32
1102.92,-0.29
1113.95,-0.27
1125.09,-0.23
1136.34,-0.18
1147.70,-0.14
1159.18,-0.08
1170.77,-0.03
1182.48,0.05
1194.30,0.12
1206.25,0.20
1218.31,0.30
1230.49,0.40
1242.80,0.50
1255.22,0.63
1267.78,0.76
1280.45,0.91
1293.26,1.04
1306.19,1.19
1319.25,1.33
1332.45,1.47
1345.77,1.62
1359.23,1.77
1372.82,1.91
1386.55,2.07
1400.41,2.25
1414.42,2.42
1428.56,2.59
1442.85,2.76
1457.28,2.94
1471.85,3.13
1486.57,3.30
1501.43,3.48
1516.45,3.65
1531.61,3.83
1546.93,4.01
1562.40,4.20
1578.02,4.37
1593.80,4.54
1609.74,4.70
1625.84,4.87
1642.10,5.03
1658.52,5.19
1675.10,5.35
1691.85,5.50
1708.77,5.65
1725.86,5.79
1743.12,5.91
1760.55,6.03
1778.15,6.13
1795.94,6.23
1813.90,6.31
1832.03,6.37
1850.36,6.42
1868.86,6.44
1887.55,6.43
1906.42,6.41
1925.49,6.35
1944.74,6.26
1964.19,6.16
1983.83,6.03
2003.67,5.87
2023.71,5.69
2043.94,5.49
2064.38,5.26
2085.03,5.00
2105.88,4.74
2126.94,4.46
2148.20,4.19
2169.69,3.92
2191.38,3.66
2213.30,3.41
2235.43,3.16
2257.78,2.94
2280.36,2.74
2303.17,2.57
2326.20,2.42
2349.46,2.31
2372.95,2.22
2396.68,2.17
2420.65,2.15
2444.86,2.15
2469.31,2.17
2494.00,2.20
